"court_index_number","docket_number","eviction_address","eviction_apt_num","executed_date","marshal_first_name","marshal_last_name","residential_commercial_ind","borough","eviction_zip","ejectment","eviction_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"58410/19","095169","73 MILFORD STREET","2ND FLOOR","2019-06-14T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.678059","-73.877955","5","37","1192","3093110","3041530007","East New York"
"35875/17","336148","4535 PARK AVENUE","4C","2019-06-10T00:00:00.000","Thomas","Bia","Residential","BRONX","10458","Not an Ejectment","Possession","40.855498","-73.894857","6","15","38302","2011173","2030300159","Fordham South"
"021810/16","022215","9203 FOSTER AVENUE  BACK BEDROOM","BSMT","2017-12-11T00:00:00.000","Gary","Rose","Residential","BROOKLYN","11236","Ejectment","Eviction",,,,,,,,
"306530/21","108454","1844 ANDREWS   AVENU E SOUTH","2B","2022-10-21T00:00:00.000","Justin","Grossman","Residential","BRONX","10453","Not an Ejectment","Possession","40.852438","-73.914866","5","14","24501","2009039","2028790011","University Heights-Morris Heights"
"101300/16","8465","1730 SHORE PARKWAY",,"2017-03-27T00:00:00.000","Edward","Guida","Residential","BROOKLYN","11214","Not an Ejectment","Possession","40.593510","-73.996795","11","43","304","3170081","3064910180","Bensonhurst East"
"Q78002/18","099544","71-59 160TH STREET","3B","2019-10-04T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11365","Not an Ejectment","Possession","40.728491","-73.809025","8","24","122701","4595534","4067997503","Pomonok-Flushing Heights-Hillcrest"
"901052/18","086208","3451 BOSTON ROAD GROUND FLOOR STORE PREMISES (INCLUBASEMENT DIRECTLY UN",,"2018-10-03T00:00:00.000","Henry","Daley","Commercial","BRONX","10469","Not an Ejectment","Possession",,,,,,,,
"304461/21B","109100","1843 PITKIN AVENUE","3","2022-09-09T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11212","Not an Ejectment","Possession","40.670580","-73.904803","16","37","908","3388173","3037090136","Brownsville"
"Q64794/17","082332","181 BEACH 25TH STREE T","REAR UNIT","2018-04-09T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11691","Not an Ejectment","Possession","40.594409","-73.758361","14","31","99802","4436074","4158170071","Far Rockaway-Bayswater"
"87677/16","067813","862 SCHNECTADY AVE.  STUDIO 2",,"2017-03-08T00:00:00.000","Steven","Powell","Residential","BROOKLYN","11203","Not an Ejectment","Possession",,,,,,,,
"0052016/17","110078","100-23 39TH AVENUE","1A","2017-08-09T00:00:00.000","Maxine","Chevlowe","Residential","QUEENS","11368","Not an Ejectment","Possession","40.750010","-73.865364","3","21","407","4541560","4017677501","North Corona"
"901364/19","103494","1954 BIRCHALL AVENUE","GARAGE A,B,C,D","2020-03-03T00:00:00.000","Justin","Grossman","Commercial","BRONX","10462","Not an Ejectment","Possession","40.848305","-73.868765","11","15","220","2119362","2040110120","East Tremont"
"67978/19-1","029210","48 ESSEX STREET",,"2020-03-02T00:00:00.000","Gary","Rose","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.683494","-73.883638","5","37","117202","3086602","3039100039","Cypress Hills-City Line"
"21862/19","171764","1075 GRAND CONCOURSE","2F","2019-07-11T00:00:00.000","Alfred","Locascio","Residential","BRONX","10452","Not an Ejectment","Possession","40.831448","-73.920162","4","16","195","2002889","2024720011","West Concourse"
"307280/20","030019","111 BELMONT AVENUE FIRST FL AND PORTION OF BSMT",,"2022-06-24T00:00:00.000","Gary","Rose","Commercial","BROOKLYN","11212","Not an Ejectment","Possession",,,,,,,,
"15294/16","323320","1129 WARD AVENUE","2F","2017-01-24T00:00:00.000","Thomas","Bia","Residential","BRONX","10472","Not an Ejectment","Possession","40.827169","-73.876944","9","18","5002","2023915","2037410066","Soundview-Bruckner"
"98473/14-1","192448","5301 SNYDER AVENUE","C3","2017-01-12T00:00:00.000","Richard","Capuano","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.650304","-73.927150","17","41","862","3102995","3047010038","Rugby-Remsen Village"
"512690/16","151239","67 35TH ST.(BLDG#5) (WEST C-SECTION)",,"2017-03-08T00:00:00.000","Ronald","Pazant","Commercial","BROOKLYN","11232","Ejectment","Possession",,,,,,,,
"90289/16","166664","218 20TH ST. 3RD FLOOR",,"2017-04-12T00:00:00.000","Alfred","Locascio","Residential","BROOKLYN","11232","Not an Ejectment","Possession","40.662390","-73.993663","7","38","145","3009259","3006400028","Sunset Park West"
"312916/22","361679","1718 GRAND AVENUE","C","2023-01-11T00:00:00.000","Thomas","Bia","Residential","BRONX","10453","Not an Ejectment","Possession","40.848971","-73.913696","5","14","217","2008512","2028670103","University Heights-Morris Heights"
"80302/17","080853","1612 MADISON STREET","4A","2018-08-28T00:00:00.000","Henry","Daley","Residential","QUEENS","11385","Not an Ejectment","Possession","40.699011","-73.909176","5","34","553","4541973","4035450006","Ridgewood"
"3337/18","479521","2055 ANTHONY AVENUE","UNIT 6D","2018-08-06T00:00:00.000","Danny","Weinheim","Residential","BRONX","10457","Not an Ejectment","Possession","40.852349","-73.902345","5","15","23502","2013640","2031560027","Mount Hope"
"78666/17","069158","1524 OCEAN AVENUE","4D","2017-11-20T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11230","Not an Ejectment","Possession","40.624836","-73.956235","14","45","762","3180184","3067210062","Midwood"
"26286/17","470458","2224 ADAMS PLACE","15","2018-01-03T00:00:00.000","Danny","Weinheim","Residential","BRONX","10457","Not an Ejectment","Possession","40.852200","-73.889300","6","15","391","2012084","2030710041","Belmont"
"K76016/16","075021","400 WASHINGTON AVENU E","ROOM 3A","2017-01-27T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11238","Not an Ejectment","Possession","40.687047","-73.965598","2","35","197","3055500","3019450045","Clinton Hill"
"300912/22","031049","1971 7TH AVENUE BASEMENT",,"2023-07-06T00:00:00.000","Gary","Rose","Residential","MANHATTAN","10026","Not an Ejectment","Possession",,,,,,,,
"52235/17","10017","32-16 CRESCENT STREET","1B","2018-01-17T00:00:00.000","Edward","Guida","Residential","QUEENS","11106","Not an Ejectment","Possession","40.763266","-73.928586","1","22","53","4006527","4005660001","Astoria"
"52039/17","152887","85 HOLLAND AVENUE","12M","2018-02-14T00:00:00.000","Ronald","Pazant","Residential","STATEN ISLAND","10303","Not an Ejectment","Possession","40.638543","-74.171232","1","49","31902","5109139","5012720011","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"K78363/17","084696","571 MACDONOUGH STREE T","3","2018-03-29T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.683341","-73.923526","3","41","383","3047011","3016730059","Stuyvesant Heights"
"82450/19","103028","650 ROGERS AVENUE","COMMERCIAL SPACE","2020-01-31T00:00:00.000","Justin","Grossman","Commercial","BROOKLYN","11226","Not an Ejectment","Possession","40.655664","-73.953018","9","40","822","3116017","3050560054","Prospect Lefferts Gardens-Wingate"
"74663/17A","070741","1046 CRESCENT STREET","TOP FLOOR","2018-03-07T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.661607","-73.866335","5","42","1220","3392207","3045650025","East New York"
"64702/18","081282","396 ETNA STREET","2ND FLOOR REAR","2018-11-09T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.687925","-73.869232","5","37","118202","3091924","3041220067","Cypress Hills-City Line"
"K099527/17","392245","2305 LINDEN BLVD","3H","2018-07-13T00:00:00.000","Richard","McCoy","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.663970","-73.878121","5","42","1116","3394543","3043380001","East New York"
"303655/22","108189","1875 ATLANTIC AVENUE","8E","2022-06-02T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.677008","-73.922967","3","41","299","3421590","3017130007","Crown Heights North"
"79197/17","169225","101-21 MARTENSE AVE","1F","2018-09-07T00:00:00.000","Alfred","Locascio","Residential","QUEENS","11368","Not an Ejectment","Possession","40.739439","-73.857620","4","21","44301","4430258","4019390051","Corona"
"45798/19","102554","1750 EAST 172ND ST","BASEMENT","2022-09-14T00:00:00.000","Justin","Grossman","Residential","BRONX","10472","Not an Ejectment","Possession","40.832625","-73.868901","9","18","76","2025588","2037840021","West Farms-Bronx River"
"94319/16","200488","731 EAST 8TH STREET","3B","2017-02-15T00:00:00.000","Richard","Capuano","Residential","BROOKLYN","11230","Not an Ejectment","Possession","40.632092","-73.968202","14","40","482","3128217","3054290044","Flatbush"
"2625/17","069901","331 EAST 132ND ST","5E","2017-05-19T00:00:00.000","Henry","Daley","Residential","BRONX","10454","Not an Ejectment","Possession","40.806023","-73.927612","1","8","19","2117112","2022957501","Mott Haven-Port Morris"
"B006433/17","385180","700 ROSEWOOD STREET","3C","2018-05-08T00:00:00.000","Richard","McCoy","Residential","BRONX","10467","Not an Ejectment","Possession","40.873206","-73.866977","12","15","374","2118206","2045960022","Williamsbridge-Olinville"
"18668/18","481965","868 FAILE STREET","35","2019-03-19T00:00:00.000","Danny","Weinheim","Residential","BRONX","10474","Not an Ejectment","Possession","40.818715","-73.887578","2","17","11502","2006459","2027620095","Hunts Point"
"63694/17","072827","1421 BROOKLYN AVENUE","2F","2017-08-15T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.638332","-73.942426","17","45","782","3327270","3050000200","East Flatbush-Farragut"
"18472/18","487535","2333 GRAND AVENUE","1H","2019-02-21T00:00:00.000","Danny","Weinheim","Residential","BRONX","10468","Not an Ejectment","Possession","40.860771","-73.904650","7","14","253","2014559","2032090045","Kingsbridge Heights"
"64677/17","074234","401 EAST 23RD STREET","12R","2018-02-15T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.640229","-73.956178","14","40","51601","3120320","3052090040","Flatbush"
"R 53396/16","068701","93 BUSH AVENUE","MAIN","2017-08-29T00:00:00.000","Steven","Powell","Residential","STATEN ISLAND","10303","Not an Ejectment","Possession","40.634459","-74.159047","1","49","223","5145927","5012260035","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"58464/18","083391","643 CENTRAL AVENUE","1-R","2018-05-30T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.687800","-73.907061","4","37","411","3080003","3034410007","Bushwick South"
"10404/19","353448","55 LASALLE STREET","19A","2019-04-29T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10027","Not an Ejectment","Eviction","40.813100","-73.957997","9","7","211","1084116","1019800001","Morningside Heights"
"321973/22","114485","1002 BUSHWICK AVENUE","1D","2023-02-24T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.691722","-73.922067","4","34","397","3076033","3033210020","Bushwick South"
"0303440/23","006141","319 EAST 78TH STREET","4C","2023-06-22T00:00:00.000","David","Smith","Residential","MANHATTAN","10075","Not an Ejectment","Possession","40.772375","-73.954870","8","5","134","1045242","1014530012","Lenox Hill-Roosevelt Island"
"317095/22","109137","6511 20TH AVENUE",,"2022-12-02T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11204","Not an Ejectment","Possession","40.616384","-73.985988","11","47","256","3134002","3055560006","Bensonhurst West"
"53626/17","024128","390 CASTLETON AVE  AKA 10 HAVENWOOD RD","B2","2018-02-14T00:00:00.000","Gary","Rose","Residential","STATEN ISLAND","10301","Not an Ejectment","Possession","40.633155","-74.095537","1","49","75","5003114","5001280060","New Brighton-Silver Lake"
"307792/23","005810","1975 BIRCHALL AVENUE","4I","2023-08-22T00:00:00.000","David","Smith","Residential","BRONX","10462","Not an Ejectment","Possession","40.848547","-73.868642","11","15","220","2103885","2042530080","East Tremont"
"K86869/16A","094112","595 VERMONT ST","1ST FL APT","2017-04-26T00:00:00.000","Darlene","Barone","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.664588","-73.892008","5","42","1126","3085119","3038250019","East New York (Pennsylvania Ave)"
"B8495/19","118084","1088 ANDERSON AVENUE","2A","2023-08-23T00:00:00.000","Darlene","Barone","Residential","BRONX","10452","Not an Ejectment","Possession","40.834484","-73.925474","4","8","193","2003057","2025050011","Highbridge"
"29693/19","356119","558 EAST 191ST STREET","WE","2019-09-27T00:00:00.000","Thomas","Bia","Residential","BRONX","10458","Not an Ejectment","Possession","40.859610","-73.885781","6","15","397","2016284","2032730321","Belmont"
"51813/17","474477","4769 WHITE PLAINS RO AD","L3","2017-12-14T00:00:00.000","Danny","Weinheim","Residential","BRONX","10470","Not an Ejectment","Possession","40.905240","-73.849534","12","11","414","2071760","2051070003","Woodlawn-Wakefield"
"60744/17","293402","308 E 71 ST","3D","2017-11-21T00:00:00.000","George","Essock","Residential","MANHATTAN","10021","Not an Ejectment","Possession","40.767905","-73.958379","8","5","126","1044850","1014450046","Lenox Hill-Roosevelt Island"
"78860/18","015966","265-17 UNION TURNPIK E  COMMERCIAL SPACE",,"2019-04-24T00:00:00.000","George","Essock, Jr.","Commercial","QUEENS","11040","Not an Ejectment","Possession",,,,,,,,
"307496/21","108181","41-20 53RD STREET","1R","2022-06-30T00:00:00.000","Justin","Grossman","Residential","QUEENS","11377","Not an Ejectment","Possession","40.745204","-73.911373","2","26","25302","4030793","4013150063","Hunters Point-Sunnyside-West Maspeth"
"B35851/18A","110580","4381 BARNES AVENUE","BASEMENT","2019-01-16T00:00:00.000","Darlene","Barone","Residential","BRONX","10466","Not an Ejectment","Possession","40.897245","-73.851914","12","11","434","2069914","2050480008","Woodlawn-Wakefield"
"70664/16A","061401","835 PENFIELD STREET","1ST FLOOR","2017-09-07T00:00:00.000","Justin","Grossman","Residential","BRONX","10470","Not an Ejectment","Possession","40.904215","-73.846443","12","11","442","2072041","2051180135","Woodlawn-Wakefield"
"75523/19","12401","256 60TH STREET - APT #3R","3R","2020-01-21T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11220","Not an Ejectment","Possession","40.642752","-74.021599","7","38","22","3143329","3057800030","Sunset Park West"
"53238/17","002096","2043 NOSTRAND AVE","1ST FL","2017-06-27T00:00:00.000","Vadim","Barbarovich","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.635496","-73.947923","17","45","786","3113955","3050050032","Flatbush"
"52993/18","077435","27 BENTLEY LANE","MAIN APT.","2019-02-14T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10307","Not an Ejectment","Possession","40.509789","-74.248069","3","51","248","5149821","5080480062","Charleston-Richmond Valley-Tottenville"
"58095/16","150558","11308 SUPTHIN BLVD. (2ND FLR.REAR APT.)",,"2017-01-05T00:00:00.000","Ronald","Pazant","Residential","QUEENS","11435","Not an Ejectment","Possession",,,,,,,,
"14256/18","207335","155-23 JEWEL AVENUE","07A","2019-07-17T00:00:00.000","Richard","Capuano","Residential","QUEENS","11367","Not an Ejectment","Possession","40.732183","-73.812406","8","24","122702","4455429","4067920030","Pomonok-Flushing Heights-Hillcrest"
"34860/18","346761","340 BEEKMAN AVENUE","2-E","2019-01-03T00:00:00.000","Thomas","Bia","Residential","BRONX","10454","Not an Ejectment","Possession","40.808813","-73.913820","1","8","33","2003659","2025540010","Mott Haven-Port Morris"
"12447/18BX","079908","2528 CRUGER AVENUE","5F","2018-05-29T00:00:00.000","Justin","Grossman","Residential","BRONX","10467","Not an Ejectment","Possession","40.864030","-73.866373","11","15","330","2051340","2044340014","Bronxdale"
"300212/22","021639","63 FLUSHING AVENUE BLDG.131 SUITE 3S",,"2022-05-20T00:00:00.000","George","Essock, Jr.","Commercial","BROOKLYN","11205","Not an Ejectment","Possession",,,,,,,,
"Q60382/17","079921","216-11 136TH AVENUE","1","2019-06-28T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11413","Not an Ejectment","Possession","40.677815","-73.754475","13","31","358","4279986","4130140003","Laurelton"
"070236/17","080465","253 EAST 142ND ST","6H","2018-03-23T00:00:00.000","Henry","Daley","Residential","BRONX","10451","Not an Ejectment","Possession","40.814815","-73.925145","1","8","51","2127296","2023347501","Mott Haven-Port Morris"
"65981/16-1","198928","702 ROCKAWAY AVENUE","3F","2017-08-17T00:00:00.000","Richard","Capuano","Residential","BROOKLYN","11212","Not an Ejectment","Possession","40.662769","-73.908984","16","41","924","3081941","3035750001","Brownsville"
"18592/19","491490","1985 CRESTON AVENUE","32N","2019-08-15T00:00:00.000","Danny","Weinheim","Residential","BRONX","10453","Not an Ejectment","Possession","40.851002","-73.906428","5","14","241","2007654","2028070022","Mount Hope"
"309834/22","001080","116-16 ROCKAWAY BEACH BLVD.","ROOM 1-01","2023-05-24T00:00:00.000","Charles","Kemp","Residential","QUEENS","11694","Not an Ejectment","Possession","40.579721","-73.837505","14","32","93402","4304452","4162120040","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"95057/17","074543","938 MONTGOMERY ST","3 REAR","2018-02-05T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11216","Not an Ejectment","Possession","40.664444","-73.933504","9","41","355","3038392","3014240015","Crown Heights South"
"052581/17","069944","146 EAST 78TH ST.","4B","2017-04-25T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10075","Not an Ejectment","Possession","40.774153","-73.959119","8","4","140","1000000","1014120052","Upper East Side-Carnegie Hill"
"71814/17","152377","1515 PENNSYLVANIA AVENUE","10A","2017-08-10T00:00:00.000","Ronald","Pazant","Residential","BROOKLYN","11239","Not an Ejectment","Possession","40.645073","-73.878649","5","42","105801","3343603","3044520200","Starrett City"
"67732/17","066130","735 AVENUE W","4","2018-10-01T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11223","Not an Ejectment","Possession","40.593559","-73.962603","15","47","392","3194054","3071590040","Homecrest"
"81094/17","484264","3880 BROADWAY","*","2018-10-12T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10032","Not an Ejectment","Possession","40.837269","-73.942521","12","7","245","1062922","1021220048","Washington Heights South"
"B017922/18","394593","3505 WAYNE AVENUE","1L","2018-08-09T00:00:00.000","Richard","McCoy","Residential","BRONX","10467","Not an Ejectment","Possession","40.880900","-73.877546","7","11","431","2018254","2033440001","Norwood"
