"objectid","wotype","wostatus","wopriority","boroughcode","communityboard","buildingnumber","streetname","locationdetails","actualfinishdate","wocontract","parkname","parkzone","cancelreason","wocategory","sanitationassigneddate","sanitationremovaldate","sanitationupdateddate","wowoodremains","woequipment","zipcode","citycouncil","statesenate","stateassembly","congressional","sanitationzone","physicalid","crossstreet1","crossstreet2","plantingspaceglobalid","treepointglobalid","inspectionglobalid","globalid","sidewalkdamage","wowireconflict","crewglobalid","geometry","closeddate","canceldate","createddate","updateddate","woentity","projstartdate","woproject","recommendedspecies","latitude","longitude","census_tract","bin","bbl","nta","location"
"11360372","Block Pruning","Open",,"Brooklyn","304.0","116","Starr St",,,"BP-B21","Maria Hernandez Park",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"3041B",,,,,,"8547D4CF-B3D3-4602-9C47-24CD11B2D47D","5CB95DAE-6E65-4D0A-BE54-007A612B55F8",,"No Util Conflict Present",,"POINT (-73.9244823007920928 40.7029631268181262)",,,"2020-03-19 21:24:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.92448230079209 40.702963126818126)"
"11098598","Block Pruning","Open",,"Bronx","206.0","*","*","NE SECTION",,"BP-X23","Miracle Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2062A",,,,,,"EF6BA459-350B-475D-A51F-914B6E77AEB4","528516AC-01DE-4ECD-AE63-005410B8A05E",,"No Util Conflict Present",,"POINT (-73.8875991984072868 40.8425703084469873)",,,"2020-02-05 17:50:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.88759919840729 40.84257030844699)"
"19313853","Tree Plant-Park Tree","Pending",,"Queens","412.0","0","0",,,,"Rufus King Park",,,"Tree Planting",,,,"No Wood Debris",,,,,,,"4121C",,,,,,"EF64B6C2-0F46-43B5-846E-F1269BA44505","6D6679EB-CEBB-4A58-AFDD-024D12FFE391",,"No Util Conflict Present",,"POINT (-73.8031975601720092 40.7033172203047613)",,,"2022-10-27 15:04:00.0000000",,"Capital",,,,,,,,,,"POINT (-73.80319756017201 40.70331722030476)"
"11055748","Block Pruning","Open",,"Bronx","201.0","*","*","CENTER, NORTH",,"BP-X23","Brook Park",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2011A",,,,,,"81B244E3-E322-42BC-9FD1-CD167795A0C9","30B12624-8A7A-4D0A-B254-045DFDB874BA",,"No Util Conflict Present",,"POINT (-73.9186431359517258 40.8096739191631457)",,,"2020-01-29 14:18:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.91864313595173 40.809673919163146)"
"11046566","Block Pruning","Open",,"Queens","406.0","WILLOW LAK","WILLOW LAKE PLAYGROUND",,,"BP-Q20","Willow Lake Playground",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"4061E",,,,,,"397C17A0-62F3-4140-9E85-B90F25324BBD","394BC3E1-2633-48FD-95BD-03D9D2F7434B",,"No Util Conflict Present",,"POINT (-73.8370903804216141 40.7223118295121864)",,,"2020-01-28 14:17:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.83709038042161 40.722311829512186)"
"10371642","Block Pruning","Open",,"Bronx","227.0","/","RIVER PARK",,,"BP-X23","Bronx Park",,,"Block Pruning",,,,"No Wood Debris",,,,,,,,,,,,,"FED3D96D-BBE5-4DE4-9D58-4FA1BD3676EC","8579C09D-1024-459F-9F90-0559078E02D7",,"No Util Conflict Present",,"POINT (-73.8775217103897859 40.8432634138010471)",,,"2019-10-22 16:41:00.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.87752171038979 40.84326341380105)"
"17107733","Block Pruning","Open",,"Queens","402.0","59-21","ROOSEVELT AVENUE","1S",,"BP-Q22",,,,"Block Pruning",,,,"No Wood Debris",,"11377.0","26.0","12.0","30.0","14.0","4021C","102611","60 ST","ROOSEVELT AV",,,"2E919421-E901-431E-8C69-A993382B9345","CC0F9E52-A07E-4D04-8A91-063A64484D79",,"No Util Conflict Present",,"POINT (-73.9044432366683139 40.7456459081713760)",,,"2022-03-16 14:04:34.0000000",,"Expense",,,,,,,,,,"POINT (-73.90444323666831 40.745645908171376)"
"10368326","Block Pruning","Open",,"Queens","411.0",,,,,"BP-Q20","Cross Island Parkway",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"4112E",,,,,,"2993BE9C-B8B5-41F4-965D-39629FB9C69C","2BF2D236-02A3-4EAB-B2B1-0628FA5D6DFC",,"No Util Conflict Present",,"POINT (-73.7618927793768364 40.7707939092750991)",,,"2019-08-01 09:27:19.0000000","2019-08-01 13:27:22.0000000","Expense",,,,,,,,,,"POINT (-73.76189277937684 40.7707939092751)"
"19945819","Tree Plant-Park Tree","Open",,"Queens","403.0","91-006","ELMHURST AVENUE","27064",,,,,,"Tree Planting",,,,"No Wood Debris",,"11372.0","21.0","13.0","34.0","6.0","4033E","91792","92 STREET","91 STREET",,,"E278F2CE-BE3E-4D79-8AC5-EC4CF38AFB8D","06405674-FBCF-439F-A4F5-05FBB0F3601F",,"No Util Conflict Present",,"POINT (-73.8755821681487532 40.7495168316972496)",,,"2023-02-24 19:52:00.0000000",,"Permitted",,,,,,,,,,"POINT (-73.87558216814875 40.74951683169725)"
"20005533","Tree Removal","Open","7","Bronx","204.0",,,,,,"Claremont Park",,,"Risk Mitigation",,,,"Unprocessed Wood",,"10457.0","16.0","33.0","77.0","15.0","2043B",,"E MOUNT EDEN AV","MONROE AV",,,"B9CE5696-9C74-4984-AC06-F9D8E3897DFC","C5978AEC-76D7-4878-B1F0-05EB9907C90A",,"No Util Conflict Present",,"POINT (-73.9065437030085803 40.8418938878490678)",,,"2023-03-06 17:51:52.0000000",,"In-House",,,,,,,,,,"POINT (-73.90654370300858 40.84189388784907)"
