"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","consumption_gal"
"AMSTERDAM","MANHATTAN","AMSTERDAM",,"Not Applicable",,"22","530","M002200","FEDERAL","NY005010220P","East River Energy","9678345","2020-02","2020-01-21T00:00:00.000","2020-02-19T00:00:00.000","29","495416050110006-OIL","N","0.00","10000.00"
"AMSTERDAM","MANHATTAN","AMSTERDAM",,"Not Applicable",,"22","530","M002200","FEDERAL","NY005010220P","East River Energy","9678380","2020-05","2020-04-22T00:00:00.000","2020-05-20T00:00:00.000","28","495416050110006-OIL","N","0.00","-10000.00"
"ARMSTRONG I","BROOKLYN","ARMSTRONG I","BLD 10","Not Applicable",,"210","325","K021000","FEDERAL","NY005012100P","East Coast Petroleum, Inc.","9678333","2020-01","2019-12-26T00:00:00.000","2020-01-27T00:00:00.000","32","00248911520-OIL","N","0.00","12134.00"
"ARMSTRONG I","BROOKLYN","ARMSTRONG I","BLD 10","Not Applicable",,"210","325","K021000","FEDERAL","NY005012100P","East Coast Petroleum, Inc.","8522510","2020-01","2020-01-22T00:00:00.000","2020-01-22T00:00:00.000","0","80441","N","9389.91","9000.20"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8572961","2020-01","2020-02-05T00:00:00.000","2020-02-05T00:00:00.000","0","1039","N","16268.36","17002.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8619962","2020-02","2020-02-19T00:00:00.000","2020-02-19T00:00:00.000","0","1039","N","17105.94","17088.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8640424","2020-02","2020-02-27T00:00:00.000","2020-02-28T00:00:00.000","1","1039","N","11263.02","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8640426","2020-02","2020-02-27T00:00:00.000","2020-02-28T00:00:00.000","1","1039","N","11263.02","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8720253","2020-03","2020-03-22T00:00:00.000","2020-03-23T00:00:00.000","1","1039","N","7943.68","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8720257","2020-03","2020-03-22T00:00:00.000","2020-03-23T00:00:00.000","1","1039","N","7943.68","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8791427","2020-03","2020-04-09T00:00:00.000","2020-04-10T00:00:00.000","1","1039","N","8069.54","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8791434","2020-03","2020-04-10T00:00:00.000","2020-04-10T00:00:00.000","0","1039","N","8069.54","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8871011","2020-04","2020-05-05T00:00:00.000","2020-05-06T00:00:00.000","1","1039","N","6379.42","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","8871014","2020-04","2020-05-06T00:00:00.000","2020-05-06T00:00:00.000","0","1039","N","6379.42","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","9465331","2020-10","2020-11-11T00:00:00.000","2020-11-12T00:00:00.000","1","1039","N","8893.72","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","9465335","2020-10","2020-11-12T00:00:00.000","2020-11-12T00:00:00.000","0","1039","N","8893.72","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","9580302","2020-12","2020-12-17T00:00:00.000","2020-12-18T00:00:00.000","1","1039","N","10314.14","11600.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","9687907","2021-01","2021-01-21T00:00:00.000","2021-01-22T00:00:00.000","1","1039","N","17513.92","18320.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","9757509","2021-02","2021-02-15T00:00:00.000","2021-02-16T00:00:00.000","1","1039","N","19596.52","18220.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","9832400","2021-02","2021-03-09T00:00:00.000","2021-03-10T00:00:00.000","1","1039","N","11008.50","10000.00"
"ASTORIA","QUEENS","ASTORIA",,"Not Applicable",,"26","517","Q002600","FEDERAL","NY005000260P","East Coast Petroleum, Inc.","9832405","2021-02","2021-03-10T00:00:00.000","2021-03-10T00:00:00.000","0","1039","N","12769.86","11600.00"
"BERRY","STATEN ISLAND","BERRY",,"Not Applicable",,"52","587","S005200","FEDERAL","NY005000520P","Rucci Oil Company, Inc.","9405191","2020-10","2020-10-16T00:00:00.000","2020-10-16T00:00:00.000","0","14845180","N","6609.77","9008.20"
"BERRY","STATEN ISLAND","BERRY",,"Not Applicable",,"52","587","S005200","FEDERAL","NY005000520P","Rucci Oil Company, Inc.","9678365","2020-03","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","3258910020-OIL","N","0.00","171.00"
"BERRY","STATEN ISLAND","BERRY",,"Not Applicable",,"52","587","S005200","FEDERAL","NY005000520P","Rucci Oil Company, Inc.","9678430","2020-10","2020-09-23T00:00:00.000","2020-10-23T00:00:00.000","30","3258910020-OIL","N","0.00","4.00"
"BOSTON ROAD PLAZA","BRONX","BOSTON ROAD PLAZA","BLD 01","Not Applicable",,"189","304","B018900","FEDERAL","NY005010390P","East Coast Petroleum, Inc.","9678434","2020-11","2020-10-21T00:00:00.000","2020-11-18T00:00:00.000","28","395416167800003-OIL","N","0.00","4000.00"
"BRONX RIVER","BRONX","BRONX RIVER/BRONX RIVER ADDITION",,"Not Applicable",,"32","0","B003200",,,"East Coast Petroleum, Inc.","9678414","2020-09","2020-08-21T00:00:00.000","2020-09-21T00:00:00.000","31","395416121205000-OIL-90.8%","N","0.00","32208.00"
"CARLETON MANOR","QUEENS","CARLETON MANOR",,"Not Applicable",,"164","270","Q016400","FEDERAL","NY005010750P","East Coast Petroleum, Inc.","9678327","2020-01","2019-12-26T00:00:00.000","2020-01-24T00:00:00.000","29","4414642009-OIL","N","0.00","8336.00"
"CLINTON","MANHATTAN","CLINTON",,"Not Applicable",,"123","245","M012300","FEDERAL","NY005001230P","East River Energy","9678448","2020-12","2020-11-18T00:00:00.000","2020-12-22T00:00:00.000","34","495416039703004-OIL","N","0.00","423.00"
"CLINTON","MANHATTAN","CLINTON",,"Not Applicable",,"123","245","M012300","FEDERAL","NY005001230P","East River Energy","9678397","2020-07","2020-06-22T00:00:00.000","2020-07-22T00:00:00.000","30","495416039712005-OIL","N","0.00","300.00"
"CLINTON","MANHATTAN","CLINTON",,"Not Applicable",,"123","245","M012300","FEDERAL","NY005001230P","East River Energy","9678447","2020-12","2020-11-18T00:00:00.000","2020-12-22T00:00:00.000","34","495416039712005-OIL","N","0.00","1708.00"
"COLLEGE AVENUE-EAST 165TH STREET","BRONX","COLLEGE AVENUE-EAST 165TH STREET","BLD 01","Not Applicable","BLD 01","236","351","B023600","FEDERAL","NY005013080P","East Coast Petroleum, Inc.","9678424","2020-10","2020-09-21T00:00:00.000","2020-10-21T00:00:00.000","30","395416116000002-OIL","N","0.00","-4132.00"
"COLLEGE AVENUE-EAST 165TH STREET","BRONX","COLLEGE AVENUE-EAST 165TH STREET","BLD 01","Not Applicable","BLD 01","236","351","B023600","FEDERAL","NY005013080P","East Coast Petroleum, Inc.","9425734","2020-10","2020-10-27T00:00:00.000","2020-10-27T00:00:00.000","0","81583","N","5363.20","8000.00"
"CYPRESS HILLS","BROOKLYN","CYPRESS HILLS",,"Not Applicable",,"70","536","K007000","FEDERAL","NY005010700P","East Coast Petroleum, Inc.","9678354","2020-02","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","0558905000-OIL","N","0.00","11923.00"
"EAST 180TH STREET-MONTEREY AVENUE","BRONX","EAST 180TH STREET-MONTEREY AVENUE",,"Not Applicable",,"208","323","B020800","FEDERAL","NY005012270P","East Coast Petroleum, Inc.","9678406","2020-08","2020-07-22T00:00:00.000","2020-08-21T00:00:00.000","30","395416137000007-OIL","N","0.00","3.00"
