"school_year","busbreakdown_id","run_type","bus_no","route_number","reason","schools_serviced","occurred_on","created_on","boro","bus_company_name","how_long_delayed","number_of_students_on_the_bus","has_contractor_notified_schools","has_contractor_notified_parents","have_you_alerted_opt","informed_on","incident_number","last_updated_on","breakdown_or_running_late","school_age_or_prek"
"2015-2016","1227538","Special Ed AM Run","2621","J711","Heavy Traffic","75003","2015-11-05T08:10:00.000","2015-11-05T08:12:00.000","New Jersey","RELIANT TRANS, INC. (B232",,"11","Yes","No","Yes","2015-11-05T08:12:00.000",,"2015-11-05T08:12:14.000","Running Late","School-Age"
"2015-2016","1227539","Special Ed AM Run","1260","M351","Heavy Traffic","06716","2015-11-05T08:10:00.000","2015-11-05T08:12:00.000","Manhattan","HOYT TRANSPORTATION CORP.","20MNS","2","Yes","Yes","No","2015-11-05T08:12:00.000",,"2015-11-05T08:13:34.000","Running Late","School-Age"
"2015-2016","1227540","Pre-K/EI","418","3","Heavy Traffic","C445","2015-11-05T08:09:00.000","2015-11-05T08:13:00.000","Bronx","G.V.C., LTD.","15MIN","8","Yes","Yes","Yes","2015-11-05T08:13:00.000",,"2015-11-05T08:13:22.000","Running Late","Pre-K"
"2015-2016","1227541","Special Ed AM Run","4522","M271","Heavy Traffic","02699","2015-11-05T08:12:00.000","2015-11-05T08:14:00.000","Manhattan","RELIANT TRANS, INC. (B232","15 MIN","6","No","No","No","2015-11-05T08:14:00.000",,"2015-11-05T08:14:04.000","Running Late","School-Age"
"2015-2016","1227542","Special Ed AM Run","3124","M373","Heavy Traffic","02116","2015-11-05T08:13:00.000","2015-11-05T08:14:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"6","No","No","No","2015-11-05T08:14:00.000",,"2015-11-05T08:14:08.000","Running Late","School-Age"
"2015-2016","1227543","Special Ed AM Run","HT1502","W796","Heavy Traffic","75407","2015-11-05T07:58:00.000","2015-11-05T08:14:00.000","Westchester","CHILDREN`S TRANS INC. (B2","30 min","1","Yes","Yes","Yes","2015-11-05T08:14:00.000",,"2015-11-05T08:14:15.000","Running Late","School-Age"
"2015-2016","1227544","Special Ed AM Run","142","W633","Heavy Traffic","75670","2015-11-05T08:24:00.000","2015-11-05T08:15:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","20MINS","3","Yes","No","No","2015-11-05T08:15:00.000",,"2015-11-05T08:16:53.000","Running Late","School-Age"
"2015-2016","1227545","Special Ed AM Run","1417","M678","Heavy Traffic","03417","2015-11-05T08:15:00.000","2015-11-05T08:16:00.000","Manhattan","LEESEL TRANSP CORP (B2192","15","3","Yes","Yes","No","2015-11-05T08:16:00.000",,"2015-11-05T08:16:22.000","Running Late","School-Age"
"2015-2016","1227546","Special Ed AM Run","56102","M126","Heavy Traffic","01450","2015-11-05T07:55:00.000","2015-11-05T08:17:00.000","Manhattan","CONSOLIDATED BUS TRANS. I","30 mins","5","Yes","Yes","Yes","2015-11-05T08:17:00.000",,"2015-11-05T08:17:07.000","Running Late","School-Age"
"2015-2016","1227547","Special Ed AM Run","1344","M922","Heavy Traffic","02930","2015-11-05T08:16:00.000","2015-11-05T08:17:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","3","Yes","Yes","No","2015-11-05T08:17:00.000",,"2015-11-05T08:17:03.000","Running Late","School-Age"
"2015-2016","1227551","Special Ed AM Run","1358","M490","Heavy Traffic","03004","2015-11-05T08:19:00.000","2015-11-05T08:20:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","3","Yes","Yes","No","2015-11-05T08:20:00.000",,"2015-11-05T08:20:09.000","Running Late","School-Age"
"2015-2016","1227553","Pre-K/EI","899","10","Heavy Traffic","C601","2015-11-05T08:19:00.000","2015-11-05T08:20:00.000","Bronx","G.V.C., LTD.","30 MINS","13","Yes","Yes","No","2015-11-05T08:20:00.000",,"2015-11-05T08:20:42.000","Running Late","Pre-K"
"2015-2016","1227554","Special Ed AM Run","600","P877","Heavy Traffic","24008","2015-11-05T08:18:00.000","2015-11-05T08:20:00.000","Brooklyn","HAPPY CHILD TRANS LLC (B2","30 MIN","4","Yes","No","No","2015-11-05T08:20:00.000",,"2015-11-05T08:20:56.000","Running Late","School-Age"
"2015-2016","1227555","Special Ed AM Run","GT1482","U901","Heavy Traffic","75661","2015-11-05T08:01:00.000","2015-11-05T08:22:00.000","Rockland County","DON THOMAS BUSES, INC. (B","15 MIN","1","Yes","Yes","Yes","2015-11-05T08:22:00.000",,"2015-11-05T08:22:01.000","Running Late","School-Age"
"2015-2016","1227556","Special Ed AM Run","855","N588","Heavy Traffic","75911","2015-11-05T08:20:00.000","2015-11-05T08:22:00.000","Nassau County","LOGAN BUS COMPANY INC.","40 MIIN","2","Yes","Yes","No","2015-11-05T08:22:00.000",,"2015-11-05T08:22:53.000","Running Late","School-Age"
"2015-2016","1227557","Special Ed AM Run","EL 1005","W991","Heavy Traffic","75716","2015-11-05T08:22:00.000","2015-11-05T08:24:00.000","Westchester","ALL COUNTY BUS LLC (B2321","10 min","3","Yes","No","No","2015-11-05T08:24:00.000",,"2015-11-05T08:24:53.000","Running Late","School-Age"
"2015-2016","1227558","Special Ed AM Run","2052","L524","Flat Tire","17246","2015-11-05T08:22:00.000","2015-11-05T08:25:00.000",,"RELIANT TRANS, INC. (B232",,"4","Yes","Yes","Yes","2015-11-05T08:25:00.000",,"2015-11-05T08:25:11.000","Running Late","School-Age"
"2015-2016","1227560","Special Ed AM Run","1205","P662","Heavy Traffic","29059","2015-11-05T06:45:00.000","2015-11-05T08:26:00.000",,"ACME BUS CORP. (B2321)","15 min","0","Yes","Yes","Yes","2015-11-05T08:26:00.000",,"2015-11-05T08:26:22.000","Running Late","School-Age"
"2015-2016","1227561","Special Ed AM Run","2508","L531","Heavy Traffic","13009","2015-11-05T08:25:00.000","2015-11-05T08:26:00.000","Bronx","RELIANT TRANS, INC. (B232",,"4","No","No","No","2015-11-05T08:26:00.000",,"2015-11-05T08:26:54.000","Running Late","School-Age"
"2015-2016","1227564","Pre-K/EI","340","8","Heavy Traffic","C353","2015-11-05T08:28:00.000","2015-11-05T08:30:00.000","Bronx","G.V.C., LTD.","10MIN","5","Yes","Yes","Yes","2015-11-05T08:30:00.000",,"2015-11-05T08:30:28.000","Running Late","Pre-K"
"2015-2016","1227565","Special Ed AM Run","631","P464","Heavy Traffic","28908","2015-11-05T08:20:00.000","2015-11-05T08:30:00.000","Queens","MUTUAL BUS CORP. (B2321)","20 min","0","Yes","No","No","2015-11-05T08:30:00.000",,"2015-11-05T08:30:48.000","Running Late","School-Age"
"2015-2016","1224901","Pre-K/EI","811","1","Other","C353","2015-10-26T08:30:00.000","2015-10-26T08:40:00.000","Bronx","G.V.C., LTD.","10MINUTES","5","Yes","Yes","No","2015-10-26T08:40:00.000",,"2015-10-26T08:40:39.000","Running Late","Pre-K"
"2015-2016","1227077","General Ed AM Run","2675","X2189","Other","10095","2015-11-04T07:04:00.000","2015-11-04T07:11:00.000","Bronx","GRANDPA`S BUS CO., INC.",,"0","Yes","Yes","No","2015-11-04T07:11:00.000",,"2015-11-04T07:11:53.000","Breakdown","School-Age"
"2015-2016","1227394","Pre-K/EI","1015","1B","Heavy Traffic","C814","2015-11-05T07:12:00.000","2015-11-05T07:14:00.000","Bronx","G.V.C., LTD.","30 MINS","2","Yes","Yes","No","2015-11-05T07:14:00.000",,"2015-11-05T07:14:52.000","Running Late","Pre-K"
"2015-2016","1227566","Special Ed AM Run","2413","M935","Heavy Traffic","03004","2015-11-05T08:30:00.000","2015-11-05T08:31:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"0","Yes","Yes","Yes","2015-11-05T08:31:00.000",,"2015-11-05T08:31:31.000","Running Late","School-Age"
"2015-2016","1227567","General Ed AM Run","27704","M1227","Heavy Traffic","02267","2015-11-05T20:20:00.000","2015-11-05T08:33:00.000","Manhattan","SNT BUS INC","10/15 mins","0","Yes","No","No","2015-11-05T08:33:00.000",,"2015-11-05T08:35:03.000","Running Late","School-Age"
"2015-2016","1227570","Pre-K/EI","30","NYD2","Other","C421","2015-11-05T08:20:00.000","2015-11-05T08:35:00.000","Queens","ALINA SERVICES CORP.","15","15","Yes","Yes","No","2015-11-05T08:35:00.000",,"2015-11-05T08:35:21.000","Running Late","Pre-K"
"2015-2016","1227571","Special Ed AM Run","5","M673","Heavy Traffic","03494,03417,03802","2015-11-05T08:29:00.000","2015-11-05T08:36:00.000","Manhattan","CAREFUL BUS","60 MIN","5","Yes","No","No","2015-11-05T08:36:00.000",,"2015-11-05T08:36:13.000","Running Late","School-Age"
"2015-2016","1227574","General Ed AM Run","1256","Q2506","Heavy Traffic","25154","2015-11-05T08:15:00.000","2015-11-05T08:36:00.000","Queens","LORISSA BUS SERVICE INC.","20 mins","10","Yes","No","No","2015-11-05T08:36:00.000",,"2015-11-05T08:36:57.000","Running Late","School-Age"
"2015-2016","1227575","Special Ed AM Run","2486","M291","Heavy Traffic","03491","2015-11-05T08:37:00.000","2015-11-05T08:38:00.000","Manhattan","RELIANT TRANS, INC. (B232","35 MIN","7","No","No","No","2015-11-05T08:38:00.000",,"2015-11-05T08:38:36.000","Running Late","School-Age"
"2015-2016","1227577","Special Ed AM Run","116D","P515","Won`t Start","30300","2015-11-05T08:35:00.000","2015-11-05T08:39:00.000","Queens","LOGAN BUS COMPANY INC.",,"5","Yes","Yes","No","2015-11-05T08:39:00.000",,"2015-11-05T08:39:56.000","Breakdown","School-Age"
"2015-2016","1227579","Pre-K/EI","12491","B0108B","Heavy Traffic","C925","2015-11-05T08:35:00.000","2015-11-05T08:40:00.000","Brooklyn","MJT BUS","15-20 mins","0","Yes","No","Yes","2015-11-05T08:40:00.000",,"2015-11-05T08:40:50.000","Running Late","Pre-K"
"2015-2016","1227580","Special Ed AM Run","68","W615","Heavy Traffic","75404","2015-11-05T08:37:00.000","2015-11-05T08:40:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","15 mins","4","Yes","Yes","No","2015-11-05T08:40:00.000",,"2015-11-05T08:42:28.000","Running Late","School-Age"
