"bin","borough","zip","house_num","street_name","block","lot","confirmation_num","reporting_year","tank_num","inspection_by_firm","inspection_performed","inspection_date","gi_req_internal_structure","gi_result_internal_structure","gi_req_external_structure","gi_result_external_structure","gi_req_overflow_pipes","gi_result_overflow_pipes","gi_req_access_ladders","gi_result_access_ladders","gi_req_air_vents","gi_result_air_vents","gi_req_roof_access","gi_result_roof_access","si_req_sediment","si_result_sediment","si_req_biological_growth","si_result_biological_growth","si_req_debris_insects","si_result_debris_insects","si_req_rodent_bird","si_result_rodent_bird","sample_collected","lab_name","nys_certified","analytes","coliform","ecoli","meet_standards","deleted","latitude","longitude","community_board","council_district","census_tract","bbl","nta","batch_date"
"1026842","MANHATTAN","10019","423","WEST 55 STREET","01065","0012","WTI6234317609","2022","1","ISSEKS BROS INC","Y","12/04/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.766993","-73.987531","4","3","139","1010650012","Clinton","2023-08-25T12:15:43.000"
"1016083","MANHATTAN","10003","13","east 16 street","00844","7503","WTI9851969309","2015","1","THE METRO GROUP INC.","Y","12/15/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","THE METRO GROUP INC","Y","B","A","A",,"No","40.737149","-73.992199","5","2","52","1008447503","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:15.000"
"1041128","MANHATTAN","10065","27","East 65th Street","01380","0023","WTI7522966681","2016","1","Isseks Bros Inc","Y","05/11/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.767255","-73.968441","8","4","122","1013800023","Upper East Side-Carnegie Hill","2023-08-25T12:15:16.000"
"1015793","MANHATTAN","10001","12","W 31st St","832","53","WTI9332093574","2020","1","Rosenwach Tank Co. LLC","Y","10/09/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.746838","-73.986683","5","4","76","1008320053","Midtown-Midtown South","2023-08-25T12:15:36.000"
"2015493","BRONX","10463","124","GALE PLACE","3252","340","WTI4639345640","2017","1","Rosenwach Tank Co. LLC","Y","06/29/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.884999","-73.892977","8","11","281","2032520340","Van Cortlandt Village","2023-08-25T12:15:18.000"
"1014497","MANHATTAN","10018","257","W 39 ST","00789","0009","WTI3787254558","2020","1","ISSEKS BROS INC","Y","08/31/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.754798","-73.98989","5","3","113","1007890009","Midtown-Midtown South","2023-08-25T12:15:31.000"
"1034253","MANHATTAN","10036","560","5 AVENUE","1261","41","WTI6409817239","2018","1","Rosenwach Tank Co. LLC","Y","12/17/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.756087","-73.979408","5","4","96","1012610041","Midtown-Midtown South","2023-08-25T12:15:29.000"
"1017088","MANHATTAN","10016","50","East 34th Street","00863","0053","WTI5182376542","2022","1","Rosenwach Tank Co. LLC","Y","11/18/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.747584","-73.98255","5","2","74","1008630053","Midtown-Midtown South","2023-08-25T12:15:43.000"
"1035747","MANHATTAN","10022","535","MADISON AVENUE","1290","21","WTI5225070410","2019","3","Rosenwach Tank Co. LLC","Y","06/05/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.760354","-73.973454","5","4","102","1012900021","Midtown-Midtown South","2023-08-25T12:15:38.000"
"1031370","MANHATTAN","10024","1","West 85th Street","01199","0029","WTI1342724129","2022","2","Americ","Y","11/16/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.784797","-73.970256","7","6","169","1011990029","Upper West Side","2023-08-25T12:15:41.000"
