"permitno","expiration_date","companyname","city","state","zipcode","issuedate","permitprintdate","permittype","location","validdates","validtimes","platestate","reason","purpose","conditionrestrictions"
"1","2007-09-03T00:00:00.000","LINCOLN CENTER FOR THE PERFORMING ARTS","NEW YORK","NY","10023","2007-07-12T00:00:00.000","2007-07-12T00:00:00.000","SPECIAL PARKING PERMIT","WEST 62 ST. BET. COLUMBUS & AMSTERDAM AVES - INNER ROADWAY","JULY 23, 2007 - SEPTEMBER 3, 2007","8:00AM - MIDNIGHT","NY","SPECIAL REQUEST","LOADING & UNLOADING EQUIPMENTS","MAY PARK FOR THE DURATION OF ALL PERFORMANCES IN: ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS."
"2","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-03T00:00:00.000","2007-08-03T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NY","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES;  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS."
"3","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-03T00:00:00.000","2007-08-03T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NY","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES;  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"4","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-03T00:00:00.000","2007-08-03T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NJ","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"5","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-03T00:00:00.000","2007-08-03T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NY","OFFICIAL CITY BUSINESS","SCHOOL EMROLLMENT","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"6","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-03T00:00:00.000","2007-08-03T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NY","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"7","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-03T00:00:00.000","2007-08-03T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NJ","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"8","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-03T00:00:00.000","2007-08-03T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NY","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"9","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-06T00:00:00.000","2007-08-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:30PM)","NY","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  AND AT METERS"
"10","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-06T00:00:00.000","2007-08-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NJ","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  AND AT METERS"
