"record_id","certificate_number","business_name","violation_date","industry","borough","charge","charge_count","outcome","counts_settled","counts_guilty","counts_not_guilty","building_number","street","street_2","unit_type","unit","description","city","state","zip","longitude","latitude"
"25377-2018-ENFO","05426509","PRODUCE PLUS, INC.","2018-05-07T00:00:00.000","Stoop Line Stand - 033","Queens","6 RCNY § 2-70.2(A) - STOOP LINE STAND IS NOT ENCLOSED AT BOTH ENDS and IN FRONT OF A FENCE OE PARTITION CONSTRUCTED OF WOOD OR SOME OTHER RIGHT MATERIAL","1","Hearing Decision",,"1",,"15705","LINDEN BLVD",,,,,"JAMAICA","NY","11434","-73.79025088802977","40.687794103073436"
"14735-2018-ENFO","70044575","FLATLAND GROCERY INC","2018-03-10T00:00:00.000","Tobacco Retail Dealer","Brooklyn","NY Pub Health § 1399-CC(2) - SOLD TOBACCO PRODUCTS TO PERSON UNDER 18 YEARS OF AGE","1","Pleaded","1",,,"5401","FLATLANDS AVE",,,,,"BROOKLYN","NY","11234","-73.92388072050908","40.62865908479255"
"45266-2016-ENFO","05396387","A.T.A. TOWING, INC.","2016-07-08T00:00:00.000","Tow Truck Company - 124","Queens","NYC Admin Code § 20-516 - BUSINESS FAILED TO PRODUCE REQUIRED RECORDS FOR INSPECTION","1","Settlement (Pre-Hearing)","1",,,"5354","VAN DAM ST",,,,,"LONG ISLAND CITY","NY","11101","-73.93777799556192","40.734651363600506"
"12811-2019-ENFO","05438345","AVENUE 24 LAUNDRY INC.","2019-02-27T00:00:00.000","Laundries","Queens","6 RCNY § 2-134(a)(4)(i) - BUSINESS FAILS TO POST COMPLAINT AND REFUND SIGN PROMINENTLY AND CONSPICUOUSLY","1","Pleaded","1",,,"2703","24TH AVE",,,,,"ASTORIA","NY","11102","-73.9176419355796","40.77388586276478"
"20610-2015-ENFO","70025950","SHEHAB DELI CORP","2015-04-12T00:00:00.000","Cigarette Retail Dealer - 127","Bronx","6 RCNY § 1-14 - DID NOT ANSWER N/O/H OR SUBPOENA","1",,,,,"4124","BRONXWOOD AVE",,,,,"BRONX","NY","10466","-73.85267562443383","40.88964538895697"
"57253-2018-ENFO","05433770","TIBBS STATIONERY, INC","2018-11-16T00:00:00.000","Electronic Cigarette Dealer","Queens","NYC Admin Code § 20-561(a)(1) - BUSINESS ENGAGES IN UNLICENSED ELECTRONIC CIGARETTE RETAIL DEALER ACTIVITY","1","Hearing Decision",,"1",,"11217","LINDEN BLVD",,,,,"SOUTH OZONE PARK","NY","11420","-73.82559733277215","40.677230810614525"
"4558-2013-CMPL","05340011","BROADWAY FRESH MARKET INC","2014-02-11T00:00:00.000","Stoop Line Stand - 033","Brooklyn","6 RCNY § 1-03 -  DCA COMPLAINT SIGN NOT POSTED AT ALL","1","Decision Dismissed",,"1",,"295","BROADWAY",,"STE","A",,"BROOKLYN","NY","11211","-73.9581634100463","40.70852772519715"
"57374-2016-ENFO","05398071","PETER'S TIRE & WHEEL INC.","2016-08-31T00:00:00.000","Secondhand Dealer [General] - 006","Brooklyn","NYC Admin Code § 20-708 - STORE DID NOT CONSPICUOUSLY DISPLAY THE TOTAL SELLING PRICE, AT POINT OF DISPLAY, FOR ITEM.","1","Pleaded","1",,,"1796","LINDEN BLVD",,,,,"BROOKLYN","NY","11207","-73.8959620071251","40.65778684793685"
"71283-2022-ENFO","22M02539","CHLOE GARAGE LLC","2022-12-02T00:00:00.000","Garage - 049","Manhattan","6 RCNY § 2-161(h)(1) - PARKING LOT/GARAGE FAILS TO POST REQUIRED 'CAPACITY FULL' SIGN AT EACH PUBLIC ENTRANCE WHEN THE GARAGE HAS REACHED MAXIMUM CAPACITY","1","Pleaded","1",,,"330","E 75TH ST",,,,,"NEW YORK","NY","10021","-77.51985440209214","40.11248899966763"
"4540-2023-ENFO","23X00126","MCDAVE 1738 INC.","2023-01-25T00:00:00.000","Tobacco Retail Dealer","Bronx","NYC Admin Code § 20-202(a)(1) - BUSINESS ENGAGES IN UNLICENSED TOBACCO RETAIL DEALER ACTIVITY","1","Pleaded","1",,,"2290","TILLOTSON AVE",,,,,"BRONX","NY","10475","-77.51985395467564","40.11248932213364"
"56526-2019-ENFO","05450332","GLEASON FOOD AND VEGETABLES INC","2019-11-04T00:00:00.000","Grocery-Retail - 808","Bronx","NYC Admin Code § 20-708 - TOTAL SELLING PRICE NOT SHOWN","1","Pleaded","1",,,"1889","GLEASON AVE",,,,,"BRONX","NY","10472","-73.86196695794975","40.83046461817381"
"8536-2014-ENFO","05340893","LVL GROUP, INC","2014-02-06T00:00:00.000","Pawnbroker - 080","Queens","6 RCNY § 1-14 - DID NOT ANSWER N/O/H OR SUBPOENA","1","Default Decision",,"1",,"24809","JERICHO TPKE",,,,,"BELLEROSE","NY","11426","-73.71779213612074","40.72615120089028"
"52142-2022-ENFO","22T03548","LUIS & CHRISTIAN CANDY STORE CORP.","2022-09-13T00:00:00.000","Electronic Cigarette Dealer","Bronx","NY Pub Health § 1399-MM1(2) - Selling or offering for sale a flavored vapor product intended or reasonably expected to be used for the consumption of nicotine.","1","Default Decision",,,"1","2625","GRAND CONCOURSE",,,,,"BRONX","NY","10468","-77.5198541978183","40.112489266315"
"2023-2017-CMPL","05411331","QUALITY DELI INC","2017-06-07T00:00:00.000","Grocery-Retail - 808","Brooklyn","6 RCNY § 5-41 - Business engaged in deceptive trade practice by collecting sales tax on a non-taxable good or service.","2","Pleaded","2",,,"1872","FULTON ST",,,,,"BROOKLYN","NY","11233","-73.92466326725277","40.67902910609545"
"32850-2021-ENFO","21Q00753","RIGHT HERE CO., INC.","2021-09-13T00:00:00.000","Misc Non-Food Retail - 817","Queens","NYC Admin Code § 16-329(c) - BUSINESS POSSESSES, OFFERS FOR USE, OR SELLS SINGLE-SERVICE ARTICLES MADE OF POLYSTYRENE FOAM","1","Pleaded","1",,,"136-87","ROOSEVELT AVE",,,,,"FLUSHING","NY","11354","-77.5198539417013","40.11248898592904"
"8843-2019-ENFO","05435236","ERIKA T. MORENO","2019-02-05T00:00:00.000","Tobacco Retail Dealer","Brooklyn","NYC Admin Code § 20-202(a)(1) - BUSINESS ENGAGES IN UNLICENSED TOBACCO RETAIL ACTIVITY.","1","Default Decision",,"1",,"411","NEW LOTS AVE",,,,,"BROOKLYN","NY","11207","-73.89248781790297","40.66211491882478"
"29292-2018-ENFO","05429746","BROADWAY GROCERY & NEWS STAND INC.","2018-08-16T00:00:00.000","Tobacco Retail Dealer","Brooklyn","NYC Admin Code § 20-202(a)(1) - UNLICENSED TOBACCO RETAIL DEALER","1","Hearing Decision",,"1",,"267","BROADWAY",,,,,"BROOKLYN","NY","11211","-73.95898560719395","40.708818966017475"
"77441-2016-ENFO","05394684","AA NORTHERN BLVD 99 UP INC","2016-12-07T00:00:00.000","Misc Non-Food Retail - 817","Queens","6 RCNY § 5-41 - Business engaged in deceptive trade practice by collecting sales tax on a non-taxable good or service.","1","Pleaded","1",,,"8309","NORTHERN BLVD",,,,,"JACKSON HEIGHTS","NY","11372","-73.88424797456025","40.75568420432056"
"67366-2022-ENFO","22T04415","ZOOYORK EXOTICZ, INC.","2022-11-16T00:00:00.000","Electronic Cigarette Dealer","Bronx","NYC Admin Code § 20-561(a)(1) - BUSINESS ENGAGES IN UNLICENSED ELECTRONIC CIGARETTE RETAIL DEALER ACTIVITY","1","Default Decision",,"1",,"3386","BOSTON RD",,,,,"BRONX","NY","10469","-77.51985404183813","40.11248929887887"
"59387-2018-ENFO","05433004","LA MEXICANISIMA CORP","2018-11-21T00:00:00.000","Grocery-Retail - 808","Staten Island","1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT","1","Pleaded","1",,,"1118","CASTLETON AVE",,,,,"STATEN ISLAND","NY","10310","-74.11993345087443","40.634317170237246"
"74067-2022-ENFO","22T05006","B K NEWS INC.","2022-12-21T00:00:00.000","Electronic Cigarette Dealer","Manhattan","NYC Admin Code § 17-706(a-1) - SOLD E-CIGARETTES TO A PERSON UNDER 21 YEARS OF AGE","1","Default Decision",,"1",,"90","WILLIAM ST",,"FRNT","4",,"NEW YORK","NY","10038","-77.5198545778444","40.11248882337898"
"8261-2015-ENFO","06006380","JASMINE ESPINAL","2015-02-18T00:00:00.000","Tax Preparers - 891","Brooklyn","6 RCNY § 5-66(c)(1)(v) - BUSINESS DOES NOT REPRESENT TAXPAYERS AT ANY AUDIT AND DOES NOT POST SIGN DISCLOSING THIS INFORMATION","1","Settlement (Pre-Hearing)","1",,,"687","BROADWAY",,,,,"BROOKLYN","NY","11206","-73.94367652394395","40.70178863975334"
"579-2014-LEGL","00467313","MARCO SANCHEZ","2014-03-31T00:00:00.000","Home Improvement Salesperson - 101","Queens","6 RCNY § 2-221(a)(5) - NO OR IMPROPER BOND INFORMATION","1","Settlement (Pre-Hearing)","1",,,,,,,,,"JAMAICA","NY","11435",,
"56182-2017-ENFO","05414196","ADAM'S DELI & CONVENIENCE, INC.","2017-09-07T00:00:00.000","Grocery-Retail - 808","Manhattan","NYC Admin Code § 20-708 - STORE DID NOT CONSPICUOUSLY DISPLAY THE TOTAL SELLING PRICE, AT POINT OF DISPLAY, FOR ITEM.","2","Pleaded","2",,,"418","E 14TH ST",,,,,"NEW YORK","NY","10009","-73.98149392599353","40.73091460725788"
"55964-2019-ENFO","05446641","HAPPY NAIL PRO INC","2019-10-28T00:00:00.000","Salons And Barbershop - 841","Queens","6 RCNY § 5-70(a) - PRICE LIST STATES MINIMUM CHARGE FOR SERVICES BUT DOES NOT STATE THE CONDITIONS OR VARIATIONS THAT ALTER THE MINIMUM PRICE AND THE RANGE OF ADDITIONAL CHARGES","1","Default Decision",,"1",,"21712","MERRICK BLVD",,,,,"LAURELTON","NY","11413","-73.75208747444813","40.679923030763725"
"43021-2014-ENFO","70022045","KING OF ROCKAWAY DELI & GROCERY INC","2014-07-17T00:00:00.000","Cigarette Retail Dealer - 127","Queens","NY Pub Health § 1399-CC(2) - SOLD TOBACCO PRODUCTS TO PERSON UNDER 18 YEARS OF AGE","1","Settlement (Pre-Hearing)","1",,,"14221","ROCKAWAY BLVD",,,,,"JAMAICA","NY","11436","-73.79798726310732","40.67406482976271"
"16061-2015-CMPL","05387125","AM1 GROCERY CORP.","2015-11-10T00:00:00.000","Stoop Line Stand - 033","Brooklyn","6 RCNY § 2-70.2(A) - OBSERVED LICENSEE USING  BOXES (CRATES/STACKS OF BOXES/ETC.) FOR SALE PLACED DIRECTLY ON THE PUBLIC SIDEWALK AND OBSTRUCTING THE PUBLIC SIDEWALK","31","Default Decision",,"31",,"5724","5TH AVE",,,,,"BROOKLYN","NY","11220","-74.01459321819834","40.641010197256996"
"23695-2021-ENFO","21T01979","ORGANIC R US DELI CORP","2021-08-16T00:00:00.000","Electronic Cigarette Dealer","Queens","NYC Admin Code § 17-715(b) - SOLD, OFFERED FOR SALE, OR POSSESSED WITH INTENT TO SELL OR OFFER FOR SALE FLAVORED ELECTRONIC CIGARETTE OR E-LIQUID","20","Default Decision",,"20",,"5907","MYRTLE AVE",,,,,"RIDGEWOOD","NY","11385","-77.51985419173057","40.11248881421789"
"3570-2022-ENFO","22X00036","2220 ONE WAY DELI GROCERY CORP","2022-01-24T00:00:00.000","Grocery-Retail - 808","Bronx","NYC Admin Code § 20-691(a) - CASH REGISTERS DO NOT HAVE COSTS INDICATORS VISIBLE TO CUSTOMERS","1","Default Decision",,"1",,"2218","OLINVILLE AVE",,"#","2220",,"BRONX","NY","10467","-77.51985410216716","40.11248925069028"
"59406-2015-ENFO","05385936","2009 CAROLINA DELI GROCERY CORP.","2015-10-19T00:00:00.000","Grocery-Retail - 808","Queens","6 RCNY § 5-24(b) - BUSINESS IMPOSES LIMITATIONS ON THE USE OF CREDIT CARDS BUT DOES NOT DISCLOSE THOSE LIMITATIONS.","1","Pleaded","1",,,"4302","58TH ST",,,,,"WOODSIDE","NY","11377","-73.9072000694585","40.74310383624379"
"22736-2022-ENFO","22T01734","IN AND OUT DELI GRILL CORP","2022-05-05T00:00:00.000","Tobacco Retail Dealer","Brooklyn","24 RCNY § 13-03(b) - SELLING OR OFFERING FOR SALE A CIGAR OR PACKAGE OF CIGARS FOR LESS THAN THE CIGAR PRICE FLOOR OF $8.00 FOR THE FIRST CIGAR, PLUS $1.75 FOR EACH ADDITIONAL CIGAR, EXCLUDING OTP AND SALES TAX","1","Pleaded","1",,,"2328","MERMAID AVE",,,,,"BROOKLYN","NY","11224","-77.51985449701942","40.11248846272954"
