"vms","main_roadway","direction","cross_street","borough","borocode","borocd","coundist","assemdist","stsendist","congdist","type","owner","femafldz","femafldt","hrcevac","latitude","longitude","the_geom"
"607","West Shore Expwy (440)","SB","Arden Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.560699","-74.199708","POINT (-74.199708 40.560699)"
"0","Flatbush Ave","N/B","Aviator RD","Brooklyn","3","356","46","59","19","8","Portable/Fixed","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD","2","40.590146","-73.900833","POINT (-73.900833 40.590146)"
"113","Major Deegan Expressway (I-87)","SB","Heath Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.86841","-73.908516","POINT (-73.908516 40.86841)"
"0","Long Island Expwy","EB","172 St/Exits 25-26","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R10",,,,"40.738076","-73.797778","POINT (-73.797778 40.738076)"
"516","Grand Central Parkway (907M)","WB","Jewel Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.725795","-73.837556","POINT (-73.837556 40.725795)"
"0","Manhattan Br South Upper Rdwy","EB","Manhattan Tower South","Manhattan","1","103","1","65","26","7","Gantry","NYC DOT -VMS","AE",,"0","40.708871","-73.991377","POINT (-73.991377 40.708871)"
"0","Cross Island Pkwy","WB","Hillside Ave","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R10",,,,"40.733891","-73.722617","POINT (-73.722617 40.733891)"
"0","Williamsburg Br Entrance Ramp","WB","Entrance Ramp from BQE West Bound","Brooklyn","3","301","34","53","18","7","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD","4","40.711975","-73.955033","POINT (-73.955033 40.711975)"
"531","Van Wyck Expressway (I-678)","NB","Rockaway Blvd.","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.674373","-73.80141","POINT (-73.80141 40.674373)"
"406","West Street / West Side Hwy (9A)","NB","45th Street","Manhattan","1",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.76356","-73.998885","POINT (-73.998885 40.76356)"
"0","FDR Drive","S/B","Battery Park Underpass","Manhattan","1","101","1","65","26","10","Fixed","NYC DOT -VMS","AE",,"1","40.701528","-74.011978","POINT (-74.011978 40.701528)"
"905","Hutchinson River Expressway (I-678)","NB","Senger Place","Bronx","2",,,,,,"Travel Time","NYS DOT -R11",,,,"40.820954","-73.835828","POINT (-73.835828 40.820954)"
"205","Brooklyn Queens Expressway (I-278)","EB","Leonard Street","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.717436","-73.948245","POINT (-73.948245 40.717436)"
"206","Brooklyn Queens Expressway (I-278)","EB","Koscuiszko Bridge - Temp Removed","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.727161","-73.929513","POINT (-73.929513 40.727161)"
"541","Long Island Expressway (I-495)","WB","188th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.741356","-73.785875","POINT (-73.785875 40.741356)"
"522","Long Island Expressway (I-495)","WB","48th Street/Lower Lvl","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.73221","-73.919041","POINT (-73.919041 40.73221)"
"107","Cross Bronx Expressway (I-95)","NB","West of Park Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.844285","-73.902111","POINT (-73.902111 40.844285)"
"912","Grand Central Parkway (907M)","EB","at Union Turnpike","Queens","4",,,,,,"Travel Time","NYS DOT -R11",,,,"40.734528","-73.743891","POINT (-73.743891 40.734528)"
"0","FDR Drive","SB","10 st Overpass","Manhattan","1","103","2","74","27","7","Gantry","NYC DOT -VMS","AE",,"1","40.724098","-73.973399","POINT (-73.973399 40.724098)"
