"dbn","school_name","location_type","total_guidance_counselors","total_gc","total_sw","full_time_gc","full_time_sw","part_time_gc","part_time_sw","bilingual_gc","bilingual_sw","gc_serving_more_than_one","sw_serving_more_than_one","high_needs_gc","high_needs_sw","bridging_the_gap","school_response_clinician","single_shepherd","learning_to_work","school_psychologist_providing","cbo_partner_for_mental_health","_2020_21_sy_enrollment","ratio_gc_sw","ratio_gc_only","ratio_sw_only"
"19K935","M.S. 935","Junior High-Intermediate-Middle","New school and small enrollment","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","no","false","false","false","false","false","no","97","na - see note in column D","na - see note in column D","na - see note in column D"
"01M015","P.S. 015 Roberto Clemente","Elementary","1.6","0.0","1.6","0.0","1.6","0.0","0.0","0.0","0.0","0.0","0.0","false","no","false","false","false","false","false","P2L: Pathways to Leadership, Inc.","193","121","193","121"
"01M019","P.S. 019 Asher Levy","Elementary","1.4","1.0","0.4","1.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","false","no","false","false","false","false","false","no","212","151","212","212"
"01M020","P.S. 020 Anna Silver","Elementary","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","false","no","false","false","false","false","false","no","412","206","412","412"
"01M034","P.S. 034 Franklin D. Roosevelt","K-8","2.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","no","false","false","false","false","false","no","273","137","137","273"
"01M063","The STAR Academy - P.S.63","Elementary","1.3","1.0","0.3","1.0","0.3","0.0","0.0","0.0","1.0","0.0","0.0","false","no","false","false","false","false","false","no","208","160","208","208"
"01M064","P.S. 064 Robert Simon","Elementary","1.3","1.0","0.3","1.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","false","no","false","false","false","false","false","no","220","165","220","220"
"01M110","P.S. 110 Florence Nightingale","Elementary","1.4","1.0","0.4","1.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","false","no","false","false","false","false","false","no","373","266","373","373"
"01M134","P.S. 134 Henrietta Szold","Elementary","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","false","no","false","false","false","false","false","no","217","109","217","217"
"01M140","P.S. 140 Nathan Straus","K-8","2.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","false","no","false","false","false","false","false","no","358","179","179","358"
"01M142","P.S. 142 Amalia Castro","Elementary","2.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","false","no","false","false","false","false","false","no","317","159","317","159"
"01M184","P.S. 184 Shuang Wen","K-8","3.4","2.0","1.4","2.0","1.4","0.0","0.0","0.0","0.0","0.0","0.0","false","ARPA funded","false","false","false","false","false","no","721","212","361","515"
