"job_number","filing_type_name","filing_number","filing_status_name","permit_number","filing_date","permit_issued_date","permit_expiration_date","laasign_off_date","work_type_name","location_bin","location_house_no","location_street_name","location_borough_name","proposed_work_summary","building_type_name","inspection_type_name","inspection_date","latitude","longitude","zip_code","community_board","council_district","census_tract","nta"
"M00136944","New Job Filing","I1","Signed off","M00136944-I1-LA","2019-03-01T00:00:00.000","2019-03-01T00:00:00.000","2020-03-01T00:00:00.000","2019-04-02T00:00:00.000","Water Plumbing Work","1048072","107","EAST   88 STREET","MANHATTAN","INSTALL (2) DOMESTIC COLD WATER BOOSTER PUMPS IN CELLAR & RUN AAPROXIMATELY 10 feet OF 2 inches AND 10 feet OF 1 1/2 inches COPPER PIPE AND FITTINGS.","Other",,"2019-03-31T00:00:00.000","40.781277","-73.955745","10128","8","4","14802","Upper East Side-Carnegie Hill"
"B00294242","New Job Filing","I1","Signed off","B00294242-I1-LA","2020-01-09T00:00:00.000","2020-01-09T00:00:00.000","2021-01-09T00:00:00.000","2020-03-01T00:00:00.000","Water Plumbing Work","3168515","169","BAY   14 STREET","BROOKLYN","IN APARTMENT 3F ON THE 3RD FLOOR, REPLACE ON EXISTING ROUGHING (1) TOILET, (1) LAV, (1) BATHTUB & (1) RESIDENTIAL KITCHEN SINK.","Other","Pass-Final","2020-02-28T00:00:00.000","40.605502","-74.0094","11214","11","43","174","Bath Beach"
"S00294489","PAA","P3","Approved",,"2020-10-14T00:00:00.000",,,,"Gas Plumbing Work","5000129","252","RICHMOND TERRACE","STATEN ISLAND","Superseding application no. 510075650.   Oil to gas conversion.  Replace one boiler.  Boiler vents through existing chimney.  Install approx. 25 feet of 1 1/4 inches gas piping.  No fire stoppings were compromised.  Chimney letter attached with plumber feets seal.  Register two replacement hot water heaters, which vent through existing chimney.","Other",,,"40.647449","-74.08146","10301","1","49","7","West New Brighton-New Brighton-St. George"
"Q00393542","PAA","P1","Pre-Filing",,,,,,"Gas Plumbing Work","4208955","88-12","161 STREET","QUEENS","Filing to remove ECB violations 35515716X, 35445889N, 35445888L, 3544589K,& 35445891M.  At cel remove illegal kit sink, gas stove. Remove & cap illegal waste & water piping at cel and remove illegal gas lines at cel.  Also reg/rep blr & hwh.  Test ext gas meter in cel supplying gas usage for blr & hw in cel. Blr and hwh will be vented thru ext lined chimney which is in good condition. Firestopping will not be compromised.","Other",,,"40.707768","-73.800825","11432","12","24","44602","Jamaica"
"B00227823","New Job Filing","I1","Permitted","B00227823-I1-LA","2019-09-17T00:00:00.000","2019-09-17T00:00:00.000","2020-11-30T00:00:00.000",,"Gas Plumbing Work","3173817","1518","EAST    7 STREET","BROOKLYN","Test gas line to locate leaks. Utility closed gas. Register/replacement of boiler model # GXH 250Z 252000 BTU input mea #25-96-E and 1 AO smith hot water heater model PGC 75 300  75100 BTU input Csa 4.3-2013 no fire stopping to be compromised.","1 Family",,,"40.613704","-73.967094","11230","12","44","440","Ocean Parkway South"
"M00763355","New Job Filing","I1","Permitted","M00763355-I1-LA","2022-06-23T00:00:00.000","2022-06-23T00:00:00.000","2023-02-25T00:00:00.000",,"Water Plumbing Work","1032551","711","AMSTERDAM AVENUE","MANHATTAN","ON THE 6TH FLOOR IN APT 6C, REPLACE ON EXISITING ROUGHING (1) KITCHEN SINK, (1) DISHWASHER, & (1) STOVE. GAS VALVE NOT TO BE TOUCHED. FIRESTOPS WILL NOT BE COMPROMISED.","Other",,,"40.793032","-73.971097","10025","7","6","181","Upper West Side"
"B-00617071","New Job Filing","EWN","Expired",,"2021-10-25T00:00:00.000",,"2021-10-27T00:00:00.000",,,"3130664","1600","55 STREET","BROOKLYN","INSTALLATION OF A TEMPORARY MOBILE BOILER (NYC #20000202584N0001) OUTSIDE THE BUILDING TO PROVIDE TEMPORARY HEAT AND HOT WATER--MOBILE BOILER- WEIL MCLAIN MODEL #1488, CSA#-112973, 4,340,000(INPUT), 3,709,000(OUTPUT). ELECTRICAL WORK PERMIT WAS FILED UNDER DOB APPLICATION B00617054",,,,"40.627449","-73.988648","11204","12","44","470","Borough Park"
"B00424359","Subsequent Filing","S1","Permitted","B00424359-S1-LA","2021-02-22T00:00:00.000","2021-02-22T00:00:00.000","2022-02-22T00:00:00.000",,"Gas Plumbing Work","3002712","101","ATLANTIC AVENUE","BROOKLYN","Direct replacement of one (1) gas boiler with one (Burnham IN-10 gas boiler with 315,000 BTU INPUT) Connecting unit to existing gas line and gas meter in cellar . Chimney lined with terra cotta and in good condition.Venting unit to existing chimney to roof.","Other",,,"40.690961","-73.996917","11201","2","33","7","Brooklyn Heights-Cobble Hill"
"X-00143292","New Job Filing","EWN","Pre-Filing",,,,,,,"2064074","829","EAST  229 STREET","BRONX","Con Ed shut off gas to 2 meters for 2 cooking on first and second floors and one gas fired water heater in basement. Will test for leaks",,,,"40.889402","-73.855016","10466","12","12","422","Williamsbridge-Olinville"
"Q08022829","New Job Filing","I1","Signed off","Q08022829-I1-LA","2022-11-02T00:00:00.000","2022-11-02T00:00:00.000","2023-05-27T00:00:00.000","2022-11-22T00:00:00.000","Gas Plumbing Work","4023766","23-39","95 STREET","QUEENS","DUE TO LEAK & GAS SHUTDOWN REPLACE METER BAR FOR EXISTING METER IN BASEMENT & REPLACE APPROX 30 feet OF 3/4 inches GAS PIPE TO THE EXISTING 1ST FL STOVE. METER IS FOR 1ST FL COOKING ONLY. FIRESTOPS WILL BE RESTORED. PIPE THRU APTS & NOT IN HALLWAYS","2 Family","Pass-Final","2022-11-21T00:00:00.000","40.766994","-73.874943","11369","3","21","357","East Elmhurst"
"Q08043038","New Job Filing","I1","Permitted","Q08043038-I1-LA","2022-11-21T00:00:00.000","2022-11-21T00:00:00.000","2023-10-16T00:00:00.000",,"Gas Plumbing Work","4224137","193-05","NERO AVENUE","QUEENS","IN THE CELL WE WILL REG/REPL 1-GAS BL & 1-GAS HWH VENTING THRU EXSTG CHIMNEY IN GOOD WORKING CONDITION. WE WILL REPLACE APROX. 40 feet OF 1 inches & 30 feet OF 3/4 inches GAS PIPING IN THE CEL & 1ST FLR & REPLACE THE GAS APPLIANCE VALVE & FLEX FOR THE EXSTG GAS STOVE ON THE 1ST FLR ALSO IN THE CEL WE WILL REG/REPL 1-GAS DRYER VENTING THRU THE WALL. FIRESTOP WILL NOT BE COMPROMISED. EXISTING GAS METER IN THE CEL. 1-FAM HOUSE PER COQ 81374 (ATTACHED W/DPL-1).","1 Family",,,"40.721544","-73.772832","11423","8","23","476","Jamaica Estates-Holliswood"
