"extract_run_date","randomized_id","closed_year","case_type","days_from_received_date_to","re_opened","ever_on_da_hold","outcome_path","case_disposition","borough_of_incident","patrol_borough_of_incident","stop_question_frisk_complaint"
"2018-05-25T00:00:00.000","1","2000","CCRB","80","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","2","2000","CCRB","391","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan South","true"
"2018-05-25T00:00:00.000","3","2000","CCRB","193","false","false","Mediated","Mediated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","4","2000","CCRB","412","false","false","Full Investigation","Unfounded","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","5","2000","CCRB","394","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","6","2000","CCRB","498","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","7","2000","CCRB","363","false","false","Full Investigation","Officer(s) Unidentified","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","8","2000","CCRB","119","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","true"
"2018-05-25T00:00:00.000","9","2000","CCRB","459","false","false","Full Investigation","Exonerated","Brooklyn","Brooklyn North","true"
"2018-05-25T00:00:00.000","10","2000","CCRB","228","false","false","Full Investigation","Officer(s) Unidentified","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","11","2000","CCRB","151","false","false","Truncated","Complainant Uncooperative","Queens","Other","false"
"2018-05-25T00:00:00.000","12","2000","CCRB","403","false","false","Full Investigation","Exonerated","Queens","Queens North","true"
"2018-05-25T00:00:00.000","13","2000","CCRB","149","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","14","2000","CCRB","186","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","15","2000","CCRB","98","false","false","Truncated","Complainant Unavailable","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","16","2000","CCRB","114","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","true"
"2018-05-25T00:00:00.000","17","2000","CCRB","202","false","false","Full Investigation","Substantiated (Instructions)","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","18","2000","CCRB","171","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","true"
"2018-05-25T00:00:00.000","19","2000","CCRB","58","false","false","Other","Duplicate - CCRB","Queens","Other","false"
"2018-05-25T00:00:00.000","20","2000","CCRB","113","false","false","Truncated","Complaint Withdrawn","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","21","2000","CCRB","73","false","false","Truncated","Complaint Withdrawn","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","22","2000","CCRB","295","false","false","Full Investigation","Unfounded","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","23","2000","CCRB","103","false","false","Truncated","Complaint Withdrawn","Queens","Queens North","false"
"2018-05-25T00:00:00.000","24","2000","CCRB","114","false","false","Truncated","Complainant Unavailable","Brooklyn","Brooklyn North","true"
"2018-05-25T00:00:00.000","25","2000","CCRB","266","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","26","2000","CCRB","137","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan North","true"
"2018-05-25T00:00:00.000","27","2000","CCRB","577","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","28","2000","CCRB","111","false","false","Truncated","Complaint Withdrawn","Manhattan","Brooklyn North","false"
"2018-05-25T00:00:00.000","29","2000","CCRB","230","false","false","Full Investigation","Unfounded","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","30","2000","CCRB","269","false","false","Truncated","Complainant Uncooperative","Manhattan","Other","false"
"2018-05-25T00:00:00.000","31","2000","CCRB","217","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","32","2000","CCRB","427","false","false","Full Investigation","Exonerated","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","33","2000","CCRB","151","false","false","Truncated","Complainant Uncooperative","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","34","2000","CCRB","197","false","false","Truncated","Complainant Uncooperative","Queens","Queens North","false"
"2018-05-25T00:00:00.000","35","2000","CCRB","138","false","false","Full Investigation","Unsubstantiated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","36","2000","CCRB","412","false","false","Full Investigation","Officer(s) Unidentified","Queens","Queens North","false"
"2018-05-25T00:00:00.000","37","2000","CCRB","189","false","false","Full Investigation","Officer(s) Unidentified","Bronx","Bronx","true"
"2018-05-25T00:00:00.000","38","2000","CCRB","109","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","39","2000","CCRB","169","true","false","Full Investigation","Substantiated (Charges)","Queens","Queens South","false"
"2018-05-25T00:00:00.000","40","2000","CCRB","215","false","false","Full Investigation","Unsubstantiated","Queens","Queens South","false"
"2018-05-25T00:00:00.000","41","2000","CCRB","101","false","false","Truncated","Complainant Unavailable","Bronx","Other","false"
"2018-05-25T00:00:00.000","42","2000","CCRB","118","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","43","2000","CCRB","293","false","false","Full Investigation","Unfounded","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","44","2000","CCRB","272","false","false","Other","Miscellaneous","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","45","2000","CCRB","185","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","46","2000","CCRB","103","false","false","Full Investigation","Exonerated",,"Other","true"
"2018-05-25T00:00:00.000","47","2000","CCRB","250","false","false","Mediation Attempted","Mediation Attempted","Queens","Queens North","true"
"2018-05-25T00:00:00.000","48","2000","CCRB","111","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","49","2000","CCRB","80","false","false","Truncated","Complaint Withdrawn","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","50","2000","CCRB","345","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","51","2000","CCRB","233","false","false","Full Investigation","Exonerated","Bronx","Bronx","false"
