"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location_point1"
"50118136","TOMO21 SUSHI","Manhattan","172","THOMPSON STREET","10012","2127779346",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.727711642194","-74.000256165478","102","01","006500","1084919","1005250035","MN23",
"50138726",,"Queens","6405","WOODSIDE AVE","11377","5162096187",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.743994513961","-73.900684435518","402","26","026100","4000000","4012967501","QN63",
"50135848","CINQUE RESTAURANT INC","Manhattan","133","MULBERRY STREET","10013","3475284671",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.718448032288","-73.997759766673","102","01","004100","1003081","1002367503","MN24",
"50139674",,"Brooklyn","2726","MERMAID AVENUE","11224","9296104546",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.575639719264","-73.993614099751","313","47","034200","3329338","3070530001","BK21",
"50116794","Lamonte","Brooklyn","557","DRIGGS AVENUE","11211","3474133984",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.716869832063","-73.956592450934","301","33","051900","3062109","3023290008","BK73",
"50122334","ZEST  LOUNGE","Queens","12414","101ST AVE","11419","7188100539",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.691185421875","-73.821601208777","409","29","015600","4200740","4094910007","QN54",
"50131279",,"Manhattan","355","WEST   36 STREET","10018","3238280096",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.754124341544","-73.994037270226","104","03","011100","1013589","1007600010","MN13",
"50105586","Lena's Italian Kitchen","Manhattan","1167","2 AVENUE","10065","5162860433",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.76213879279","-73.963233813411","108","04","011000","1043796","1014160024","MN31",
"50128558","CANTO CAFE","Manhattan","117","PERRY STREET","10014","3152573473",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.735053697447","-74.006632172242","102","03","007500","1011871","1006330038","MN23",
"50105541","LA JACARANDA","Manhattan","354","BOWERY","10012","2817989211",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.726651863404","-73.991712637877","102","01","005502","1008519","1005317503","MN23",
"41155141","PAULS BAKERY","Bronx","4374","WHITE PLAINS ROAD","10466","7183245608","Bakery Products/Desserts","2021-07-21T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","2021-07-21T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.897780364234","-73.854811493094","212","11","043400","2069875","2050460013","BX62",
"50137900","FELIPE RODRIGUEZ","Queens","9312","LIBERTY AVE","11417","9176006896",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.680191802916","-73.845649841124","410","32","005400","4190996","4091620006","QN56",
"50141048",,"Brooklyn","169","58 STREET","11220","9293347204",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.645078033368","-74.022402828775","307","38","002200","3015573","3008440047","BK32",
"50135213","BROOKLYN HIGH LOW","Brooklyn","69","7 AVENUE","11217","6469155401",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.675308460089","-73.974868717786","306","39","015900","3024476","3010610004","BK37",
"50136213","ABDUL BATIN","Manhattan","17","WEST  125 STREET","10027","3478445060",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.806691545191","-73.942911804528","110","09","020000","1053503","1017230023","MN11",
"50122424","ADMIRAL'S CLUB","Queens",,"TERMINAL B","11371","7184065129",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,,,,,,,,,
"50138204",,"Manhattan","20","HUDSON YARDS","10001","9496692262",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.753037571144","-74.000281528635","104","03","009900","1088961","1007027501","MN13",
"50130109","CHICK-FIL-A","Manhattan","918","8 AVENUE","10019","4047021127",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.765069487037","-73.984061867439","105","03","013700","1000000","1010260055","MN17",
"50111961","BROOKLAN","Brooklyn","339","TROUTMAN STREET","11237","3304753887",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.705234377085","-73.924189854003","304","34","044700","3072389","3031760001","BK77",
"50104755","FLIK INTERNATIONAL CORP.","Manhattan","599","LEXINGTON AVENUE","10022","7043285090",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.758268177392","-73.971054408587","106","04","010000","1036467","1013070023","MN19",
"50139469",,"Manhattan","399","PARK AVENUE","10022","6462355033",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.759533805392","-73.972245055827","105","04","010000","1071457","1013087502","MN19",
"50136105","AMZ JFK27 EBC","Manhattan","424","5 AVENUE","10018","7043285184",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.751049055485","-73.982664852255","105","04","008400","1016004","1008400042","MN17",
"41569764","BACCHUS","Brooklyn","409411","ATLANTIC AVENUE",,"7188521572","French","2022-11-28T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","11","A","2022-11-28T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","0","0",,,,,"3",,
"50111460","PINAS LOCAS QUETZALY","Bronx","3500","JEROME AVENUE","10467","3478363937",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.882950562156","-73.881041392031","207","11","043100","2017790","2033280008","BX43",
"50119602","PRAGA TAPAS BAR","Queens","6310","BROADWAY","11377","3475320681",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.749927302214","-73.899091128905","402","26","026100","4027523","4012030057","QN63",
"50105902","NEIGHBORHOOD GOODS","Manhattan","75","9 AVENUE","10011","9726855078",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.741869040229","-74.004713006739","104","03","008300","1012541","1007130001","MN13",
"50127866","SOMM TIME","Manhattan","254","BROOME STREET","10002","2127722011",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.718044134176","-73.989964104324","103","01","001800","1005297","1004090033","MN27",
"50111153","ZAZZY'S PIZZA/ INNOCENT YESTERDAY GUILTY TODAY","Manhattan","252","EAST   77 STREET","10075","2129397230",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.77245969275","-73.957094026218","108","04","013400","1044077","1014310028","MN31",
"50121432",,"0","N/A","N/A","N/A","6462440901",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,,,,,,,,,
"50107221","GENEROSA BAR","Brooklyn","3412","FULTON STREET","11208","3476973875",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.684319718483","-73.869787036268","305","37","118400","3092914","3041490026","BK83",
"50135616","MUGLAI INDIAN CUISINE","Manhattan","489","COLUMBUS AVENUE","10024","9172173738",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.784868158785","-73.973339442992","107","06","016900","1031246","1011970064","MN12",
"50108139","NHA MINH","Queens","915","WYCKOFF AVENUE","11385","9176745706",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.696932055198","-73.906441938733","405","34","055300","4085562","4035490004","QN20",
"50125384","TASTE OF CHINA","Queens","6841","MYRTLE AVE","11385","7186285797",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.701728085215","-73.883468636992","405","30","062500","4089583","4036830046","QN19",
"50132843","KEBAYA","Manhattan","20","EAST   17 STREET","10003","2126410401",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.737433253626","-73.991090630942","105","02","005200","1016090","1008447502","MN13",
"50117245","AVRILILILLYS CREAMERY","Manhattan","1610","AMSTERDAM AVENUE","10031","9172166012",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.821683991927","-73.95021176663","109","07","022500","1061736","1020710030","MN04",
"50099117","TACOMBI","Brooklyn","242","METROPOLITAN AVENUE","11211","7185993496","Tex-Mex","2021-08-24T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2023-08-27T06:00:09.000","Administrative Miscellaneous / Initial Inspection","40.715067668149","-73.959742782664","301","34","055300","3062464","3023660016","BK73",
"50121165",,"Queens","5326","ROOSEVELT AVE","11377","9172134511",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.744552070576","-73.911178230278","402","26","025100","4030924","4013220074","QN63",
"50111982","KENNEDY FRIED CHICKEN","Bronx","1051","OGDEN AVENUE","10452","7182932932","Chicken","2023-02-06T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2023-08-27T06:00:09.000","Trans Fat / Initial Inspection","40.834594736415","-73.92844708891","204","16","019300","2003478","2025260034","BX26",
