"id","reservation_date","franchisee","status","installation_date","pole_type","borough","x_coord","y_coord","latitude","longitude","zone","on_street","cross_street_1","cross_street_2","park_advisory","historic_advisory","scenic_landmark_advisory","bid_advisory","school_advisory","zipcode","community_board","council_district"
"27934","2023-08-03T00:00:00.000","DEP","Proposed",,"CITY","Bronx","1008198.2400000","231982.1000000","40.8033807","-73.9134977","C","East 138th St","Bruckner Blvd","Willow Ave",,,,,,"10454","201","17"
"27829","2023-06-16T00:00:00.000","Crown Castle Fiber","Proposed",,"UTILITY","Staten_Island","941321.9000000","143093.5000000","40.5593304","-74.1544922","B","Barlow Ave","Giffords Ln","Stieg Ave",,,,,,"10308","503","51"
"27828","2023-06-16T00:00:00.000","Crown Castle Fiber","Proposed",,"UTILITY","Bronx","1040712.4400000","259503.5000000","40.8787708","-73.7958232","B","Shore Rd","Orchard Beach Rd","Roosevelt Ave","Pelham Bay Park",,,,,"10464","228","13"
"27827","2023-06-16T00:00:00.000","Crown Castle Fiber","Proposed",,"UTILITY","Queens","1020461.0000000","208818.0000000","40.7397596","-73.8693288","B","52nd Ave","94th St","92nd Street",,,,,,"11373","404","25"
"27825","2023-06-07T00:00:00.000","NY SMSA","Approved",,"UTILITY","Staten_Island","961211.0000000","166200.0000000","40.6228271","-74.0829930","B","Gordon Street","Warren Street","Broad Street",,,,,,"10304","501","49"
"27792","2023-05-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","962834.4500000","164248.0000000","40.6174733","-74.0771387","B","Park Hill Circle","Park Hill Lane","Park Hill Lane",,,,,,"10304","501","49"
"27692","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1056677.0000000","184145.0000000","40.6718159","-73.7389055","B","233rd Street","137th Avenue","135th Avenue",,,,,,"11413","413","31"
"27691","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1056290.0000000","182692.0000000","40.6678309","-73.7403161","B","139th Avenue","234th Street","233rd Street",,,,,,"11422","413","31"
"27690","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1059090.0000000","183290.0000000","40.6694491","-73.7302163","B","246th Street","136th Street","135th Road",,,,,,"11422","413","31"
"27689","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1058138.0000000","182959.0000000","40.6685486","-73.7336517","B","243rd Street","137th Street","138th Street",,,,,,"11422","413","31"
"27688","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1058712.8400000","177806.0000000","40.6544000","-73.7316365","B","148th Road","257th Street","259th Street",,,,,,"11422","413","31"
"27687","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1057550.3100000","176259.9200000","40.6501660","-73.7358430","B","254th Street","Craft Avenue","149th Drive",,,,,,"11422","413","31"
"27686","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1057884.0000000","178931.0000000","40.6574948","-73.7346113","B","147th Avenue","Weller Lane","Weller Lane",,,,,,"11422","413","31"
"27685","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1059295.7500000","178258.7200000","40.6556377","-73.7295307","B","147th Drive","259th Street","Francis Lewis Boulevard",,,,,,"11422","413","31"
"27684","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1059157.0000000","176978.0000000","40.6521236","-73.7300449","B","149th Rd","259th Stree","259th Street",,,,,,"11422","413","31"
"27683","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1037135.0000000","183372.0000000","40.6698325","-73.8093589","B","130th Street","133rd Street","135th Street",,,,,,"11420","410","28"
"27682","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1038718.0000000","184145.0000000","40.6719446","-73.8036462","B","135th Street","Sutter Avenue","131st Avenue",,,,,,"11420","410","28"
"27681","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1038726.0000000","183134.0000000","40.6691696","-73.8036256","B","135th Street","133rd Street","131st Street",,,,,,"11420","410","28"
"27680","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Queens","1038214.0000000","183714.0000000","40.6707647","-73.8054666","B","133rd Street","131st Avenue","Sutter Ave",,,,,,"11420","410","28"
"27679","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Bronx","1028160.0000000","243743.0000000","40.8355844","-73.8413179","B","Waterbury Avenue","Seabury Ave","Commerce Ave",,,,,,"10461","210","13"
"27678","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Bronx","1027845.0000000","244211.0000000","40.8368704","-73.8424532","B","Seabury Ave","Rowe Street","Halsey Street",,,,,,"10461","210","13"
