"agency","beginning_of_reporting_period","end_of_reporting_period","people_served","applications_distributed","applications_sent_to_boe","staff_trained","agency_weblink_to_nyc_votes","web_clicks"
"Aging","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","96","33","500","Y","30"
"Business Integrity Commission","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","1","0","5","Y","6"
"Children's Services","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","3080","84","211","Y","812"
"City Planning","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","0","0","5","Y","22"
"Citywide Administrative Services","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","39","0","7","Y","319"
"Civilian Complaint Review Board","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","1600","0","11","Y","NA"
"Consumer Affairs","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","16330","56","15","Y","69"
"Correction","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","889","889","38","Y","16"
"Cultural Affairs","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","30","0","8","Y","23"
"DORIS","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","13","2","3","Y","7"
"Environmental Protection","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","4899","39","2","Y","NA"
"Finance","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","15945","0","4","Y","1437"
"Fire","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","10","10","11","Y","45"
"Health and Mental Hygiene","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","1314","20","12","Y","230"
"Homeless Services","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","2949","74","0","Y","44"
"Housing Preservation and Development","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","NA","NA","0","Y","168"
"Human Resources Administration","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","1861198","9198","1883","Y","114"
"Human Rights Commission","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","397","0","36","N","0"
"Parks and Recreation","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","43905","0","15","Y","64"
"Probation","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","2176","0","15","Y","446"
"Small Business Services","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","83","10","50","Y","40"
"Taxi and Limousine","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","35120","0","605","Y","1296"
"Transportation","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","7573","114","15","Y","1493"
"Youth and Community Development","2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","NA","13991","1248","282","Y","27"
"Aging","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","30000","98","42","500","Y","NA"
"Business Integrity Commission","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","1258","2","0","6","Y","3"
"Children's Services","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","30000","896","44","1900","Y","599"
"City Planning","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","10","10","0","0","Y","0"
"Citywide Administrative Services","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","4683","0","0","0","Y","960"
"Civilian Complaint Review Board","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","5000","1500","0","10","Y","NA"
"Consumer Affairs","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","48339","11867","45","10","Y","57"
"Correction","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","NA","0","0","0","Y","NA"
"Cultural Affairs","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","10800","0","0","2","Y","6"
"DORIS","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","8","5","3","2","Y","NA"
"Environmental Protection","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","24955","6967","48","2","Y","22"
"Finance","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","17745","17745","0","0","Y","1924"
"Fire","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","62337","5","5","11","Y","45"
"Health and Mental Hygiene","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","NA","1421","0","8","Y","97"
"Homeless Services","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","NA","1154","2","NA","Y","17"
"Housing Preservation and Development","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","30000","NA","0","NA","Y","155"
"Human Resources Administration","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","1792776","318690","1210","325","Y","3"
"Human Rights Commission","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","708","31","0","0","Y","8"
"Parks and Recreation","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","1800000","NA","0","0","Y","108"
"Probation","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","2361","80","0","15","Y","63"
"Small Business Services","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","58040","182","15","50","Y","NA"
"Taxi and Limousine","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","48188","30","0","605","Y","988"
"Transportation","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","22899","8888","0","51","Y","1568"
"Youth and Community Development","2018-01-01T00:00:00.000","2018-06-30T00:00:00.000","15930","4400","1210","117","Y","0"
"Aging","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","30000","107","37","500","Y","NA"
"Business Integrity Commission","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","873","0","0","6","Y","5"
"Children's Services","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","30000","286","44","348","Y","86"
"City Planning","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","NA","5","0","0","Y","0"
"Citywide Administrative Services","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","4523","0","0","0","Y","2103"
"Civilian Complaint Review Board","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","4000","24","0","1","Y","NA"
"Consumer Affairs","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","56044","20548","34","7","Y","53"
"Correction","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","NA","NA","NA","NA","Y","NA"
"Cultural Affairs","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","10800","0","0","4","Y","6"
"DORIS","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","10","10","7","2","Y","NA"
"Environmental Protection","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","21927","9254","34","1","Y","22"
"Finance","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","NA","655","0","0","Y","0"
"Fire","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","56285","8","3","27","Y","47"
"Health and Mental Hygiene","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","NA","1382","23","14","Y","NA"
"Homeless Services","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","NA","707","109","NA","Y","51"
"Housing Preservation and Development","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","31000","NA","0","NA","Y","20"
"Human Resources Administration","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","1857848","503941","7469","567","Y","NA"
"Human Rights Commission","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","668","668","0","0","Y","13"
"Parks and Recreation","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","1800000","95000","0","40","Y","90"
"Probation","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","2327","65","0","15","Y","84"
