"projectid","buildingid","reportingconstructiontype","boroid","block","lot","bin","housenumber","streetname","countedrentalunits","countedhomeownershipunits","allcountedunits","totalbuildingunits","basesquarefootage","stories","bbl","community_board_cb","council_district","census_tract","nta","latitude","longitude","postcode"
"44218","987329","New Construction",,"1790","1","1054691","2319","3 AVENUE","297","0","297","404","35436","19","1017900046","11","8","242","MN34","40.804265","-73.935390","10035"
"44223","927737","New Construction",,"1556","3","3000000","335","RALPH AVENUE","0","13","13","13","1989","7","3015560003","3","41","301","BK79","40.677644","-73.921745","11233"
"44223","969695","New Construction",,"1709","10","3000000","35","ROCHESTER AVENUE","0","8","8","8","1720","4","3017090010","3","36","299","BK61","40.677925","-73.927466","11233"
"44223","975702","New Construction",,"1709","27","3000000","18-22","SUYDAM PLACE","0","15","15","15","2778","4","3017090027","3","36","299","BK61","40.677823","-73.926554","11233"
"44223","977564","New Construction",,"1556","8",,"329/331","RALPH AVENUE","0","10","10","10","2925","5",,,,,,,,
"44230","336111","New Construction",,"7014","53","3000000","2427","MERMAID AVENUE","2","1","3","3","2451","3","3070140053","13","47","326","BK21","40.575896","-73.991490","11224"
"44230","336151","New Construction",,"7048","6","3000000","3216","MERMAID AVENUE","2","1","3","3","3135","3","3070480006","13","47","342","BK21","40.575062","-73.998834","11224"
"44230","394346","New Construction",,"7021","16","3425388","2816","WEST 16 STREET","2","1","3","3","3825","3","3070210016","13","47","326","BK21","40.578440","-73.984045","11224"
"44230","927137","New Construction",,"7014","52","3188890","2425","MERMAID AVENUE","2","1","3","3","2881","3","3070140052","13","47","326","BK21","40.575896","-73.991476","11224"
"44230","967108","New Construction",,"6978","22","3413785","3566","CANAL AVENUE","2","1","3","3","2881","3","3069780022","13","47","330","BK21","40.579028","-74.002380","11224"
"44230","967109","New Construction",,"7021","17","3425387","2818","WEST 16 STREET","2","1","3","3","3825","3","3070210017","13","47","326","BK21","40.578407","-73.984038","11224"
"44230","967127","New Construction",,"6978","21","3413786","3568","CANAL AVENUE","2","1","3","3","2809","3","3069780021","13","47","330","BK21","40.579028","-74.002383","11224"
"44239","927150","New Construction",,"1911","61","1090253","2139","ADAM C POWELL JR BOULEVARD","60","0","60","60","9000","10","1019110061","10","9","224","MN03","40.810140","-73.947461","10027"
"44249","927160","New Construction",,"3146","67","2117807","2311","TIEBOUT AVENUE","0","0","0","20","3036","7","2031460067","5","15","38301","BX40","40.856961","-73.897031","10458"
"44250","927161","New Construction",,"1028","7","3000000","487","4 AVENUE","0","0","0","8","2571","2","3010280007","6","39","139","BK37","40.668453","-73.990289","11215"
"44256","988143","New Construction",,"1863","7501","1000000","137","WEST 108 STREET","199","0","199","199","1000","11","1018630017","7","7","193","MN09","40.801083","-73.963173","10025"
"44258","927117","New Construction",,"1846","55","1089839","312","WEST 112 STREET","0","0","0","8","12410","5","1018460055","10","9","19702","MN11","40.801995","-73.957585","10026"
"44258","928028","New Construction",,"1831","21","1089848","215","WEST 115 STREET","0","0","0","5","6250","4","1018310021","10","9","218","MN11","40.802899","-73.953860","10026"
"44258","928029","New Construction",,"1922","58","1090566","274","WEST 117 STREET","0","0","0","8","11940","4","1019220058","10","9","218","MN11","40.804782","-73.954148","10026"
"44258","969720","New Construction",,"1831","47","1089849","228","WEST 116 STREET","0","0","0","10","9226","6","1018310047","10","9","218","MN11","40.803777","-73.953867","10026"
"44265","957381","New Construction",,"5295","4","3395126","1204","37 STREET","0","4","4","4","800","4","3052950004","12","39","226","BK88","40.642830","-73.986941","11218"
"44265","957382","New Construction",,"5295","104","3395127","1208","37 STREET","0","4","4","4","800","4","3052950104","12","39","226","BK88","40.642792","-73.986877","11218"
"44265","957383","New Construction",,"5295","105","3395128","1214","37 STREET","0","4","4","4","800","4","3052950105","12","39","226","BK88","40.642737","-73.986783","11218"
"44265","957384","New Construction",,"5295","106","3395129","1220","37 STREET","0","4","4","4","800","4","3052950106","12","39","226","BK88","40.642679","-73.986689","11218"
"44265","957387","New Construction",,"5295","107","3395130","1226","37 STREET","0","4","4","4","800","4","3052950107","12","39","226","BK88","40.642622","-73.986596","11218"
"44265","957388","New Construction",,"5295","108","3395131","1232","37 STREET","0","4","4","4","800","4","3052950108","12","39","226","BK88","40.642567","-73.986502","11218"
"44265","957389","New Construction",,"5295","111","3395134","1264","37 STREET","0","4","4","4","800","4","3052950111","12","39","226","BK88","40.642262","-73.985997","11218"
"44265","957390","New Construction",,"5295","112","3395135","1270","37 STREET","0","4","4","4","800","4","3052950112","12","39","226","BK88","40.642205","-73.985904","11218"
"44265","957420","New Construction",,"5295","113","3395136","1276","37 STREET","0","4","4","4","800","4","3052950113","12","39","226","BK88","40.642150","-73.985810","11218"
"44280","928040","New Construction",,"2383","19","2001510","432","EAST 162 STREET","199","0","199","199","19125","12","2023837501","3","17","141","BX35","40.824457","-73.912459","10451"
"44281","980874","New Construction",,"4375","1","3425901","924","HENDRIX PLACE","31","0","31","31","7000","4","3043750001","5","42","1106","BK82","40.658302","-73.882849","11207"
"44281","981192","New Construction",,"4375","1","3425900","910","HENDRIX PLACE","31","0","31","31","7000","4","3043750001","5","42","1106","BK82","40.658670","-73.883130","11207"
"44281","981457","New Construction",,"4375","1","3413779","879","VAN SICLEN AVENUE","27","0","27","27","7000","4","3043750001","5","42","1106","BK82","40.658484","-73.884143","11207"
"44281","981458","New Construction",,"4375","1","3413778","869","VAN SICLEN AVENUE","31","0","31","31","7000","4","3043750001","5","42","1106","BK82","40.658652","-73.884265","11207"
