"incident_type","location","borough","creation_date","closed_date","latitude","longitude"
"Utility-Water Main","136-17 72 Avenue","Queens","2017-01-16T13:13:38.000",,"40.71400364095638","-73.82998933154158"
"Structural-Sidewalk Collapse","927 Broadway","Manhattan","2016-10-29T12:13:31.000",,"40.71442154062271","-74.00607638041981"
"Utility-Other",,"Manhattan","2016-11-22T08:53:17.000",,,
"Administration-Other","Seagirt Blvd & Beach 9 Street","Queens","2016-11-14T15:53:54.000",,"40.71400364095638","-73.82998933154158"
"Law Enforcement-Other",,"Brooklyn","2016-10-29T17:35:28.000",,,
"Utility-Water Main","2-17 54 Avenue","Queens","2016-12-02T16:40:13.000",,"40.71400364095638","-73.82998933154158"
"Fire-2nd Alarm","238 East 24 Street","Manhattan","2016-11-25T04:06:09.000",,"40.71442154062271","-74.00607638041981"
"Utility-Water Main","7th Avenue & West 27 Street","Manhattan","2016-12-03T04:17:30.000",,"40.71442154062271","-74.00607638041981"
"Fire-10-76 (Commercial High Rise Fire)","130 East 57 Street","Manhattan","2016-11-26T05:45:43.000",,,
"Structural-Crane",,"Brooklyn","2016-11-18T13:12:51.000",,,
"Fire-2nd Alarm","24 Charles Street","Manhattan","2016-12-14T22:26:17.000",,"40.71442154062271","-74.00607638041981"
"Fire-3rd Alarm","581 3 ave","new york","2016-11-30T00:25:38.000","2016-11-30T04:22:22.000","40.66748970288859","-73.99428600039778"
"Structural-Collapse","55 Thompson St","Manhattan","2016-11-28T21:51:55.000",,"40.71442154062271","-74.00607638041981"
"Utility-Other","Hylan Blvd & Arbutus Avenue","Staten Island","2016-11-29T06:49:45.000",,"40.52609318085672","-74.18029750962154"
"Fire-2nd Alarm","53-09 Beach Channel Drive","Far Rockaway","2016-12-18T17:52:37.000",,"40.59508344584543","-73.78400535855963"
"Fire-1st Alarm","151 West 100 Street","Manhattan","2016-12-23T13:36:49.000",,"40.71442154062271","-74.00607638041981"
"Fire-2nd Alarm","1747 West 6 Street","Brooklyn","2016-12-15T17:05:32.000",,"40.604676759625875","-73.97901517750762"
