"date","location","replacecurb","repalceend","replacebollard","replaceanchor","replaceclip","replacearc","replacepost","repl_t_curb","replacersb","repaircurb","repairend","repairbollards","repairpost","repairrsb"
"2005-01-10T00:00:00.000","3rd Ave / E.57 St - E.58 St","0","0","1","0","0","0","0",,,"0","0","3","0",
"2005-01-10T00:00:00.000","3rd Ave/ E.56 St -57 St (REMOVED LOCATION) 5.29.15","0","0","12","0","0","2","0",,,"0","0","0","0",
"2005-01-10T00:00:00.000","W.95th Street @ Riverside Drive","0","0","8","0","0","2","0",,,"0","0","0","0",
"2005-04-08T00:00:00.000","3rd Ave/ E.56 St -57 St (REMOVED LOCATION) 5.29.15","0","0","10","0","0","6","0",,,"0","0","0","0",
"2005-07-14T00:00:00.000","3rd Ave / E.57 St - E.58 St","0","0","6","0","0","4","0",,,"2","1","0","0",
"2005-07-14T00:00:00.000","3rd Ave / E.58 St - E.59 St","0","0","7","0","0","11","0",,,"2","1","0","0",
"2005-07-14T00:00:00.000","3rd Ave/ E.56 St -57 St (REMOVED LOCATION) 5.29.15","0","0","16","0","0","6","0",,,"2","1","0","0",
"2005-07-22T00:00:00.000","10Ave@Little West 12th Str","0","0","5","0","10","5","0",,,"0","0","10","0",
"2005-07-22T00:00:00.000","1st Ave E.58th - E.59th","0","0","5","0","10","5","0",,,"0","0","10","0",
"2005-07-27T00:00:00.000","Stadium Ave @ Counntry Club Rd","0","0","2","0","4","3","0",,,"0","0","0","0",
"2005-08-01T00:00:00.000","2nd Ave / E.35 St - E.34 St","0","0","11","0","22","11","0",,,"0","0","0","0",
"2005-08-02T00:00:00.000","8th Ave / W.40 St - W.41 St","0","0","10","0","20","3","0",,,"0","0","0","0",
"2005-08-02T00:00:00.000","8th Ave / W.41 St - W.42 St","0","0","18","0","36","3","0",,,"0","0","0","0",
"2005-08-06T00:00:00.000","Broadway E/S / W.44 St - W.43 St","0","0","35","0","0","0","0",,,"0","0","0","0",
"2005-08-19T00:00:00.000","57th Ave @ Hoffman Drive","0","0","6","0","12","8","0",,,"0","0","0","0",
"2005-08-19T00:00:00.000","Bruckner Blvd E/B @ Underhill Ave","0","0","4","0","10","4","0",,,"0","0","0","0",
"2005-08-19T00:00:00.000","Metcalf Ave / Cross Bronx Expy @ 177 St","0","0","2","0","2","1","0",,,"0","0","0","0",
"2005-08-19T00:00:00.000","Queens Blvd E/B @ 51 Ave","0","0","1","0","2","0","0",,,"0","0","0","0",
"2005-08-19T00:00:00.000","Queens Blvd W/B S/R  @ 58 St - 56 St (2 YD) (8 WD)","1","1","1","2","2","2","0",,,"0","0","0","0",
"2005-08-19T00:00:00.000","Queens Blvd W/B SR @ 61 St (Tuff Curb)","0","0","3","1","6","0","0",,,"0","0","2","0",
"2005-08-23T00:00:00.000","10Ave@Little West 12th Str","0","0","9","0","18","0","0",,,"0","0","4","0",
"2005-08-23T00:00:00.000","3rd Ave / E.23 St - E.24 St","0","0","22","0","48","0","0",,,"0","0","4","0",
"2005-08-23T00:00:00.000","5th Ave @ Broadway (Madison Sq) REMOVED","0","0","8","0","16","0","0",,,"0","0","0","0",
"2005-08-23T00:00:00.000","8th Ave / W.41 St - W.42 St","0","0","15","0","30","0","0",,,"0","0","8","0",
"2005-08-23T00:00:00.000","Division Ave @ Keap St","0","0","5","0","12","5","0",,,"6","0","0","0",
"2005-08-23T00:00:00.000","Hamilton Ave @ Hicks St","0","0","23","0","48","3","0",,,"0","0","0","0",
"2005-08-23T00:00:00.000","Henry Hudson N/B @ W.95th Street","0","0","16","0","32","0","0",,,"0","0","6","0",
"2005-08-23T00:00:00.000","Meeker Ave @ Apollo Street & BQE Exit Ramp","0","0","3","0","6","2","0",,,"0","0","6","0",
"2005-08-23T00:00:00.000","Metropolitan Ave @ Marcy Ave","0","0","10","0","28","23","0",,,"0","0","7","0",
"2005-08-23T00:00:00.000","Park Ave So. @ Steuben St","0","0","10","0","20","3","0",,,"0","0","5","0",
"2005-08-23T00:00:00.000","Queens Blvd W/B @ Hillyer St","0","0","9","0","34","10","0",,,"0","0","4","0",
"2005-08-23T00:00:00.000","Tillary St E/B @ Adams St","0","0","6","0","12","2","0",,,"0","0","0","0",
