"vendorid","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","ratecodeid","pulocationid","dolocationid","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type"
"2","2018-01-01T00:18:50.000","2018-01-01T00:24:39.000","N","1","236","236","5","0.70","6","0.5","0.5","0","0",,"0.3","7.3","2","1"
"2","2018-01-01T00:30:26.000","2018-01-01T00:46:42.000","N","1","43","42","5","3.50","14.5","0.5","0.5","0","0",,"0.3","15.8","2","1"
"2","2018-01-01T00:07:25.000","2018-01-01T00:19:45.000","N","1","74","152","1","2.14","10","0.5","0.5","0","0",,"0.3","11.3","2","1"
"2","2018-01-01T00:32:40.000","2018-01-01T00:33:41.000","N","1","255","255","1","0.03","-3","-0.5","-0.5","0","0",,"-0.3","-4.3","3","1"
"2","2018-01-01T00:32:40.000","2018-01-01T00:33:41.000","N","1","255","255","1","0.03","3","0.5","0.5","0","0",,"0.3","4.3","2","1"
"2","2018-01-01T00:38:35.000","2018-01-01T01:08:50.000","N","1","255","161","1","5.63","21","0.5","0.5","0","0",,"0.3","22.3","2","1"
"2","2018-01-01T00:18:41.000","2018-01-01T00:28:22.000","N","1","189","65","5","1.71","8.5","0.5","0.5","0","0",,"0.3","9.8","2","1"
"2","2018-01-01T00:38:02.000","2018-01-01T00:55:02.000","N","1","189","225","5","3.45","14.5","0.5","0.5","3.16","0",,"0.3","18.96","1","1"
"2","2018-01-01T00:05:02.000","2018-01-01T00:18:35.000","N","1","129","82","1","1.61","10","0.5","0.5","0","0",,"0.3","11.3","2","1"
"2","2018-01-01T00:35:23.000","2018-01-01T00:42:07.000","N","1","226","7","1","1.87","7.5","0.5","0.5","0","0",,"0.3","8.8","2","1"
"2","2018-01-01T00:21:00.000","2018-01-01T00:39:04.000","N","1","145","129","2","4.12","16.5","0.5","0.5","0","0",,"0.3","17.8","2","1"
"2","2018-01-01T00:56:29.000","2018-01-01T01:04:44.000","N","1","7","223","2","1.22","7","0.5","0.5","0","0",,"0.3","8.3","2","1"
"2","2018-01-01T00:11:48.000","2018-01-01T00:30:13.000","N","1","255","189","1","4.67","17","0.5","0.5","0","0",,"0.3","18.3","2","1"
"2","2018-01-01T00:57:59.000","2018-01-01T01:12:26.000","N","1","97","188","1","2.71","11.5","0.5","0.5","3.84","0",,"0.3","16.64","1","1"
"2","2018-01-01T00:36:58.000","2018-01-01T00:51:08.000","N","1","244","75","2","6.01","19","0.5","0.5","4","0",,"0.3","24.3","1","1"
"1","2018-01-01T00:07:40.000","2018-01-01T00:15:20.000","N","1","225","37","1","1.90","8","0.5","0.5","3","0",,"0.3","12.3","1","1"
"1","2018-01-01T00:25:09.000","2018-01-01T00:42:04.000","N","1","36","145","2","4.30","15.5","0.5","0.5","3.35","0",,"0.3","20.15","1","1"
"1","2018-01-01T00:42:52.000","2018-01-01T01:00:53.000","N","1","145","173","1","6.90","22","0.5","0.5","0","0",,"0.3","23.3","1","1"
"2","2018-01-01T00:06:22.000","2018-01-01T00:08:17.000","N","1","49","49","1","0.30","3.5","0.5","0.5","0","0",,"0.3","4.8","2","1"
"2","2018-01-01T00:34:53.000","2018-01-01T00:52:55.000","N","1","40","113","1","4.47","16.5","0.5","0.5","3.56","0",,"0.3","23.31","1","1"
"1","2018-01-01T00:25:08.000","2018-01-01T00:28:27.000","N","1","179","7","1","0.50","4.5","0.5","0.5","0","0",,"0.3","5.8","1","1"
"2","2018-01-01T00:36:26.000","2018-01-01T00:51:07.000","N","1","7","193","1","1.82","9","0.5","0.5","0","0",,"0.3","10.3","1","1"
"2","2018-01-01T00:53:05.000","2018-01-01T01:26:51.000","N","1","97","74","1","11.79","36","0.5","0.5","7.46","0",,"0.3","46.71","1","1"
"1","2018-01-01T00:11:41.000","2018-01-01T00:22:10.000","N","1","255","112","1","1.90","9","0.5","0.5","3.05","0",,"0.3","13.35","1","1"
"1","2018-01-01T00:40:32.000","2018-01-01T01:01:20.000","N","1","255","28","1","10.30","29","0.5","0.5","5","0",,"0.3","35.3","1","1"
"2","2018-01-01T00:15:30.000","2018-01-01T00:25:17.000","N","1","80","80","1","1.66","8.5","0.5","0.5","1.96","0",,"0.3","11.76","1","1"
"2","2018-01-01T00:35:44.000","2018-01-01T00:48:23.000","N","1","255","232","1","2.91","12","0.5","0.5","3.32","0",,"0.3","16.62","1","1"
"2","2018-01-01T00:55:56.000","2018-01-01T01:28:05.000","N","1","256","50","1","6.09","25","0.5","0.5","6.58","0",,"0.3","32.88","1","1"
"2","2018-01-01T00:41:36.000","2018-01-01T00:56:36.000","N","1","179","75","5","5.30","17","0.5","0.5","3.66","0",,"0.3","21.96","1","1"
"2","2018-01-01T00:36:47.000","2018-01-01T00:44:55.000","N","1","41","75","1","1.63","8","0.5","0.5","1.86","0",,"0.3","11.16","1","1"
"2","2018-01-01T00:48:38.000","2018-01-01T00:51:21.000","N","1","75","74","1","0.91","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1"
"2","2018-01-01T00:56:18.000","2018-01-01T01:00:25.000","N","1","74","74","2","0.92","5","0.5","0.5","0","0",,"0.3","6.3","1","1"
"2","2018-01-01T00:27:41.000","2018-01-01T00:34:23.000","N","1","7","223","1","0.98","6","0.5","0.5","0","0",,"0.3","7.3","2","1"
"2","2018-01-01T00:41:38.000","2018-01-01T00:52:21.000","N","1","179","7","1","1.42","9","0.5","0.5","0","0",,"0.3","10.3","2","1"
"2","2018-01-01T00:48:44.000","2018-01-01T00:53:32.000","N","1","254","254","1","0.42","5","0.5","0.5","0","0",,"0.3","6.3","1","1"
"2","2018-01-01T00:46:14.000","2018-01-01T01:02:07.000","N","1","255","36","1","3.15","13","0.5","0.5","2.86","0",,"0.3","17.16","1","1"
"2","2018-01-01T01:03:50.000","2018-01-01T01:09:36.000","N","1","260","226","1","0.85","5.5","0.5","0.5","0","0",,"0.3","6.8","2","1"
"2","2018-01-01T00:30:52.000","2018-01-01T00:38:43.000","N","1","181","190","5","1.28","7.5","0.5","0.5","1.76","0",,"0.3","10.56","1","1"
"2","2018-01-01T00:39:21.000","2018-01-01T00:48:02.000","N","1","190","89","5","1.58","8","0.5","0.5","1.86","0",,"0.3","11.16","1","1"
"2","2018-01-01T00:59:08.000","2018-01-01T01:25:30.000","N","1","188","76","5","4.43","18.5","0.5","0.5","0","0",,"0.3","19.8","1","1"
"1","2018-01-01T00:07:47.000","2018-01-01T00:19:59.000","N","1","33","112","1","4.80","15.5","0.5","0.5","3.35","0",,"0.3","20.15","1","1"
"2","2018-01-01T00:27:35.000","2018-01-01T00:34:55.000","N","1","112","80","1","1.59","8","0.5","0.5","1.86","0",,"0.3","11.16","1","1"
"2","2018-01-01T00:46:21.000","2018-01-01T01:08:36.000","N","1","112","61","1","4.80","19","0.5","0.5","5.08","0",,"0.3","25.38","1","1"
"2","2018-01-01T00:44:53.000","2018-01-01T00:50:17.000","N","1","97","49","1","0.51","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1"
"2","2018-01-01T00:50:23.000","2018-01-01T01:18:08.000","N","1","49","97","1","0.54","16","0.5","0.5","0","0",,"0.3","17.3","2","1"
"2","2018-01-01T00:33:34.000","2018-01-01T00:40:00.000","N","1","75","74","1","1.64","7","0.5","0.5","0","0",,"0.3","8.3","2","1"
"2","2018-01-01T00:47:29.000","2018-01-01T00:56:32.000","N","1","82","129","1","1.31","8","0.5","0.5","0","0",,"0.3","9.3","2","1"
"2","2018-01-01T00:21:14.000","2018-01-01T00:33:15.000","N","1","83","7","1","3.32","12.5","0.5","0.5","0","0",,"0.3","13.8","2","1"
"2","2018-01-01T00:36:46.000","2018-01-01T00:40:53.000","N","1","7","7","1","0.82","5","0.5","0.5","0","0",,"0.3","6.3","1","1"
"1","2018-01-01T00:06:43.000","2018-01-01T00:20:45.000","N","5","136","169","1","4.20","0","0","0","0","0",,"0","0","2","2"
"1","2018-01-01T00:35:36.000","2018-01-01T01:04:21.000","N","5","136","243","4","4.80","0","0","0","0","0",,"0","0","2","2"
"2","2018-01-01T00:37:51.000","2018-01-01T00:51:36.000","N","1","223","53","1","6.47","20","0.5","0.5","0","0",,"0.3","21.3","2","1"
"2","2018-01-01T00:26:40.000","2018-01-01T01:03:38.000","N","1","97","143","1","7.27","29","0.5","0.5","4.54","0",,"0.3","34.84","1","1"
"2","2018-01-01T00:13:46.000","2018-01-01T00:13:49.000","N","1","42","42","1","0.02","2.5","0.5","0.5","0","0",,"0.3","3.8","2","1"
"2","2018-01-01T00:40:08.000","2018-01-01T00:52:07.000","N","1","7","145","1","2.41","11","0.5","0.5","2.46","0",,"0.3","14.76","1","1"
"2","2018-01-01T00:56:40.000","2018-01-01T01:07:41.000","N","1","226","82","6","1.68","9","0.5","0.5","0","0",,"0.3","10.3","2","1"
"1","2018-01-01T00:24:28.000","2018-01-01T00:40:27.000","N","1","17","25","2","2.60","12.5","0.5","0.5","5","0",,"0.3","18.8","1","1"
"2","2018-01-01T00:22:51.000","2018-01-01T00:29:22.000","N","1","25","97","1","0.97","6","0.5","0.5","1.46","0",,"0.3","8.76","1","1"
"2","2018-01-01T00:43:11.000","2018-01-01T00:46:43.000","N","1","181","257","1","0.86","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"2","2018-01-01T00:59:20.000","2018-01-01T01:15:39.000","N","1","181","211","1","3.77","15.5","0.5","0.5","2.2","0",,"0.3","19","1","1"
"2","2018-01-01T00:42:58.000","2018-01-01T00:48:46.000","N","1","134","134","1","1.04","6","0.5","0.5","0","0",,"0.3","7.3","2","1"
"2","2018-01-01T00:26:52.000","2018-01-01T00:32:14.000","N","1","25","25","1","0.88","5.5","0.5","0.5","0","0",,"0.3","6.8","2","1"
"2","2018-01-01T00:36:44.000","2018-01-01T00:42:01.000","N","1","181","181","1","0.97","6","0.5","0.5","0","0",,"0.3","7.3","2","1"
"2","2018-01-01T00:50:58.000","2018-01-01T00:59:07.000","N","1","181","181","1","1.30","7.5","0.5","0.5","0","0",,"0.3","8.8","2","1"
"1","2018-01-01T00:04:29.000","2018-01-01T00:23:48.000","N","1","256","62","1","3.40","15","0.5","0.5","0","0",,"0.3","16.3","2","1"
"1","2018-01-01T00:26:55.000","2018-01-01T00:37:56.000","N","1","62","35","1","2.20","10","0.5","0.5","0","0",,"0.3","11.3","2","1"
"2","2018-01-01T00:27:07.000","2018-01-01T00:41:47.000","N","1","236","143","1","3.34","13.5","0.5","0.5","3.7","0",,"0.3","18.5","1","1"
"2","2018-01-01T00:54:36.000","2018-01-01T01:42:54.000","N","1","166","33","1","10.58","38","0.5","0.5","5.7","0",,"0.3","45","1","1"
"2","2018-01-01T00:44:35.000","2018-01-01T00:46:37.000","N","1","40","25","1","0.42","3.5","0.5","0.5","0","0",,"0.3","4.8","2","1"
"2","2018-01-01T00:51:16.000","2018-01-01T00:58:18.000","N","1","52","106","1","1.34","7","0.5","0.5","1.66","0",,"0.3","9.96","1","1"
"2","2018-01-01T00:12:10.000","2018-01-01T00:14:57.000","N","1","223","223","1","0.51","4","0.5","0.5","1.59","0",,"0.3","6.89","1","1"
"2","2018-01-01T00:50:21.000","2018-01-01T00:56:13.000","N","1","7","179","1","0.88","6","0.5","0.5","0","0",,"0.3","7.3","2","1"
"2","2018-01-01T00:57:51.000","2018-01-01T01:00:38.000","N","1","179","179","1","0.60","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1"
"1","2018-01-01T00:14:56.000","2018-01-01T00:16:07.000","N","1","223","7","1","0.10","3","0.5","0.5","0","0",,"0.3","4.3","2","1"
"1","2018-01-01T00:19:45.000","2018-01-01T00:23:21.000","N","1","7","179","1","0.70","4.5","0.5","0.5","1.15","0",,"0.3","6.95","1","1"
"1","2018-01-01T00:30:21.000","2018-01-01T00:36:48.000","N","1","179","7","1","1.00","6","0.5","0.5","0","0",,"0.3","7.3","2","1"
"1","2018-01-01T00:42:32.000","2018-01-01T00:46:37.000","N","1","223","223","1","0.80","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"1","2018-01-01T00:57:27.000","2018-01-01T01:07:13.000","N","1","7","223","1","1.50","8.5","0.5","0.5","0","0",,"0.3","9.8","2","1"
"2","2018-01-01T00:12:30.000","2018-01-01T00:17:05.000","N","1","65","65","1","0.25","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1"
"2","2018-01-01T00:26:33.000","2018-01-01T00:30:06.000","N","1","65","49","1","0.77","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"2","2018-01-01T00:30:52.000","2018-01-01T00:40:30.000","N","1","49","17","1","1.70","8.5","0.5","0.5","0","0",,"0.3","9.8","2","1"
"2","2018-01-01T00:35:24.000","2018-01-01T00:38:56.000","N","1","41","166","1","0.68","5","0.5","0.5","1.89","0",,"0.3","8.19","1","1"
"2","2018-01-01T00:40:28.000","2018-01-01T00:44:01.000","N","1","166","166","1","0.78","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"2","2018-01-01T00:45:12.000","2018-01-01T00:54:49.000","N","1","166","238","1","1.97","9.5","0.5","0.5","3.24","0",,"0.3","14.04","1","1"
"2","2018-01-01T00:38:25.000","2018-01-01T00:52:28.000","N","1","260","173","4","2.91","12","0.5","0.5","0","0",,"0.3","13.3","2","1"
"2","2018-01-01T00:52:46.000","2018-01-01T01:01:34.000","N","1","173","56","5","1.60","8","0.5","0.5","0","0",,"0.3","9.3","2","1"
"1","2018-01-01T00:25:33.000","2018-01-01T00:28:47.000","N","1","255","255","2","0.50","4","0.5","0.5","0","0",,"0.3","5.3","2","1"
"1","2018-01-01T00:38:50.000","2018-01-01T00:44:16.000","N","1","255","112","1","1.30","6.5","0.5","0.5","1.56","0",,"0.3","9.36","1","1"
"1","2018-01-01T00:47:19.000","2018-01-01T00:55:39.000","N","1","112","148","4","3.80","12.5","0.5","0.5","0","0",,"0.3","13.8","2","1"
"2","2018-01-01T00:59:58.000","2018-01-01T01:17:09.000","N","1","25","79","1","4.28","16","0.5","0.5","3.46","0",,"0.3","20.76","1","1"
"2","2018-01-01T00:11:39.000","2018-01-01T00:23:23.000","N","1","112","256","1","1.98","10","0.5","0.5","0","0",,"0.3","11.3","2","1"
"2","2018-01-01T00:28:16.000","2018-01-01T00:46:44.000","N","1","255","209","1","5.27","19","0.5","0.5","4.06","0",,"0.3","24.36","1","1"
"2","2018-01-01T01:02:36.000","2018-01-01T01:26:46.000","N","1","256","102","1","4.55","18.5","0.5","0.5","0","0",,"0.3","19.8","2","1"
"2","2018-01-01T00:11:55.000","2018-01-01T00:21:07.000","N","1","255","255","1","1.10","7.5","0.5","0.5","1.76","0",,"0.3","10.56","1","1"
"2","2018-01-01T00:30:37.000","2018-01-01T00:44:38.000","N","1","256","61","1","2.85","12.5","0.5","0.5","0","0",,"0.3","13.8","2","1"
"2","2018-01-01T00:52:53.000","2018-01-01T01:06:53.000","N","1","49","112","1","3.68","14","0.5","0.5","3.06","0",,"0.3","20.31","1","1"
"2","2018-01-01T00:33:20.000","2018-01-01T00:52:41.000","N","1","123","14","1","5.35","19","0.5","0.5","0","0",,"0.3","20.3","1","1"
"2","2018-01-01T00:16:56.000","2018-01-01T00:39:02.000","N","1","42","68","1","6.32","22.5","0.5","0.5","5.95","0",,"0.3","29.75","1","1"
"2","2018-01-01T00:59:41.000","2018-01-01T01:07:30.000","N","1","245","251","1","2.31","9.5","0.5","0.5","0","0",,"0.3","10.8","2","1"
"2","2018-01-01T00:29:43.000","2018-01-01T00:30:59.000","N","1","193","193","1","0.51","3.5","0.5","0.5","0","0",,"0.3","4.8","2","1"
"2","2018-01-01T00:37:34.000","2018-01-01T00:50:44.000","N","1","145","7","1","2.55","12","0.5","0.5","2.66","0",,"0.3","15.96","1","1"
"2","2018-01-01T00:54:53.000","2018-01-01T01:08:24.000","N","1","7","173","1","3.16","12.5","0.5","0.5","0","0",,"0.3","13.8","2","1"
"2","2018-01-01T00:57:30.000","2018-01-01T01:13:04.000","N","1","129","36","2","5.86","19","0.5","0.5","0","0",,"0.3","20.3","1","1"
"1","2018-01-01T00:35:06.000","2018-01-01T00:59:27.000","N","1","97","228","1","3.60","18","0.5","0.5","0","0",,"0.3","19.3","2","1"
"2","2018-01-01T00:48:43.000","2018-01-01T00:58:03.000","N","1","83","226","2","1.96","9","0.5","0.5","0","0",,"0.3","10.3","2","1"
"2","2018-01-01T00:41:40.000","2018-01-01T00:54:32.000","N","1","7","260","1","2.08","10.5","0.5","0.5","0","0",,"0.3","11.8","1","1"
"2","2018-01-01T01:00:19.000","2018-01-01T01:03:10.000","N","1","7","7","1","0.58","4","0.5","0.5","0","0",,"0.3","5.3","2","1"
"1","2018-01-01T00:53:11.000","2018-01-01T00:59:25.000","N","1","74","42","1","1.00","6","0.5","0.5","0","0",,"0.3","7.3","2","1"
"2","2018-01-01T00:05:12.000","2018-01-01T00:11:43.000","N","1","42","75","1","1.15","6.5","0.5","0.5","0","0",,"0.3","7.8","1","1"
"2","2018-01-01T00:31:13.000","2018-01-01T00:51:24.000","N","1","116","169","1","5.07","19","0.5","0.5","0","0",,"0.3","20.3","2","1"
