"applicant_name","applicant_house_number","applicant_street_name","applicant_address_2","applicant_city","applicant_state","applicant_postcode","applicant_phone","project_name","project_borough","new_construction","cra_amount","credit_year","cra_date","total_units","total_tax_credit_units","application_year","applicant_borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Alembic Development Company LLC &  Monadnock Construction, Inc.","155","Third Street",,"Brooklyn","NY","11231","718-875-8160   Ext. 228","Boys and Girls Club of Harlem","Manhattan","Rehabilitation","$   1,800,000","2013-2014","2013-10-22T00:00:00.000","81","64","2013","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"BK Simpson Dawson Housing Development Fund Company, Inc.","863","Prospect Avenue",,"Bronx","NY","10459","718-328-1064   Ext. 202","Simpson Dawson TPT","Bronx","Rehabilitation","$   523,080","2014","2013-10-29T00:00:00.000","42","36","2013","BRONX","40.820317","-73.901366","1","17","77","2005007","2026770019","Melrose South-Mott Haven North"
"Community League Of The Heights (CLOTH)","500","West 159th Street",,"New York","NY","10032","212-795-4779   Ext. 111","Heights 150th Street","Manhattan","Rehabilitation","$   921,300","2014","2013-10-29T00:00:00.000","67","63","2013","MANHATTAN","40.834233","-73.941421","12","7","245","1062764","1021170034","Washington Heights South"
"The Doe Fund, Inc","232","East 84th Street",,"New York","NY","10028","212-628-5207","1420 Crotona Park East Apts","Bronx","New Construction","$   1,314,765","2014","2013-10-28T00:00:00.000","60","60","2013","MANHATTAN","40.777142","-73.954102","8","5","138","1048714","1015290033","Yorkville"
"Mid-Bronx Desperadoes Community Housing Corporation","1762","Boston Road",,"Bronx","NY","10460","718-842-0256","1940 Crotona Park East","Bronx","Rehabilitation","$   575,000","2014","2013-10-24T00:00:00.000","39","38","2013","BRONX","40.837777","-73.887079","3","17","161","2010683","2029910003","Crotona Park East"
"Northeast Brooklyn HDFC","132","Ralph Avenue",,"Brooklyn","NY","11233","718-453-9490","Park Monroe","Brooklyn","Rehabilitation","$   1,650,000","2014","2013-10-28T00:00:00.000","215","170","2013","BROOKLYN","40.685388","-73.923217","3","41","383","3046317","3016630048","Stuyvesant Heights"
"Ridgewood Bushwick Senior Citizens Council, Inc.","217","Wyckoff Avenue",,"Brooklyn","NY","11233","718-366-3800   Ext. 1016","Stammtisch TPT","Brooklyn","Rehabilitation","$   874,000","2014","2013-10-28T00:00:00.000","50","46","2013","BROOKLYN","40.702153","-73.915751","4","37","443","3326375","3032910001","Bushwick North"
"St. Nicks Alliance Corp.","2","Kingsland Avenue",,"Brooklyn","NY","11211","718-388-5454","Kings Villa","Brooklyn","Rehabilitation","$   568,685","2014","2013-10-29T00:00:00.000","40","40","2013","BROOKLYN","40.715895","-73.940025","1","34","449","3389465","3028850010","East Williamsburg"
"Urban Pathways, Inc.","575","8th Avenue","9th Floor","New York","NY","10018","212-736-7385   Ext. 212","162nd Street Homes","Bronx","New Construction","$   1,742,610","2014","2013-10-28T00:00:00.000","86","86","2013","MANHATTAN","40.754952","-73.991467","4","3","115","1013644","1007620033","Clinton"
"West End Residences HDFC, Inc.","475","Riverside Drive",,"New York","NY","10115","212-870-3362","True Colors Bronx","Bronx","New Construction","$   670,996","2014","2013-10-28T00:00:00.000","31","30","2013","MANHATTAN","40.811101","-73.964168","9","7","205","1059835","1019910001","Morningside Heights"
"Yuco Real Estate Company Inc.","200","Park Avenue","11th Floor","New York","NY","10166","212-994-2200   Ext. 207","Brook Avenue Apartments","Bronx","New Construction","$   1,556,280","2014","2013-10-28T00:00:00.000","66","65","2013","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown"
"Belmont Arthur","660","East 153rd Street",,"Bronx","NY","10458","718-294-5840","Arthur Clinton Apartments","Bronx","Rehabilitation","$   1,572,500","2015","2014-10-27T00:00:00.000","101","85","2014",,,,,,,,,
"Bronx Pro Management","1065","Dr. Martin Luther King Blvd",,"Bronx","NY","10453","718-294-5840","G&M Properties","Bronx","Rehabilitation","$   835,284","2015","2014-10-28T00:00:00.000","183","179","2014",,,,,,,,,
"Cypress Hills LDC","625","Jamaica Avenue",,"Brooklyn","NY","11208","718-647-2800 Ext. 114","Pitkin-Berriman Housing","Brooklyn","New Construction","$   1,362,600","2015","2014-11-06T00:00:00.000","60","59","2014","BROOKLYN","40.685981","-73.880918","5","37","1180","3345672","3038920001","park-cemetery-etc-Brooklyn"
"Cypress Hills LDC","625","Jamaica Avenue",,"Brooklyn","NY","11208","718-647-2800 Ext. 114","Cypress Hills Senior Hosuing","Brooklyn","New Construction","$   827,708","2015","2014-10-27T00:00:00.000","54","53","2014","BROOKLYN","40.685981","-73.880918","5","37","1180","3345672","3038920001","park-cemetery-etc-Brooklyn"
"HELP Development Inc. and CMC Development Inc.","5","Hanover Square",,"New York","NY","10004","212-400-8228","Woodcrest Veterans Housing","Bronx","New Construction","$   631,011","2015","2014-10-27T00:00:00.000","48","48","2014","MANHATTAN","40.704923","-74.009046","1","1","7","1000832","1000280005","Battery Park City-Lower Manhattan"
"Jericho Project Inc.","419","Park Avenue South","18th Floor","New York","NY","10016","212-693-2330","Jericho Walton Apartments","Bronx","New Construction","$   1,201,164","2015","2014-10-27T00:00:00.000","92","91","2014","MANHATTAN","40.743799","-73.983721","5","2","72","1018236","1008840084","Murray Hill-Kips Bay"
