Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
53657678,03/15/2022 11:58:00 PM,03/16/2022 02:03:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11211,153 SOUTH    2 STREET,SOUTH    2 STREET,BEDFORD AVE,DRIGGS AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/16/2022 02:03:00 PM,01 BROOKLYN,3024060040,BROOKLYN,994925,199067,PHONE,Unspecified,BROOKLYN,,,,,,,,40.713063235400725,-73.96149357837383,"(40.713063235400725, -73.96149357837383)"
53658850,03/15/2022 10:48:00 PM,03/16/2022 02:04:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11211,150 SOUTH    2 STREET,SOUTH    2 STREET,BEDFORD AVE,DRIGGS AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/16/2022 02:04:00 PM,01 BROOKLYN,3024180013,BROOKLYN,994889,199078,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71309347113876,-73.96162341869547,"(40.71309347113876, -73.96162341869547)"
53651958,03/15/2022 10:48:00 PM,03/16/2022 09:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11211,,,,,BEDFORD AVENUE,SOUTH SECOND STREET,INTERSECTION,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/16/2022 09:30:00 PM,01 BROOKLYN,,BROOKLYN,994762,199142,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71326928767005,-73.96208142809773,"(40.71326928767005, -73.96208142809773)"
53658844,03/15/2022 10:42:00 PM,03/16/2022 02:03:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11211,149 SOUTH    2 STREET,SOUTH    2 STREET,BEDFORD AVE,DRIGGS AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/16/2022 02:03:00 PM,01 BROOKLYN,3024060042,BROOKLYN,994892,199083,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.713107191337706,-73.96161258931139,"(40.713107191337706, -73.96161258931139)"
53651949,03/15/2022 08:00:00 PM,03/16/2022 07:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,11211,382 SOUTH    2 STREET,SOUTH    2 STREET,HOOPER ST,HEWES ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/16/2022 07:00:00 PM,01 BROOKLYN,3024250010,BROOKLYN,997520,197815,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.709623281965065,-73.95213547032338,"(40.709623281965065, -73.95213547032338)"
53655410,03/15/2022 07:11:00 PM,03/16/2022 11:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11222,79 MCGUINNESS BOULEVARD,MCGUINNESS BOULEVARD,NASSAU AVE,NORMAN AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/16/2022 11:00:00 PM,01 BROOKLYN,3026490022,BROOKLYN,998507,203529,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.72530530281406,-73.9485632866697,"(40.72530530281406, -73.9485632866697)"
53657668,03/15/2022 06:32:00 PM,03/16/2022 09:11:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11249,149 WYTHE AVENUE,WYTHE AVENUE,N 7 ST,N 6 ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,03/16/2022 09:11:00 AM,01 BROOKLYN,3023260005,BROOKLYN,995167,201353,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.719337462003566,-73.96061693870375,"(40.719337462003566, -73.96061693870375)"
53653151,03/15/2022 05:58:00 PM,03/17/2022 09:30:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11222,75 MCGUINNESS BOULEVARD,MCGUINNESS BOULEVARD,NASSAU AVE,NORMAN AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/17/2022 09:30:00 AM,01 BROOKLYN,3026490024,BROOKLYN,998522,203495,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.72521195689812,-73.9485092414619,"(40.72521195689812, -73.9485092414619)"
53655374,03/15/2022 05:09:00 PM,03/15/2022 06:25:00 PM,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Spill/Release (HA1),,11211,750 GRAND STREET,GRAND STREET,GRAHAM AVE,HUMBOLDT ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,03/15/2022 06:25:00 PM,01 BROOKLYN,3027890011,BROOKLYN,1000041,198579,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.711716139991694,-73.94304050224267,"(40.711716139991694, -73.94304050224267)"
53658851,03/15/2022 05:06:00 PM,03/24/2022 12:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11211,750 GRAND STREET,GRAND STREET,GRAHAM AVE,HUMBOLDT ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/24/2022 12:00:00 PM,01 BROOKLYN,3027890011,BROOKLYN,1000041,198579,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.711716139991694,-73.94304050224267,"(40.711716139991694, -73.94304050224267)"
53654265,03/15/2022 04:02:00 PM,03/22/2022 12:30:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,11211,,,,,SOUTH 3 STREET,DRIGGS AVENUE,INTERSECTION,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/22/2022 12:30:00 PM,01 BROOKLYN,,BROOKLYN,995054,198669,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.7119706637042,-73.96102889363786,"(40.7119706637042, -73.96102889363786)"
53654285,03/15/2022 02:55:00 PM,03/15/2022 04:25:00 PM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11237,184 MEADOW STREET,MEADOW STREET,VARICK AVE,STEWART AVE,,,ADDRESS,BROOKLYN,,,Closed,,"Please call 311 for further information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/15/2022 04:25:00 PM,01 BROOKLYN,3029570008,BROOKLYN,1003951,198914,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71262779257026,-73.92893582057452,"(40.71262779257026, -73.92893582057452)"
53650789,03/15/2022 02:03:00 PM,03/24/2022 06:30:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11206,21 MESEROLE STREET,MESEROLE STREET,S 4 ST,LORIMER ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/24/2022 06:30:00 AM,01 BROOKLYN,3030400044,BROOKLYN,998246,197039,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.707492227382765,-73.94951842164868,"(40.707492227382765, -73.94951842164868)"
53651979,03/15/2022 12:35:00 PM,03/15/2022 02:15:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11222,795 MANHATTAN AVENUE,MANHATTAN AVENUE,MESEROLE AVE,CALYER ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.,03/15/2022 02:15:00 PM,01 BROOKLYN,3025960023,BROOKLYN,997268,204396,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72768691667307,-73.95303169962652,"(40.72768691667307, -73.95303169962652)"
53654281,03/15/2022 12:25:00 PM,03/29/2022 02:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11211,237 POWERS STREET,POWERS STREET,BUSHWICK AVE,JUDGE ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/29/2022 02:30:00 PM,01 BROOKLYN,3029190040,BROOKLYN,1000730,198967,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.712779850855426,-73.94055427084655,"(40.712779850855426, -73.94055427084655)"
53650792,03/15/2022 12:03:00 PM,03/23/2022 01:00:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11222,195 KINGSLAND AVENUE,KINGSLAND AVENUE,MEEKER AVE,DRIGGS AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection inspected your complaint and determined that the catch basin is now functioning properly.  If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",03/23/2022 01:00:00 PM,01 BROOKLYN,3027050023,BROOKLYN,1000535,202748,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72315814663323,-73.94124851624937,"(40.72315814663323, -73.94124851624937)"
53653154,03/15/2022 11:03:00 AM,03/16/2022 07:50:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11211,288 KEAP STREET,KEAP STREET,BEND,DIVISION AVE,,,ADDRESS,BROOKLYN,,,Closed,,"Please call 311 for further information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/16/2022 07:50:00 AM,01 BROOKLYN,3022010032,BROOKLYN,996496,197264,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70811239417098,-73.95583001201298,"(40.70811239417098, -73.95583001201298)"
53656526,03/15/2022 08:17:00 AM,03/16/2022 09:00:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11206,93 GERRY STREET,GERRY STREET,HARRISON AVE,THROOP AVE,,,ADDRESS,BROOKLYN,,,Closed,,"Please call 311 for further information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/16/2022 09:00:00 AM,01 BROOKLYN,3022660039,BROOKLYN,998953,194958,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70177922654963,-73.94697291765144,"(40.70177922654963, -73.94697291765144)"
53650781,03/15/2022 02:43:00 AM,03/15/2022 05:48:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11222,413 MANHATTAN AVENUE,MANHATTAN AVENUE,MEEKER AVE,BAYARD ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/15/2022 05:48:00 AM,01 BROOKLYN,3027230031,BROOKLYN,998977,201261,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.719079422128495,-73.9468725735834,"(40.719079422128495, -73.9468725735834)"
53655399,03/15/2022 12:26:00 AM,03/15/2022 05:46:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11211,6 HOPE STREET,HOPE STREET,ROEBLING ST,HAVEMEYER ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/15/2022 05:46:00 AM,01 BROOKLYN,3023837504,BROOKLYN,996007,199344,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71382216259796,-73.95759014923804,"(40.71382216259796, -73.95759014923804)"
53654268,03/15/2022 12:17:00 AM,03/15/2022 05:46:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11211,14 HOPE STREET,HOPE STREET,ROEBLING ST,HAVEMEYER ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/15/2022 05:46:00 AM,01 BROOKLYN,3023837503,BROOKLYN,996074,199312,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71373424095598,-73.95734852307764,"(40.71373424095598, -73.95734852307764)"
53650783,03/15/2022 12:01:00 AM,03/15/2022 05:48:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11222,401 MEEKER AVENUE,MEEKER AVENUE,RICHARDSON ST,MANHATTAN AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/15/2022 05:48:00 AM,01 BROOKLYN,,BROOKLYN,998967,201144,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71875830196515,-73.94690890423348,"(40.71875830196515, -73.94690890423348)"
