"inspection_no","inspection_date","violations","warnings"
"1070523115305","2023-06-30T17:30:00.000","0","0"
"1070523115018","2023-06-30T16:45:00.000","0","0"
"1070523115610","2023-06-30T15:25:00.000","0","0"
"1070523124719","2023-06-30T11:01:00.000","0","0"
"1070523123313","2023-06-30T11:00:00.000","0","0"
"1070523120205","2023-06-30T10:20:00.000","0","0"
"1070523115835","2023-06-30T10:00:00.000","0","0"
"1070523124545","2023-06-30T09:35:00.000","0","0"
"1070523123933","2023-06-30T08:06:00.000","0","0"
"1070523115734","2023-06-30T08:05:00.000","0","0"
"1070523123349","2023-06-30T07:25:00.000","0","0"
"1070523124837","2023-06-30T07:15:00.000","0","0"
"1063023085741","2023-06-29T18:45:00.000","0","0"
"1063023094346","2023-06-29T17:40:00.000","0","0"
"1063023094647","2023-06-29T17:15:00.000","0","0"
"1063023091716","2023-06-29T17:00:00.000","0","0"
"1063023091613","2023-06-29T16:45:00.000","0","0"
"1062923103956","2023-06-29T16:25:00.000","0","0"
"1010218062312","2023-06-29T16:21:00.000","0","0"
"1063023091455","2023-06-29T16:20:00.000","0","0"
"1063023092040","2023-06-29T16:00:00.000","0","0"
"1063023091417","2023-06-29T15:55:00.000","0","0"
"1063023094108","2023-06-29T15:45:00.000","0","0"
"1063023091330","2023-06-29T15:35:00.000","0","0"
"1063023091853","2023-06-29T15:30:00.000","0","0"
"1063023091928","2023-06-29T15:15:00.000","0","0"
"1063023092003","2023-06-29T14:40:00.000","0","0"
"1063023090527","2023-06-29T11:10:00.000","0","0"
"1063023094000","2023-06-29T11:05:00.000","0","0"
"1063023093659","2023-06-29T10:40:00.000","0","0"
"1063023093904","2023-06-29T10:30:00.000","0","0"
"1063023093755","2023-06-29T08:25:00.000","0","0"
"1063023090338","2023-06-29T07:20:00.000","0","0"
"1062923103009","2023-06-29T07:20:00.000","0","0"
"1062923103223","2023-06-29T03:45:00.000","0","0"
"1062923103403","2023-06-29T03:15:00.000","0","0"
"1062923103446","2023-06-29T03:00:00.000","0","0"
"1062923103302","2023-06-29T02:45:00.000","0","0"
"1062923103622","2023-06-29T02:30:00.000","0","0"
"1062923103733","2023-06-29T02:10:00.000","0","0"
"1062923103857","2023-06-29T01:50:00.000","0","0"
"1062823121201","2023-06-29T00:30:00.000","0","0"
"1062923104328","2023-06-28T18:50:00.000","0","0"
"1062923104106","2023-06-28T18:30:00.000","0","0"
"1062923104242","2023-06-28T18:10:00.000","0","0"
"1062923104913","2023-06-28T18:00:00.000","0","0"
"1062923104152","2023-06-28T17:50:00.000","0","0"
"1062923104420","2023-06-28T17:20:00.000","0","0"
"1062923104516","2023-06-28T16:50:00.000","0","0"
"1062923104612","2023-06-28T16:15:00.000","0","0"
"1062923104711","2023-06-28T15:50:00.000","0","0"
"1062923104816","2023-06-28T15:30:00.000","0","0"
"1062823122216","2023-06-28T12:20:00.000","0","0"
"1062823115406","2023-06-28T11:30:00.000","0","0"
"1062923102449","2023-06-28T10:55:00.000","0","0"
"1062923101617","2023-06-28T10:15:00.000","0","0"
"1062923102312","2023-06-28T10:00:00.000","0","0"
"1062923103133","2023-06-28T09:45:00.000","0","0"
"1062923105043","2023-06-28T09:20:00.000","0","0"
"1062923101339","2023-06-28T09:15:00.000","0","0"
"1062923105132","2023-06-28T09:00:00.000","0","0"
"1062923102906","2023-06-28T07:55:00.000","0","0"
"1062923102649","2023-06-28T07:15:00.000","0","0"
"1062823114735","2023-06-28T02:30:00.000","0","0"
"1062823115513","2023-06-28T01:20:00.000","0","0"
