"entity_name","entity_role","street_address","suite_apartment_number","city","state","postcode","country","owner_officer_1_first_name","owner_officer_1_last_name","individual_role_1","individual_title_1","officer_equivalent_1","owner_officer_2_first_name","owner_officer_2_last_name","individual_role_2","individual_title_2","officer_equivalent_2","owner_officer_3_first_name","owner_officer_3_last_name","individual_role_3","individual_title_3","officer_equivalent_3","owner_officer_4_first_name","owner_officer_4_last_name","individual_role_4","individual_title_4","officer_equivalent_4","owner_officer_5_first_name","owner_officer_5_last_name","individual_role_5","individual_title_5","officer_equivalent_5","borough","zipcode","assembly_district","election_district_","bin","bbl","community_board","council_district","census_tract","nta","latitude","longitude"
"JOSEPH L. BALKAN, INC.","Sub-Contractor","130-01 JAMAICA  Avenue",,"Richmond Hill","NEW YORK","11418","USA","David","Balkan","Officer","CEO","Chief Executive Officer",,,,,,,,,,,,,,,,,,,,,"Queens","11418","27","002","4193992","4092820026","09","29","14202","QN54","40.701855","-73.822060"
"BANTA HOMES CORP.","Contractor","90-11 160th Street",,"Jamaica","NEW YORK","11433","USA","Eric","Bluestone","Both","Mr.","Chief Operating Officer","Eric","Bluestone","Both","Mr",,"Eric","Bluestone","Both","Mr","Chief Operating Officer","Eric","Bluestone","Both","Mr.",,,,,,,"Queens","11432","32","003","4000000","4097577501","12","24","44601","QN61","40.704969","-73.799903"
"JOY CONSTRUCTION CORPORATION","Contractor","40 Fulton Street","21st floor","New York City","NEW YORK","10038","USA","Amnon","Shalhov","Both","President",,"Amnon","Shalhov","Owner","owner",,"Amnon","Shalhov","Owner","Owner",,"Amnon","Shalhov","Owner","President",,,,,,,"Manhattan","10038","65","005","1075618","1000750021","01","01","1502","MN25","40.707904","-74.004411"
"JOY CONSTRUCTION CORPORATION","Sub-Contractor","40 Fulton Street","21st floor","New York City","NEW YORK","10038","USA","Amnon","Shalhov","Both","President",,"Amnon","Shalhov","Owner","owner",,"Amnon","Shalhov","Owner","Owner",,"Amnon","Shalhov","Owner","President",,,,,,,"Manhattan","10038","65","005","1075618","1000750021","01","01","1502","MN25","40.707904","-74.004411"
"MONADNOCK CONSTRUCTION, INC.","Sub-Contractor","155 3rd Street",,"Brooklyn","NEW YORK","11231","USA","Greg","Bauso","Both","president",,"Greg","Bauso","Both","pres",,"Greg","Bauso","Owner","President",,"greg","Bauso","Officer","President",,"Greg","Bauso","Both","President","Chief Executive Officer","Brooklyn","11231","52","096","3255167","3004620014","06","39","77","BK33","40.676465","-73.990861"
"MONADNOCK CONSTRUCTION, INC.","Contractor","155 3rd Street",,"Brooklyn","NEW YORK","11231","USA","Greg","Bauso","Both","president",,"Greg","Bauso","Both","pres",,"Greg","Bauso","Owner","President",,"greg","Bauso","Officer","President",,"Greg","Bauso","Both","President","Chief Executive Officer","Brooklyn","11231","52","096","3255167","3004620014","06","39","77","BK33","40.676465","-73.990861"
"Mountco Construction","Contractor","700 White Plains Road",,"Scarsdale","NEW YORK","10583","USA","Joel","Mounty","Owner","President",,,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"A.A.D. CONSTRUCTION CORP.","Contractor","141 Dwight Street",,"Brooklyn","NEW YORK","11231","USA","ATHANASIOS","AMAXAS","Officer","Vice President",,"ATHANASIOS","AMAXAS","Both","President/CEO","Chief Executive Officer","Tom","Amaxas","Owner","President",,"Richard","Preiser","Officer","Project Manager",,"ATHANASIOS","AMAXAS","Owner","VICE PRESIDENT",,"Brooklyn","11231","51","054","3398518","3005780001","06","38","53","BK33","40.674832","-74.010451"
"L&M GROUP BUILDERS LLC","Contractor","1865 Palmer Ave","201","Larchmont","NEW YORK","8103","USA","Juri","Gerena","Officer","WCD Compliance",,"Juri","Gerena","Owner","Compliance Manager",,"Krystal","Peartree-McLean","Officer","Director of WCD",,"Lisa","Gomez","Officer","Partner",,"Juri","Gerena","Officer","Assistant Compliance Manager",,"Out of NYC",,,,,,,,,,,
"ERIN  CONSTRUCTION & DEVELOPMENT CO INC","Contractor","121 Lakeville Road",,"New Hyde Park","NEW YORK","11040","USA","John","Murnane","Owner","President",,"Officer1","Officer2","Owner","President",,"JOHN","MURNANE","Owner","PRESIDENT",,"John","Murnane","Both","Owner, President","Chief Executive Officer","John","Murnane","Owner","Owner",,"Out of NYC",,,,,,,,,,,
"APEX BUILDING COMPANY","Contractor","51 East 125th Street, 3rd Floor",,"New York City","NEW YORK","10035","USA","Robert","Horsford","Both","President/CEO","Chief Executive Officer","Robert","Horsford","Owner","President",,,,,,,,,,,,,,,,,"Manhattan","10035","68","082","1082075","1017500021","11","09","198","MN34","40.805605","-73.940309"
"TG NICKEL","Contractor","22 Colt  Court",,"Ronkonkoma","NEW YORK","11779","USA","Anthony","Consigli","Both","CEO","Chief Executive Officer",,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"REAL BUILDERS, INC","Contractor","77 Cuttermill  Road","Suite 308","Great Neck","NEW YORK","11021","USA","Daniel","Rad","Officer","Treasurer","Chief Financial Officer","DANIEL","RAD","Owner","TREASURER",,"Jacob","Rad","Owner","Owner",,"Daniel","Rad","Owner","Treasurer",,"Dan","Rad","Owner","Treasurer",,"Out of NYC",,,,,,,,,,,
"L. RISO & SONS CO., INC.","Contractor","36-35 Bell  Boulevard",,"Bayside","NEW YORK","11361","USA","James","Riso","Officer","Vice President",,"James","Riso","Officer","VICE PRESIDENT",,"James","Riso","Both","President",,"JAMES","RISO","Both","VICE PRESIDENT","Chief Executive Officer","James","Riso","Owner","President",,"Queens","11361","26","070","4136571","4061760058","11","19","1123","QN46","40.767772","-73.773154"
"HARRIS WATER MAIN & SEWER","Sub-Contractor","2600 Atlantic Avenue",,"Brooklyn","NEW YORK","11207","USA","Michael","Kayne","Officer","V.P of New Construction",,"Steven","Kogel","Both","President","Chief Executive Officer",,,,,,,,,,,,,,,,"Brooklyn","11207","55","040","3083486","3036850021","05","37","1198","BK82","40.675639","-73.898346"
"SOLAR PLUMBING DESIGN INC.","Sub-Contractor","373 South 1st Street","1","Brooklyn","NEW YORK","11211","USA","Jessica","Baldwin","Officer","President","Chief Executive Officer",,,,,,,,,,,,,,,,,,,,,"Brooklyn","11211","53","008","3062878","3023990024","01","34","513","BK73","40.710620","-73.952719"
"OTIS ELEVATOR CO.","Sub-Contractor","65 Fairchild Avenue",,"Plainview","NEW YORK","11803","USA","Jonathan","Shankman","Both",,,"Tyler","Boehme","Officer","Executive",,"Judy","Marks","Officer","CEO","Chief Executive Officer","Tyler","Boehme","Officer","Manager","Chief Executive Officer","Jim","Cramer","Both","President","Chief Executive Officer","Out of NYC",,,,,,,,,,,
"CROWN WATERPROOFING","Sub-Contractor","1 West Sandford Blvd.",,"Mount Vernon","NEW YORK","10550","USA","Gerard","Decina","Owner","President",,"Gerard","Derina","Both","owner","Chief Executive Officer","Gerard","Deuna","Officer","President",,"Gerard","Decina","Both","president","Chief Executive Officer","Gerard","Decina","Officer",,,"Out of NYC",,,,,,,,,,,
