"siteid","inspectionid","inpectiondate","location","question1","question2","_2_option1","_2_option2","_2_option3","_2_option4","_2_option5","_2_option6","_2_ticketnumber","_2_bikeidnumber","_2_multipleinstances","_2_ticketcomments","question3","_3_option1","_3_option2","_3_option3","_3_option4","_3_ticketnumber","_3_ticketcomments","question4","_4_option1","_4_option2","_4_option3","_4_option4","_4_ticketnumber","_4_ticketcomments","question5","question6","question7","question8","_8_option1","_8_option2","_8_option3","_8_ticketnumber","_8_bikeidnumber","_8_ticketcomments","question9","question10"
"7432.04","101536","2020-01-08T11:27:16.000Z","West 90th Street and Amsterdam Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5489.03","86743","2019-07-30T11:56:21.000Z","Kent Avenue and North 9th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6575.06","74497","2018-09-11T12:08:30.000Z","East 52nd Street and Second Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6865.03","78254","2018-12-13T12:42:50.000Z","21st Street and 31st Drive","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6551.03","86388","2019-07-18T13:45:34.000Z","East 43rd Street and Fifth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"3776.05","84860","2019-06-03T13:52:14.000Z","Montgomery Street and Franklin Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4637.06","83529","2019-05-01T13:40:30.000Z","Fulton Street and Adams Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5098.10","101796","2020-01-15T12:12:42.000Z","Peck Slip and Front Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5616.01","72820","2018-07-31T11:41:36.000Z","East 9th Street and Avenue C","No","No",,,,,"Yes",,,,"No","Flattened delineator near dock 9","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6115.09","81731","2019-03-14T13:22:49.000Z","West 15th Street and Tenth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
