"the_geom","job_number","job_type","residflag","nonresflag","job_status","compltyear","permityear","classainit","classaprop","classanet","hotelinit","hotelprop","otherbinit","otherbprop","unitsco","boro","bin","bbl","addressnum","addressst","occ_init","occ_prop","job_desc","datefiled","datepermit","datelstupd","datecomplt","zoningdst1","zoningdst2","zoningdst3","specldst1","specldst2","landmark","floorsinit","floorsprop","enlargemnt","ownership","cenblock10","bctcb2010","bct2010","nta2010","ntaname10","commntydst","councildst","schsubdist","schcommnty","schelmntry","schmiddle","firecmpany","firebattln","firedivsn","policepcnt","pl_firm07","pl_pfirm15","latitude","longitude","geomsource","dcpedited","version","location","bldg_class","centract10","cenblock20","centract20","bctcb2020","bct2020","nta2020","ntaname20","cdta2020","cdtaname20"
"POINT (989159.1296055019 202516.47854700685)","102151083","Alteration","Residential",,"5. Completed Construction","2011","2002","7.0","9.0","2.0","0","0","0","0","9.0","1","1076939","1003860063","215","EAST 3 STREET","Residential: Not Specified (RES)","Residential: Not Specified (RES)",,"2001-06-14T00:00:00.000","2002-01-25T00:00:00.000","2013-03-21T00:00:00.000","2011-08-31T00:00:00.000","R8B",,,,,,"4.0","6.0",,"Private For-Profit: Individual","360610026012001","10026012001","1002601","MN28","Lower East Side","103","02","1_3","01","502","81","E028","04","01","009",,,"40.7225445229","-73.9822909144","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9822909144 40.7225445229)","D7","36061002601","360610026012001","36061002601","10026012001","1002601","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)"
"POINT (989672.4405867606 191835.4395416677)","320592747","New Building","Residential",,"5. Completed Construction","2016","2014","0.0","228.0","228.0","0","0","0","0","228.0","3","3398227","3020617502","180","MYRTLE AVENUE","Empty Site","Residential: 3 or More Units (R-2)",,"2013-11-20T00:00:00.000","2014-07-25T00:00:00.000","2018-02-28T00:00:00.000","2016-08-19T00:00:00.000","R7-1","R6",,"DB",,,"0.0","15.0",,"Private For-Profit: Partnership","360470031001001","30031001001","3003100","BK68","Fort Greene","302","35","13_2","13","245","291","E210","31","11","088",,,"40.6932272928","-73.9804476556","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9804476556 40.6932272928)","D7","36047003100","360470031011001","36047003100","30031011001","3003101","BK0203","Fort Greene","BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)"
"POINT (997215.4724166691 222165.80637425184)","102632741","Alteration","Residential",,"5. Completed Construction","2014","2000","6.0","6.0","0.0","0","0","0","0","6.0","1","1048709","1015290026","1613","2 AVENUE","Residential: Not Specified (RES)","Residential: Not Specified (RES)",,"2000-05-25T00:00:00.000","2000-07-28T00:00:00.000","2009-01-14T00:00:00.000","2014-08-04T00:00:00.000","C1-9",,,"TA",,,"0.0","4.0",,"Private For-Profit: Corporation","360610138001000","10138001000","1013800","MN32","Yorkville","108","05","2_5","02","527","93","E022","10","03","019",,,"40.7764688369","-73.9531883892","BIN DOB buildingfootprints","classa_init","22Q4","POINT (-73.9531883892 40.7764688369)","S9","36061013800","360610138001000","36061013800","10138001000","1013800","MN0803","Upper East Side-Yorkville","MN08","MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)"
"POINT (1011888.4069815129 179155.04823583364)","320716481","Demolition","Residential",,"5. Completed Construction","2013","2013","1.0","0.0","-1.0","0","0","0","0","0.0","3","3085901","3038630039","646","JUNIUS STREET","Residential: Not Specified (RES)","Empty Site",,"2013-02-13T00:00:00.000","2013-04-30T00:00:00.000","2013-11-30T00:00:00.000","2013-04-30T00:00:00.000","M1-1",,,,,,"1.0","0.0",,"Private For-Profit: Corporation","360470920003010","30920003010","3092000","BK81","Brownsville","316","42","23_1","23","47","241","E257","58","15","073",,,"40.658381","-73.900387","Lat/Lon geosupport",,"22Q4","POINT (-73.900387 40.658381)","G7","36047092000","360470920004002","36047092000","30920004002","3092000","BK1602","Brownsville","BK16","BK16 Ocean Hill-Brownsville (CD 16 Approximation)"
"POINT (997507.7999160141 194528.7576458454)","320765891","Alteration","Residential",,"5. Completed Construction","2014","2014","4.0","4.0","0.0","0","0","0","0","4.0","3","3345992","3022447501","9","WALTON STREET","Residential: 3 or More Units (J-2)","Residential: 3 or More Units (R-2)",,"2013-06-19T00:00:00.000","2014-04-28T00:00:00.000","2014-10-24T00:00:00.000","2014-10-24T00:00:00.000","R7-1",,,,,,"4.0","5.0",,"Private For-Profit: Individual","360470531001000","30531001000","3053100","BK75","Bedford","301","33","14_1","14","33","306","E230","57","11","090",,,"40.7006115567","-73.9521873763","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9521873763 40.7006115567)","R0","36047053100","360470531022001","36047053100","30531022001","3053102","BK0103","South Williamsburg","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)"
"POINT (999948.6073703468 229055.05637525022)","103174084","New Building","Residential",,"5. Completed Construction","2011","2002","0.0","30.0","30.0","0","0","0","0","30.0","1","1087368","1016390027","167","EAST 111 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2002-05-23T00:00:00.000","2002-10-07T00:00:00.000","2015-06-05T00:00:00.000","2011-12-30T00:00:00.000","R7-2",,,,,,"0.0","6.0",,"Private For-Profit: Partnership","360610172001000","10172001000","1017200","MN33","East Harlem South","111","08","4_2","04","561","97","L026","12","03","023",,,"40.795373557","-73.9433040518","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9433040518 40.795373557)","D3","36061017200","360610172001000","36061017200","10172001000","1017200","MN1101","East Harlem (South)","MN11","MN11 East Harlem (CD 11 Equivalent)"
"POINT (983243.0252960026 210771.79012033343)","103202204","Alteration","Residential",,"5. Completed Construction","2010","2003","2.0","1.0","-1.0","0","0","0","0","1.0","1","1088679","1007180097","421","WEST 20 STREET","Residential: 1-2 Family Houses (J-3)","Residential: 1-2 Family Houses (J-3)","APPLICATION FILED TO CONVERT 2 FAMILY TO A SINGLE FAMILY RESIDENCE.","2002-07-09T00:00:00.000","2003-04-17T00:00:00.000","2013-03-07T00:00:00.000","2010-08-25T00:00:00.000","R7-2","R8",,,,,"4.0","4.0",,"Private For-Profit: Partnership","360610089004001","10089004001","1008900","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","104","03","2_3","02","516","94","E003","07","01","010",,,"40.7452046301","-74.0036355189","BIN DOB buildingfootprints",,"22Q4","POINT (-74.0036355189 40.7452046301)","W7","36061008900","360610089004001","36061008900","10089004001","1008900","MN0401","Chelsea-Hudson Yards","MN04","MN04 Chelsea-Hell's Kitchen (CD 4 Approximation)"
"POINT (985275.8197868466 206410.59543067217)","103312194","Alteration","Residential",,"5. Completed Construction","2014","2002","420.0","419.0","-1.0","0","0","0","0","419.0","1","1009482","1005730043","24","5 AVENUE","Residential: Not Specified (RES)","Residential: 3 or More Units (J-0)",,"2002-11-13T00:00:00.000","2002-11-19T00:00:00.000","2022-11-17T00:00:00.000","2014-09-29T00:00:00.000","R10","R6",,,,"Yes","15.0","15.0",,"Private For-Profit: Corporation","360610063003000","10063003000","1006300","MN23","West Village","102","03","2_2","02","875","94","E033","06","01","006",,,"40.7332342289","-73.996300032","BIN DOB buildingfootprints",,"22Q4","POINT (-73.996300032 40.7332342289)","D4","36061006300","360610063003000","36061006300","10063003000","1006300","MN0202","Greenwich Village","MN02","MN02 Greenwich Village-SoHo (CD 2 Equivalent)"
"POINT (1000573.2363704294 226654.63401076198)","103368160","New Building","Residential",,"5. Completed Construction","2010","2005","0.0","8.0","8.0","0","0","0","0","8.0","1","1088159","1016767505","2027","1 AVENUE","Empty Site","Residential: 3 or More Units (J-2)",,"2003-02-10T00:00:00.000","2005-08-10T00:00:00.000","2010-12-21T00:00:00.000","2010-02-11T00:00:00.000","R7-2","C2-5",,,,,"0.0","9.0",,"Private For-Profit: Corporation","360610170003001","10170003001","1017000","MN33","East Harlem South","111","08","4_1","04","562","97","L043","10","03","023","1","1","40.7887839135","-73.9410539639","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9410539639 40.7887839135)","R0","36061017000","360610170003001","36061017000","10170003001","1017000","MN1101","East Harlem (South)","MN11","MN11 East Harlem (CD 11 Equivalent)"
"POINT (997341.3373224288 168603.34197708964)","320432000","New Building","Residential",,"5. Completed Construction","2021","2012","0.0","1.0","1.0","0","0","0","0","1.0","3","3424428","3075700019","861","EAST 24 STREET","Empty Site","Residential: 1-2 Family Houses (R-3)","FILED HEREWITH NEW BUILDING APPLICATION TO REPLACE ALTERATION APPLICATION #320122050.","2012-02-17T00:00:00.000","2012-06-19T00:00:00.000","2021-06-16T00:00:00.000","2021-06-16T00:00:00.000","R4",,,,,,"0.0","3.0",,"Private For-Profit: Individual","360470772002007","30772002007","3077200","BK42","Flatbush","314","45","22_1","22","15","210","L157","41","15","070",,,"40.6294522915","-73.9528380579","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9528380579 40.6294522915)","A1","36047077200","360470772002006","36047077200","30772002006","3077200","BK1401","Flatbush","BK14","BK14 Flatbush-Midwood (CD 14 Approximation)"
