"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","ratecodeid","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount","pickup_location","dropoff_location"
"CMT","2009-10-19T11:55:28.000","2009-10-19T12:05:31.000","3","1.6000000000000001","-73.975932","40.757857000000001",,"0","-73.977373999999998","40.772641999999998","Cash","7.7000000000000002","0","0","0","0","7.7000000000000002","POINT (-73.975932 40.757857)","POINT (-73.977374 40.772642)"
"VTS","2009-01-09T08:42:00.000","2009-01-09T08:57:00.000","5","2.9900000000000002","-73.952866999999998","40.771988",,,"-73.982062999999997","40.748268000000003","Credit","13.300000000000001","0",,"2","0","15.300000000000001","POINT (-73.952867 40.771988)","POINT (-73.982063 40.748268)"
"VTS","2009-05-06T17:25:00.000","2009-05-06T17:30:00.000","1","0.70999999999999996","-73.989492999999996","40.735745000000001",,,"-73.981390000000005","40.741095000000001","CASH","4.9000000000000004","1",,"0","0","5.9000000000000004","POINT (-73.989493 40.735745)","POINT (-73.98139 40.741095)"
"CMT","2009-07-30T23:11:29.000","2009-07-30T23:23:13.000","1","3.2999999999999998","-74.010063000000002","40.720880000000001",,"0","-73.988804999999999","40.749876","Credit","10.5","0",,"1","0","11.5","POINT (-74.010063 40.72088)","POINT (-73.988805 40.749876)"
"VTS","2009-01-22T09:52:00.000","2009-01-22T09:59:00.000","5","1.1399999999999999","-73.975866999999994","40.758453000000003",,,"-73.973568","40.749091999999997","CASH","5.7000000000000002","0",,"0","0","5.7000000000000002","POINT (-73.975867 40.758453)","POINT (-73.973568 40.749092)"
"CMT","2009-03-26T08:47:35.000","2009-03-26T08:53:35.000","1","0.59999999999999998","0","0",,"0","0","0","Cash","4.9000000000000004","0",,"0","0","4.9000000000000004","POINT (0 0)","POINT (0 0)"
"CMT","2009-05-09T23:00:16.000","2009-05-09T23:04:16.000","1","0.59999999999999998","-73.947592","40.790346",,"0","-73.947168000000005","40.796858999999998","Cash","4.5","0",,"0","0","4.5","POINT (-73.947592 40.790346)","POINT (-73.947168 40.796859)"
"CMT","2009-02-08T18:39:29.000","2009-02-08T18:45:28.000","1","1.2","-74.008189000000002","40.738703000000001",,,"-73.994697000000002","40.750464000000001","Cash","5.7000000000000002","0",,"0","0","5.7000000000000002","POINT (-74.008189 40.738703)","POINT (-73.994697 40.750464)"
"CMT","2009-11-20T12:28:53.000","2009-11-20T12:44:55.000","2","2.3999999999999999","-73.970851999999994","40.764206000000001",,"0","-73.997517000000002","40.749307999999999","Cash","10.5","0","0.5","0","0","11","POINT (-73.970852 40.764206)","POINT (-73.997517 40.749308)"
"VTS","2009-03-03T08:54:00.000","2009-03-03T09:10:00.000","1","2.75","-73.995298000000005","40.725250000000003",,,"-73.976586999999995","40.757041999999998","Credit","10.5","0",,"2","0","12.5","POINT (-73.995298 40.72525)","POINT (-73.976587 40.757042)"
"CMT","2009-10-30T22:01:39.000","2009-10-30T22:16:19.000","1","2","-74.00882","40.718266999999997",,"0","-73.985695000000007","40.727828000000002","Cash","9.3000000000000007","0.5","0","0","0","9.8000000000000007","POINT (-74.00882 40.718267)","POINT (-73.985695 40.727828)"
"CMT","2009-06-15T14:51:09.000","2009-06-15T14:58:28.000","1","0.90000000000000002","-74.002756000000005","40.760613999999997",,"0","-73.993757000000002","40.752304000000002","Cash","6.0999999999999996","0",,"0","0","6.0999999999999996","POINT (-74.002756 40.760614)","POINT (-73.993757 40.752304)"
"VTS","2009-01-30T13:02:00.000","2009-01-30T13:13:00.000","5","1.21","-73.958577000000005","40.775548000000001",,,"-73.954246999999995","40.764302999999998","Credit","7.2999999999999998","0",,"2","0","9.3000000000000007","POINT (-73.958577 40.775548)","POINT (-73.954247 40.764303)"
"CMT","2009-04-17T07:13:16.000","2009-04-17T07:24:34.000","1","2.6000000000000001","-73.966761000000005","40.788930999999998",,"0","-73.970669999999998","40.758957000000002","Cash","9.6999999999999993","0",,"0","0","9.6999999999999993","POINT (-73.966761 40.788931)","POINT (-73.97067 40.758957)"
"CMT","2009-07-09T19:57:55.000","2009-07-09T20:05:19.000","3","1.1000000000000001","-73.994086999999993","40.703330999999999",,"0","-73.992498999999995","40.689256","Cash","6.0999999999999996","0",,"0","0","6.0999999999999996","POINT (-73.994087 40.703331)","POINT (-73.992499 40.689256)"
"DDS","2009-02-26T23:14:08.000","2009-02-26T23:25:15.000","2","1.1000000000000001","-73.972988000000001","40.759723999999999",,,"-73.982416000000001","40.775886999999997","CREDIT","5.7000000000000002","0.5",,"1","0","7.2000000000000002","POINT (-73.972988 40.759724)","POINT (-73.982416 40.775887)"
