"borough","ntaname","zipcode","dropoff_sitename","address","number","dsny_district","dsny_section","dsny_zone","community_district","censustract","councildist","senate_district","congressional_district","assembly_district","policeprec","bin","bbl","latitude","longitude","objectid","point"
"Staten Island","New Springville-Willowbrook-Bulls Head-Travis","10314","Best Buy","2795 Richmond Ave","2795 Richmond Ave","SI02","SI024","SI","502","5027702","51","24","11","63","121","5108454","5024400002","40.57695637","-74.16738911","24","POINT (-74.1673906013506 40.5769645937232)"
"Queens","Glendale","11374","Staples","90-30 Metropolitan Ave","90-30 Metropolitan Ave","QW06","QW062","QW","406","4063700","29","15","6","28","112","4095021","4038840034","40.71103454","-73.85841309","93","POINT (-73.8584144913626 40.7110428013713)"
"Manhattan","Greenwich Village","10003","Staples","769 Broadway","769 Broadway","MN02","MN023","MN","102","1005900","2","27","10","66","006","1009092","1005607503","40.73105907","-73.99228685","5","POINT (-73.9922882951738 40.7310673305055)"
"Bronx","Pelham Parkway-Van Nest","10462","Staples","2040 White Plains Rd","2040 White Plains Rd","BX11","BX111","BX","211","2022404","13","33","15","80","049","2114768","2042847501","40.85207672","-73.86737946","88","POINT (-73.8673808728997 40.852085008891)"
"Bronx","Fordham Heights","10468","Salvation Army","2359 Jerome Ave","2359 Jerome Ave","BX07","BX071","BX","207","2023900","14","33","13","86","052","2014279","2031980081","40.860358","-73.9030775","83","POINT (-73.9030789241714 40.8603662892719)"
"Manhattan","Midtown South-Flatiron-Union Square","10003","Staples","5-9 Union Square W","5-9 Union Square W","MN05","MN051","MN","105","1005200","2","28","10","66","013","1016064","1008420023","40.7354498","-73.9915753","37","POINT (-73.9915767451867 40.7354580617546)"
"Manhattan","Upper East Side-Carnegie Hill","10028","Staples","1280 Lexington Ave","1280 Lexington Ave","MN08","MN084","MN","108","1014802","4","28","12","73","019","1047955","1015157502","40.7798872","-73.9557037","51","POINT (-73.9557051369693 40.7798954711018)"
"Bronx","Concourse-Concourse Village","10451","Best Buy","610 Exterior St","610 Exterior St","BX04","BX041","BX","204","2006301","8","29","15","77","044","2119100","2023570035","40.82153924","-73.92977867","69","POINT (-73.9297801004124 40.8215475203226)"
"Bronx","Kingsbridge-Marble Hill","10463","Best Buy","171 W 230th St, Ste. 103","171 W 230th St, Ste. 103","BX08","BX082","BX","208","2028300","11","31","13","81","050",,,"40.87728015","-73.90491584","56","POINT (-73.9049172657609 40.8772884421362)"
"Brooklyn","Flatlands","11234","Staples","1760 Utica Ave","1760 Utica Ave","BKS18","BKS187","BKS","318","3072800","45","21","9","41","063","3215584","3077750051","40.62921082","-73.92835207","68","POINT (-73.928353488374 40.6292190625463)"
