"service_id","organization_id","name","status"
"116","23","PSYCHOSOCIAL CLUB",
"1","1","CUSTOMIZED ASSISTANCE SERVICES (CAS)",
"2","1","LEGAL SERVICES INITIATIVES",
"3","1","LEGAL SERVICES",
"4","2","CUSTOMIZED ASSISTANCE SERVICES (CAS)",
"5","2","LEGAL SERVICES INITIATIVES",
"6","2","LEGAL SERVICES NYC","Master Contract with Public Health Solutions"
"7","2","LEGAL SERVICES",
"8","3","CAREERCOMPASS",
"9","3","CAREERADVANCE",
"10","3","JOBS-PLUS","NYCHA ONLY"
"11","3","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"12","3","YOUTHPATHWAYS","HRA CLIENTS ONLY"
"13","3","AFTERSCHOOL PROGRAMS",
"14","3","IMMIGRANT SERVICES",
"15","3","ASSISTED COMPETITIVE EMPLOYMENT",
"16","3","PSYCHOSOCIAL CLUB",
"17","3","ADVOCACY SERVICES",
"18","4","CAREERCOMPASS",
"19","4","CAREERADVANCE",
"20","4","YOUTHPATHWAYS","HRA CLIENTS ONLY"
"21","5","CAREERCOMPASS",
"22","5","CAREERADVANCE",
"23","5","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"24","5","YOUTHPATHWAYS","HRA CLIENTS ONLY"
"25","5","JOBS & INTERNSHIPS",
"26","5","PSYCHOSOCIAL CLUB",
"27","6","CAREERCOMPASS",
"28","7","CAREERCOMPASS",
"29","8","CAREERCOMPASS",
"30","8","CAREERADVANCE",
"31","8","JOBS-PLUS","NYCHA ONLY"
"32","8","JOBS & INTERNSHIPS",
"33","9","CAREERCOMPASS",
"34","9","CAREERADVANCE",
"35","9","YOUTHPATHWAYS","HRA CLIENTS ONLY"
"36","10","CAREERADVANCE",
"37","10","HIV/AIDS SERVICES ADMINISTRATION (HASA)","HRA Staff Closed to Public"
"38","10","LEGAL SERVICES INITIATIVES",
"39","10","HIV HOUSING",
"40","10","FOOD AND NUTRITION","Master Contract with Public Health Solutions"
"41","10","HIV TESTING SERVICES: SOCIAL NETWORK STRATEGY TESTING IN NON-CLINICAL SETTINGS","Master Contract with Public Health Solutions"
"42","10","TRANSITIONAL CARE COORDINATION","Master Contract with Public Health Solutions"
"43","10","EARLY INTERVENTION SERVICES: PRIORITY POPULATIONS TESTING IN NON-CLINICAL SETTINGS","Master Contract with Public Health Solutions"
"44","10","SHORT-TERM RENTAL ASSISTANCE","Master Contract with Public Health Solutions"
"117","23","ADVOCACY SERVICES",
"45","10","SUPPORTIVE COUNSELING & FAMILY STABILIZATION SERVICES - GENERAL","Master Contract with Public Health Solutions"
"46","10","CITY COUNCIL INITIATIVES [574]","Master Contract with Public Health Solutions"
"47","10","OUTREACH AND EDUCATION IN CBOS","Master Contract with Public Health Solutions"
"48","10","HARM REDUCTION SERVICES","Master Contract with Public Health Solutions"
"49","10","MENTAL HEALTH SERVICES","Master Contract with Public Health Solutions"
"50","10","LEGAL SERVICES NYC","Master Contract with Public Health Solutions"
"51","11","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"52","11","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"53","11","LEGAL SERVICES INITIATIVES",
"54","12","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"55","12","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"56","12","AFTERSCHOOL PROGRAMS",
