"hvfhs_license_num","dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"HV0003","B02864","2020-01-01T00:45:34.000","2020-01-01T01:02:20.000","148","90",
"HV0003","B02682","2020-01-01T00:47:50.000","2020-01-01T00:53:23.000","114","79",
"HV0003","B02764","2020-01-01T00:04:37.000","2020-01-01T00:21:49.000","4","125",
"HV0003","B02764","2020-01-01T00:26:36.000","2020-01-01T00:33:00.000","231","113",
"HV0003","B02764","2020-01-01T00:37:49.000","2020-01-01T00:46:59.000","114","144",
"HV0003","B02764","2020-01-01T00:49:23.000","2020-01-01T01:07:26.000","144","137",
"HV0003","B02870","2020-01-01T00:21:11.000","2020-01-01T00:36:58.000","249","148",
"HV0003","B02870","2020-01-01T00:38:28.000","2020-01-01T00:42:38.000","148","4",
"HV0003","B02870","2020-01-01T00:46:26.000","2020-01-01T01:09:55.000","79","7",
"HV0003","B02836","2020-01-01T00:15:35.000","2020-01-01T00:23:21.000","140","236",
"HV0003","B02836","2020-01-01T00:28:04.000","2020-01-01T01:13:35.000","75","149",
"HV0003","B02875","2020-01-01T00:14:22.000","2020-01-01T00:40:02.000","33","229",
"HV0003","B02875","2020-01-01T00:45:02.000","2020-01-01T00:59:11.000","229","74",
"HV0003","B02764","2020-01-01T00:16:55.000","2020-01-01T00:42:36.000","114","238",
"HV0003","B02617","2020-01-01T00:40:01.000","2020-01-01T00:45:22.000","85","89",
"HV0003","B02617","2020-01-01T00:55:45.000","2020-01-01T01:25:10.000","61","202",
"HV0003","B02883","2020-01-01T00:28:57.000","2020-01-01T01:18:07.000","162","265",
"HV0003","B02872","2020-01-01T00:20:35.000","2020-01-01T00:22:35.000","71","71",
"HV0003","B02872","2020-01-01T00:26:49.000","2020-01-01T00:35:32.000","71","35",
"HV0003","B02872","2020-01-01T00:45:19.000","2020-01-01T01:07:05.000","61","76",
"HV0005","B02510","2020-01-01T00:47:44.000","2020-01-01T00:55:29.000","113","170",
"HV0005","B02510","2020-01-01T00:58:37.000","2020-01-01T01:15:57.000","162","79",
"HV0003","B02764","2020-01-01T00:19:26.000","2020-01-01T00:38:25.000","87","79",
"HV0005","B02510","2020-01-01T00:14:01.000","2020-01-01T00:35:47.000","50","186",
"HV0005","B02510","2020-01-01T00:46:13.000","2020-01-01T01:46:38.000","186","6","1"
"HV0005","B02510","2020-01-01T00:06:52.000","2020-01-01T00:24:13.000","145","95",
"HV0005","B02510","2020-01-01T00:28:18.000","2020-01-01T00:45:13.000","95","226",
"HV0005","B02510","2020-01-01T00:47:51.000","2020-01-01T00:55:47.000","226","7",
"HV0003","B02682","2020-01-01T00:16:17.000","2020-01-01T00:50:37.000","211","265",
"HV0005","B02510","2020-01-01T00:19:35.000","2020-01-01T00:37:30.000","255","49",
"HV0005","B02510","2020-01-01T00:41:21.000","2020-01-01T01:06:08.000","189","36",
"HV0003","B02882","2020-01-01T00:25:03.000","2020-01-01T00:37:34.000","237","229",
"HV0003","B02869","2020-01-01T00:17:54.000","2020-01-01T00:46:25.000","249","36",
"HV0003","B02869","2020-01-01T00:54:51.000","2020-01-01T01:14:53.000","37","177",
"HV0005","B02510","2020-01-01T00:43:30.000","2020-01-01T01:23:49.000","148","85","1"
"HV0005","B02510","2020-01-01T00:53:32.000","2020-01-01T01:09:38.000","148","17","1"
"HV0003","B02764","2020-01-01T00:51:12.000","2020-01-01T01:08:50.000","164","140",
"HV0003","B02836","2020-01-01T00:06:11.000","2020-01-01T00:20:25.000","229","148",
"HV0003","B02836","2020-01-01T00:21:27.000","2020-01-01T00:33:12.000","148","33",
"HV0003","B02836","2020-01-01T00:41:40.000","2020-01-01T00:56:17.000","54","249",
"HV0003","B02875","2020-01-01T00:31:21.000","2020-01-01T00:47:32.000","68","13",
"HV0003","B02875","2020-01-01T00:54:17.000","2020-01-01T01:10:00.000","231","25",
"HV0003","B02887","2020-01-01T00:18:47.000","2020-01-01T00:41:46.000","170","166",
"HV0003","B02887","2020-01-01T00:46:24.000","2020-01-01T00:48:10.000","166","166",
"HV0003","B02887","2020-01-01T00:56:04.000","2020-01-01T01:19:51.000","24","170",
"HV0003","B02764","2020-01-01T00:47:17.000","2020-01-01T01:01:42.000","33","233",
"HV0003","B02764","2020-01-01T00:50:09.000","2020-01-01T01:09:54.000","52","107",
"HV0005","B02510","2020-01-01T00:09:32.000","2020-01-01T00:26:00.000","166","263",
"HV0005","B02510","2020-01-01T00:30:00.000","2020-01-01T00:42:15.000","263","239",
"HV0005","B02510","2020-01-01T00:47:04.000","2020-01-01T01:15:29.000","238","159",
"HV0003","B02764","2020-01-01T00:41:13.000","2020-01-01T01:14:53.000","237","181",
"HV0005","B02510","2020-01-01T00:27:12.000","2020-01-01T00:43:57.000","148","164",
"HV0003","B02765","2020-01-01T00:10:54.000","2020-01-01T00:21:48.000","246","143",
"HV0003","B02765","2020-01-01T00:27:18.000","2020-01-01T00:32:09.000","142","48",
"HV0003","B02765","2020-01-01T00:43:46.000","2020-01-01T01:02:25.000","48","68",
"HV0003","B02764","2020-01-01T00:13:06.000","2020-01-01T00:20:40.000","37","17",
"HV0003","B02764","2020-01-01T00:27:20.000","2020-01-01T00:42:41.000","49","255",
"HV0003","B02764","2020-01-01T00:47:47.000","2020-01-01T00:59:15.000","80","80",
"HV0003","B02764","2020-01-01T00:59:53.000","2020-01-01T01:15:40.000","138","75",
"HV0003","B02882","2020-01-01T00:44:37.000","2020-01-01T01:25:22.000","231","238",
"HV0003","B02872","2020-01-01T00:28:30.000","2020-01-01T00:37:01.000","162","170",
"HV0003","B02872","2020-01-01T00:43:38.000","2020-01-01T01:08:44.000","233","89",
"HV0004","B02800","2020-01-01T00:20:07.000","2020-01-01T00:55:06.000","36","75","1"
"HV0004","B02800","2020-01-01T00:24:57.000","2020-01-01T01:15:22.000","36","116","1"
"HV0003","B02882","2020-01-01T00:23:21.000","2020-01-01T00:36:03.000","249","224",
"HV0003","B02882","2020-01-01T00:50:09.000","2020-01-01T01:10:26.000","261","255",
"HV0003","B02764","2020-01-01T00:15:36.000","2020-01-01T00:35:00.000","234","162",
"HV0003","B02764","2020-01-01T00:43:52.000","2020-01-01T00:58:30.000","141","4",
"HV0003","B02617","2020-01-01T00:20:29.000","2020-01-01T00:37:23.000","236","107",
"HV0003","B02617","2020-01-01T00:39:26.000","2020-01-01T00:56:43.000","107","209",
"HV0003","B02617","2020-01-01T00:59:50.000","2020-01-01T01:38:37.000","209","50",
"HV0003","B02682","2020-01-01T00:25:15.000","2020-01-01T00:44:55.000","161","164",
"HV0003","B02682","2020-01-01T00:52:26.000","2020-01-01T01:06:09.000","234","161",
"HV0003","B02617","2020-01-01T00:14:03.000","2020-01-01T00:35:02.000","255","170",
"HV0003","B02617","2020-01-01T00:41:37.000","2020-01-01T01:01:16.000","164","79",
"HV0004","B02800","2020-01-01T00:30:57.000","2020-01-01T00:58:01.000","224","41","1"
"HV0004","B02800","2020-01-01T00:44:38.000","2020-01-01T00:52:59.000","141","75","1"
"HV0005","B02510","2020-01-01T00:57:45.000","2020-01-01T01:12:48.000","65","256",
"HV0003","B02765","2020-01-01T00:20:10.000","2020-01-01T00:41:45.000","36","80","1"
"HV0003","B02765","2020-01-01T00:25:21.000","2020-01-01T00:41:38.000","37","80","1"
"HV0003","B02879","2020-01-01T00:05:52.000","2020-01-01T00:22:09.000","234","209",
"HV0003","B02879","2020-01-01T00:23:48.000","2020-01-01T00:34:40.000","209","79",
"HV0003","B02879","2020-01-01T00:36:07.000","2020-01-01T01:03:36.000","79","239",
"HV0003","B02880","2020-01-01T00:07:13.000","2020-01-01T00:21:44.000","181","228",
"HV0003","B02880","2020-01-01T00:25:55.000","2020-01-01T00:57:25.000","228","77",
"HV0003","B02764","2020-01-01T00:14:05.000","2020-01-01T00:27:26.000","249","137",
"HV0003","B02764","2020-01-01T00:38:17.000","2020-01-01T00:56:40.000","107","179",
"HV0003","B02764","2020-01-01T00:59:39.000","2020-01-01T01:05:00.000","7","7",
"HV0003","B02764","2020-01-01T00:31:20.000","2020-01-01T00:51:41.000","114","161",
"HV0003","B02888","2020-01-01T00:40:44.000","2020-01-01T00:58:30.000","163","164",
"HV0003","B02872","2020-01-01T00:07:32.000","2020-01-01T00:20:50.000","140","74",
"HV0003","B02872","2020-01-01T00:25:00.000","2020-01-01T00:34:43.000","74","166",
"HV0005","B02510","2020-01-01T00:29:48.000","2020-01-01T00:50:33.000","231","229",
"HV0005","B02510","2020-01-01T00:54:52.000","2020-01-01T01:17:16.000","162","255","1"
"HV0005","B02510","2020-01-01T00:58:29.000","2020-01-01T01:30:11.000","162","36","1"
"HV0003","B02764","2020-01-01T00:13:00.000","2020-01-01T00:39:11.000","90","68",
"HV0003","B02764","2020-01-01T00:46:42.000","2020-01-01T01:07:22.000","90","48",
"HV0003","B02682","2020-01-01T00:18:02.000","2020-01-01T00:31:07.000","181","181",
"HV0003","B02682","2020-01-01T00:35:05.000","2020-01-01T01:24:39.000","181","239",
"HV0005","B02510","2020-01-01T00:17:24.000","2020-01-01T00:28:03.000","161","164",
