"centername","legalname","building","street","borough","zipcode","phone","permitnumber","permitexp","status","agerange","maximumcapacity","dc_id","programtype","facilitytype","childcaretype","bin","url","datepermitted","actual","violationratepercent","violationavgratepercent","totaleducationalworkers","averagetotaleducationalworkers","publichealthhazardviolationrate","averagepublichealthhazardiolationrate","criticalviolationrate","avgcriticalviolationrate","inspectiondate","regulationsummary","violationcategory","healthcodesubsection","violationstatus","inspectionsummaryresult"
"JACKSON CHILDREN'S SERVICES, INC.","JACKSON CHILDREN'S SERVICES, INC.","88-23","31 AVENUE","QUEENS","11369","718-205-1919","105769","2024-08-10T00:00:00.000","Permitted","2 YEARS - 5 YEARS","30","DC40674","PRESCHOOL","GDC","Child Care - Pre School","4033431",,"2022-08-10T15:09:52.000","Y","50","21.905","7","11.9769","0","6.1285","50","18.9541","2022-12-07T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","OPEN","Initial Annual Inspection - Reinspection Not Required"
"JACKSON CHILDREN'S SERVICES, INC.","JACKSON CHILDREN'S SERVICES, INC.","88-23","31 AVENUE","QUEENS","11369","718-205-1919","105769","2024-08-10T00:00:00.000","Permitted","2 YEARS - 5 YEARS","30","DC40674","PRESCHOOL","GDC","Child Care - Pre School","4033431",,"2022-08-10T15:09:52.000","Y","50","21.905","7","11.9769","0","6.1285","50","18.9541","2022-12-07T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","OPEN","Initial Annual Inspection - Reinspection Not Required"
"ATERET TORAH CENTER","BET YAAKOV ATERET TORAH","2166","CONEY ISLAND AVENUE","BROOKLYN","11223","718-375-7100",,"2115-01-23T00:00:00.000","Active","3 YEARS - 5 YEARS","0","DC20651","PRESCHOOL","SBCC","School Based Child Care","3394079",,,,"50","45.1817","6","8.0094","0","23.3017","50","35.2291","2022-10-20T00:00:00.000","School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.","GENERAL","43.11(b)","OPEN","Initial Annual Inspection - Reinspection Required"
"PACKER SUMMER 2022","PACKER COLLEGIATE INSTITUTE","170","Joralemon Street","BROOKLYN","11201","718-250-0259","33693","2022-09-15T00:00:00.000","Expired-In Renewal","0 YEARS - 16 YEARS","300","DC23302","ALL AGE CAMP","Camp","Camp","3391484","www.packer.edu/summer","2013-05-14T00:00:00.000","N","0","26.8868","0","1","0","14.2558","0","21.8553","2022-06-22T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"THE LEARNING EXPERIENCE","RIVERDALE CHILDCARE EXPERIENCE, LLC","3210","Riverdale Avenue","BRONX","10463","718-708-5884","97738","2023-09-28T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC32914","PRESCHOOL","GDC","Child Care - Pre School","2083672","www.thelearningexperience.com","2015-09-28T00:00:00.000","Y",,,"26","11.9769",,,,,"2021-11-05T00:00:00.000","At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.","GENERAL","47.25(a)(1)","CORRECTED",
"THE LEARNING EXPERIENCE","RIVERDALE CHILDCARE EXPERIENCE, LLC","3210","Riverdale Avenue","BRONX","10463","718-708-5884","97738","2023-09-28T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC32914","PRESCHOOL","GDC","Child Care - Pre School","2083672","www.thelearningexperience.com","2015-09-28T00:00:00.000","Y",,,"26","11.9769",,,,,"2021-11-05T00:00:00.000","At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.","GENERAL","47.25(a)(1)","CORRECTED",
"KID KRAZY, INC.","KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II","21-35","21 AVENUE","QUEENS","11105","718-545-5728","7278","2024-07-21T00:00:00.000","Permitted","2 YEARS - 5 YEARS","24","DC2276","PRESCHOOL","GDC","Child Care - Pre School","4447571","kidkrazypreschool.com","2003-12-16T00:00:00.000","Y","0","21.905","10","11.9769","0","6.1285","0","18.9541","2022-01-19T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"KID KRAZY, INC.","KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II","21-35","21 AVENUE","QUEENS","11105","718-545-5728","7278","2024-07-21T00:00:00.000","Permitted","2 YEARS - 5 YEARS","24","DC2276","PRESCHOOL","GDC","Child Care - Pre School","4447571","kidkrazypreschool.com","2003-12-16T00:00:00.000","Y","0","21.905","10","11.9769","0","6.1285","0","18.9541","2022-01-19T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"BLOCK INSTITUTE SCHOOL","BLOCK INSTITUTE SCHOOL","376","BAY 44 STREET","BROOKLYN","11214","718-906-5400","6006","2024-01-28T00:00:00.000","Permitted","2 YEARS - 5 YEARS","208","DC10875","PRESCHOOL","GDC","Child Care - Pre School","3187874","blockinstitute.org","2004-11-09T00:00:00.000","N","33.3333","21.905","61","11.9769","0","6.1285","33.3333","18.9541","2021-05-19T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"ALL MY CHILDREN DAY CARE & NURSERY SCHOOL","ALL MY CHILDREN DAY CARE & NURSERY SCHOOL","110","RIDGE STREET","MANHATTAN","10002","212-466-6262","73219","2024-09-11T00:00:00.000","Permitted","2 YEARS - 5 YEARS","59","DC31943","PRESCHOOL","GDC","Child Care - Pre School","1004096","www.allmychildrendaycare.com","2014-09-11T00:00:00.000","Y","0","21.905","8","11.9769","0","6.1285","0","18.9541","2022-07-07T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
