"project_name","project_address_es","application_year"
"Westchester Point Apartments","899 Westchester Avenue","2013"
"Utica Place Residential","1373 Lincoln Place","2013"
"Gateway Elton Phase II","526 Schroeders Avenue","2013"
"Gateway Elton Phase II","516 Vandalia Avenue","2013"
"Gateway Elton Phase II","524 Vandalia Avenue","2013"
"101 Avenue D aka Lower East Side Girls Club","101 Avenue D","2013"
"Barrier Free Living","637 East 138th Street","2013"
"Barrier Free Living","616 East 139th Street","2013"
"Hunters Point South - Borden Avenue","1-55 Borden Avenue","2013"
"Hunters Point South - 50th Avenue","1-50 50th Avenue","2013"
"WHFA Creston","2323 Creston Avenue","2013"
"WHFA Creston","2333 Creston Avenue","2013"
"WHFA Creston","2239-2241 Creston Avenue","2013"
"1016 Washington","1016 Washington Avenue","2013"
"456 Washington","456 Washington Street","2013"
"The Rubin Wolf Residences","3629-3645 White Plains Road","2013"
"Mother Arnetta Crawford","1500 Hoe Avenue","2013"
"Creston Heights","2414 Briggs Avenue","2013"
"Creston Heights","2414 Briggs Avenue","2013"
"Creston Heights","233 Grand Avenue","2013"
"Creston Heights","2279 Tiebout Avenue","2013"
"Longwood Residence","999 Eat 163rd Street","2013"
"Longwood Residence","930 Fox Street","2013"
"Longwood Residence","940 Fox Street","2013"
"Longwood Residence","940 Simpson Street","2013"
"Longwood Residence","941 Simpson Street","2013"
"Longwood Residence","755 Southern Boulevard","2013"
"Longwood Residence","765 Southern Boulevard","2013"
"Longwood Residence","775 Southern Boulevard","2013"
"Longwood Residence","783 Southern Boulevard","2013"
"Carmel Apartments","2 Carmel Court","2013"
"Carmel Apartments","5 Carmel Court","2013"
"Carmel Apartments","12 Carmel Court","2013"
"Carmel Apartments","15 Carmel Court","2013"
"Carmel Apartments","21 Carmel Court","2013"
"Carmel Apartments","22 Carmel Court","2013"
"Carmel Apartments","32 Carmel Court","2013"
"Carmel Apartments","33 Carmel Court","2013"
"Carmel Apartments","45 Carmel Court","2013"
"Carmel Apartments","51 Carmel Court","2013"
"Carmel Apartments","61 Carmel Court","2013"
"Scheuer Plaza","2505 Barker Avenue","2013"
"Scheuer Garden","2540 Barker Avenue","2013"
"2026 Westchester Avenue","2033 Newbold Avenue","2013"
"2026 Westchester Avenue","2016 Westchester Avenue","2013"
"2026 Westchester Avenue","2020 Westchester Avenue","2013"
"2026 Westchester Avenue","2030 Westchester Avenue","2013"
"2026 Westchester Avenue","2032 Westchester Avenue","2013"
"2026 Westchester Avenue","2034 Westchester Avenue","2013"
"2026 Westchester Avenue","2036 Westchester Avenue","2013"
"2026 Westchester Avenue","2040 Westchester Avenue","2013"
"Soundview Family","391 Bronx River Avenue","2013"
"PRC Shakespeare","1685 Bryant Avenue","2013"
"PRC Shakespeare","1715-17 Bryant Avenue","2013"
"PRC Shakespeare","80 Featherbed Lane","2013"
"PRC Shakespeare","1687 Hoe Avenue","2013"
"PRC Shakespeare","1595 Macombs Road","2013"
"PRC Shakespeare","1601 Macombs Road","2013"
"PRC Shakespeare","1541-51 Shakespeare Avenue","2013"
"PRC Shakespeare","1662 Vyse Avenue","2013"
"PRC Shakespeare","1668 Vyse Avenue","2013"
"PRC Shakespeare","1680 Vyse Avenue","2013"
"PRC Shakespeare","1690 Vyse Avenue","2013"
"PRC Shakespeare","1696 Vyse Avenue","2013"
"Dunn Beulah XV","656 East 166th Street","2013"
"Dunn Beulah XV","818 East 166th Street","2013"
"Dunn Beulah XV","600 East 167th Street","2013"
"Dunn Beulah XV","729 East 168th Street","2013"
"Dunn Beulah XV","1187 Boston Road","2013"
"Dunn Beulah XV","1214 Boston Road","2013"
"Dunn Beulah XV","1216 Boston Road","2013"
"Dunn Beulah XV","94 Brandt Place","2013"
"Dunn Beulah XV","95 Brandt Place","2013"
"Dunn Beulah XV","538 Claremont Parkway","2013"
"Dunn Beulah XV","1268 Clay Avenue","2013"
"Dunn Beulah XV","1109 Franklin Avenue","2013"
"Dunn Beulah XV","3758 Third Avenue","2013"
"Dunn Beulah XV","1241 Webster Avenue","2013"
"Dunn Beulah XV","1245 Webster Avenue","2013"
"Dunn Beulah XV","1267 Webster Avenue","2013"
"Dunn Beulah XV","1273 Webster Avenue","2013"
"Dunn Beulah XV","1632 University Avenue","2013"
"Soundview Senior","391 Bronx River Avenue","2013"
"ENY BRP Development","539 Alabama Avenue","2013"
"ENY BRP Development","543 Alabama Avenue","2013"
"ENY BRP Development","545 Alabama Avenue","2013"
"ENY BRP Development","970-76 Belmont Avenue","2013"
"ENY BRP Development","335 Elton Court","2013"
"ENY BRP Development","336 Elton Court","2013"
"ENY BRP Development","122-32 Doscher Street","2013"
"ENY BRP Development","973 Dumont Avenue","2013"
"ENY BRP Development","645 Georgia Avenue","2013"
"ENY BRP Development","653 Georgia Avenue","2013"
"ENY BRP Development","692 Georgia Avenue","2013"
"ENY BRP Development","523 Hindsdale Street","2013"
"ENY BRP Development","596 Logan Street","2013"
"ENY BRP Development","633 New Jersey Avenue","2013"
"ENY BRP Development","641-43 New Jersey Avenue","2013"
"ENY BRP Development","660 New Jersey Avenue","2013"
"ENY BRP Development","673 New Jersey Avenue","2013"
"ENY BRP Development","300 New Lots Avenue","2013"
"ENY BRP Development","302 New Lots Avenue","2013"
"ENY BRP Development","306 New Lots Avenue","2013"
"ENY BRP Development","310 New Lots Avenue","2013"
"ENY BRP Development","312 New Lots Avenue","2013"
"ENY BRP Development","316-318 New Lots Avenue","2013"
"ENY BRP Development","325 New Lots Avenue","2013"
"ENY BRP Development","332 New Lots Avenue","2013"
