"school_year","dbn","location","location_type","total_gc_sw","total_gc","full_time","part_time","bilingual","serving_more_than_one_location","atr","_2014_enrollment_pk_12","ratio_gc_sw","ratio_gc_only","unnamed_column","unnamed_column_1","unnamed_column_2","unnamed_column_3"
"2014-15","01M015","01M015 - P.S. 015 ROBERTO CLEMENTE","ELEMENTARY","2","2","2",,,,,"183","92","92",,,,
"2014-15","01M019","01M019 - P.S. 019 ASHER LEVY","ELEMENTARY","2","1","1",,,,,"270","135","270",,,,
"2014-15","01M020","01M020 - P.S. 020 ANNA SILVER","ELEMENTARY","2","1","1",,,,,"633","317","633",,,,
"2014-15","01M034","01M034 - P.S. 034 FRANKLIN D. ROOSEVELT","K-8","1","1","1",,,,"1","395","198","198",,,,
"2014-15","01M063","01M063 - THE STAR ACADEMY - P.S.63","ELEMENTARY","2","1","1",,,,,"199","100","199",,,,
"2014-15","01M064","01M064 - P.S. 064 ROBERT SIMON","ELEMENTARY","2","1","1",,,,,"282","141","282",,,,
"2014-15","01M110","01M110 - P.S. 110 FLORENCE NIGHTINGALE","ELEMENTARY","1","1","1",,,,,"419","419","419",,,,
"2014-15","01M134","01M134 - P.S. 134 HENRIETTA SZOLD","ELEMENTARY","2","1","1",,,,,"255","128","255",,,,
"2014-15","01M137","01M137 - P.S. 137 JOHN L. BERNSTEIN","ELEMENTARY","1","1","1",,,,,"186","186","186",,,,
"2014-15","01M140","01M140 - P.S. 140 NATHAN STRAUS","K-8","2","1","1",,,,,"380","190","380",,,,
"2014-15","01M142","01M142 - P.S. 142 AMALIA CASTRO","ELEMENTARY","2","1","1",,,,,"386","193","386",,,,
"2014-15","01M184","01M184 - P.S. 184M SHUANG WEN","K-8","2","2","2",,,,,"665","333","333",,,,
"2014-15","01M188","01M188 - P.S. 188 THE ISLAND SCHOOL","K-8","3","2","2",,,,,"482","161","241",,,,
"2014-15","01M292","01M292 - HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","SECONDARY SCHOOL","2","1","1",,,,"1","255","85","128",,,,
"2014-15","01M301","01M301 - TECHNOLOGY, ARTS, AND SCIENCES STUDIO","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"149","149","149",,,,
"2014-15","01M315","01M315 - THE EAST VILLAGE COMMUNITY SCHOOL","ELEMENTARY","1.4","0",,,,,,"289","145",,,,,
"2014-15","01M332","01M332 - UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"86","86","86",,,,
"2014-15","01M345","01M345 - COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"132","132","132",,,,
"2014-15","01M361","01M361 - THE CHILDREN'S WORKSHOP SCHOOL","ELEMENTARY","0.6","0",,,,,,"255","255",,,,,
"2014-15","01M363","01M363 - NEIGHBORHOOD SCHOOL","ELEMENTARY","1","1","1",,,,,"302","302","302",,,,
"2014-15","01M364","01M364 - EARTH SCHOOL","ELEMENTARY","1","1","1",,,,,"321","321","321",,,,
"2014-15","01M378","01M378 - SCHOOL FOR GLOBAL LEADERS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"235","235","235",,,,
"2014-15","01M448","01M448 - UNIVERSITY NEIGHBORHOOD HIGH SCHOOL","HIGH SCHOOL","2","2","2",,"2",,,"304","152","152",,,,
