"record_type","borough","block","lot","easement","account_type","id_account","date_account_period_begins","date_account_period_ends","tax_class","building_class","status","transaction_records_counter","id_internal","date_grace_period_end","amount_liability","amount_collections","amount_initial_total","amount_discount_early_pay","amount_balance","date_update","date_due_period","date_penalty_and_interest"
"1","1","00001","0010",,"013",,"2017-08-21","2017-08-21","4","Y4","0","005","1000010010360","2018-04-02","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2018-08-24","2018-04-01","2018-08-20"
"1","1","00001","0010",,"270",,"2016-07-01","2016-12-31","4","Y4","0","001","1000010010360","2016-07-01","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2016-06-03","2016-07-01","2016-06-03"
"1","1","00001","0010",,"270",,"2017-01-01","2017-06-30","4","Y4","0","001","1000010010360","2017-01-03","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2016-06-03","2017-01-01","2016-06-03"
"1","1","00001","0010",,"270",,"2017-07-01","2017-12-31","4","Y4","0","001","1000010010360","2017-07-03","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2017-06-02","2017-07-01","2017-06-02"
"1","1","00001","0010",,"270",,"2018-01-01","2018-06-30","4","Y4","0","001","1000010010360","2018-01-02","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2017-06-02","2018-01-01","2017-06-02"
"1","1","00001","0010",,"270",,"2018-07-01","2018-12-31","4","Y4","0","001","1000010010360","2018-07-02","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2018-06-01","2018-07-01","2018-06-01"
"1","1","00001","0010",,"270",,"2019-01-01","2019-06-30","4","Y4","0","001","1000010010360","2019-01-02","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2018-06-01","2019-01-01","2018-06-01"
"1","1","00001","0101",,"270",,"2016-07-01","2016-12-31","4","P7","0","001","1000010101360","2016-07-01","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2016-06-03","2016-07-01","2016-06-03"
"1","1","00001","0101",,"270",,"2017-01-01","2017-06-30","4","P7","0","001","1000010101360","2017-01-03","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2016-06-03","2017-01-01","2016-06-03"
"1","1","00001","0101",,"270",,"2017-07-01","2017-12-31","4","P7","0","001","1000010101360","2017-07-03","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2017-06-02","2017-07-01","2017-06-02"
"1","1","00001","0101",,"270",,"2018-01-01","2018-06-30","4","P7","0","001","1000010101360","2018-01-02","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2017-06-02","2018-01-01","2017-06-02"
"1","1","00001","0101",,"270",,"2018-07-01","2018-12-31","4","P7","0","001","1000010101360","2018-07-02","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2018-06-01","2018-07-01","2018-06-01"
"1","1","00001","0101",,"270",,"2019-01-01","2019-06-30","4","P7","0","001","1000010101360","2019-01-02","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2018-06-01","2019-01-01","2018-06-01"
"1","1","00001","0201",,"270",,"2016-07-01","2016-12-31","4","Z9","0","001","1000010201360","2016-07-01","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2016-06-03","2016-07-01","2016-06-03"
"1","1","00001","0201",,"270",,"2017-01-01","2017-06-30","4","Z9","0","001","1000010201360","2017-01-03","00000000000.00","00000000000.00","00000000000.00","00000000000.00","00000000000.00","2016-06-03","2017-01-01","2016-06-03"
