"clientid","resp","qrep","qkey","qcell","sc1","sc2","sc3","sc4","sc4a_1","sc4a_2","sc4c","sc4b","sc4b1","sc4b2","selchild","sc4d","sc4d1","sc5","sc6","sc6a","sc7","mp1","ph1","bc1a","bc1","bc2","bc3","pph1","pph2a","pph2b","pph2c","el1","el3","el4","el7","el8","el9","el10","el11","el12_1","el12_2","el12_3","el12wks","el12mns","el13a","el13b","el13c","el13d","el13e","el14","el15","el16","el17a","el17b","el17c","el17d","el17e","el17f","cp1","cp2","cp3","cp4","cp5","cp6a","cp6b","cp6c","cp7","cp8","cp9","cp10_1","cp10_2","cp10_3","cp10wks","cp10mns","ih1","ih2","ih3","ih4_1","ih4_2","ih4_3","ih4_4","ih4_5","ih5","ih5a_1","ih5a_2","ih5a_3","ih5a_4","bf1_1","bf1_2","bf1_3","bf1_4","bf1_5","bf1wks","bf1mns","bf1a_1","bf1a_2","bf1a_3","bf1a_4","bf1awks","bf1amns","bf2","mh1","mh2","mh3","mh3a","mh4","cc1","sd1_1","sd1_2","sd1wks","sd1mns","sd2","d1","d1yob","d2","fixd2","d3","d4_1","d4_2","d4_3","d4_4","d4_5","d4_6","d5","d6","d7","de1","de2_1","de2_2","de2_3","de2_4","de2_5","de2_6","de3","st1","st2","st3","st4","st5","es1a","es1b","es2","es3","es4","fulladra","qc1","lang","samp_weight","pop_weight","stratum","odate","fdate"
"3","953","16","200003","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","2","7","1","1","3","1",,,,"1","2","1","2","1","1","25","1","3",,,,"2","0","0","8","0","0","1","1",,"2","1","2","1","2","2","2",,,,,,,,,,,,,,,,"2","1","1",,,,,,"2",,,,,"3",,,,,"2",,"1",,,,,,"1","5","2",,,"2","2",,,,,"3","1","1983","1","11235","2","1",,,,,,"67","3","5",,,,,,,,,"4","4","4","4","4","4","4","2","77","2","1","1","1","0.71095521345430102","72.470614401744356","1","18-Mar-16","18-Mar-16"
"9","15","1","200009","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","2","1","2","3","1",,,,"1","2","1","2","1","1","50","3","2",,,"4",,"3","0","1","1","0","1","1",,"1","2","1","1","2","1","1","1","1","1","2","1","2","2","1","50","3","2",,,"2",,"2","1","1",,,,,,"2",,,,,"4",,,,,,"6","1",,,,,,"7","5","2",,,"3","1",,,,,"1","99",,"1","10013","2","3","4",,,,,"1",,"6","2","4",,,,,,"1","4","4","4","4","4","4","4","2","12","4",,"1","1","1.3530603116901234","137.92305092520698","1","24-Feb-16","26-Feb-16"
"10","246","6","200010","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","2","3","9","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","3","2","3","1","32","4",,,,,,"1","1","1",,,,,,"2",,,,,"5",,,,,,,"3",,,,,"7",,"3","2",,,"2",,,,,,,"1","1995","99","10454","1","8",,,,,,"56","2","3","1","8",,,,,,"56","4","4","4","4","4","4","4","2","1","3",,"2","2","1.7581890552032065","179.21950448315957","2","26-Feb-16","26-Feb-16"
"16","659","11","200016","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","10","1","2","4","1",,,,"1","1","1","2","1","1","25","1","2",,,"1",,"0","0","1","0","0","2","2","1",,,,,,,"2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"2","3",,,,,"6","5","5","2",,,"1",,,,,,,"1","1992","1","11203","2","2",,,,,,"1",,"4",,,,,,,,,"1","1","2","4","4","2","2","2","1","3","1","2","1","2.4057503488948324","245.22811364520081","2","9-Mar-16","13-Mar-16"
"28","861","17","200028","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","4","7","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"18","3",,,,,"7","1","4","2",,,"3",,,,,,,"1","1985","1","11368","1","1",,,,,,"28","3","2",,,,,,,,,"4","4","4","4","4","2","4","1","77","2","1","2","2","1.0839257210141282","110.48904555616828","2","16-Mar-16","16-Mar-16"
"31","916","9","200031","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","2","6","1","1","4","1",,,,"1","2","1","1","77","2","25","1","3",,,,"1","3","77","6","0","0","2","1",,"1","1","1","1","2","1","2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"12","2","5","2",,,"3","1",,,,,"1","1","1990","1","11211","2","1",,,,,,"1",,"4",,,,,,,,,"4","4","4","4","4","4","4","2","2","2","1","2","1","0.53133222941839331","54.160898448597763","1","17-Mar-16","17-Mar-16"
"32","391","9","200032","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","2","1","6","1","1","2","1",,,,"1","3","1","1","77","2","50","2","3",,,,"3",,,,,,"2","1",,"1","1","1","1","2","2","1","1","1","1","3","3","2","2","1","60","4",,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"10","3",,,,,"10","5","5","2",,,"1","5",,,,,"1","1","1977","1","10025","2","1",,,,,,"1",,"6","2","1",,,,,,"67","4","4","4","2","2","4","4","2","99","5","1","1","1","0.79341389495755221","80.875969898420067","1","1-Mar-16","1-Mar-16"
"34","582","12","200034","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","3","1","2","3","1",,,,"1","2","1","1","77","1","40","1","2",,,"8",,"1","8","8","0","0","2","1",,"2","2","2","2","1","2","1","1","1","1","1","1","1","2","1","40","1","2",,,"4",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"1","3",,,,,"5","4","5","2",,,"1","2",,,,,"1","1","1980","1","11358","2","3",,,,,,"21","3","6","2","3",,,,,,"21","4","4","4","4","4","4","4","2","12","4","1","2","1","1.167245406416207","118.9821667522432","1","8-Mar-16","8-Mar-16"
"39","1015","19","200039","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","2","1","2","3","1",,,,"1","1","1","1","3","1","50","2","2",,,"11",,,,,,,"1","1",,"1","1","2","1","2","1","2",,,,,,,,,,,,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"5","3",,,,,"4","5","5","2",,,"3","2",,,,,"1","1","1983","1","10032","1","3","2",,,,,"1",,"6",,,,,,,,,"4","4","4","4","1","4","4","2","9","4","1","2","1","0.45522605641859215","46.403080497923774","1","18-Mar-16","18-Mar-16"
"46","497","6","200046","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","11","1","1","2","1",,,,"1","2","1","2","2","2","40","4",,,,,,,,,,,,"2","4",,,,,,,"1","1","2","2","4","1","1","1","2","0",,,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"2","3",,,,,"6","1","5","2",,,"3",,,,,,,"1","1981","1","11421","1","1",,,,,,"1",,"6","1","1",,,,,,"28","4","99","4","1","3","3","4","1","1","3","1","2","2","1.6958503851293476","172.86506522208427","2","5-Mar-16","5-Mar-16"
