"license_number","name","type","current_status","dmv_license_plate_number","vehicle_vin_number","vehicle_type","model_year","medallion_type","agent_number","agent_name","agent_telephone_number","agent_website_address","agent_address","last_updated_date","last_updated_time"
"1P50","CONMUR CAB CORP","05/31/2024","CUR","Y202911C","4T3LWRFV0NU070667","HYB","2022","NAMED DRIVER","281","AWESOME MANAGEMENT INC.","(212)967-7577",,"520 WEST   44 STREET NEW YORK NY 10036","2023-08-27T00:00:00.000","13:20"
"4M48","REDSTART TRANSPORTATION CORP","05/31/2024","CUR","Y206099C","5TDKRKEC9PS154257","WAV","2023","NAMED DRIVER","217","MEDALLION MAINTENANCE INC.","(718)472-9000",,"11-38   44 ROAD LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"8K55","E & Z TRANS CO INC","05/31/2024","CUR","8K55B","JTDZN3EU1GJ044647","HYB","2016","NAMED DRIVER","327","WHITE AND BLUE GROUP CORP.","(718)786-6594",,"35-11   43 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"2G83","SHUB'S TAXI LLC","05/31/2023","CUR","Y100331C","JTMDWRFV6KD026573","HYB","2019","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"8F67","RADHA SOAMI CAB LLC","05/31/2025","CUR","Y101757C","NM0GE9E28K1409761","WAV","2019","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"2W14","BABA GURU NANAK LLC","05/31/2023","CUR","Y201861C","NM0GS9E26L1478619","WAV","2020","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"9B50","JASHAN & DIVU ENTERPRISE LLC","05/31/2023","CUR","Y205787C","5TDKRKEC0PS139775","WAV","2023","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"1K78","1K76 & 1K78 ACQUISITION, LLC","05/31/2024","CUR","Y206473C","4T3LWRFV1PU093135","HYB","2023","NAMED DRIVER","358","BIG APPLE TAXI MANAGEMENT LLC","(718)779-5000",,"5411 QUEENS BOULEVARD WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"1F32","RICHARD, PIERRE, R.","05/31/2024","CUR","Y201642C","NM0GS9E27L1478516","WAV","2020","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"8G94","STAR EIGHTEEN CAB CORP","05/31/2025","CUR","Y203968C","5TDKRKEC8NS116158","WAV","2022","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"9P25","ABDULLAH TAXI CORP.","05/31/2024","CUR","Y205101C","5TDKRKEC0NS132306","WAV","2022","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
"2M59","WHITEDOVE CAB CORP","05/31/2024","CUR","Y202563C","4T1BD1FK3FU150306","HYB","2015","NAMED DRIVER","290","UNITED TAXI MANAGEMENT GROUP, INC.","(718)392-4600",,"43-10   39 STREET LIC NY 11104","2023-08-27T00:00:00.000","13:20"
"6E70","GURBANI & SUKHMANI LLC","05/31/2025","CUR","Y204280C","4T3LWRFV1NU070712","HYB","2022","OWNER MUST DRIVE",,,,,,"2023-08-27T00:00:00.000","13:20"
"2F54","ISIOFIAH,MATTHEW","05/31/2024","CUR","2F54A","JTDZN3EU4GJ050068","HYB","2016","OWNER MUST DRIVE","000",,,,,"2023-08-27T00:00:00.000","13:20"
"5L62","BARLISA CAB CORP","05/31/2025","CUR","Y204118C","JTMMWRFV2PD185954","HYB","2023","NAMED DRIVER","327","WHITE AND BLUE GROUP CORP.","(718)786-6594",,"35-11   43 AVENUE LIC NY 11101","2023-08-27T00:00:00.000","13:20"
"3G70","PUTNAM TAXI LLC","05/31/2025","CUR","Y101671C","3FA6P0LU3JR137557","HYB","2018","NAMED DRIVER","290","UNITED TAXI MANAGEMENT GROUP, INC.","(718)392-4600",,"43-10   39 STREET LIC NY 11104","2023-08-27T00:00:00.000","13:20"
"6B44","WAHEED, ABDUL","05/31/2024","CUR","Y201276C","JTMRJREV9HD068590","HYB","2017","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"1F16","KANER, ARKADIY","05/31/2024","CUR","Y206337C","5TDKRKEC5PS164624","WAV","2023","NAMED DRIVER","000",,,,,"2023-08-27T00:00:00.000","13:20"
"7G26","PALL TAXI INC","05/31/2025","CUR","Y102946C","3N8CM0JT9KK701212","WAV","2019","NAMED DRIVER","292","CITY TRANSPORT MGMT INC.","(718)507-4840",,"54-18 BROADWAY WOODSIDE NY 11377","2023-08-27T00:00:00.000","13:20"
"1K18","VIRJAS LLC","05/31/2024","CUR","Y201517C","NM0GS9E2XL1469020","WAV","2020","NAMED DRIVER",,,,,,"2023-08-27T00:00:00.000","13:20"
