"developmentteamdwid","projectid","type","entityname","firstname","lastname","entityindividualindicator","parententityname","individualrole","individualtitle","individualofficerequivalence","careof","housenumber","streetname","apartmentsuitefloor","city","state","zip","tradetype","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"4105","63036","SUB CONTRACTOR","RELIABLE FIRE PROTECTION",,,"Entity","RELIABLE FIRE PROTECTION",,,,,"41","Water Street",,"New York","NEW YORK","10004",,"Manhattan","40.703216","-74.010513","1","1","9","1000007","1000050010","MN25"
"78907","55249","SUB CONTRACTOR","Otis Elevator Company","Tom","Vining","Individual","Otis Elevator Company","Officer","President",,,"65","Fairchild Ave",,"Plainview","NEW YORK",,,,,,,,,,,
"2335","61290","BORROWER LEGAL ENTITY","ICL Nevins Street Housing Development Fund Corporation","Nikant","Ohri","Individual","ICL Nevins Street Housing Development Fund Corporation","Officer","Chief Financial Officer","CFO",,"125","Broad Street","3rd Floor","New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"77715","48731","SUB CONTRACTOR","Industrial Door & Glass, Inc.","Gabriel","Filip","Individual","Industrial Door & Glass, Inc.","Officer","Secretary",,,"4458","White Plain Road",,"Bronx","NEW YORK",,,"Bronx",,,,,,,,
"77740","54954","GENERAL CONTRACTOR","Summit JV LLC",,,"Entity","Summit JV LLC",,,,,"200","Business Park Drive",,"Armonk","NEW YORK",,,,,,,,,,,
"2336","61290","BORROWER LEGAL ENTITY","ICL Nevins Street Housing Development Fund Corporation","Chris","Copeland","Individual","ICL Nevins Street Housing Development Fund Corporation","Officer","Chief Operating Oficer","COO",,"125","Broad Street","3rd Floor","New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"77741","54954","GENERAL CONTRACTOR","Touchstone Builders, Inc.",,,"Entity","Summit JV LLC",,,,,"200","Business Park Drive",,"Armonk","NEW YORK",,,,,,,,,,,
"80145","54842","SUB CONTRACTOR","Bachi & Son Corp",,,"Entity","Bachi & Son Corp.",,,,,"63","Brendon Hill Rd",,"Scarsdale","NEW YORK",,,,,,,,,,,
"80303","44282","SUB CONTRACTOR","Noble Company, Inc.",,,"Entity","Noble Company, Inc.",,,,,"1655","Sycamore Avenue",,"Bohemia","NEW YORK",,,,,,,,,,,
"77742","54954","GENERAL CONTRACTOR","Touchstone Builders, Inc.","Sean","Gann","Individual","Touchstone Builders, Inc.","Both","Principal",,,"200","Business Park Drive",,"Armonk","NEW YORK",,,,,,,,,,,
"77743","54954","GENERAL CONTRACTOR","MS&B Construction Co. LLC",,,"Entity","Summit JV LLC",,,,,"200","Business Park Drive",,"Armonk","NEW YORK",,,,,,,,,,,
"77744","54954","GENERAL CONTRACTOR","MS&B Construction Co. LLC","Mark","Soja","Individual","MS&B Construction Co. LLC","Both","Principal",,,"901","Main Street",,"Peekskill","NEW YORK",,,,,,,,,,,
"77745","54954","GENERAL CONTRACTOR","MS&B Construction Co. LLC","Mark","Beida","Individual","MS&B Construction Co. LLC","Both","Principal",,,"200","Business Park Drive",,"Armonk","NEW YORK",,,,,,,,,,,
"77746","54954","GENERAL CONTRACTOR","JCAL Construction LLC",,,"Entity","Summit JV LLC",,,,,"200","Business Park Drive",,"Armonk","NEW YORK",,,,,,,,,,,
"77750","45265","BORROWER LEGAL ENTITY","Trinity West Harlem Phase One, Inc.","James","Keefe","Individual","Trinity West Harlem Phase One, Inc.","Officer","Treasurer & Secretary",,,"75","Federal Street","4","Boston","MASSACHUSETTS",,,,,,,,,,,
"2337","61290","BORROWER LEGAL ENTITY","ICL Nevins Street Housing Development Fund Corporation","David","Woodlock","Individual","ICL Nevins Street Housing Development Fund Corporation","Officer","CEO","CEO",,"125","Broad Street","3rd Floor","New York","NEW YORK","10004",,"Manhattan","40.702112","-74.011249","1","1","9","1000006","1000057501","MN25"
"77752","45265","GENERAL CONTRACTOR","Mega Contracting Group LLC","Hercules","Hanjis","Individual","Mega Contracting Group LLC","Both","President","CEO",,"145","Drafi",,"Rafina","NEW YORK",,,,,,,,,,,
"78908","55249","SUB CONTRACTOR","Otis Elevator Company","Nora","LaFreeniee","Individual","Otis Elevator Company","Officer","VP",,,"65","Fairchild Ave",,"Plainview","NEW YORK",,,,,,,,,,,
