"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
"2","2019-04-15T09:32:42.000","2019-04-15T09:55:44.000","6","5.29","1","N","170","88","1","21","0","0.5","4.86","0","0.3","29.16","2.5"
"2","2019-04-15T09:09:01.000","2019-04-15T09:24:58.000","1","1.64","1","N","100","163","1","11","0","0.5","0","0","0.3","14.3","2.5"
"2","2019-04-15T09:36:57.000","2019-04-15T09:45:38.000","1","1.29","1","N","237","236","2","7.5","0","0.5","0","0","0.3","10.8","2.5"
"2","2019-04-15T09:46:56.000","2019-04-15T09:53:37.000","1","1.13","1","N","43","237","1","6.5","0","0.5","1","0","0.3","10.8","2.5"
"2","2019-04-15T09:59:06.000","2019-04-15T10:18:38.000","1","1.10","1","N","141","162","1","12.5","0","0.5","1","0","0.3","16.8","2.5"
"2","2019-04-15T09:05:13.000","2019-04-15T09:14:43.000","1","0.98","1","N","164","246","1","7.5","0","0.5","2.16","0","0.3","12.96","2.5"
"2","2019-04-15T09:30:45.000","2019-04-15T09:55:41.000","1","4.18","1","N","100","13","2","19.5","0","0.5","0","0","0.3","22.8","2.5"
"1","2019-04-15T09:05:42.000","2019-04-15T09:20:54.000","1","2.00","1","N","249","230","1","11.5","2.5","0.5","2.95","0","0.3","17.75","2.5"
"1","2019-04-15T09:03:24.000","2019-04-15T09:07:01.000","1","0.30","1","N","164","164","1","4","2.5","0.5","2.19","0","0.3","9.49","2.5"
"1","2019-04-15T09:13:57.000","2019-04-15T09:33:47.000","1","2.30","1","N","234","237","1","14","2.5","0.5","2.6","0","0.3","19.9","2.5"
"1","2019-04-15T09:41:46.000","2019-04-15T09:55:18.000","1","1.40","1","N","237","142","1","10","2.5","0.5","2","0","0.3","15.3","2.5"
"2","2019-04-15T09:08:49.000","2019-04-15T09:28:40.000","2","4.97","1","N","107","209","1","19","0","0.5","5.58","0","0.3","27.88","2.5"
"2","2019-04-15T09:41:52.000","2019-04-15T10:00:19.000","2","2.30","1","N","68","233","1","13","0","0.5","2.15","0","0.3","18.45","2.5"
"2","2019-04-15T09:11:33.000","2019-04-15T09:37:16.000","1","8.75","1","N","263","65","1","26.5","0","0.5","4.5","0","0.3","34.3","2.5"
"2","2019-04-15T09:55:10.000","2019-04-15T10:05:12.000","1","1.89","1","N","148","107","1","9","0","0.5","2.46","0","0.3","14.76","2.5"
"1","2019-04-15T09:19:35.000","2019-04-15T09:41:42.000","1","4.80","1","N","141","69","1","18","2.5","0.5","3.2","0","0.3","24.5","2.5"
"2","2019-04-15T09:26:09.000","2019-04-15T09:49:11.000","1","5.50","1","N","107","262","1","20","0","0.5","2.33","0","0.3","25.63","2.5"
"2","2019-04-15T09:16:01.000","2019-04-15T09:27:22.000","1","2.19","1","N","231","107","1","10","0","0.5","2.66","0","0.3","15.96","2.5"
"2","2019-04-15T09:36:26.000","2019-04-15T09:49:55.000","1","1.69","1","N","113","234","1","10.5","0","0.5","2.07","0","0.3","15.87","2.5"
"2","2019-04-15T09:54:03.000","2019-04-15T10:02:13.000","1","0.55","1","N","170","170","1","6.5","0","0.5","1.96","0","0.3","11.76","2.5"
"2","2019-04-15T09:09:11.000","2019-04-15T09:17:54.000","3","1.40","1","N","263","237","1","8","0","0.5","2.26","0","0.3","13.56","2.5"
"2","2019-04-15T09:20:27.000","2019-04-15T09:38:20.000","3","1.74","1","N","237","162","1","12","0","0.5","0","0","0.3","15.3","2.5"
"2","2019-04-15T09:30:17.000","2019-04-15T09:36:34.000","2","0.82","1","N","65","65","2","6","0","0.5","0","0","0.3","6.8","0"
"2","2019-04-15T09:42:17.000","2019-04-15T10:12:51.000","2","7.59","1","N","65","237","1","27","0","0.5","6.06","0","0.3","36.36","2.5"
"2","2019-04-15T09:10:33.000","2019-04-15T09:25:18.000","1","1.33","1","N","264","264","1","11","0","0.5","1","0","0.3","15.3","2.5"
"2","2019-04-15T09:26:58.000","2019-04-15T09:34:41.000","1","0.92","1","N","264","264","1","6.5","0","0.5","2.94","0","0.3","12.74","2.5"
"2","2019-04-15T09:13:58.000","2019-04-15T09:24:29.000","1","0.98","1","N","186","230","1","8","0","0.5","2.26","0","0.3","13.56","2.5"
"2","2019-04-15T09:33:19.000","2019-04-15T09:57:14.000","1","1.62","1","N","186","161","2","15","0","0.5","0","0","0.3","18.3","2.5"
"2","2019-04-15T09:05:07.000","2019-04-15T09:19:52.000","1","3.55","1","N","65","13","1","14.5","0","0.5","2","0","0.3","19.8","2.5"
"1","2019-04-15T09:18:33.000","2019-04-15T09:45:29.000","1","4.80","1","N","231","230","2","21.5","2.5","0.5","0","0","0.3","24.8","2.5"
"1","2019-04-15T09:49:57.000","2019-04-15T10:02:21.000","1","1.10","1","N","230","170","1","9","2.5","0.5","1.85","0","0.3","14.15","2.5"
"2","2019-04-15T09:39:35.000","2019-04-15T09:49:59.000","1","1.07","1","N","249","231","1","8","0","0.5","2","0","0.3","13.3","2.5"
"2","2019-04-15T09:52:44.000","2019-04-15T09:58:19.000","1","0.95","1","N","231","158","1","5.5","0","0.5","1","0","0.3","9.8","2.5"
"1","2019-04-15T09:14:01.000","2019-04-15T09:31:35.000","1","1.50","1","N","233","186","1","12","2.5","0.5","3.05","0","0.3","18.35","2.5"
"1","2019-04-15T09:36:51.000","2019-04-15T09:51:26.000","1","1.90","1","N","186","143","1","11","2.5","0.5","2.85","0","0.3","17.15","2.5"
"1","2019-04-15T09:14:06.000","2019-04-15T10:23:16.000","1","12.50","1","N","132","256","1","50","0","0.5","10.15","0","0.3","60.95","0"
"2","2019-04-15T09:06:47.000","2019-04-15T09:24:39.000","5","1.53","1","N","249","100","1","12.5","0","0.5","3.95","0","0.3","19.75","2.5"
"2","2019-04-15T09:28:57.000","2019-04-15T09:33:21.000","4","0.49","1","N","100","164","1","5","0","0.5","2.08","0","0.3","10.38","2.5"
"2","2019-04-15T09:47:59.000","2019-04-15T10:08:10.000","4","2.37","1","N","90","229","1","14","0","0.5","3.46","0","0.3","20.76","2.5"
"1","2019-04-15T09:01:28.000","2019-04-15T10:09:06.000","1","17.00","2","N","132","161","1","52","2.5","0.5","12.25","6.12","0.3","73.67","2.5"
"2","2019-04-15T09:14:20.000","2019-04-15T09:21:10.000","1","0.78","1","N","48","48","2","6","0","0.5","0","0","0.3","9.3","2.5"
"2","2019-04-15T09:34:50.000","2019-04-15T09:57:39.000","1","1.48","1","N","186","161","1","14","0","0.5","3.46","0","0.3","20.76","2.5"
"1","2019-04-15T09:37:09.000","2019-04-15T09:46:58.000","1","0.90","1","N","151","166","1","8","0","0.5","0.8","0","0.3","9.6","0"
"1","2019-04-15T09:53:44.000","2019-04-15T09:56:37.000","2","0.40","1","N","238","238","1","4","2.5","0.5","2","0","0.3","9.3","2.5"
"1","2019-04-15T09:58:47.000","2019-04-15T10:31:27.000","1","5.90","1","N","239","13","1","24.5","2.5","0.5","5.56","0","0.3","33.36","2.5"
"2","2019-04-15T09:04:10.000","2019-04-15T09:17:21.000","1","1.94","1","N","249","162","1","10","0","0.5","2.66","0","0.3","15.96","2.5"
"2","2019-04-15T09:33:40.000","2019-04-15T09:45:21.000","1","1.25","1","N","90","100","1","9","0","0.5","2.46","0","0.3","14.76","2.5"
"2","2019-04-15T09:46:11.000","2019-04-15T10:09:33.000","1","1.99","1","N","100","234","2","14.5","0","0.5","0","0","0.3","17.8","2.5"
"2","2019-04-15T09:36:11.000","2019-04-15T09:36:14.000","2","0.00","5","N","264","264","1","250","0","0","0","0","0.3","250.3","0"
"2","2019-04-15T09:00:16.000","2019-04-15T09:23:07.000","1","1.72","1","N","68","161","1","14.5","0","0.5","5.34","0","0.3","23.14","2.5"
"2","2019-04-15T09:51:46.000","2019-04-15T09:59:47.000","1","2.62","1","N","141","74","1","9.5","0","0.5","2.56","0","0.3","15.36","2.5"
"1","2019-04-15T09:11:30.000","2019-04-15T09:18:17.000","1","1.90","1","N","236","41","1","7.5","2.5","0.5","2.7","0","0.3","13.5","2.5"
"1","2019-04-15T09:55:12.000","2019-04-15T10:03:34.000","1","1.20","1","N","236","237","1","7","2.5","0.5","1.85","0","0.3","12.15","2.5"
"1","2019-04-15T09:14:46.000","2019-04-15T09:23:25.000","1","1.30","1","N","41","42","2","7.5","0","0.5","0","0","0.3","8.3","0"
"1","2019-04-15T09:48:12.000","2019-04-15T09:53:51.000","1","0.90","1","N","151","166","1","6","0","0.5","1.35","0","0.3","8.15","0"
"2","2019-04-15T09:08:21.000","2019-04-15T09:22:47.000","1","1.10","1","N","48","68","1","10","0","0.5","2.66","0","0.3","15.96","2.5"
"2","2019-04-15T09:24:51.000","2019-04-15T09:33:10.000","1","1.01","1","N","90","48","1","7","0","0.5","2.06","0","0.3","12.36","2.5"
"2","2019-04-15T09:37:43.000","2019-04-15T09:48:32.000","1","0.92","1","N","100","161","1","8","0","0.5","3.39","0","0.3","14.69","2.5"
