"evnt_key","violation_date","violation_time","chg_law_cd","violation_code","veh_category","city_nm","rpt_owning_cmd","x_coord_cd","y_coord_cd","latitude","longitude","location_point","juris_cd"
"262232391","2023-01-20T00:00:00.000","13:45:00","VTL","1110A","CAR/SUV","BRONX","047","1020184","259289","40.87828948","-73.87005819","POINT (-73.87005819 40.87828948)","01"
"262047399","2023-01-18T00:00:00.000","00:05:00","VTL","37512A1","CAR/SUV","MANHATTAN","017","993374","213478","40.75261958","-73.96706873","POINT (-73.96706873 40.75261958)","01"
"261919313","2023-01-14T00:00:00.000","14:37:00","VTL","1110A","CAR/SUV","QUEENS","109","1031307","216054","40.75956952","-73.8301393","POINT (-73.8301393 40.75956952)","01"
"262614277","2023-01-27T00:00:00.000","17:31:17","VTL","1111D1N","CAR/SUV","QUEENS","109","1038618","217003","40.76213234","-73.80374134","POINT (-73.80374134 40.76213234)","01"
"261505785","2023-01-06T00:00:00.000","21:52:00","VTL","1180D","CAR/SUV","BROOKLYN","412","1012746","161402","40.60964996","-73.89737103","POINT (-73.89737103 40.60964996)","01"
"262188964","2023-01-20T00:00:00.000","01:29:54","VTL","1180D","CAR/SUV","MANHATTAN","024","991305","226498","40.78835798","-73.97452271","POINT (-73.97452271 40.78835798)","01"
"262232325","2023-01-20T00:00:00.000","09:21:00","VTL","1225C2A","CAR/SUV","MANHATTAN","020","989859","225747","40.78629772","-73.97974519","POINT (-73.97974519 40.78629772)","01"
"262918957","2023-02-02T00:00:00.000","17:31:00","VTL","1180D","CAR/SUV","STATEN ISLAND","442","959598","160892","40.60826163","-74.08878556","POINT (-74.08878556 40.60826163)","01"
"262586177","2023-01-27T00:00:00.000","02:50:00","VTL","1110A","CAR/SUV","QUEENS","103","1041773","196691","40.7063611","-73.79252607","POINT (-73.79252607 40.7063611)","01"
"263347489","2023-02-09T00:00:00.000","23:00:00","VTL","1110A","CAR/SUV","MANHATTAN","034","1006670","254235","40.86446248","-73.91894337","POINT (-73.91894337 40.86446248)","01"
"262669268","2023-01-29T00:00:00.000","05:42:00","VTL","3191U","CAR/SUV","BRONX","041","1014509","238113","40.82018895","-73.89067524","POINT (-73.89067524 40.82018895)","01"
"262020759","2023-01-17T00:00:00.000","08:18:06","VTL","37512A2","CAR/SUV","BRONX","040","1007090","233232","40.80681427","-73.91749643","POINT (-73.91749643 40.80681427)","01"
"262402110","2023-01-24T00:00:00.000","08:32:09","VTL","1110A","CAR/SUV","BRONX","048","1018012","245177","40.83956489","-73.87798349","POINT (-73.87798349 40.83956489)","01"
"261596655","2023-01-08T00:00:00.000","23:00:00","VTL","1110A","CAR/SUV","BRONX","040","1007290","236782","40.81655751","-73.9167618","POINT (-73.9167618 40.81655751)","01"
"261232308","2023-01-02T00:00:00.000","14:27:47","VTL","1160A","CAR/SUV","QUEENS","108","1002241","207972","40.73749339","-73.9350798","POINT (-73.9350798 40.73749339)","01"
"263644999","2023-02-15T00:00:00.000","12:36:05","NYC","413","TRUCK/BUS","BROOKLYN","068","981280","168674","40.62964716","-74.01069987","POINT (-74.01069987 40.62964716)","01"
"264773325","2023-03-09T00:00:00.000","10:08:10","VTL","1225D","CAR/SUV","QUEENS","101","1052204","159911","40.6053345","-73.75527433","POINT (-73.75527433 40.6053345)","01"
"264048904","2023-02-22T00:00:00.000","16:38:00","VTL","1172A","CAR/SUV","QUEENS","107","1046520","208853","40.7397106","-73.77529213","POINT (-73.77529213 40.7397106)","01"
"264638859","2023-03-06T00:00:00.000","08:36:58","VTL","1122A","MCL","BROOKLYN","062","984123","160035","40.6059354","-74.00045737","POINT (-74.00045737 40.6059354)","01"
"262636559","2023-01-28T00:00:00.000","08:53:34","VTL","5091","CAR/SUV","QUEENS","100","1036423","153354","40.58744386","-73.81215757","POINT (-73.81215757 40.58744386)","01"
"263164451","2023-02-07T00:00:00.000","11:59:00","VTL","5091","CAR/SUV","QUEENS","114","1007788","219633","40.7694951184418","-73.9150241703895","POINT (-73.9150241703895 40.7694951184418)","01"
"261867872","2023-01-13T00:00:00.000","16:26:46","NYC","412A3","CAR/SUV","BROOKLYN","073","1007456","182968","40.66885117","-73.91634774","POINT (-73.91634774 40.66885117)","01"
"261340184","2023-01-04T00:00:00.000","11:25:12","NYC","412P2","MCL","MANHATTAN","018","987783","216428","40.760721","-73.987245","POINT (-73.987245 40.760721)","01"
"261420141","2023-01-05T00:00:00.000","11:53:00","VTL","1111D1C","BIKE","BROOKLYN","072","985428","179407","40.65910735","-73.9957542","POINT (-73.9957542 40.65910735)","01"
"261614657","2023-01-09T00:00:00.000","15:32:32","VTL","1229C3A","CAR/SUV","BRONX","047","1021171","258964","40.87739338","-73.86649088","POINT (-73.86649088 40.87739338)","01"
"262999121","2023-02-03T00:00:00.000","23:51:35","VTL","1180D","CAR/SUV","STATEN ISLAND","442","930567","154213","40.58980085","-74.19328731","POINT (-74.19328731 40.58980085)","01"
"264319203","2023-02-28T00:00:00.000","03:21:47","VTL","1111D1N","CAR/SUV","BROOKLYN","083","1007456","192623","40.69535194","-73.91631449","POINT (-73.91631449 40.69535194)","01"
"262170400","2023-01-19T00:00:00.000","13:53:09","VTL","37510A","MCL","BROOKLYN","094","996931","205311","40.73019881","-73.95424585","POINT (-73.95424585 40.73019881)","01"
"262459686","2023-01-25T00:00:00.000","08:39:22","NYC","406A1","CAR/SUV","QUEENS","115","1018154","219888","40.77015307","-73.877598","POINT (-73.877598 40.77015307)","01"
"262036130","2023-01-17T00:00:00.000","16:28:18","VTL","1110A","CAR/SUV","BRONX","041","1014509","238113","40.82018895","-73.89067524","POINT (-73.89067524 40.82018895)","01"
"262219097","2023-01-20T00:00:00.000","06:50:00","VTL","5091","CAR/SUV","QUEENS","103","1040897","196247","40.70514808","-73.79568935","POINT (-73.79568935 40.70514808)","01"
"263080000","2023-02-05T00:00:00.000","17:14:00","VTL","1172A","CAR/SUV","BROOKLYN","077","1002705","184624","40.6734077","-73.93346945","POINT (-73.93346945 40.6734077)","01"
"261420161","2023-01-05T00:00:00.000","13:26:32","NYC","412A3","CAR/SUV","BROOKLYN","094","997431","206947","40.7346885","-73.9524386","POINT (-73.9524386 40.7346885)","01"
