"evt_code","evt_desc","evt_type","evt_date","evt_mrc","evt_printed","evt_obtype","evt_object","evt_standwork","evt_ppm","evt_freq","evt_isstype","evt_class","evt_route","evt_target","evt_duration","evt_parent","evt_reqm","evt_jobtype","evt_priority","evt_reported","evt_start","evt_due","evt_completed","evt_warranty","evt_safety","evt_reopened","evt_schedend","evt_created","evt_updated","evt_updatecount","evt_perioduom","evt_sqlidentity","evt_multiequip","evt_completed_trunc","evt_udfchar01","evt_udfchar02","evt_udfchar03","evt_udfchar04","evt_udfchar05","evt_udfchar06","evt_udfchar08","evt_udfchar10","evt_udfchar11","evt_udfchar12","evt_udfchar13","evt_udfchar14","evt_udfchar15","evt_udfchar16","evt_udfnum01","evt_udfnum02","evt_udfchkbox01","evt_udfchkbox02","evt_udfchkbox03","evt_udfchkbox04","evt_udfchkbox05"
"1737775","PM_AC_Annual_Baby Queensbridge","PPM","Jul 18 2018  3:22PM","Q-01","-","S","Q104-BUILDING",,"PM1-Q104-BUILDING","1","F","AC Start-up",,"Mar  1 2019 12:00AM","90",,,"PRMT","02-MED",,,"Mar  1 2019 12:00AM",,"-","-","-","May 29 2019 12:00AM","Jul 18 2018  3:22PM",,"0","Y","1701478","-",,,,"CW-FACS",,,"ELECTRICIAN",,,,,"Awaiting Release",,,,,,,,,,
"1596246","F 2123608301 -V","IN","Dec 14 2017  1:30PM","M","-","F","2123608301",,,,"F",,,"Dec 14 2017 12:00AM","1",,,,,"Dec 14 2017  1:30PM",,,"Dec 14 2017  1:30PM","-","-","-","Dec 14 2017 12:00AM","Dec 14 2017  1:30PM",,"1",,"1569901","-","Dec 14 2017 12:00AM",,,,,,,,,,,"Completed",,,,,,"-","-","-","-","-"
"1595990","F 2123602356 -V","IN","Dec 14 2017  1:25PM","M","-","F","2123602356",,,,"F",,,"Dec 14 2017 12:00AM","1",,,,,"Dec 14 2017  1:25PM",,,"Dec 14 2017  1:25PM","-","-","-","Dec 14 2017 12:00AM","Dec 14 2017  1:25PM",,"1",,"1569645","-","Dec 14 2017 12:00AM",,,,,,,,,,,"Completed",,,,,,"-","-","-","-","-"
"1596031","F 2123602459 -V","IN","Dec 14 2017  1:26PM","M","-","F","2123602459",,,,"F",,,"Dec 14 2017 12:00AM","1",,,,,"Dec 14 2017  1:26PM",,,"Dec 14 2017  1:26PM","-","-","-","Dec 14 2017 12:00AM","Dec 14 2017  1:26PM",,"1",,"1569686","-","Dec 14 2017 12:00AM",,,,,,,,,,,"Completed",,,,,,"-","-","-","-","-"
"1602851","T 35450 -V","IN","Dec 15 2017  3:17PM","X","-","T","35450",,,,"F",,,"Dec 15 2017 12:00AM","1",,,,,"Dec 15 2017  3:17PM",,,"Dec 15 2017  3:17PM","-","-","-","Dec 15 2017 12:00AM","Dec 15 2017  3:17PM",,"1",,"1576505","-","Dec 15 2017 12:00AM",,,,,,,,,,,"Completed",,,,,,"-","-","-","-","-"
"1602729","T 35329 -V","IN","Dec 15 2017  3:15PM","X","-","T","35329",,,,"F",,,"Dec 15 2017 12:00AM","1",,,,,"Dec 15 2017  3:15PM",,,"Dec 15 2017  3:15PM","-","-","-","Dec 15 2017 12:00AM","Dec 15 2017  3:15PM",,"1",,"1576383","-","Dec 15 2017 12:00AM",,,,,,,,,,,"Completed",,,,,,"-","-","-","-","-"
"1691125","New Fence and Gate","JOB","May  3 2018  3:34PM","B-16","-","S","B528-GT001",,,,"F",,,"May  3 2018 12:00AM","1",,,"GTBR",,"May  3 2018  3:34PM",,,,"-","-","+","May  3 2018 12:00AM","May  3 2018  3:38PM","Jun  7 2019  7:44AM","9",,"1664083","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","+","+","-"
"2136603","(1 of 2) Deliver 15 pieces of lumber - A Better Community Garden","JOB","Mar 31 2021  3:19PM","B-03","-","S","B507-GT001",,,,"F",,,"Mar 31 2021 12:00AM","1",,,"GTBR",,"Mar 31 2021  3:19PM",,,,"-","-","-","Mar 31 2021 12:00AM","Mar 31 2021  3:24PM","Jan 28 2022  6:38PM","2",,"2061162","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"2136606","(2 of 2) Deliver 3 yds. of soil/compost mix - A Better Community Garden","JOB","Mar 31 2021  3:27PM","B-03","-","S","B507-GT001",,,,"F",,,"Mar 31 2021 12:00AM","1",,,"GTBR",,"Mar 31 2021  3:27PM",,,,"-","-","-","Mar 31 2021 12:00AM","Mar 31 2021  3:30PM","Jan 28 2022  6:37PM","2",,"2061165","-",,"2. MED",,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"-","-","-","+","-"
"1698638","Rat Abatement","JOB","May 19 2018  9:37AM","M-03","-","S","M326-GT001","Rodenticide",,,"F",,,"Jul  6 2018 12:00AM","26",,,"GTBR","1-LOW","May 19 2018  9:37AM",,,,"-","-","-","Jul 31 2018 12:00AM","May 19 2018  9:40AM","Apr 11 2019  9:55AM","3",,"1671532","-",,,,"GRNTHUMB",,,,,,,,"GT Open",,,,,,"+","-","-","+","-"
