"address_verification_id","physical_address_id","agency_id","contract_id","verification_date","active"
"1","1","69","1","2018-02-07T00:00:00.000","1"
"2","1","69","2","2018-02-07T00:00:00.000","1"
"3","1","69","3","2018-02-07T00:00:00.000","1"
"4","1","69","4","2018-02-07T00:00:00.000","1"
"5","1","69","5","2018-02-07T00:00:00.000","1"
"6","4","69","5","2018-02-07T00:00:00.000","1"
"7","1","69","6","2018-02-07T00:00:00.000","1"
"8","1","69","7","2018-02-07T00:00:00.000","1"
"9","1","69","8","2018-02-07T00:00:00.000","1"
"10","2","69","8","2018-02-07T00:00:00.000","1"
"11","4","69","8","2018-02-07T00:00:00.000","1"
"12","5","69","8","2018-02-07T00:00:00.000","1"
"13","6","69","8","2018-02-07T00:00:00.000","1"
"14","7","69","8","2018-02-07T00:00:00.000","1"
"15","8","69","8","2018-02-07T00:00:00.000","1"
"16","9","69","8","2018-02-07T00:00:00.000","1"
"17","10","69","8","2018-02-07T00:00:00.000","1"
"18","11","69","8","2018-02-07T00:00:00.000","1"
"19","12","69","8","2018-02-07T00:00:00.000","1"
"20","13","69","8","2018-02-07T00:00:00.000","1"
"21","1","69","9","2018-02-07T00:00:00.000","1"
"22","2","69","10","2018-02-07T00:00:00.000","1"
"23","2","69","11","2018-02-07T00:00:00.000","1"
"24","3","69","12","2018-02-07T00:00:00.000","1"
"25","5","69","13","2018-02-07T00:00:00.000","1"
"26","6","69","13","2018-02-07T00:00:00.000","1"
"27","7","69","14","2018-02-07T00:00:00.000","1"
"28","8","69","14","2018-02-07T00:00:00.000","1"
"29","9","69","14","2018-02-07T00:00:00.000","1"
"30","15","69","15","2018-02-07T00:00:00.000","1"
"31","15","69","16","2018-02-07T00:00:00.000","1"
"32","15","69","17","2018-02-07T00:00:00.000","1"
"33","15","69","18","2018-02-07T00:00:00.000","1"
"34","15","69","19","2018-02-07T00:00:00.000","1"
"35","15","69","20","2018-02-07T00:00:00.000","1"
"36","15","69","21","2018-02-07T00:00:00.000","1"
