"the_geom","objectid","borough","school_nam","on_street","from_stree","to_street","open_date","nhoodname","segmentid","shape_leng","shape_stle"
"MULTILINESTRING ((-74.24315579878855 40.50835169318708, -74.24370904323824 40.50823156741367))","1","Staten Island","Totten Intermediate School","ACADEMY AVENUE","Yetman Ave","Dead End","2020-09-19T00:00:00.000","Tottenville","0000268","0.03029335","159.948998941"
"MULTILINESTRING ((-74.14371773257703 40.631423994475966, -74.14499977048843 40.631659599967385))","2","Staten Island","Public School 21","HOOKER PLACE","Trantor Pl","Dead End","2020-09-19T00:00:00.000","Port Richmond","0008960","0.06932882","366.055965976"
"MULTILINESTRING ((-74.03871679502488 40.62621587865749, -74.03607094771861 40.62559885645036))","3","Brooklyn","Fort Hamilton High School","85 STREET","Narrows Ave","Colonial Rd","2020-09-19T00:00:00.000","Bay Ridge","0016648","0.14547164","768.0902451"
"MULTILINESTRING ((-74.03225639076072 40.62774027359398, -74.03255474521677 40.62701006604336))","4","Brooklyn","Bay Ridge Preparatory Schiil","RIDGE BOULEVARD","82 St","81 St","2020-09-19T00:00:00.000","Bay Ridge","0016945","0.05277022","278.626914682"
"MULTILINESTRING ((-74.02509053624937 40.637794557347895, -74.02262558588863 40.636799031924426))","5","Brooklyn","20K485","67 STREET","3rd Ave","4th Ave","2020-09-19T00:00:00.000","Bay Ridge","0017646","0.14665228","774.324087939"
"MULTILINESTRING ((-74.01556251928179 40.64006662020976, -74.01335654243415 40.63873529174328))","6","Brooklyn","Our Lady of Perpetual Help Catholic Academy of Brooklyn","59 STREET","5th Ave","6th Ave","2020-09-19T00:00:00.000","Sunset Park","0017872","0.14793227","781.08243948"
"MULTILINESTRING ((-74.00853689402429 40.63302814447882, -74.00702287780435 40.63210997842901))","7","Brooklyn","The School for Future Leaders","62 STREET","9th Ave","Ft Hamilton Pkwy","2020-09-19T00:00:00.000","Dyker Heights","0019578","0.10172655","537.11619532"
"MULTILINESTRING ((-74.01415208593413 40.67816166942847, -74.01565534675609 40.67918719584737))","8","Brooklyn","South Brooklyn Community HS","WOLCOTT STREET","Conover St","Ferris St","2020-09-19T00:00:00.000","Red Hook","0021570","0.10603582","559.86878116"
"MULTILINESTRING ((-74.01079317867897 40.676834350800604, -74.01230389544396 40.67786295609778))","9","Brooklyn","Patrick F. Daly Magnet School of the Arts","SULLIVAN STREET","Van Brunt","Richards St","2020-09-19T00:00:00.000","Red Hook","0021629","0.1064704","562.163965447"
"MULTILINESTRING ((-74.00234460289104 40.67896099218196, -74.0019473770387 40.678846527092674))","10","Brooklyn","The Brooklyn New School and PS 146","COLES STREET","Henry St","Pedestrian Overpass","2020-09-19T00:00:00.000","Carroll Gardens","0021925","0.02231179","117.806274807"
"MULTILINESTRING ((-74.00225207343519 40.68189319464588, -74.00069400629005 40.6814633901798))","11","Brooklyn","Mary McDowell Friends School","SUMMIT STREET","Henry St","Hicks St","2020-09-19T00:00:00.000","Carroll Gardens","0021961","0.08705248","459.637057386"
"MULTILINESTRING ((-73.99787186162828 40.68735874862574, -73.99604105110984 40.686752888712185))","12","Brooklyn","15K029","BALTIC STREET","Henry St","Clinton St","2020-09-19T00:00:00.000","Cobble Hill","0022244","0.10485826","553.651553937"
"MULTILINESTRING ((-73.99457791990162 40.68510012531071, -73.99219146866088 40.6841783032049))","13","Brooklyn","Success Academy Cobble Hill","BUTLER STREET","Court St","Smith St",,"Carroll Gardens","0022414","0.14056864","742.202352008"
"MULTILINESTRING ((-73.98668156092202 40.660929846834996, -73.98448009297917 40.65959831936161))","14","Brooklyn","PS 10","17 STREET","7th Ave","8th Ave","2020-09-19T00:00:00.000","Park Slope","0022580","0.14772688","779.998172111"
"MULTILINESTRING ((-73.98961227507587 40.68799181970854, -73.98742909607687 40.68713863553098))","15","Brooklyn","15K261","PACIFIC STREET","Hoyt St","Smith St","2020-09-19T00:00:00.000","Boerum Hill","0022706","0.12890076","680.596225851"
"MULTILINESTRING ((-73.98343436168116 40.668642029389446, -73.981070157626 40.667498117840324))","16","Brooklyn","P.S. 39 Henry Bristow","8 STREET","7th Ave","6th Ave","2020-09-19T00:00:00.000","Park Slope","0022746","0.14717306","777.073922522"
"MULTILINESTRING ((-73.98550667407991 40.67677248407443, -73.98623012523719 40.675910861357906))","17","Brooklyn","Little Brooklyn PK Center","WHITWELL PLACE","Carroll St","1st St","2020-09-19T00:00:00.000","Gowanus","0022772","0.07056302","372.572792379"
"MULTILINESTRING ((-73.98172784916045 40.66274335578793, -73.97935045125058 40.66159480432794))","18","Brooklyn","15K107","14 STREET","8th Ave","Prospect Park West","2020-09-19T00:00:00.000","Park Slope","0022837","0.1479392","781.119068186"
