"district","sfcode","bldgcode","schoolname","siteaddress","city","zip","accessibility","longitude","latitude","koshermealtype"
"9","09731",,"Crotona Pool","173RD STREET AND FULTON AVENUE","Bronx","10457","No Accessibility","-73.898271","40.84068","non-kosher"
"22","22278","K278","J.H.S. 278 Marine Park","1925 STUART STREET","Brooklyn","11229","No Accessibility","-73.938721","40.606745","non-kosher"
"4","04146","M146","P.S. 146 Ann M. Short","421 EAST 106 STREET","Manhattan","10029","Partially Accessible","-73.938727","40.789535","non-kosher"
"18","18211","K211","I.S. 211 John Wilson","1001 EAST 100 STREET","Brooklyn","11236","Partially Accessible","-73.895224","40.642931","non-kosher"
"17","17546","K470","High School for Public Service: Heroes of Tomorrow","600 KINGSTON AVENUE","Brooklyn","11203","No Accessibility","-73.943839","40.658671","non-kosher"
"30","30011","Q011","P.S. 011 Kathryn Phelan","54-25 SKILLMAN AVENUE","Queens","11377","Fully Accessible","-73.909032","40.746127","non-kosher"
"17","17390","K390","The School of Integrated Learning","1224 PARK PLACE","Brooklyn","11213","No Accessibility","-73.937601","40.67229","non-kosher"
"16","16035","K035","M.S. 035 Stephen Decatur","272 Macdonough Street","Brooklyn","11233","Fully Accessible","-73.935891","40.681528","non-kosher"
"3","03088","M088","Wadleigh Secondary School for the Performing & Vis","215 WEST 114 STREET","Manhattan","10026","Fully Accessible","-73.954152","40.80261","non-kosher"
"15","15839","K437","MS 839","713 CATON AVENUE","Brooklyn","11218","Fully Accessible",,,"non-kosher"
"29","29793",,"Liberty Pool","Corner OF 172nd Street &106th Avenue","Queens","11433","No Accessibility","-73.784773","40.702312","non-kosher"
"11","11097","X097","P.S. 097 Bronx","1375 Mace Avenue","Bronx","10469","Fully Accessible","-73.846768","40.863524","non-kosher"
"29","29138","Q138","P.S./ M.S.138 Sunrise","251-11 WELLER AVENUE","Queens","11422","Partially Accessible","-73.734342","40.659876","non-kosher"
"32","32562","K296","Evergreen M.S. for Urban Exploration","125 COVERT STREET","Brooklyn","11207","No Accessibility","-73.910589","40.688647","non-kosher"
"30","30127","Q127","P.S. 127 Aerospace Science Magne","98-01 25 AVENUE","Queens","11369","No Accessibility","-73.870931","40.765507","non-kosher"
"31","31761",,"Faber Pool","Richmond Terrace & Faber Street","Staten Island","10302","No Accessibility","-74.135132","40.640265","non-kosher"
"24","24110","Q315","PS 110","43-18 97TH PLACE","Queens","11368","Fully Accessible","-73.866372","40.745995","non-kosher"
