"complaint_inquiry_number","license_type","account_name","bic_number","date_complaint_inquiry","industry_type","account_status","source_of_complaint_inquiry","complaint_inquiry_disposition","complaint_inquiry_status","total_response_time","complaint_or_inquiry","nature_of_complaint_inquiry","complaint_inquiry_street","complaint_inquiry_city","complaint_inquiry_state","complaint_inquiry_zip","complaint_inquiry_borough","account_focus_of_complaint","account_address","account_city","account_state","account_zip","account_phone","vehicle_make","vehicle_model","vehicle_type","vehicle_year","vehicle_color","contacted_complainant","unable_to_contact_complainant","method_used_to_contact","export_date","borough","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"2009-01695",,"IMPERIAL SANITATION CORP.","TWC-340",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Soliciting - Trade Waste",,,,,,"IMPERIAL SANITATION CORP.","18-61 41ST STREET","ASTORIA","RENEWAL APPROVED",,"(718) 721-2323",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193338",,,,"2017-02-06T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed","0.0","Complaint","Unlicensed Carter - Trade Waste;Cardboard-Theft - Trade Waste","1943 Pikin Avenue","Brooklyn","NY","11207","Brooklyn",,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-00575",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","83-93 115 St.","nyc","NY",,"Queens","Gonzalez Landscaping","171-28 108 Ave.","nyc","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01502",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-194525",,,,"2018-11-29T00:00:00.000","Trade Waste",,"PHONE - 6300","Unable to Contact Complainant","Closed","5.0","Complaint","Unlicensed Landscaper - Trade Waste","70th Ave and 71st Ave","Forest Hills","NY","18336","Queens",,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2007-00284",,"CHINATOWN WASTE CORP.","TWC-1662",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry",,,,"NY",,,"CHINATOWN WASTE CORP.","18 PELL STREET, SUITE #2","NEW YORK","RENEWAL EXTENSION",,"(212) 766-4890",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2006-01145",,,,,"Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed",,"Complaint","Other - All",,,"NY",,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00678",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry",,,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00676",,,,,"Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed",,"Inquiry","Recycling - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01391",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred back to 311","Closed",,"Complaint","Misinformation - All","366 7th Ave.","nyc","NY","11215-","Brooklyn","N/A",,,,,,,,,,,"False","False",,"2023-08-25","BROOKLYN","40.665834","-73.982478","6","39","151","3022712","3010180049","Park Slope-Gowanus"
"COMP-192388","Trade Waste","FALSO CARTING CO., INC.","BIC-142","2015-09-04T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","0.0","Complaint","Disposal - All;Service - All","237 Willis Avenue","Bronx","NY","10454","Bronx","FALSO CARTING CO. INC.","429 CASANOVA STREET","BRONX","NY","10474-",,,,,,,"True","False","Phone Call","2023-08-25","BRONX","40.809212","-73.922822","1","8","39","2000594","2023010028","Mott Haven-Port Morris"
"COMP-195325",,"NANTONG XIN YUAN INC.","BIC-498572","2020-02-20T00:00:00.000","Trade Waste","Active","WEB-MAIL","Violation Written","Closed","4.0","Complaint","Other - All",,,,,,"NANTONG XIN YUAN INC.","41-14B MAIN STREET L63","FLUSHING","NY","11355",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2007-00612",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300",,"Closed",,"Inquiry",,,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00866",,"VANGUARD CARTING INC.","TWC-2181",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Quality of Life-Odor - Trade Waste","Manhattan Ave (from India through at least Nassau)",,"NY",,"Brooklyn","VANGUARD CARTING INC.","3 PEMBROKE DRIVE","GLEN COVE","RENEWAL APPROVED",,"(516) 674-3224",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-191865",,,,"2015-04-27T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","2.0","Complaint","Quality of Life-Spillage - Trade Waste","638 Park Pl","Brooklyn","NY","11238-4702","Brooklyn",,,,,,,,,,,,"True","True","Phone Call","2023-08-25","BROOKLYN","40.674207","-73.956912","8","35","217","3029278","3011680049","Crown Heights North"
"INQ-194534",,,,"2018-12-03T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","2.0","Inquiry","Other - All",,,,,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01408",,,,,"Trade Waste",,"311/PHONE - 9278","Unsubstantiated","Closed",,"Inquiry","Disposal - All","281 Food Market on East 170 St.",,"NY",,"Bronx","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-01101",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00894",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00370",,,"TWC-NaN",,"Trade Waste",,"PHONE","Referred to Another Agency","Closed",,"Inquiry","Information - All","250-11 Hook Creek Blvd","UNKNOWN",,,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00746",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Information - All;Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02343",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00115",,,"TWC-0",,"Trade Waste",,"PHONE - 6300","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste",,,,,,,,,"UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192173",,,,"2015-07-13T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
