"fiscal_year","location","print_order","attribute_reference","attribute_category","need_name","category","sub_category","column_l_fy15_weight","column_m_fy15_per_capita_no_ats_growth","column_n_fy14_actual_registers","column_o_projected_register","column_p_projected_formula","column_q_register_change","column_r_register_dollar_change"
"2015","Q184","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","470","462","1904616.09","-8","-32980.37"
"2015","Q214","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","439","490","2020047.37","51","210249.83"
"2015","Q209","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","616","596","2457037.20","-20","-82450.91"
"2015","Q201","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","431","436","1797429.90","5","20612.73"
"2015","Q200","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","260","266","1096597.14","6","24735.27"
"2015","Q194","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q193","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","448","470","1937596.45","22","90696.00"
"2015","Q129","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","997","1004","4139035.83","7","28857.82"
"2015","Q185","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q240","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q169","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","360","382","1574812.44","22","90696.00"
"2015","Q165","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","707","713","2939375.04","6","24735.27"
"2015","Q164","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","349","371","1529464.43","22","90696.00"
"2015","Q163","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","580","593","2444669.57","13","53593.09"
"2015","Q154","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","676","694","2861046.68","18","74205.82"
"2015","Q792","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q189","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q281","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q211","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","145","201","828631.67","56","230862.56"
"2015","Q540","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q525","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q499","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","316","312","1286234.24","-4","-16490.18"
"2015","Q460","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q425","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q219","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","364","364","1500606.61","0","0.00"
"2015","Q285","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q237","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q263","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q252","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q250","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q244","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","392","408","1681998.62","16","65960.73"
"2015","Q242","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","388","393","1620160.44","5","20612.73"
"2015","Q241","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q120","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","901","918","3784496.90","17","70083.28"
"2015","Q294","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q293","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q485","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q455","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q330","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","381","499","2057150.28","118","486460.39"
"2015","Q311","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q307","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","974","911","3755639.08","-63","-259720.38"
"2015","Q305","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","379","373","1537709.53","-6","-24735.27"
"2015","Q130","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","337","371","1529464.43","34","140166.55"
"2015","Q296","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q550","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q290","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","278","336","1385175.34","58","239107.65"
"2015","Q267","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q264","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q239","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","666","655","2700267.40","-11","-45348.00"
"2015","Q236","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q260","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q299","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q020","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","1325","1329","5478863.16","4","16490.18"
"2015","Q107","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","897","899","3706168.53","2","8245.09"
"2015","Q079","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","920","968","3990624.18","48","197882.19"
"2015","Q032","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","911","910","3751516.54","-1","-4122.55"
"2015","Q029","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","698","752","3100154.32","54","222617.46"
"2015","Q025","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q024","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","934","923","3805109.63","-11","-45348.00"
"2015","Q520","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q021","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","1262","1279","5272735.88","17","70083.28"
"2015","Q530","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q877","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","524","520","2143723.74","-4","-16490.18"
"2015","Q744","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q610","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q600","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q585","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q560","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q018","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","588","613","2527120.48","25","103063.64"
"2015","Q022","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","746","741","3054806.32","-5","-20612.73"
"2015","Q065","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","508","520","2143723.74","12","49470.55"
"2015","Q106","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","252","180","742058.22","-72","-296823.29"
"2015","Q105","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","550","544","2242664.83","-6","-24735.27"
"2015","Q104","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","599","604","2490017.57","5","20612.73"
"2015","Q100","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","990","975","4019482.00","-15","-61838.18"
"2015","Q097","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","679","678","2795085.95","-1","-4122.55"
"2015","Q096","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","286","275","1133700.05","-11","-45348.00"
"2015","Q051","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","233","218","898714.95","-15","-61838.18"
"2015","Q066","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","502","502","2069517.91","0","0.00"
"2015","Q123","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","621","602","2481772.48","-19","-78328.37"
"2015","Q064","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","647","645","2659041.94","-2","-8245.09"
"2015","Q063","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","1328","1307","5388167.16","-21","-86573.46"
"2015","Q062","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","912","893","3681433.26","-19","-78328.37"
"2015","Q060","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","1217","1222","5037750.78","5","20612.73"
"2015","Q056","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","411","400","1649018.26","-11","-45348.00"
"2015","Q670","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q090","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","853","864","3561879.44","11","45348.00"
"2015","Q202","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","K096","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","0","0","0.00","0","0.00"
"2015","Q253","2","ATTRIBUTE_01","Grade Weights","NA","K-5","NA","1","4122.55","500","459","1892248.45","-41","-169024.37"
