"hour_beginning","location","pedestrians","towards_manhattan","towards_brooklyn","weather_summary","temperature","precipitation","lat","long","events","geocoded_column"
"2019-04-30T00:00:00.000","Brooklyn Bridge","3","3","0",,,,"40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-31T22:00:00.000","Brooklyn Bridge","10","9","1","cloudy","42","0.00050","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-31T23:00:00.000","Brooklyn Bridge","2","0","2","cloudy","42","0.00040","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-31T21:00:00.000","Brooklyn Bridge","12","0","12","cloudy","42","0.0036","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-01T03:00:00.000","Brooklyn Bridge","1","0","1","clear-night","36","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-25T14:00:00.000","Brooklyn Bridge","3171","1685","1486","clear-day","44","0","40.7081639691088","-73.9995087014816","Christmas Day","(40.7081639691088, -73.9995087014816)"
"2019-01-27T21:00:00.000","Brooklyn Bridge","13","5","8","partly-cloudy-night","41","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-07T04:00:00.000","Brooklyn Bridge","0","0","0","cloudy","39","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-01-03T21:00:00.000","Brooklyn Bridge","9","7","2","partly-cloudy-night","36","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-13T09:00:00.000","Brooklyn Bridge","520","281","239","partly-cloudy-day","76","0.0087","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-31T02:00:00.000","Brooklyn Bridge","2","1","1","clear-night","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-04T06:00:00.000","Brooklyn Bridge","125","66","59","clear-night","35","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-24T19:00:00.000","Brooklyn Bridge","2627","1142","1485","partly-cloudy-day","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-02T15:00:00.000","Brooklyn Bridge","1601","730","871","partly-cloudy-day","48","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-02T21:00:00.000","Brooklyn Bridge","22","21","1","cloudy","32","0.0037","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-05-06T21:00:00.000","Brooklyn Bridge","36","15","21","cloudy","57","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-22T15:00:00.000","Brooklyn Bridge","2708","1447","1261","clear-day","41","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-15T13:00:00.000","Brooklyn Bridge","2270","1020","1250","partly-cloudy-day","81","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-25T02:00:00.000","Brooklyn Bridge","3","1","2","partly-cloudy-night","42","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-11T09:00:00.000","Brooklyn Bridge","1151","666","485","clear-day","44","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-18T13:00:00.000","Brooklyn Bridge","1557","707","850","partly-cloudy-day","87","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-25T22:00:00.000","Brooklyn Bridge","79","65","14","partly-cloudy-night","67","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-13T04:00:00.000","Brooklyn Bridge","0","0","0","cloudy","35","0.0017","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-28T14:00:00.000","Brooklyn Bridge","1805","754","1051","cloudy","52","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-01T08:00:00.000","Brooklyn Bridge","442","188","254","clear-day","45","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-20T14:00:00.000","Brooklyn Bridge","2826","1425","1401","cloudy","60","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-09-11T13:00:00.000","Brooklyn Bridge","1554","637","917","partly-cloudy-day","83","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-11T09:00:00.000","Brooklyn Bridge","610","386","224","partly-cloudy-day","65","0.0037","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-24T12:00:00.000","Brooklyn Bridge","1773","894","879","partly-cloudy-day","83","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-08T02:00:00.000","Brooklyn Bridge","0","0","0","clear-night","25","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-12-26T01:00:00.000","Brooklyn Bridge","0","0","0","partly-cloudy-night","33","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-04T13:00:00.000","Brooklyn Bridge","1532","726","806","partly-cloudy-day","37","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-25T01:00:00.000","Brooklyn Bridge","4","2","2","partly-cloudy-night","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-04-13T04:00:00.000","Brooklyn Bridge","0","0","0","cloudy","61","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-03T17:00:00.000","Brooklyn Bridge","1120","449","671","partly-cloudy-day","44","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-04T04:00:00.000","Brooklyn Bridge","0","0","0","clear-night","37","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-10T00:00:00.000","Brooklyn Bridge","8","4","4","clear-night","76","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-20T13:00:00.000","Brooklyn Bridge","1080","463","617","partly-cloudy-day","46","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-07-05T07:00:00.000","Brooklyn Bridge","186","83","103","cloudy","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-15T02:00:00.000","Brooklyn Bridge","0","0","0","clear-night","62","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-20T07:00:00.000","Brooklyn Bridge","199","70","129","clear-night","34","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-14T22:00:00.000","Brooklyn Bridge","23","14","9","partly-cloudy-night","73","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-25T17:00:00.000","Brooklyn Bridge","741","409","332","clear-day","40","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-13T14:00:00.000","Brooklyn Bridge","1394","609","785","clear-day","45","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-03-29T06:00:00.000","Brooklyn Bridge","58","36","22","partly-cloudy-night","47","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-10-12T20:00:00.000","Brooklyn Bridge","41","38","3","partly-cloudy-night","63","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-08-16T21:00:00.000","Brooklyn Bridge","27","16","11","partly-cloudy-night","74","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-06-14T08:00:00.000","Brooklyn Bridge","482","197","285","clear-day","61","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-02-28T19:00:00.000","Brooklyn Bridge","21","19","2","clear-night","33","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
"2019-11-06T10:00:00.000","Brooklyn Bridge","1275","722","553","clear-day","51","0","40.7081639691088","-73.9995087014816",,"(40.7081639691088, -73.9995087014816)"
