"dbn","location_name","location_category","administrative_district","ell_removals","ell_principal","ell_superintendent","ell_expulsions","non_ell_removals","non_ell_principal","non_ell_superintendent","non_ell_expulsions","sy1617_total_removals_suspensions"
"01M015","P.S. 015 Roberto Clemente","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M019","P.S. 019 Asher Levy","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M020","P.S. 020 Anna Silver","Elementary","1","R","R","R","R","R","R","R","R","9"
"01M034","P.S. 034 Franklin D. Roosevelt","K-8","1","R","R","R","R","R","R","R","R","R"
"01M063","The STAR Academy - P.S.63","Elementary","1","R","R","R","R","R","R","R","R","31"
"01M064","P.S. 064 Robert Simon","Elementary","1","R","R","R","R","R","R","R","R","6"
"01M110","P.S. 110 Florence Nightingale","Elementary","1","R","R","R","R","R","R","R","R","R"
"01M134","P.S. 134 Henrietta Szold","Elementary","1","R","R","R","R","R","R","R","R","42"
"01M140","P.S. 140 Nathan Straus","K-8","1","R","R","R","R","R","R","R","R","28"
"01M142","P.S. 142 Amalia Castro","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M184","P.S. 184m Shuang Wen","K-8","1","R","R","R","R","R","R","R","R","0"
"01M188","P.S. 188 The Island School","K-8","1","R","R","R","R","R","R","R","R","23"
"01M292","Orchard Collegiate Academy","High school","1","R","R","R","R","R","R","R","R","11"
"01M301","Technology, Arts, and Sciences Studio","Junior High-Intermediate-Middle","1","R","R","R","R","R","R","R","R","23"
"01M315","The East Village Community School","Elementary","1","R","R","R","R","R","R","R","R","R"
"01M332","University Neighborhood Middle School","Junior High-Intermediate-Middle","1","R","R","R","R","R","R","R","R","30"
"01M361","The Children's Workshop School","Elementary","1","R","R","R","R","R","R","R","R","R"
"01M363","Neighborhood School","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M364","Earth School","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M378","School for Global Leaders","Junior High-Intermediate-Middle","1","R","R","R","R","R","R","R","R","19"
"01M448","University Neighborhood High School","High school","1","R","R","R","R","R","R","R","R","7"
"01M450","East Side Community School","Secondary School","1","R","R","R","R","R","R","R","R","23"
"01M458","Forsyth Satellite Academy","High school","1","R","R","R","R","R","R","R","R","0"
"01M509","Marta Valle High School","High school","1","R","R","R","R","R","R","R","R","40"
"01M515","Lower East Side Preparatory High School","High school","1","R","R","R","R","R","R","R","R","0"
"01M539","New Explorations into Science, Technology and Math","K-12 all grades","1","R","R","R","R","R","R","R","R","18"
"01M650","Cascades High School","High school","1","R","R","R","R","R","R","R","R","9"
"01M696","Bard High School Early College","High school","1","R","R","R","R","R","R","R","R","0"
"01M839","Tompkins Square Middle School","Junior High-Intermediate-Middle","1","R","R","R","R","R","R","R","R","6"
"02M001","P.S. 001 Alfred E. Smith","Elementary","2","R","R","R","R","R","R","R","R","9"
"02M002","P.S. 002 Meyer London","Elementary","2","R","R","R","R","R","R","R","R","8"
"02M003","P.S. 003 Charrette School","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M006","P.S. 006 Lillie D. Blake","Elementary","2","R","R","R","R","R","R","R","R","15"
"02M011","P.S. 011 William T. Harris","Elementary","2","R","R","R","R","R","R","R","R","12"
"02M033","P.S. 033 Chelsea Prep","Elementary","2","R","R","R","R","R","R","R","R","12"
"02M040","P.S. 040 Augustus Saint-Gaudens","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M041","P.S. 041 Greenwich Village","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M042","P.S. 042 Benjamin Altman","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M047","47 The American Sign Language and English Secondar","High school","2","R","R","R","R","R","R","R","R","16"
"02M051","P.S. 051 Elias Howe","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M059","P.S. 059 Beekman Hill International","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M077","P.S. 77 Lower Lab School","Elementary","2","R","R","R","R","R","R","R","R","8"
"02M089","P.S. 89","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M104","J.H.S. 104 Simon Baruch","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","41"
"02M111","P.S. 111 Adolph S. Ochs","Elementary","2","R","R","R","R","R","R","R","R","12"
"02M114","East Side Middle School","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","10"
"02M116","P.S. 116 Mary Lindley Murray","Elementary","2","R","R","R","R","R","R","R","R","20"
"02M124","P.S. 124 Yung Wing","Elementary","2","R","R","R","R","R","R","R","R","19"
"02M126","P.S. 126 Jacob August Riis","K-8","2","R","R","R","R","R","R","R","R","12"
"02M130","P.S. 130 Hernando De Soto","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M131","M.S. 131","Junior High-Intermediate-Middle","2","R","7","R","R","R","11","R","R","24"
"02M135","The Urban Assembly School for Emergency Management","High school","2","R","R","R","R","R","R","R","R","76"
"02M139","Stephen T. Mather Building Arts & Craftsmanship Hi","High school","2","R","R","R","R","R","R","R","R","49"
"02M150","P.S. 150","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M151","Yorkville Community School","Elementary","2","6","R","R","R","26","R","R","R","42"
"02M158","P.S. 158 Bayard Taylor","Elementary","2","R","R","R","R","R","R","R","R","18"
"02M167","J.H.S. 167 Robert F. Wagner","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","89"
"02M177","Yorkville East Middle School","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","R"
"02M183","P.S. 183 Robert L. Stevenson","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M198","P.S. 198 Isador E. Ida Straus","Elementary","2","R","R","R","R","R","R","R","R","9"
"02M212","P.S. 212 Midtown West","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M217","P.S./I.S. 217 Roosevelt Island","K-8","2","R","R","R","R","R","R","R","R","31"
"02M225","Ella Baker School","K-8","2","R","R","R","R","R","R","R","R","0"
"02M234","P.S. 234 Independence School","Elementary","2","R","R","R","R","R","R","R","R","10"
"02M255","M.S. 255 Salk School of Science","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","8"
"02M260","M.S. 260 Clinton School Writers & Artists","Secondary School","2","R","R","R","R","R","R","R","R","R"
"02M267","East Side Elementary School, PS 267","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M276","Battery Park City School","K-8","2","R","R","R","R","R","R","R","R","34"
"02M280","Manhattan Early College School for Advertising","High school","2","R","R","R","R","R","R","R","R","74"
"02M281","The River School","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M282","Urban Assembly Maker Academy","High school","2","R","R","R","R","R","R","R","R","14"
"02M288","Food and Finance High School","High school","2","R","R","R","R","R","R","R","R","19"
"02M289","I.S. 289","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","16"
"02M290","P.S. 290 Manhattan New School","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M294","Essex Street Academy","High school","2","R","R","R","R","R","R","R","R","14"
"02M296","High School of Hospitality Management","High school","2","R","10","R","R","R","64","R","R","93"
"02M298","Pace High School","High school","2","R","R","R","R","R","R","R","R","51"
"02M300","Urban Assembly School of Design and Construction,","High school","2","R","R","R","R","R","R","R","R","16"
"02M303","Facing History School, The","High school","2","R","R","R","R","R","R","R","R","40"
"02M305","Urban Assembly Academy of Government and Law, The","High school","2","R","R","R","R","R","R","R","R","86"
"02M308","Lower Manhattan Arts Academy","High school","2","R","R","R","R","R","R","R","R","37"
"02M312","New York City Lab Middle School for Collaborative","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","33"
"02M313","James Baldwin School, The: A School for Expedition","High school","2","R","R","R","R","R","R","R","R","R"
"02M316","Urban Assembly School of Business for Young Women,","High school","2","R","R","R","R","R","R","R","R","69"
"02M340","Sixth Avenue Elementary School","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M343","The Peck Slip School","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M347","The 47 American Sign Language & English Lower Scho","K-8","2","R","R","R","R","R","R","R","R","11"
"02M374","Gramercy Arts High School","High school","2","R","R","R","R","R","R","R","R","67"
"02M376","NYC iSchool","High school","2","R","R","R","R","R","R","R","R","21"
"02M391","District 2 Pre-K Center","District Pre-K Center","2","R","R","R","R","R","R","R","R","0"
"02M392","MANHATTAN BUSINESS ACADEMY","High school","2","R","6","R","R","R","74","R","R","101"
"02M393","Business Of Sports School","High school","2","R","6","R","R","R","53","R","R","78"
"02M394","Emma Lazarus High School","High school","2","R","R","R","R","R","R","R","R","R"
"02M397","Spruce Street School","K-8","2","R","R","R","R","R","R","R","R","R"
"02M399","The High School For Language And Diplomacy","High school","2","R","R","R","R","R","R","R","R","31"
"02M400","High School for Environmental Studies","High school","2","R","7","R","R","R","98","R","R","142"
"02M407","Institute for Collaborative Education","Secondary School","2","R","R","R","R","R","R","R","R","R"
