"name","fileorder","number","parkprop","borough","parkname","parknumber","commboard","council","location","extant","dedicated","cast","descrip","dimen","sponsor","materials","foundry","fabricator","sculptor","architect","donor","maintain","contractor","name2","name3","maintainedbyparks","installation","rededication","cost","categories","inscribed","x","y"
"Corporal Sam Abrams","Abrams, Sam","3","Y","Brooklyn","Prospect Park","B073","19","39","East Drive near Grand Army Plaza","N","1945 (?)","ca. 1945","Plaque on base","Plaque H: 4""  W: 7""; Base H: 8""  W: 11""",,"Bronze, Barre granite",,,,,"Fred Jacobs",,,,,,,,,"World War II, War Memorial",,"1013723.5384818017","262163.4996726364"
"Jane Addams Memorial","Addams, Jane","6","Y","Manhattan","City Hall Park","M013","1","1",,"Y","1935","ca. 1935","Plaque on plinth","Plaque H: 9""  W: 1'1""; Plinth H: 1'4""  W: 1'8""",,"Bronze, Quincy granite",,,,,"Women's International League for Peace and Freedom",,,,,"Y",,,,"Women, Public Servant, Civic Leader",,"982560.5033670515","199370.9612159729"
"Adoption of the Constitution","Adoption of the Constitution","7","Y","the Bronx","Van Cortlandt Park","X092","0","11","West side of spice garden, Van Cortlandt Mansion, Broadway and 259th Street","Y","1937","ca. 1937","Plaque on boulder","H: 8¼"" W: 1'",,"Bronze",,,,,"National Society of Colonial Dames",,,,,"Y",,,,"Revolutionary War, Colonial, War Memorial",,"1013410.7395667136","263905.41777673364"
"Æsculapius","Aesculapius","8","N","Manhattan",,,"9","7","City College Library, Convent Avenue at 139th Street","Y","1931","ca. 1931","Bust",,,"Bronze",,,,,"$50; Dr. Francis Huber",,,,,,,,,,,,
"Alamo","Alamo","9","N","Manhattan",,"MZ032","2","2","Astor Place, Lafayette and 8th Streets","Y","1967","ca. 1967","Tilted cube on pivot","H: 10'  W: 8' D: 8'","Cooper Union","Cor-Ten steel (painted black)",,"Donald Lippincott","Tony Rosenthal",,"Knoedler & Company, Tony Rosenthal, and an anoymous donor",,,,,"Y",,"2005-11-18T00:00:00.000",,"Abstract, Sculpture",,"986741.0986803919","205198.04831506312"
"Alben Square Flagstaff","Alben, Bud H.","11","Y","Brooklyn","Alben Memorial Square","B123","12","39","Ft. Hamilton Pkwy., New Utrecht and 11th Avenues, and 46th Street","Y","1935","ca. 1935","Flagstaff with plaque","Plaque H: 2' W: 1'7¼""; Base H: 2'8"" W: 2'10""",,"Concrete, bronze, brick terrace","U.S. Bronze Sign Company, NY",,,,"Bud H. Alben Post No. 1436, Veterans of Foreign Wars of the United States",,,,,"Y",,,,"War Memorial, World War I",,"985756.7236806303","172217.62641514838"
"Peter Caesar Alberti Marker","Alberti, Peter Caesar","12","Y","Manhattan","Battery Park","M005","1","1","Perimeter of park on Battery Place between Greenwich and Washington Streets","Y","Original: June 2, 1958; rededicated ca. 1985","ca. 1985 (replica)","Marker on plinth","Front H: 4""; Rear H: 1'2"" W: 1'8"" D: 1'4"" (all approximate)",,"Granite",,"A. Ottavino Corp.",,,"Italian Historical Society of America (original)",,,,,"Y",,,,"Immigration",,"979744.5565711409","196001.71237705648"
"Alice in Wonderland","Alice in Wonderland","13","Y","Manhattan","Central Park","M010","7","6","76th Street and 5th Avenue, near Conservatory Lake","Y","May 7, 1959","1959","Group (heroic scale)","Group H: 9'7"" D: 14'6""; Plinth H: 1'  Diameter: 34'; Esplanade Diameter: 67'; Seven bronze tablets each H: 1'9"" W: 4'","CPC","Bronze, Chelmsford granite","Modern Art Foundry",,"José de Creeft","F. Texidor; designer--Hideo Sasaki","George and Margarita Delacorte",,,,,"Y",,,,"Animal: other, Juvenile, Literary Character, Sculpture, Women",,"993469.1321403086","221559.83120822906"
"William C. Allen Plaque","Allen, William C.","14","N","Brooklyn",,,"3","36","P.S. 93 library, Herkimer Street and New York Avenue","Y","1931","ca. 1931","Plaque",,,,,,,"J. & R. Lamb","$245; gift",,,,,,,,,"Educator, Public Servant",,,
"Allerton Avenue Bridge Plaques","Allerton Avenue Bridge Plaques","15","Y","the Bronx","Bronx Park","X002","14","12","East of main entrance to Botanical Gardens","Y","1905","ca. 1905","Two plaques on either side of road","H: 1'8"" x W: 2'6""",,"Bronze",,,,,,,,,,"Y",,,,,,"1018999.3858697265","255141.5127323866"
"Altman Memorial Fountain","Altman, Benjamin","16","Y","Manhattan","Central Park","M010","7","6",,"N","July 1956","1955","Fountain",,,"Stone",,,,,"Altman Foundation",,,,,,,,,,,"995359.8232408017","231688.23910097778"
"Altman Plaque","Altman","17","Y","Manhattan","Highbridge Park","M037","12","7","Highbridge Tower, 173rd Street and Amsterdam Avenue","N","May 30, 1958","ca. 1958","Plaque","h 1'2¼"" x w 1'10½""",,"Bronze",,,,,"Altman Foundation",,,,,,,,,"Business Leader",,,
"Amalgamated Dwellings Plaque","Amalgamated Dwellings Plaque","18","N","Manhattan",,,"3","2","East Broadway and Columbia Street","N","January 11, 1941","ca. 1941","Plaque on exterior wall",,,"Bronze",,,,,"tenant-owners of the Amalgamated Dwellings",,,,,,,,,,,,
"American Bison Society Plaque","American Bison Society Plaque","20","O","the Bronx","Bronx Park","X002","14","12","Bronx Zoo, wall left of entrance to Lion House (?)","Y",,,"Plaque on brick wall","H: 2' W: 3' D: ½""",,"Bronze",,,,,"American Bison Society",,,,,,,,,"Animal: other",,,
"American Boy","American Boy","21","Y","the Bronx","Pelham Bay Park","X039","10","13","Bruckner Blvd, Eastchester, Hutchinson; Between track and tennis courts","Y","1932","ca. 1932","Standing male figure with plaque mounted on front of pedestal","Figure H: 15'; Plaque H: 2'1"" W: 2'9""",,"Figure and pedestal--Indiana limestone; plaque--bronze",,,"Louis Saint-Lanne",,"Wife and children of Isaac L. Rice",,,,,"Y",,"2005-07-22T00:00:00.000","7000.00","Sculpture",,"1033145.4015408903","248855.83928014338"
