"building_id","boro","phn","street_address","total_units","aep_start_date","of_b_c_violations_at_start","current_status","discharge_date","aep_round","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"42807","Manhattan","504","WEST 159 STREET","21","2008-11-13T00:00:00.000","1741","AEP Discharged","2009-04-17T00:00:00.000","Aep Round 2","10032","40.834268","-73.941508","12","10","245","1062763","1021170032","Washington Heights (South)"
"287536","Brooklyn","1159","EASTERN PARKWAY","16","2017-01-31T00:00:00.000","630","AEP Discharged","2017-06-27T00:00:00.000","Aep Round 10","11213","40.66874","-73.929902","8","41","34901","3324649","3013910061","Crown Heights (North)"
"81496","Bronx","2118","GRAND AVENUE","3","2009-11-12T00:00:00.000","193","AEP Discharged","2016-10-26T00:00:00.000","Aep Round 3","10453","40.855688","-73.907845","5","14","251","2014166","2031940009","University Heights (South)-Morris Heights"
"410263","Queens","39-44","24 STREET","31","2017-01-31T00:00:00.000","546","AEP Discharged","2017-07-06T00:00:00.000","Aep Round 10","11101","40.754579","-73.938099","1","26","3302","4004757","4003940042","Queensbridge-Ravenswood-Dutch Kills"
"264702","Brooklyn","491","EAST 45 STREET","16","2016-02-01T00:00:00.000","339","AEP Discharged","2016-06-23T00:00:00.000","Aep Round 9","11203","40.649505","-73.934974","17","45","860","3110302","3049130001","East Flatbush-Rugby"
"68193","Bronx","766","EAST 215 STREET","6","2018-01-31T00:00:00.000","695","AEP Discharged","2018-10-11T00:00:00.000","Aep Round 11","10467","40.880013","-73.862331","12","12","380","2057872","2046620056","Williamsbridge-Olinville"
"321406","Brooklyn","720","KNICKERBOCKER AVENUE","8","2008-11-13T00:00:00.000","253","AEP Discharged","2017-08-09T00:00:00.000","Aep Round 2","11221","40.694123","-73.910132","4","37","437","3077996","3033910031","Bushwick (East)"
"79936","Bronx","780","GARDEN STREET","61","2011-01-31T00:00:00.000","1732","AEP Discharged","2011-08-04T00:00:00.000","Aep Round 4","10460","40.849727","-73.883976","6","15","393","2013018","2031120030","Belmont"
"753999","Staten Island","80","LAYTON AVENUE","3","2016-02-01T00:00:00.000","113","AEP Discharged","2017-10-13T00:00:00.000","Aep Round 9","10301","40.641432","-74.086144","1","49","9","5001043","5000460015","St. George-New Brighton"
"325964","Brooklyn","435","LINCOLN AVENUE","6","2023-01-31T00:00:00.000","291","AEP Discharged","2023-06-01T00:00:00.000","Aep Round 16","11208","40.679407","-73.868214","5","37","1188","3093970","3041810014","East New York-City Line"
"96615","Bronx","1562","MINFORD PLACE","20","2012-01-31T00:00:00.000","1006","AEP Discharged","2012-06-13T00:00:00.000","Aep Round 5","10460","40.834966","-73.890282","3","17","155","2010513","2029770146","Crotona Park East"
"41231","Manhattan","523","WEST 138 STREET","20","2015-02-02T00:00:00.000","597","AEP Discharged","2020-07-06T00:00:00.000","Aep Round 8","10031","40.821318","-73.951979","9","7","225","1061715","1020700019","Hamilton Heights-Sugar Hill"
"362761","Brooklyn","89","ROCKAWAY AVENUE","3","2020-01-31T00:00:00.000","194","AEP Discharged","2020-11-30T00:00:00.000","Aep Round 13","11233","40.679909","-73.911149","16","37","369","3041700","3015340002","Ocean Hill"
"225238","Brooklyn","701","CONEY ISLAND AVENUE","6","2007-11-13T00:00:00.000","572","AEP Discharged","2008-10-22T00:00:00.000","Aep Round 1","11218","40.640417","-73.969099","14","39","1522","3118210","3051410136","Flatbush (West)-Ditmas Park-Parkville"
"253176","Brooklyn","572","EAST 26 STREET","8","2023-01-31T00:00:00.000","339","AEP Active",,"Aep Round 16","11210","40.636621","-73.952606","14","45","770","3120824","3052250068","Flatbush"
"87409","Bronx","3055","HULL AVENUE","7","2007-11-13T00:00:00.000","847","AEP Discharged","2008-03-03T00:00:00.000","Aep Round 1","10467","40.871702","-73.879483","7","11","425","2017959","2033330057","Norwood"
"305126","Brooklyn","183","GUERNSEY STREET","8","2023-01-31T00:00:00.000","139","AEP Discharged","2023-03-28T00:00:00.000","Aep Round 16","11222","40.727051","-73.954695","1","33","561","3065292","3025940029","Greenpoint"
"397057","Brooklyn","90","WILSON AVENUE","3","2007-11-13T00:00:00.000","331","AEP Discharged","2009-04-27T00:00:00.000","Aep Round 1","11237","40.701871","-73.927793","4","34","425","3072287","3031730034","Bushwick (West)"
"383342","Brooklyn","1578","UNION STREET","14","2014-01-31T00:00:00.000","394","AEP Discharged","2018-02-06T00:00:00.000","Aep Round 7","11213","40.668148","-73.93722","9","35","335","3037671","3014000042","Crown Heights (South)"
"287504","Brooklyn","1074","EASTERN PARKWAY","31","2021-02-01T00:00:00.000","1329","AEP Active",,"Aep Round 14","11213","40.668879","-73.932717","9","35","35102","3037545","3013960017","Crown Heights (South)"
"334920","Brooklyn","781","MAC DONOUGH STREET","3","2012-01-31T00:00:00.000","373","AEP Discharged","2014-12-01T00:00:00.000","Aep Round 5","11233","40.684282","-73.915326","16","41","373","3040222","3014980048","Ocean Hill"
"345955","Brooklyn","1116","NOSTRAND AVENUE","3","2011-01-31T00:00:00.000","205","AEP Discharged","2011-07-18T00:00:00.000","Aep Round 4","11225","40.660492","-73.950621","9","40","800","3115015","3050330043","Prospect Lefferts Gardens-Wingate"
"125682","Bronx","1230","WOODYCREST AVENUE","41","2022-01-31T00:00:00.000","789","AEP Discharged","2022-06-01T00:00:00.000","Aep Round 15","10452","40.837538","-73.924206","4","16","199","2003160","2025100017","Highbridge"
"81739","Bronx","1881","GRAND CONCOURSE","17","2008-11-13T00:00:00.000","1148","AEP Discharged","2009-03-12T00:00:00.000","Aep Round 2","10453","40.848842","-73.906539","5","14","23301","2007631","2028050056","Mount Hope"
"120620","Bronx","2366","WEBSTER AVENUE","26","2015-02-02T00:00:00.000","584","AEP Discharged","2015-06-17T00:00:00.000","Aep Round 8","10458","40.857916","-73.894496","6","15","38304","2011192","2030310031","Belmont"
"314816","Brooklyn","245","HULL STREET","6","2015-02-02T00:00:00.000","389","AEP Discharged","2015-06-19T00:00:00.000","Aep Round 8","11233","40.679999","-73.90696","16","37","369","3041777","3015350042","Ocean Hill"
"311297","Brooklyn","1334","HERKIMER STREET","3","2011-01-31T00:00:00.000","205","AEP Discharged","2012-10-23T00:00:00.000","Aep Round 4","11233","40.677437","-73.909455","16","37","369","3042655","3015690022","Ocean Hill"
"48286","Bronx","490","EAST 181 STREET","24","2023-01-31T00:00:00.000","332","AEP Active",,"Aep Round 16","10457","40.852073","-73.894682","6","15","395","2011503","2030470014","Tremont"
"40764","Manhattan","509","WEST 135 STREET","15","2020-01-31T00:00:00.000","352","AEP Discharged","2020-10-14T00:00:00.000","Aep Round 13","10031","40.819186","-73.952768","9","7","22301","1059792","1019880098","Manhattanville-West Harlem"
"129406","Brooklyn","6324","4 AVENUE","21","2016-02-01T00:00:00.000","1051","AEP Discharged","2019-01-15T00:00:00.000","Aep Round 9","11220","40.638965","-74.02039","7","38","72","3144056","3058080040","Sunset Park (West)"
