"borough_code","tax_block","tax_lot","bbl","zoning_district_1","zoning_district_2","zoning_district_3","zoning_district_4","commercial_overlay_1","commercial_overlay_2","special_district_1","special_district_2","special_district_3","limited_height_district","zoning_map_number","zoning_map_code","notes"
"5","569","128","5005690128","R3-1","R3-2","R5",,"C2-1",,"HS",,,,"21C",,
"2","3061","3","2030610003","M1-4/R7A","R7-1","C4-5X",,"C2-3",,"MX-14",,,,"3D",,
"4","9450","34","4094500034","R5","M1-1","R4A",,"C2-3",,,,,,"14D",,
"4","2851","15","4028510015","R4","R6B","R6",,"C1-3",,,,,,"13C",,
"2","3355","112","2033550112","R7A","R7B","C4-4",,"C1-3",,,,,,"1D",,
"4","9329","1","4093290001","M1-1","M1-5","R6A",,"C2-4",,,,,,"14B",,
"1","2180","87","1021800087","C4-4","R7-2","C8-3",,"C1-4",,,,,,"3A",,
"3","6744","48","3067440048","R5B","R4-1","R7A",,"C2-3",,,,,,"22D",,
"4","7986","50","4079860050","R2A","R4","R3A",,"C1-3",,,,,,"15C",,
"1","2060","1","1020600001","R6A","R7A","R7D",,"C1-4",,,,,,"6A",,
"3","1057","34","3010570034","R7B","R6A","R7A",,"C2-4",,,,,,"16C",,
"3","2760","6","3027600006","R6A","R7A","R6B",,"C2-4",,,,,,"13B",,
"1","902","31","1009020031","R8A","C1-9A","R9A",,"C1-5",,,,,,"12C",,
"4","846","1","4008460001","R6A","R5B","R5D",,"C1-3",,,,,,"9C",,
"1","1541","21","1015410021","R10","R8","C2-8",,"C2-5",,"TA",,,,"6B",,
"3","1009","1","3010090001","R6B","R6A","C4-4D",,"C2-4",,"G",,,,"16D",,
"3","5408","55","3054080055","M1-1","R6A","R5",,"C1-4",,"OP",,,,"22C",,
"4","16157","25","4161570025","R4","R4B","R5D",,"C1-3",,,,,,"30C",,
"4","531","32","4005310032","R5B","R7X","R6B",,"C2-3",,,,,,"9A",,
"1","927","1","1009270001","R9A","R8B","C1-9A",,"C1-5",,,,,,"12C",,
"4","10459","8","4104590008","R5","R2","R4",,"C2-2",,,,,,"15B",,
"1","1541","1","1015410001","R10","C2-8","R8",,"C1-5",,,,,,"6B",,
"3","6599","5","3065990005","R5B","R4-1","R7A",,"C2-3",,,,,,"22D",,
"4","908","12","4009080012","R7A","R6B","R6",,"C2-4",,,,,,"9A",,
"4","1303","1","4013030001","R5D","R6B","R6",,"C2-3",,,,,,"9D",,
"1","1466","29","1014660029","R10A","R10","R8",,"C1-5",,,,,,"9A",,
"1","1542","19","1015420019","R10A","C1-9","R8B",,"C1-5",,,,,,"9A",,
"4","16166","460","4161660460","C8-1","M1-1","R5B",,"C1-3",,,,,,"30B",,
"1","1525","1","1015250001","C1-9","R10A","R8B",,"C1-5",,,,,,"8C","Y",
"4","519","6","4005190006","R7A","R5B","R6B",,"C2-3",,,,,,"9A",,
"3","1890","4","3018900004","R5B","R6B","R7A",,"C2-4",,,,,,"12D",,
"3","5201","5","3052010005","R1-2","R3X","R6A",,"C2-4",,,,,,"22C",,
"4","861","3","4008610003","R6A","R5D","R6B",,"C1-3",,,,,,"9A",,
"1","798","7","1007980007","C6-3X","R8A","C6-3A",,"C2-5",,,,,,"8D",,
"1","1234","19","1012340019","R10A","C4-6A","R8","C1-9","C1-5",,"EC-2","EC-3",,,"5D",,
"1","1351","8","1013510008","C1-9","R8B","R8",,"C2-5",,"TA",,,,"8D","Y",
"2","2488","25","2024880025","R8A","R9A","R8",,"C1-4",,"J",,,,"3B",,
"1","1881","3","1018810003","R9A","R8","R8B",,"C1-5",,"EC-3",,,,"5D",,
"4","9818","62","4098180062","C4-5X","R6A","R7X",,"C2-4",,"DJ",,,,"14D",,
"4","15709","35","4157090035","R4-1","R5","R6",,"C2-4",,"DFR",,,,"31A","Y",
"1","2068","46","1020680046","R7A","R8A","R6A",,"C2-4",,,,,,"3B",,
"4","6486","39","4064860039","R4B","R4","R3-2",,"C1-2",,,,,,"14A",,
"1","1406","41","1014060041","R10A","C1-9","R8B",,"C1-5",,,,,"LH-1A","8C",,
"3","6650","24","3066500024","R4-1","R7A","R5B",,"C2-3",,,,,,"22D",,
"5","4209","5","5042090005","R3X","R3-2","R3-1",,"C2-2","C2-1",,,,,"27B",,
