"service_taxonomy_id","contract_id","taxonomy_id"
"6183","712","115"
"9318","826","4"
"1137","177","43"
"5113","586","164"
"893","154","90"
"5981","691","74"
"5075","583","114"
"9027","631","115"
"9541","1025","122"
"6683","779","224"
"3887","488","79"
"8573","300","53"
"8650","399","204"
"5953","686","168"
"8788","535","49"
"922","155","79"
"8756","529","79"
"10422","1789","90"
"7942","961","116"
"4313","517","164"
"10551","1804","204"
"2730","762","125"
"2052","342","74"
"9753","1282","17"
"3051","110","224"
"3361","247","74"
"1082","173","144"
"8197","105","67"
"3397","259","71"
"10598","1809","186"
"7549","896","179"
"10203","1762","82"
"5849","676","79"
"10601","1810","120"
"701","131","60"
"9091","638","49"
"7188","847","115"
"9193","685","14"
"10764","1829","186"
"763","146","168"
"287","27","1"
"430","36","92"
"4311","517","77"
"2379","437","24"
"11037","1864","120"
"10377","1785","79"
"6640","769","79"
"8274","127","82"
"6606","758","175"
"1416","234","111"
"8825","564","36"
"1848","294","4"
"2085","349","115"
"1019","163","160"
"8579","305","74"
"4055","501","180"
"2178","376","60"
"5984","691","77"
"188","19","268"
"4834","562","244"
"3623","430","264"
"10603","1810","79"
"8715","484","4"
"5969","689","175"
"6010","692","116"
"7095","831","161"
"2828","1147","45"
"7795","937","160"
"1990","319","71"
"5853","676","121"
"5892","676","249"
"2199","380","224"
"443","51","74"
"3981","496","71"
"8463","221","122"
"4921","568","111"
"2960","56","175"
"5552","642","164"
"10510","1799","186"
"7322","864","114"
"10145","1758","90"
"7355","868","116"
"6527","747","179"
"8884","579","36"
"10850","1839","4"
"1684","278","9"
"10126","1757","67"
"4902","567","168"
"3338","237","50"
"10939","1851","49"
"10414","1789","34"
"7090","829","49"
"5973","689","122"
"3260","206","48"
"6714","786","111"
"5794","675","116"
"3099","133","175"
"1832","292","166"
"1867","294","175"
"7058","822","122"
"5234","596","175"
"8538","275","36"
"5688","667","115"
"9489","1019","77"
"7011","815","46"
"2477","462","49"
"6852","798","77"
"1809","292","9"
"9432","976","36"
"10869","1841","204"
"9304","714","186"
"4189","505","138"
"6858","798","116"
"4462","531","117"
"5628","664","161"
"9039","633","3"
"2073","349","74"
"3922","488","173"
"7840","939","122"
"8031","61","189"
"9347","881","29"
"9922","1747","49"
"6974","815","164"
"2583","339","241"
"6703","780","138"
"10280","1772","74"
"6195","712","127"
"2900","1198","127"
"8707","477","82"
"6475","743","116"
"7565","898","145"
"9029","631","49"
"9923","1747","122"
"1579","260","180"
"5012","574","152"
"7209","848","48"
"6738","787","115"
"3578","402","115"
"8976","620","3"
"10442","1791","82"
"9010","623","79"
"5593","645","49"
"7585","910","164"
"6525","747","161"
"220","22","2"
"4263","514","71"
"5333","608","111"
"1516","247","115"
"5259","597","261"
"2706","456","18"
"231","22","59"
"777","148","144"
"7080","827","168"
"6483","744","111"
"5337","608","79"
"958","155","92"
"7406","876","179"
"4440","524","176"
"2250","409","23"
"10195","1761","29"
"7419","876","168"
"4223","511","173"
"3621","430","263"
"3950","492","186"
"2962","56","116"
"7685","928","180"
"6753","789","164"
"7520","894","116"
"2387","438","237"
"10329","1779","120"
"2714","681","82"
"3911","488","81"
"4013","499","175"
"8567","300","36"
"6853","798","79"
