"vendor_id","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","mta_tax","tip_amount","tolls_amount","total_amount","imp_surcharge","extra","rate_code"
"VTS","2014-12-08T12:32:00.000","2014-12-08T12:48:00.000","1","3.29","-73.956969999999998","40.773975",,"-73.963442000000001","40.808500000000002","CRD","13.5","0.5","2.7000000000000002","0","16.699999999999999","0",,"1"
"CMT","2014-11-09T07:48:04.000","2014-11-09T08:22:22.000","2","19.399999999999999","-73.782552999999993","40.644035000000002","N","-74.005855999999994","40.739880999999997","CRD","52","0.5","11.550000000000001","5.3300000000000001","69.379999999999995","0",,"2"
"CMT","2014-02-07T07:27:15.000","2014-02-07T07:35:58.000","1","2","-73.957975000000005","40.811157999999999","N","-73.972871999999995","40.785468000000002","CRD","9","0.5","1.8999999999999999","0","11.4","0",,"1"
"CMT","2014-12-31T18:47:00.000","2014-12-31T18:59:22.000","1","2.7999999999999998","-74.006310999999997","40.741421000000003","N","-74.005658999999994","40.708984000000001","CRD","12","0.5","3.3500000000000001","0","16.850000000000001","1",,"1"
"VTS","2014-11-01T19:17:00.000","2014-11-01T19:26:00.000","2","1.8400000000000001","-73.955579999999998","40.768389999999997",,"-73.975629999999995","40.752470000000002","CRD","9","0.5","1","0","10.5","0",,"1"
"VTS","2014-12-11T19:03:00.000","2014-12-11T19:17:00.000","5","1.3","-73.976569999999995","40.765259999999998",,"-73.95984","40.770209999999999","CSH","10.5","0.5","0","0","12","1",,"1"
"VTS","2014-06-17T09:29:00.000","2014-06-17T09:33:00.000","1","0.93999999999999995","-73.969582000000003","40.785291999999998",,"-73.955802000000006","40.777777","CRD","5.5","0.5","1.1000000000000001","0","7.0999999999999996","0",,"1"
"VTS","2014-11-15T19:58:00.000","2014-11-15T20:12:00.000","1","4.2999999999999998","-73.956895000000003","40.776617000000002",,"-73.922160000000005","40.74532","CRD","14.5","0.5","3.6200000000000001","0","18.620000000000001","0",,"1"
"VTS","2014-10-21T22:17:00.000","2014-10-21T22:32:00.000","5","7.75","-74.013324999999995","40.715057000000002",,"-73.957736999999995","40.765597","CRD","23","0.5","4.7000000000000002","0","28.699999999999999","0.5",,"1"
"CMT","2014-11-01T20:57:04.000","2014-11-01T21:05:28.000","3","0.80000000000000004","-73.962759000000005","40.714255999999999","Y","-73.957790000000003","40.722000000000001","CRD","7","0.5","1.6000000000000001","0","9.5999999999999996","0.5",,"1"
