"report_date","borough","geographic_subset","geographic_identifier","client_died","does_not_reside_in_nyc","no_risk","referred_person_has_sufficient","referred_person_retains","someone_else_willing_and","unable_to_locate","under_18","total_ineligible_by_geographic","client_died_by_geographic","does_not_reside_in_nyc_by","no_risk_by_geographic_subset","referred_person_has_sufficient_1","referred_person_retains_1","someone_else_willing_and_1","unable_to_locate_by_geographic","under_18_by_geographic_subset","total_ineligible_referrals","client_died_citywide","does_not_reside_in_nyc_1","no_risk_citywide","referred_person_has_sufficient_2","referred_person_retains_2","someone_else_willing_and_2","unable_to_locate_citywide","under_18_citywide","total_ineligible_referrals_1"
"2023-06-30T00:00:00.000","STATEN ISLAND","Zip Code","10302","1","0","4","7","0","2","0","0","14","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Community District","1","1","2","29","59","0","44","18","0","153","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11415","0","0","2","9","0","2","5","1","19","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Zip Code","10301","0","4","9","25","1","5","9","0","53","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11103","0","0","0","4","0","6","1","0","11","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11209","4","1","4","29","1","10","8","0","57","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10470","0","0","4","6","0","1","1","0","12","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Community District","6","2","3","23","23","2","17","10","0","80","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","City Council District","32","2","2","26","49","0","27","15","1","122","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","City Council District","43","5","1","9","48","1","22","18","0","104","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10162","0","0","0","1","0","0","0","0","1","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11239","0","1","2","26","0","13","5","0","47","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","City Council District","UNABLE TO MATCH","0","0","0","0","0","0","2","0","2","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Community District","11","4","5","41","117","1","32","42","0","242","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10034","0","0","3","28","0","8","11","0","50","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","Zip Code","10465","1","0","10","9","0","5","10","0","35","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Community District","UNABLE TO MATCH","0","0","0","0","0","0","2","0","2","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Community District","10","1","0","13","46","0","22","15","3","100","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Community District","7","0","0","7","11","0","11","6","0","35","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","City Council District","UNABLE TO MATCH","0","0","0","1","0","3","1","0","5","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","City Council District","42","6","3","28","124","1","64","49","0","275","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","STATEN ISLAND","Zip Code","10307","0","0","2","4","0","1","1","0","8","3","14","92","135","1","68","64","0","377","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10010","1","0","3","9","0","6","6","0","25","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10044","0","0","3","4","0","2","0","0","9","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BRONX","City Council District","11","1","2","30","103","1","19","35","0","191","34","34","323","1058","9","266","432","2","2158","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","BROOKLYN","Zip Code","11230","2","2","8","28","1","11","14","0","66","54","36","262","1069","25","516","458","1","2421","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","City Council District","20","1","3","18","23","0","38","22","0","105","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","MANHATTAN","Zip Code","10280","0","0","1","0","0","0","0","0","1","24","36","315","773","5","302","395","1","1851","131","162","1363","3696","47","1629","1647","15","8690"
"2023-06-30T00:00:00.000","QUEENS","Zip Code","11434","0","0","13","38","0","22","18","1","92","16","42","371","661","7","477","298","11","1883","131","162","1363","3696","47","1629","1647","15","8690"
