"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","additional_details","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","status","due_date","resolution_description","resolution_action_updated","community_board","council_district","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","latitude","longitude","location"
"58631119","2023-08-27T01:44:17.000",,"NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","10013","246 SPRING STREET","SPRING STREET","AVENUE OF THE AMERICAS","VARICK STREET","AVENUE OF THE AMERICAS","VARICK STREET","ADDRESS","NEW YORK","SPRING STREET","In Progress",,,"2023-08-27T02:13:17.000","02 MANHATTAN","01","1004917503","MANHATTAN","982794","203638","PHONE","40.7253057","-74.0054081","POINT (-74.0054081 40.7253057)"
"58627599","2023-08-26T21:55:31.000","2023-08-26T21:55:48.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Standing' Area","Street/Sidewalk","10019","911 8 AVENUE","8 AVENUE","WEST 54 STREET","WEST 55 STREET","WEST 54 STREET","WEST 55 STREET","ADDRESS","NEW YORK","8 AVENUE","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-26T21:55:53.000","04 MANHATTAN","03","1010450029","MANHATTAN","988620","217947","ONLINE","40.7652326","-73.9844013","POINT (-73.9844013 40.7652326)"
"58627603","2023-08-26T19:42:27.000","2023-08-26T20:12:03.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Front Of Fire Hydrant","Street/Sidewalk","11208","152 ELDERT LANE","ELDERT LANE","KARWEG PLACE","RIDGEWOOD AVENUE","KARWEG PLACE","RIDGEWOOD AVENUE","ADDRESS","BROOKLYN","ELDERT LANE","Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2023-08-26T20:12:07.000","05 BROOKLYN","37","3041230017","BROOKLYN","1021080","189754","MOBILE","40.6874533","-73.8674914","POINT (-73.8674914 40.6874533)"
"58627602","2023-08-26T18:35:01.000","2023-08-26T19:20:41.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Crosswalk","Street/Sidewalk","11234","3819 FILLMORE AVENUE","FILLMORE AVENUE","EAST 38 STREET","RYDER STREET","EAST 38 STREET","RYDER STREET","ADDRESS","BROOKLYN","FILLMORE AVENUE","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-26T19:20:44.000","18 BROOKLYN","46","3084820001","BROOKLYN","1003263","162418","MOBILE","40.6128098","-73.931286","POINT (-73.931286 40.6128098)"
"58626364","2023-08-26T17:54:45.000","2023-08-26T18:26:35.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Bike Lane","Street/Sidewalk","10034","238 DYCKMAN STREET","DYCKMAN STREET","BROADWAY","SEAMAN AVENUE","BROADWAY","SEAMAN AVENUE","ADDRESS","NEW YORK","DYCKMAN STREET","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-26T18:26:38.000","12 MANHATTAN","10",,"MANHATTAN","1004209","254794","MOBILE","40.8660027","-73.9278391","POINT (-73.9278391 40.8660027)"
"58631217","2023-08-26T17:52:36.000","2023-08-26T19:44:04.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Stopping' Area","Street/Sidewalk","11694","219 BEACH 129 STREET","BEACH 129 STREET","ROCKAWAY BEACH BOULEVARD","NEWPORT AVENUE","ROCKAWAY BEACH BOULEVARD","NEWPORT AVENUE","ADDRESS","FAR ROCKAWAY","BEACH 129 STREET","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-26T19:44:09.000","14 QUEENS","32","4162250020","QUEENS","1026385","149351","MOBILE","40.5764828","-73.8486111","POINT (-73.8486111 40.5764828)"
"58632474","2023-08-26T16:46:05.000","2023-08-26T17:01:20.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Bike Lane","Street/Sidewalk","11109","48-09 CENTER BOULEVARD","CENTER BOULEVARD","48 AVENUE","49 AVENUE","48 AVENUE","49 AVENUE","ADDRESS","LONG ISLAND CITY","CENTER BOULEVARD","Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2023-08-26T17:01:24.000","02 QUEENS","26","4000180001","QUEENS","995896","210613","MOBILE","40.7443436","-73.9571016","POINT (-73.9571016 40.7443436)"
"58625110","2023-08-26T13:13:22.000","2023-08-26T14:45:03.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Front Of Fire Hydrant","Street/Sidewalk","11235","2775 BROWN STREET","BROWN STREET","SHORE PARKWAY","LOSEE TERRACE","SHORE PARKWAY","LOSEE TERRACE","ADDRESS","BROOKLYN","BROWN STREET","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-26T14:45:06.000","15 BROOKLYN","48","3088007503","BROOKLYN","1001710","152673","MOBILE","40.5856559","-73.9367971","POINT (-73.9367971 40.5856559)"
"58630025","2023-08-26T12:11:01.000","2023-08-26T12:23:24.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","10467","MOSHOLU PARKWAY","MOSHOLU PARKWAY","MOSHOLU PARKWAY","SOUTHERN BOULEVARD","MOSHOLU PARKWAY","SOUTHERN BOULEVARD","INTERSECTION",,,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-26T12:23:29.000","27 BRONX","15",,"BRONX","1017690","255551","MOBILE","40.8680396","-73.8790955","POINT (-73.8790955 40.8680396)"
"58627600","2023-08-26T12:10:51.000","2023-08-26T12:44:55.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Standing' Area","Street/Sidewalk","10019","911 8 AVENUE","8 AVENUE","WEST 54 STREET","WEST 55 STREET","WEST 54 STREET","WEST 55 STREET","ADDRESS","NEW YORK","8 AVENUE","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-26T12:44:58.000","04 MANHATTAN","03","1010450029","MANHATTAN","988620","217947","ONLINE","40.7652326","-73.9844013","POINT (-73.9844013 40.7652326)"
"58631215","2023-08-26T10:48:43.000","2023-08-26T11:11:50.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","10467","MOSHOLU PARKWAY","MOSHOLU PARKWAY","MOSHOLU PARKWAY","SOUTHERN BOULEVARD","MOSHOLU PARKWAY","SOUTHERN BOULEVARD","INTERSECTION",,,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-26T11:11:55.000","27 BRONX","15",,"BRONX","1017690","255551","MOBILE","40.8680396","-73.8790955","POINT (-73.8790955 40.8680396)"
"58625108","2023-08-26T10:46:58.000","2023-08-26T11:11:45.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","10467","MOSHOLU PARKWAY","MOSHOLU PARKWAY","MOSHOLU PARKWAY","SOUTHERN BOULEVARD","MOSHOLU PARKWAY","SOUTHERN BOULEVARD","INTERSECTION",,,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-26T11:11:50.000","27 BRONX","15",,"BRONX","1017690","255551","MOBILE","40.8680396","-73.8790955","POINT (-73.8790955 40.8680396)"
"58628846","2023-08-26T10:04:27.000","2023-08-26T11:39:14.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","11101","38-53 12 STREET","12 STREET","38 AVENUE","40 AVENUE","38 AVENUE","40 AVENUE","ADDRESS","LONG ISLAND CITY","12 STREET","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-26T11:39:16.000","01 QUEENS","26","4004720638","QUEENS","1000537","215344","MOBILE","40.756713","-73.941847","POINT (-73.941847 40.756713)"
"58627601","2023-08-26T08:37:50.000","2023-08-26T09:14:34.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","11205","2 PARK AVENUE","PARK AVENUE","NAVY STREET","MONUMENT WALK","NAVY STREET","MONUMENT WALK","ADDRESS","BROOKLYN","PARK AVENUE","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-26T09:14:38.000","02 BROOKLYN","35",,"BROOKLYN","989818","192917","MOBILE","40.6961876","-73.9799204","POINT (-73.9799204 40.6961876)"
"58625109","2023-08-26T08:36:59.000","2023-08-26T08:38:49.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","11222","100 MESEROLE AVENUE","MESEROLE AVENUE","LORIMER STREET","MANHATTAN AVENUE","LORIMER STREET","MANHATTAN AVENUE","ADDRESS","BROOKLYN","MESEROLE AVENUE","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-26T08:38:54.000","01 BROOKLYN","33","3026190001","BROOKLYN","997282","204143","MOBILE","40.7266988","-73.9531803","POINT (-73.9531803 40.7266988)"
"58631216","2023-08-26T06:26:45.000","2023-08-26T09:41:41.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Double Parked","Street/Sidewalk","10466","3710 DYRE AVENUE","DYRE AVENUE","CONNER STREET","LIGHT STREET","CONNER STREET","LIGHT STREET","ADDRESS","BRONX","DYRE AVENUE","Closed",,"This complaint does not fall under the Police Department's jurisdiction.","2023-08-26T09:41:46.000","12 BRONX","12","2049500068","BRONX","1030924","262410","MOBILE","40.8869888","-73.8308734","POINT (-73.8308734 40.8869888)"
"58617810","2023-08-25T22:34:52.000","2023-08-26T00:25:00.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In Front Of Fire Hydrant","Street/Sidewalk","11360","23-17 CORPORAL KENNEDY STREET","CORPORAL KENNEDY STREET","23 AVENUE","26 AVENUE","23 AVENUE","26 AVENUE","ADDRESS","BAYSIDE","CORPORAL KENNEDY STREET","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-26T00:25:06.000","07 QUEENS","19","4058930027","QUEENS","1044285","222861","ONLINE","40.778075","-73.7829618","POINT (-73.7829618 40.778075)"
"58621287","2023-08-25T22:24:50.000","2023-08-26T05:06:09.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","11372","35-58 72 STREET","72 STREET","35 AVENUE","37 AVENUE","35 AVENUE","37 AVENUE","ADDRESS","JACKSON HEIGHTS","72 STREET","Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2023-08-26T05:06:12.000","03 QUEENS","25","4012710034","QUEENS","1013642","212696","PHONE","40.7491528","-73.8939642","POINT (-73.8939642 40.7491528)"
"58618769","2023-08-25T22:07:46.000","2023-08-25T22:39:16.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","11372","35-58 72 STREET","72 STREET","35 AVENUE","37 AVENUE","35 AVENUE","37 AVENUE","ADDRESS","JACKSON HEIGHTS","72 STREET","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-25T22:39:19.000","03 QUEENS","25","4012710034","QUEENS","1013642","212696","PHONE","40.7491528","-73.8939642","POINT (-73.8939642 40.7491528)"
"58619929","2023-08-25T20:49:58.000","2023-08-25T21:42:03.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","11423","183-30 JAMAICA AVENUE","JAMAICA AVENUE","183 STREET","184 STREET","183 STREET","184 STREET","ADDRESS","HOLLIS","JAMAICA AVENUE","Closed",,"This complaint does not fall under the Police Department's jurisdiction.","2023-08-25T21:42:07.000","12 QUEENS","27","4103520061","QUEENS","1046116","197642","ONLINE","40.7085918","-73.7759994","POINT (-73.7759994 40.7085918)"
"58615382","2023-08-25T20:33:42.000","2023-08-25T20:57:44.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked At Bus Stop","Street/Sidewalk","11693","91-15 ROCKAWAY BEACH BOULEVARD","ROCKAWAY BEACH BOULEVARD","BEACH 91 STREET","BEACH 92 STREET","BEACH 91 STREET","BEACH 92 STREET","ADDRESS","FAR ROCKAWAY","ROCKAWAY BEACH BOULEVARD","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-25T20:57:51.000","14 QUEENS","32","4161340023","QUEENS","1035680","153078","MOBILE","40.5864081","-73.8149579","POINT (-73.8149579 40.5864081)"
"58615380","2023-08-25T20:29:15.000","2023-08-26T02:07:28.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Standing' Area","Street/Sidewalk","11427","221-75 MANOR ROAD","MANOR ROAD","BEND","BEND","BEND","BEND","ADDRESS","QUEENS VILLAGE","MANOR ROAD","Closed",,"This complaint does not fall under the Police Department's jurisdiction.","2023-08-26T02:07:31.000","13 QUEENS","23","4079140002","QUEENS","1055147","206120","ONLINE","40.7326843","-73.7438665","POINT (-73.7438665 40.7326843)"
"58622319","2023-08-25T19:48:46.000","2023-08-25T19:58:45.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","10457","2067 ANTHONY AVENUE","ANTHONY AVENUE","EAST BURNSIDE AVENUE","EAST 180 STREET","EAST BURNSIDE AVENUE","EAST180 STREET","ADDRESS","BRONX","ANTHONY AVENUE","Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2023-08-25T19:58:51.000","05 BRONX","15","2031560024","BRONX","1011332","249935","ONLINE","40.8527873","-73.9022828","POINT (-73.9022828 40.8527873)"
"58617735","2023-08-25T19:46:03.000","2023-08-26T05:19:34.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","11379","67-54 78 STREET","78 STREET","67 DRIVE","68 AVENUE","67 DRIVE","68 AVENUE","ADDRESS","MIDDLE VILLAGE","78 STREET","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-26T05:19:38.000","05 QUEENS","30","4037750028","QUEENS","1018795","198559","PHONE","40.7115423","-73.8756965","POINT (-73.8756965 40.7115423)"
"58616608","2023-08-25T19:03:21.000","2023-08-25T19:29:59.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","10467","3016 WEBSTER AVENUE","WEBSTER AVENUE","MOSHOLU PARKWAY","EAST MOSHOLU PARKWAY NORTH","MOSHOLU PARKWAY","EAST MOSHOLU PARKWAY NORTH","ADDRESS","BRONX","WEBSTER AVENUE","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-25T19:30:05.000","07 BRONX","11","2033250005","BRONX","1017485","256073","ONLINE","40.8685845","-73.8804395","POINT (-73.8804395 40.8685845)"
"58614220","2023-08-25T18:18:19.000","2023-08-25T22:20:30.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Stopping' Area","Street/Sidewalk","11415","123-20 85 AVENUE","85 AVENUE","123 STREET","124 STREET","123 STREET","124 STREET","ADDRESS","KEW GARDENS","85 AVENUE","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-25T22:20:34.000","09 QUEENS","29","4092690010","QUEENS","1031855","195720","MOBILE","40.7036964","-73.8277354","POINT (-73.8277354 40.7036964)"
"58615379","2023-08-25T16:32:02.000","2023-08-25T17:11:50.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Blocking Driveway","Street/Sidewalk","10305","25 LANDIS AVENUE","LANDIS AVENUE","CHICAGO AVENUE","KNAUTH PLACE","CHICAGO AVENUE","KNAUTH PLACE","ADDRESS","STATEN ISLAND","LANDIS AVENUE","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-25T17:11:58.000","02 STATEN ISLAND","50","5030870001","STATEN ISLAND","965112","158255","MOBILE","40.601639","-74.0678455","POINT (-74.0678455 40.601639)"
"58616607","2023-08-25T15:22:03.000","2023-08-26T04:10:25.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Standing' Area","Street/Sidewalk","11417","89-04 LIBERTY AVENUE","LIBERTY AVENUE","89 STREET","90 STREET","89 STREET","90 STREET","ADDRESS","OZONE PARK","LIBERTY AVENUE","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-26T04:10:29.000","10 QUEENS","32","4091540066","QUEENS","1025978","187037","ONLINE","40.679732","-73.8494439","POINT (-73.8494439 40.679732)"
"58619034","2023-08-25T14:50:00.000","2023-08-25T15:03:54.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked In 'No Standing' Area","Street/Sidewalk","11374","66-12 102 STREET","102 STREET","66 AVENUE","66 ROAD","66 AVENUE","66 ROAD","ADDRESS","REGO PARK","102 STREET","Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2023-08-25T15:03:57.000","06 QUEENS","29","4021170001","QUEENS","1025280","204843","MOBILE","40.7283853","-73.85331","POINT (-73.85331 40.7283853)"
"58622320","2023-08-25T14:44:50.000","2023-08-25T15:13:43.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","11234","5100 AVENUE U","AVENUE U","FLATBUSH AVENUE","EAST 52 STREET","FLATBUSH AVENUE","EAST 52 STREET","ADDRESS","BROOKLYN","AVENUE U","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-25T15:13:46.000","18 BROOKLYN","46","3084700055","BROOKLYN","1005829","161502","PHONE","40.6097197","-73.9195156","POINT (-73.9195156 40.6097197)"
"58615381","2023-08-25T13:12:32.000","2023-08-25T13:45:03.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Double Parked","Street/Sidewalk","11221","403 MADISON STREET","MADISON STREET","TOMPKINS AVENUE","THROOP AVENUE","TOMPKINS AVENUE","THROOP AVENUE","ADDRESS","BROOKLYN","MADISON STREET","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-25T13:45:10.000","03 BROOKLYN","36","3018200055","BROOKLYN","1000228","189090","ONLINE","40.6859094","-73.9422585","POINT (-73.9422585 40.6859094)"
"58621115","2023-08-25T11:49:52.000","2023-08-25T16:31:49.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","10472","1160 MANOR AVENUE","MANOR AVENUE","WATSON AVENUE","WESTCHESTER AVENUE","WATSON AVENUE","WESTCHESTER AVENUE","ADDRESS","BRONX","MANOR AVENUE","Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2023-08-25T16:31:52.000","09 BRONX","18","2037430032","BRONX","1018525","240946","ONLINE","40.8283423","-73.8759589","POINT (-73.8759589 40.8283423)"
"58622599","2023-08-25T10:19:10.000","2023-08-25T13:29:59.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","11106","33-12 BROADWAY","BROADWAY","33 STREET","34 STREET","33 STREET","34 STREET","ADDRESS","ASTORIA","BROADWAY","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-25T13:30:05.000","01 QUEENS","22","4006210037","QUEENS","1005413","216586","MOBILE","40.7608167","-73.9235203","POINT (-73.9235203 40.7608167)"
"58616609","2023-08-25T09:10:18.000","2023-08-25T09:50:14.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","11205","2 PARK AVENUE","PARK AVENUE","NAVY STREET","MONUMENT WALK","NAVY STREET","MONUMENT WALK","ADDRESS","BROOKLYN","PARK AVENUE","Closed",,"The Police Department reviewed your complaint and provided additional information below.","2023-08-25T09:50:17.000","02 BROOKLYN","35",,"BROOKLYN","989818","192917","MOBILE","40.6961876","-73.9799204","POINT (-73.9799204 40.6961876)"
"58620186","2023-08-25T09:09:54.000","2023-08-25T09:20:18.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Parked On Sidewalk","Street/Sidewalk","11222","100 MESEROLE AVENUE","MESEROLE AVENUE","LORIMER STREET","MANHATTAN AVENUE","LORIMER STREET","MANHATTAN AVENUE","ADDRESS","BROOKLYN","MESEROLE AVENUE","Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2023-08-25T09:20:42.000","01 BROOKLYN","33","3026190001","BROOKLYN","997282","204143","MOBILE","40.7266988","-73.9531803","POINT (-73.9531803 40.7266988)"
"58613913","2023-08-25T08:51:25.000","2023-08-25T09:57:40.000","NYPD","New York City Police Department","Illegal Parking","Parking Permit Improper Use","Not Provided","Street/Sidewalk","11228","7719 12 AVENUE","12 AVENUE","77 STREET","78 STREET","77 STREET","78 STREET","ADDRESS","BROOKLYN","12 AVENUE","Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2023-08-25T09:57:44.000","10 BROOKLYN","38","3062430002","BROOKLYN","981148","165209","ONLINE","40.6198867","-74.0110369","POINT (-74.0110369 40.6198867)"
