"schoolname","buildingnumber","streetname","suiteapt","city","state","zipcode","latitude","longitude","contact","telephone","email","web","languagesoffered","courseprice","borough","community_board","council_district","bin","bbl","census_tract","nta","location","data_as_of_date"
"AA Driver Training  Center","420","42nd Street","Unit B","Brooklyn","NY","11232","40.6505228","-74.00697102","Lalo Guo","(718) 886-6249","info@dtadirect.com","www.dtadirect.com","English, Chinese (中文) , Spanish (Español)","$250","BROOKLYN","307","38","3394271","3007247501","82","BK0702","POINT (-74.007211 40.650511)","2023-08-25"
"AAJ Desi Black Yellow Green Professional Driver Academy Inc.","1318","Southern Blvd","1st Floor","Bronx","NY","10459","40.83131485","-73.89009651","Poly Saha","(347) 256-2790","aajdesiacademy@gmail.com","www.aajdesidriveracademy.com","English, Urdu (اُردُو)","$250","BRONX","203","17","2130513","2029800017","123","BX0303","POINT (-73.89147 40.831084)","2023-08-25"
"J1 Drivers Training","74-09","37th Ave","Suite #301","Jackson Heights","NY","11372","40.74933163","-73.89097692","Ali Karim","(718)-433-9101","jamaicaonetrainers@gmail.com","www.jamaicaonetrainers.com","English, Bengali (বাংলা), Spanish (Español)","$250","QUEENS","403","25","4029563","4012740035","289","QN0301","POINT (-73.891561 40.748992)","2023-08-25"
"NYC Driver Institute, Inc.","33-24","Northern Boulevard","4th floor","Long Island City","NY","11101","40.75182141","-73.9293832","Charles LaSala","(718) 255-9500","school@tlcdriver.nyc","driverinstitute.nyc","English, Cantonese (广东话), Chinese (中文) , Spanish (Español)","$250","QUEENS","401","26","4445806","4002140238","17102","QN0161","POINT (-73.930319 40.752002)","2023-08-25"
"AA Driver Training  Center","143-28","41st Avenue","Unit M1","Flushing","NY","11355","40.76002371","-73.8221581","Lalo Guo","(718) 886-6249","info@dtadirect.com","www.dtadirect.com","English, Chinese (中文) , Spanish (Español)","$250","QUEENS","407","20","4614364","4050487504","855","QN0707","POINT (-73.823099 40.760111)","2023-08-25"
"CUNY Kingsborough Community College","2001","Oriental Boulevard","Room T4122","Brooklyn","NY","11235","40.57879901","-73.93472896","Sunny Hau","(718) 368-5189","drivers@kbcc.cuny.edu","www.kbcc.cuny.edu","English, Chinese (中文), Russian (русский), Cantonese (广东话)","$250","BROOKLYN","315","48","3326937","3087600060","616","BK1503","POINT (-73.9349 40.578497)","2023-08-25"
"J1 Drivers Training","87-12","175th Street","Suite #C1","Jamaica","NY","11432","40.71135434","-73.78704132","Ali Karim","(718) 206-9200","jamaicaonetrainers@gmail.com","www.jamaicaonetrainers.com","English, Bengali (বাংলা), Spanish (Español)","$250","QUEENS","412","27","4600457","4098307502","462","QN1201","POINT (-73.787641 40.711359)","2023-08-25"
"NYC Driver Institute, Inc.","31-00","47th Avenue","1st Floor","Long Island City","NY","11101","40.74229181","-73.93467777","Charles LaSala","(718) 255-9500","school@tlcdriver.nyc","driverinstitute.nyc","English, Cantonese (广东话), Chinese (中文) , Spanish (Español)","$250","QUEENS","402","26","4003539","4002810001","19902","QN0202","POINT (-73.935652 40.74306)","2023-08-25"
"AAA Knowledge Seekers, Inc.","86-11","Lefferts Boulevard",,"Richmond Hill","NY","11418","40.70127889","-73.83081589","Asad R. Siddiqy","(718) 790-2000","queens@knowledgeseekers.nyc","www.knowledgeseekers.nyc","English, Bengali (বাংলা), Spanish (Español), Urdu (اُردُو) Arabic (العَرَبِيَّة),","$250","QUEENS","409","29","4539223","4092730048","144","QN0902","POINT (-73.831324 40.700957)","2023-08-25"
"Millennium Drivers Academy","60-19","Roosevelt Avenue","2nd Floor","Woodside","NY","11377","40.74587762","-73.90307393","Pavel Lopez","(718) 733-1220","millenniumdrivers@gmail.com","www.millenniumdriversnyc.com","English, Spanish (Español), Hindi (िहंदी), Bengali (বাংলা), French (Français), Nepali","$250","QUEENS","402","26","4028336","4012290122","259","QN0203","POINT (-73.904158 40.745517)","2023-08-25"
"CUNY Kingsborough Community College","3022","Avenue U",,"Brooklyn","NY","11229","40.60080834","-73.93730524","Sunny Hau","(929) 699-2290","drivers@kbcc.cuny.edu","www.kbcc.cuny.edu","Russian (русский)","$250","BROOKLYN","315","46","3200477","3073670001","570","BK1503","POINT (-73.937964 40.600852)","2023-08-25"
"AAA Knowledge Seekers, Inc.","1654","Castle Hill Avenue",,"Bronx","NY","10462","40.83927887","-73.85175616","Asad R. Siddiqy","(718) 524-9900","bronx@knowledgeseekers.nyc","www.knowledgeseekers.nyc","English, Bengali (বাংলা), Spanish (Español), Urdu (اُردُو)","$250","BRONX","210","18","2042006","2039900040","20601","BX1001","POINT (-73.852719 40.839124)","2023-08-25"
"Millennium Drivers Academy","1954","Jerome Avenue",,"Bronx","NY","10453","40.85135355","-73.90872505","Pavel Lopez","(718) 733-1220","millenniumdrivers@gmail.com","www.millenniumdriversnyc.com","English, Spanish (Español), Hindi (िहंदी), Bengali (বাংলা), French (Français), Nepali","$250","BRONX","205","14","2008253","2028530017","23301","BX0502","POINT (-73.909561 40.851377)","2023-08-25"
"Independent Drivers Guild Education Center","41-09","36th Street","3rd floor","Long Island City","NY","11101","40.74695918","-73.92758529","Brendan Sexton","(646) 499-3786","education@drivingguild.org","www.drivingguild.org","English, Chinese (中文)",,"QUEENS","402","26","4003131","4002170016","17902","QN0202","POINT (-73.928343 40.747102)","2023-08-25"
"AAJ Desi Black Yellow Green Professional Driver Academy Inc.","89-36","Sutphin Blvd","3rd Floor","Jamaica","NY","11435","40.70323185","-73.80802139","Poly Saha","(347) 256-2790","aajdesiacademy@gmail.com","www.aajdesidriveracademy.com","English, Urdu (اُردُو)","$250","QUEENS","412","27","4206749","4096760013","240","QN1201","POINT (-73.808657 40.703496)","2023-08-25"
"NYC Driver Institute, Inc.","50","Westchester Square","1st floor","Bronx","NY","10461","40.84211743","-73.84297149","Charles LaSala","(718) 255-9500","school@tlcdriver.nyc","driverinstitute.nyc","English, Spanish (Español)","$250","BRONX","210","18","2093110","2040730001","200","BX1001","POINT (-73.843656 40.841761)","2023-08-25"
