"dbn","school_name","year","total_enrollment","grade_3k_pk_half_day_full","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female","female_1","male","male_1","asian","asian_1","black","black_1","hispanic","hispanic_1","multi_racial","multi_racial_1","native_american","native_american_1","white","white_1","missing_race_ethnicity_data","missing_race_ethnicity_data_1","students_with_disabilities","students_with_disabilities_1","english_language_learners","english_language_learners_1","poverty","poverty_1","economic_need_index"
"01M015","P.S. 015 Roberto Clemente","2016-17","178","17","28","33","27","31","24","18","0","0","0","0","0","0","0","83","0.466","95","0.534","14","0.079","51","0.287","105","0.59","3","0.017","1","0.006","4","0.022","0","0.0","51","0.287","12","0.067","152","85.4%","88.2%"
"01M015","P.S. 015 Roberto Clemente","2017-18","190","17","28","32","33","23","31","26","0","0","0","0","0","0","0","99","0.521","91","0.479","20","0.105","52","0.274","110","0.579","1","0.005","1","0.005","6","0.032","0","0.0","49","0.258","8","0.042","161","84.7%","89.0%"
"01M015","P.S. 015 Roberto Clemente","2018-19","174","13","20","33","30","30","20","28","0","0","0","0","0","0","0","85","0.489","89","0.511","24","0.138","48","0.276","95","0.546","0","0.0","1","0.006","6","0.034","0","0.0","39","0.224","8","0.046","147","84.5%","88.8%"
"01M015","P.S. 015 Roberto Clemente","2019-20","190","14","29","28","38","33","29","19","0","0","0","0","0","0","0","94","0.495","96","0.505","27","0.142","56","0.295","96","0.505","0","0.0","2","0.011","9","0.047","0","0.0","46","0.242","17","0.089","155","81.6%","86.7%"
"01M015","P.S. 015 Roberto Clemente","2020-21","193","17","29","29","27","30","32","29","0","0","0","0","0","0","0","101","0.523","92","0.477","26","0.135","53","0.275","102","0.528","1","0.005","0","0.0","11","0.057","0","0.0","43","0.223","21","0.109","158","81.9%","85.6%"
"01M019","P.S. 019 Asher Levy","2016-17","271","24","37","46","47","40","43","34","0","0","0","0","0","0","0","127","0.469","144","0.531","24","0.089","51","0.188","180","0.664","1","0.004","0","0.0","15","0.055","0","0.0","88","0.325","9","0.033","207","76.4%","57.8%"
"01M019","P.S. 019 Asher Levy","2017-18","257","13","34","38","42","46","42","42","0","0","0","0","0","0","0","114","0.444","143","0.556","23","0.089","49","0.191","166","0.646","3","0.012","0","0.0","16","0.062","0","0.0","90","0.35","8","0.031","198","77.0%","67.9%"
"01M019","P.S. 019 Asher Levy","2018-19","249","10","30","39","43","41","44","42","0","0","0","0","0","0","0","114","0.458","135","0.542","14","0.056","52","0.209","156","0.627","8","0.032","1","0.004","18","0.072","0","0.0","102","0.41","8","0.032","183","73.5%","68.7%"
"01M019","P.S. 019 Asher Levy","2019-20","236","16","25","27","39","45","42","42","0","0","0","0","0","0","0","110","0.466","126","0.534","11","0.047","49","0.208","148","0.627","8","0.034","1","0.004","19","0.081","0","0.0","94","0.398","8","0.034","176","74.6%","70.4%"
"01M019","P.S. 019 Asher Levy","2020-21","212","13","23","25","27","38","44","42","0","0","0","0","0","0","0","99","0.467","113","0.533","13","0.061","41","0.193","130","0.613","7","0.033","1","0.005","17","0.08","3","0.014","83","0.392","9","0.042","151","71.2%","69.0%"
"01M020","P.S. 020 Anna Silver","2016-17","540","41","83","83","92","95","77","69","0","0","0","0","0","0","0","265","0.491","275","0.509","175","0.324","52","0.096","264","0.489","15","0.028","7","0.013","27","0.05","0","0.0","116","0.215","93","0.172","315","58.3%","67.7%"
"01M020","P.S. 020 Anna Silver","2017-18","497","34","71","82","69","89","83","69","0","0","0","0","0","0","0","244","0.491","253","0.509","147","0.296","51","0.103","264","0.531","14","0.028","4","0.008","16","0.032","1","0.002","118","0.237","86","0.173","366","73.6%","80.0%"
"01M020","P.S. 020 Anna Silver","2018-19","481","42","61","69","76","67","90","76","0","0","0","0","0","0","0","239","0.497","242","0.503","138","0.287","66","0.137","239","0.497","12","0.025","3","0.006","22","0.046","1","0.002","117","0.243","63","0.131","326","67.8%","75.4%"
"01M020","P.S. 020 Anna Silver","2019-20","464","41","63","61","71","76","65","87","0","0","0","0","0","0","0","233","0.502","231","0.498","120","0.259","58","0.125","239","0.515","10","0.022","5","0.011","31","0.067","1","0.002","106","0.228","61","0.131","354","76.3%","78.4%"
"01M020","P.S. 020 Anna Silver","2020-21","412","37","58","52","60","66","74","65","0","0","0","0","0","0","0","201","0.488","211","0.512","102","0.248","55","0.133","215","0.522","6","0.015","3","0.007","30","0.073","1","0.002","90","0.218","49","0.119","292","70.9%","76.2%"
"01M034","P.S. 034 Franklin D. Roosevelt","2016-17","350","13","21","24","37","31","29","36","38","59","62","0","0","0","0","170","0.486","180","0.514","19","0.054","102","0.291","216","0.617","0","0.0","1","0.003","11","0.031","1","0.003","130","0.371","27","0.077","Above 95%","Above 95%","86.2%"
