"system","df_activated","fountaintype","fountaincount","painted","filter_installed","position","outdoor","gispropnum","propertyname","omppropid","subpropertyname","parkdistrict","borough","ampsid","ampsclass","ampsstatus","ampsparentid","ampsname","communityboard","councildistrict","precinct","zipcode","x","y"
"B001-DF0207","Activated","A","1","true","false","Under Tree, In Playground","true","B001","American Playground","B001",,"B-01","B","100037676","DRINKFTN","D","B001","A-American Playground","301","33","94","11222","995853.631964474","204780.745671972"
"B002-DF0731","Broken","E","1","true","false","Out in Open","true","B002","Amersfort Park","B002",,"B-18","B","100039159","DRINKFTN","I","B002","E-Amersfort Park","318","45","63","11210","1001205.71968546","168004.324802398"
"B002-DF0732","Broken","E","1","true","false","Under Tree, Out in Open","true","B002","Amersfort Park","B002",,"B-18","B","100039177","DRINKFTN","I","B002","E-Amersfort Park","318","45","63","11210","1001167.86936746","168468.868820816"
"B007-DF0754","UnderConstruction","CS Metal","1","false","false","In Shade","true","B007","Bensonhurst Park","B007",,"B-11","B","100039198","DRINKFTN","I","B007","CS Metal-Bensonhurst Park","311","43","62","11214","984267.19581981","157078.860104814"
"B007-DF0756","UnderConstruction","A","1","true","true","Out in Open, In Playground","true","B007","Bensonhurst Park","B007-01","Bensonhurst Park Playground","B-11","B","100039249","DRINKFTN","I","B007-01","A-Bensonhurst Park-Bensonhurst Park Playground","311","43","62","11214","984301.209531307","156806.697591394"
"B007-DF0757","UnderConstruction","A","1","true","true","Near Ballfield, Out in Open","true","B007","Bensonhurst Park","B007",,"B-11","B","100039244","DRINKFTN","I","B007","A-Bensonhurst Park","311","43","62","11214","983842.562154635","156796.758306816"
"B007-DF0765","Broken","A","1","true","false","Out in Open","true","B007","Bensonhurst Park","B007",,"B-11","B","100039304","DRINKFTN","I","B007","A-Bensonhurst Park","311","43","62","11214","983695.758642465","156090.611097052"
"B007-DF0766","UnderConstruction","A","1","true","true","Near Ballfield, Out in Open","true","B007","Bensonhurst Park","B007",,"B-11","B","100039306","DRINKFTN","I","B007","A-Bensonhurst Park","311","43","62","11214","983925.259823888","157053.374591469"
"B007-DF0767","Broken","A","1","true","false","Out in Open","true","B007","Bensonhurst Park","B007",,"B-11","B","100039333","DRINKFTN","I","B007","A-Bensonhurst Park","311","43","62","11214","983845.994234383","156277.020173057"
"B008-DF0018","Activated","F High Low","2","true","false","Just Outside Playground","true","B008","Betsy Head Park","B008-03","Imagination Playground at Betsy Head","B-16","B","100037440","DRINKFTN","I","B008-03","F High Low-Betsy Head Park-Imagination Playground at Betsy Head","316","41","73","11212","1008748.32500705","181283.89502798"
