"complaint_number","incident_address","incident_address_1","incident_address_2","incident_address_3","incident_address_4","complaint_type_311","descriptor_1_311","complaint_status","date_received","deleted","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"T-10-07-03-0044","520","CROWN STREET","520 CROWN STREET","11213","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2010-07-03T05:51:48.000","No","40.665768","-73.941393","9","35","333","3034322","3013000021","Crown Heights South"
"T-10-07-06-0083","421","WEST 162 STREET","421 WEST 162 STREET","10032","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2010-07-06T19:19:53.000","No","40.835098","-73.938226","12","10","24301","1062598","1021100037","Washington Heights South"
"T-11-04-25-0330","19","SEAMAN AVENUE","19 SEAMAN AVENUE","10034","Manhattan","Asbestos","N/A","05-Close","2011-04-25T12:20:51.000","No","40.866744","-73.927274","12","10","295","1064936","1022370012","Marble Hill-Inwood"
"T-11-06-02-0033","1201","OCEAN PARKWAY","1201 OCEAN PARKWAY","11230","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-02T19:35:26.000","No","40.619041","-73.969487","12","44","452","3171753","3065420001","Ocean Parkway South"
"T-11-06-02-0034","300","CATHEDRAL PARKWAY","300 CATHEDRAL PARKWAY","10026","Manhattan","Asbestos","N/A","05-Close","2011-06-02T21:09:19.000","No","40.800738","-73.958662","7","7","193","1076522","1018457501","Morningside Heights"
"T-11-06-02-0035","82-14","LANGDALE STREET","82-14 LANGDALE STREET","11040","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-02T21:16:43.000","No","40.742526","-73.701025","13","23","157901","4454692","4087620001","Glen Oaks-Floral Park-New Hyde Park"
"T-11-06-02-0036","82-14","LANGDALE STREET","82-14 LANGDALE STREET","11040","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-02T21:54:45.000","No","40.742526","-73.701025","13","23","157901","4454692","4087620001","Glen Oaks-Floral Park-New Hyde Park"
"T-11-06-02-0037","507","EAST 6 STREET","507 EAST 6 STREET","10009","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-02T22:34:00.000","No","40.725291","-73.983505","3","2","32","1005116","1004020062","East Village"
"T-11-06-02-0038","507","EAST 6 STREET","507 EAST 6 STREET","10009","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-02T22:46:10.000","No","40.725291","-73.983505","3","2","32","1005116","1004020062","East Village"
"T-11-06-03-0039","42-60","65 PLACE","42-60 65 PLACE","11377","Queens","Indoor Air Quality","Dust from Construction","05-Close","2011-06-03T10:06:17.000","No","40.742227","-73.899345","2","26","247","4031703","4013420027","Woodside"
"T-11-06-03-0040","165","PULASKI STREET","165 PULASKI STREET","11206","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-03T10:31:49.000","No","40.692921","-73.944513","3","36","261","3049401","3017720070","Bedford"
"T-11-06-03-0041","104-35","102 STREET","104-35 102 STREET","11417","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-03T10:54:51.000","No","40.681169","-73.838505","10","32","94","4202006","4095230051","South Ozone Park"
"T-11-06-03-0042","331","HICKS STREET","331 HICKS STREET","11201","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-03T13:50:25.000","No","40.69143","-73.997656","2","33","7","3002718","3002740020","Brooklyn Heights-Cobble Hill"
"T-11-06-03-0043","187-35","HILLSIDE AVENUE","187-35 HILLSIDE AVENUE","11432","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-03T16:13:03.000","No","40.71488","-73.774575","8","24","472","4213409","4099600005","Jamaica Estates-Holliswood"
"T-11-06-04-0045","10","WEST 119 STREET","10 WEST 119 STREET","10026","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-04T00:42:23.000","No","40.802846","-73.945661","10","9","190","1053197","1017170042","Central Harlem South"
"T-11-06-04-0046","51","SPRING STREET","51 SPRING STREET","10012","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-04T08:15:57.000","No","40.722054","-73.996493","2","1","43","1007535","1004950042","SoHo-TriBeCa-Civic Center-Little Italy"
"T-11-06-04-0047","240","CABRINI BOULEVARD","240 CABRINI BOULEVARD","10033","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-04T11:17:34.000","No","40.855236","-73.938229","12","10","275","1064368","1021790269","Washington Heights North"
"T-11-06-04-0048","75","GREENE STREET","75 GREENE STREET","10012","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-04T11:21:01.000","No","40.723305","-74.00079","2","1","49","1007292","1004860022","SoHo-TriBeCa-Civic Center-Little Italy"
"T-11-06-04-0049","2747","EAST 63 STREET","2747 EAST 63 STREET","11234","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-04T12:08:01.000","No","40.606963","-73.913911","18","46","70201","3242636","3085950017","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"T-11-06-04-0050","1236","ATLANTIC AVENUE","1236 ATLANTIC AVENUE","11216","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-04T13:36:35.000","No","40.67855","-73.951559","8","36","315","3029758","3012000021","Crown Heights North"
"T-11-06-04-0051","3","COLUMBUS CIRCLE","3 COLUMBUS CIRCLE","10019","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-04T16:33:37.000","No","40.766835","-73.981968","5","3","137","1024900","1010297501","Midtown-Midtown South"
"T-11-06-04-0052","222","EAST 8 STREET","222 EAST 8 STREET","11218","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-04T19:40:20.000","No","40.644768","-73.971882","12","40","494","3124751","3053400022","Kensington-Ocean Parkway"
"T-11-06-05-0053","400","GRAND STREET","400 GRAND STREET","10002","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-05T10:21:53.000","No","40.716061","-73.987053","3","1","1402","1089660","1003467501","Lower East Side"
"T-11-06-05-0054","64-41","SAUNDERS STREET","64-41 SAUNDERS STREET","11374","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-05T10:26:21.000","No","40.728422","-73.860418","6","29","69701","4072145","4030840046","Rego Park"
"T-11-06-05-0055","136-20","ROOSEVELT AVENUE","136-20 ROOSEVELT AVENUE","11354","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-05T10:41:09.000","No","40.759785","-73.829236","7","20","853","4113546","4050190005","Flushing"
"T-11-06-05-0056","2804","FARRAGUT ROAD","2804 FARRAGUT ROAD","11210","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-05T13:51:13.000","No","40.636156","-73.949753","14","45","786","3121684","3052510029","Flatbush"
"T-11-06-05-0057","89","EAST 4 STREET","89 EAST 4 STREET","10003","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-05T15:26:14.000","No","40.726332","-73.989743","3","2","38","1006597","1004600042","East Village"
"T-11-06-05-0058","179","BENNETT AVENUE","179 BENNETT AVENUE","10040","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-05T17:17:27.000","No","40.856285","-73.933948","12","10","279","1064460","1021800486","Washington Heights North"
"T-10-07-06-0076","50","GOUVENUER STREET","50 GOUVENUER STREET","10002","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2010-07-06T13:48:10.000","No",,,,,,,,
"T-10-07-19-0319","230","SACKETT STREET","230 SACKETT STREET","11231","Brooklyn","Asbestos","N/A","05-Close","2010-07-19T16:55:11.000","No","40.683929","-73.998659","6","39","67","3004322","3003380015","Carroll Gardens-Columbia Street-Red Hook"
"T-10-07-19-0320","4105","NEW UTRECHT AVENUE","4105 NEW UTRECHT AVENUE","11219","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2010-07-19T17:05:39.000","No","40.643196","-73.994253","12","39","112","3135578","3055910009","Sunset Park East"
"T-11-06-06-0060","350","WEST 55 STREET","350 WEST 55 STREET","10019","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-06T01:05:26.000","No","40.766021","-73.985267","4","3","139","1025420","1010450054","Clinton"
"T-11-06-06-0061","1255","STRATFORD AVENUE","1255 STRATFORD AVENUE","10472","Bronx","Indoor Air Quality","Ventilation","05-Close","2011-06-06T01:38:35.000","No","40.830857","-73.875896","9","18","54","2025349","2037760050","West Farms-Bronx River"
"T-11-06-06-0063","309","LAFAYETTE AVENUE","309 LAFAYETTE AVENUE","11238","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-06T09:22:40.000","No","40.688468","-73.963664","2","35","193","3055375","3019330060","Clinton Hill"
"T-11-06-06-0065","30","RICHMAN PLAZA","30 RICHMAN PLAZA","10453","Bronx","Indoor Air Quality","Ventilation","05-Close","2011-06-06T11:30:44.000","No","40.851999","-73.922515","5","16","53","2113628","2028820229","University Heights-Morris Heights"
"T-11-06-06-0066","970","WHITE PLAINS RD","970 WHITE PLAINS RD","10473","Bronx","Indoor Air Quality","Ventilation","05-Close","2011-06-06T12:30:25.000","No","40.825131","-73.859181","9","18","42","2118955","2036730060","Soundview-Castle Hill-Clason Point-Harding Park"
"T-11-06-06-0067","301","WEST 152 STREET","301 WEST 152 STREET","10039","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-06T12:36:36.000","No","40.82732","-73.938837","10","9","23502","1060874","1020460056","Central Harlem North-Polo Grounds"
"T-11-06-06-0068","99","MESEROLE STREET","99 MESEROLE STREET","11206","Brooklyn","Indoor Air Quality","Dust from Construction","05-Close","2011-06-06T13:11:30.000","No","40.707839","-73.945836","1","34","505","3327920","3030420026","East Williamsburg"
"T-11-06-06-0069","2290","2 AVENUE","2290 2 AVENUE","10035","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-06T14:52:18.000","No","40.798014","-73.937025","11","8","188","1052994","1016890052","East Harlem North"
"T-11-06-06-0070","117-25","141 STREET","117-25 141 STREET","11436","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-06T15:48:23.000","No","40.678074","-73.800481","12","28","182","4260607","4120130129","Baisley Park"
"T-11-06-06-0072","333","WEST 17 STREET","333 WEST 17 STREET","10011","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-06T16:54:36.000","No","40.742129","-74.002198","4","3","83","1079152","1007410010","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-06-0074","418","JEROME STREET","418 JEROME STREET","11207","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-06T22:32:54.000","No","40.671513","-73.886294","5","42","1162","3323715","3040290001","East New York"
"T-11-06-07-0075","1306","ST NICHOLAS AVENUE","1306 ST NICHOLAS AVENUE","10033","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-07T01:59:03.000","No","40.845719","-73.936351","12","10","261","1079886","1021330001","Washington Heights South"
"T-11-06-07-0076","595","PROSPECT AVENUE","595 PROSPECT AVENUE","10455","Bronx","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-07T09:07:50.000","No","40.813575","-73.904017","1","8","79","2004910","2026740042","Melrose South-Mott Haven North"
