"borough","year","total_enrollment","grade_3k_pk_half_day_full","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female","female_1","male","male_1","asian","asian_1","black","black_1","hispanic","hispanic_1","multi_racial","multi_racial_1","native_american","native_american_1","white","white_1","missing_race_ethnicity_data","missing_race_ethnicity_data_1","students_with_disabilities","students_with_disabilities_1","english_language_learners","english_language_learners_1","poverty","poverty_1","economic_need_index"
"Bronx","2016-17","241776","14825","17974","19579","19611","18943","18505","17824","17207","16610","16436","18551","17140","13948","14623","116584","0.482","125190","0.518","11109","0.046","66913","0.277","149741","0.619","797","0.003","2110","0.009","10381","0.043","725","0.003","55462","0.229","41129","0.17","197520","0.817","0.774"
"Bronx","2017-18","239955","14948","17812","18598","19008","18940","18535","18173","17152","17039","16604","17860","16643","14038","14605","115867","0.483","124084","0.517","11458","0.048","65599","0.273","148849","0.62","928","0.004","2154","0.009","10531","0.044","436","0.002","55719","0.232","41316","0.172","208334","0.868","0.857"
"Bronx","2018-19","236267","15105","17259","18071","17962","18318","18426","18026","17405","16921","16833","17118","16289","13804","14730","114014","0.483","122253","0.517","11608","0.049","63949","0.271","146742","0.621","1016","0.004","2272","0.01","10219","0.043","461","0.002","55847","0.236","40055","0.17","203040","0.859","0.854"
"Bronx","2019-20","235448","17990","17103","17680","17598","17462","17981","18216","17498","17260","16785","17243","15699","13611","13322","113952","0.484","121496","0.516","11739","0.05","63136","0.268","145870","0.62","1125","0.005","2208","0.009","10003","0.042","1367","0.006","54899","0.233","37509","0.159","202976","0.862","0.868"
"Bronx","2020-21","227224","14769","15468","16863","17031","17016","16906","17579","17401","17160","17061","16183","16132","13909","13746","109949","0.484","117275","0.516","11429","0.05","60851","0.268","140947","0.62","1331","0.006","2206","0.01","9523","0.042","937","0.004","53144","0.234","37190","0.164","194432","0.856","0.858"
"Brooklyn","2016-17","344408","24126","25680","26405","26928","26474","25928","24746","24154","23291","22933","25423","25203","21052","22065","166334","0.483","178072","0.517","54910","0.159","127475","0.37","95690","0.278","2884","0.008","2630","0.008","59440","0.173","1379","0.004","66309","0.193","44335","0.129","244956","0.711","0.632"
"Brooklyn","2017-18","342622","23277","25578","25928","25812","26253","25851","25690","24166","23883","23168","25220","24751","20692","22353","165532","0.483","177070","0.517","55732","0.163","123782","0.361","95225","0.278","3238","0.009","2760","0.008","60569","0.177","1316","0.004","67444","0.197","44390","0.13","261947","0.765","0.737"
"Brooklyn","2018-19","339985","24104","24074","25562","25159","25060","25561","25307","25044","23912","23663","25112","24739","20476","22212","164322","0.483","175662","0.517","56134","0.165","119917","0.353","94884","0.279","3651","0.011","2787","0.008","61262","0.18","1350","0.004","68086","0.2","42678","0.126","255263","0.751","0.728"
"Brooklyn","2019-20","342332","28420","24224","24232","24979","24615","24533","25172","24574","24714","23736","25329","24489","20942","22373","165538","0.484","176794","0.516","57027","0.167","117272","0.343","96403","0.282","4084","0.012","2819","0.008","62132","0.181","2595","0.008","67756","0.198","41294","0.121","254914","0.745","0.743"
"Brooklyn","2020-21","330905","24119","22249","23447","23202","23974","23882","23747","24287","24144","24316","24819","24821","21686","22212","159764","0.483","171141","0.517","55957","0.169","111976","0.338","93778","0.283","4790","0.014","2831","0.009","59204","0.179","2369","0.007","65784","0.199","42661","0.129","243307","0.735","0.725"
