"contract_id","contract_number","start_date","end_date","amount","fiscal_year","purpose","program_id","provider_id","agency_name"
"2032","CT106920191416954","2018-07-01T00:00:00.000","2023-06-30T00:00:00.000","2456237","FY2020","Veterans Residence SRO","203","395","DSS"
"2","CT126020201411072","2019-07-01T00:00:00.000","2022-06-30T00:00:00.000","228450","FY2020","To support youth guidance, leadership and career services","286","2","DYCD"
"3","CT181620201417221","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","212500","FY2020","Court-Involved Youth Mental Health Initiative","300","3","DOHMH"
"6","CT126020201417392","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","155334","FY2020","To support organizations that foster literacy development","264","6","DYCD"
"7","CT126020201415003","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","50000","FY2020","Funds will be used for operational expenses of youth program","264","7","DYCD"
"8","CT181620201416396","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","68103","FY2020","Developmental, Psychological and Behavioral Health Services","302","8","DOHMH"
"9","CT181620201416727","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","165000","FY2020","Court-Involved Youth Mental Health Initiative / Member Items","300","9","DOHMH"
"10","CT106920201417927","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","200000","FY2020","Provision of Immigrant Opportunities Initiative Services","116","10","DSS"
"11","CT106920201417405","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","300000","FY2020","Homeless prevention services to veterans in New York City.","119","11","DSS"
"13","CT181620201416846","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","187500","FY2020","Screening, Assessment & Evaluation/Telecommunications Upgrad","300","13","DOHMH"
"15","CT181620201416741","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","81000","FY2020","Geriatric Mental Health","300","15","DOHMH"
"16","CT126020201417644","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","6500","FY2020","This program support community  project educational workshop","264","16","DYCD"
"19","CT106920201417572","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","275000","FY2020","Legal Supportive Alternatives to Violent Encounters","122","10","DSS"
"2216","CT181620191407577","2018-07-01T00:00:00.000","2027-06-30T00:00:00.000","2382934","FY2020","OMH Forensic Case Management Team","328","11","DOHMH"
"21","CT126020201418091","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","9000","FY2020","Funds to support the Drumline band camp, and music classes","264","20","DYCD"
"22","CT106920201416506","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","100000","FY2020","Provision of Legal Services for Low Income New Yorkers.","122","21","DSS"
"23","CT126020201417989","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","Support the operation of the 84th Precinct Community Council","264","22","DYCD"
"24","CT126020201415860","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","26000","FY2020","Provides free immigrant and youth recreational services","264","23","DYCD"
"25","CT126020201412455","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To support arts and cultural programming at P.S. 4M.","264","24","DYCD"
"26","CT126020201408148","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","80000","FY2020","To fund afterschool debate tournament and wellness","264","25","DYCD"
"27","CT126020201416548","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","36000","FY2020","To support leadership and advocacy education & training.","264","26","DYCD"
"28","CT126020201417121","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To support general operating expense.","264","27","DYCD"
"30","CT126020201415647","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","463000","FY2020","To support Neighborhood Improvement Program (NIP)","264","29","DYCD"
"31","CT126020201415158","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","390000","FY2020","To support Neighborhood Improvement Program (NIP)","264","29","DYCD"
"32","CT106920201417466","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","100000","FY2020","Provision of Legal Services for Low Income New Yorkers.","116","30","DSS"
"35","CT126020201409166","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","7500","FY2020","To provide social services program to community residents.","264","33","DYCD"
"39","CT181620201415984","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","350000","FY2020","Opioid Prevention and Treatment","302","16","DOHMH"
"40","CT181620201416503","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","242442","FY2020","Autism Awareness / Geriatric Mental Health","452","37","DOHMH"
"45","CT126020201414447","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","135000","FY2020","To support Young Women's Leadership Dev. Initiative","264","42","DYCD"
"47","CT106920201416967","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","625000","FY2020","Prov. of fund to support EITC program, food pantries expans.","134","44","DSS"
"49","CT126020201417703","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","8500","FY2020","To support the Parent-Child Home program","264","3","DYCD"
"51","CT126020201409852","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","150000","FY2020","To support free education programming.","264","47","DYCD"
"52","CT181620201417929","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","20000","FY2020","City Council / Autism Awareness","297","48","DOHMH"
"53","CT126020201416862","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","100000","FY2020","To support afterschool activities.","264","49","DYCD"
"54","CT126020201416593","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","35000","FY2020","A Greener NYC supports environmentally friendly programs.","264","50","DYCD"
"55","CT126020201409907","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","This program offers tennis lessons to youth.","264","51","DYCD"
"56","CT126020201404901","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","This program offers hands on civic  education for youth.","264","52","DYCD"
"57","CT126020201415050","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","70000","FY2020","Leadership training programs for young  women and girls.","264","53","DYCD"
"61","CT126020201414359","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","37200","FY2020","To support food pantries and soup kitchens","264","56","DYCD"
"63","CT126020201409946","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","30000","FY2020","To support Greener NYC environmentally friendly prog.","264","47","DYCD"
"64","CT126020201415467","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","89000","FY2020","To provide a Greener program that improves the environment","264","58","DYCD"
"65","CT126020201416569","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","82000","FY2020","Funds for computer based learning in each of the 51 CD.","264","59","DYCD"
"66","CT126020201414626","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","115500","FY2020","To support Empowerment self-defense & upstander program","264","60","DYCD"
"69","CT126020201415556","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To support the recruitment & training of school age workers","264","63","DYCD"
"70","CT106920201407915","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","47500","FY2020","Provision of Legal Services for the Working Poor.","131","64","DSS"
"72","CT126020201409918","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","35000","FY2020","To fund SAT/PSAT Prep Classes and financial workshops.","264","66","DYCD"
"75","CT126020201417626","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","Support afterschool dance Arts & Literacy program at PS123k.","264","68","DYCD"
"76","CT106920201417836","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","3500","FY2020","Prov. of social svcs & community outreach to GBTQ and HIV","202","64","DSS"
"78","CT126020201413968","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","543500","FY2020","To fund programming of Youth Pride.","264","70","DYCD"
"81","CT106920201416571","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","100000","FY2020","Provision of Legal Services for Low-Income New Yorkers.","122","72","DSS"
"82","CT126020201413479","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","7000","FY2020","This program supports teen civic engagement curriculum","264","16","DYCD"
"83","CT126020201416507","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","20000","FY2020","Funds to provide computer based training and learning tech.","264","73","DYCD"
"84","CT126020201414672","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","25000","FY2020","DISCRETIONARY-YS","264","59","DYCD"
"85","CT126020201416501","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","7500","FY2020","Funds to be used for adult vocational trainings and classes","264","73","DYCD"
"86","CT126020201413150","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","133000","FY2020","To fund Sports Training and Rolemodels for Success program","264","74","DYCD"
"88","CT126020200001592","2019-03-11T00:00:00.000","2022-03-10T00:00:00.000","924300","FY2020","To support Community Based SYEP Older Youth","399","14","DYCD"
"89","CT126020201416841","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","4000","FY2020","To provide educational program for court involved students","264","76","DYCD"
"91","CT126020201417431","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","This program support develop basic job readiness skills","264","16","DYCD"
"92","CT126020201415980","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","19000","FY2020","Funds to be used for toy-drive  & elderly abuse program","264","77","DYCD"
"93","CT126020201416939","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","10000","FY2020","To support the Queens-based Youth Education & Career","264","76","DYCD"
"94","CT126020200000573","2019-03-11T00:00:00.000","2022-03-10T00:00:00.000","480000","FY2020","To fund School Based SYEP for Younger Youth programming","280","14","DYCD"
"95","CT126020201416936","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","5000","FY2020","To Provide food to over 275 pantries and soup kitchens","264","76","DYCD"
