"boro_block_lot","condo_section","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_condo_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_condo_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_condo_in_miles_2","report_year"
"1-00576-7501","0003-R1","60 WEST 13 STREET","GREENWICH VILLAGE-CENTRAL","R4  -ELEVATOR","70","1966","82017","4452703","54.29","1729739","21.09","2722964","22115002","269.64","1-00573-0011","60 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","27","1910","20797","1130317","54.35","453375","21.8","676942","5205000","250.28","0.14","1-00563-0043","63 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","42","1970","23353","1240511","53.12","498587","21.35","741924","6936000","297.01","0.26","1-00552-0010","82 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","35","1900","27108","1471693","54.29","571708","21.09","899985","7318000","269.96","0.35","2019"
"1-01271-7501","0007-R2","1360 6 AVENUE","MIDTOWN WEST","R4  -ELEVATOR","183","1963","141738","7113830","50.19","2361355","16.66","4752475","38596999","272.31","1-01043-0005","369 WEST 52 STREET","MIDTOWN WEST","D5  -ELEVATOR","48","1940","37030","1858536","50.19","616920","16.66","1241616","11335000","306.1","0.54","1-01046-0043","318 WEST 56 STREET","MIDTOWN WEST","D3  -ELEVATOR","68","1961","54400","2714016","49.89","738752","13.58","1975264","9522000","175.04","0.52","1-01416-0012","223 EAST 61 STREET","UPPER EAST SIDE (59-79)","D1  -ELEVATOR","48","1942","39510","1987748","50.31","527854","13.36","1459894","9322000","235.94","0.63","2019"
"1-00894-7501","0009-R1","77 PARK AVENUE","MURRAY HILL","R4  -ELEVATOR","109","1924","158571","7329152","46.22","2854278","18","4474874","36343010","229.19","1-00865-0032","20 PARK AVENUE","MURRAY HILL","D7  -ELEVATOR","102","1939","101306","4742134","46.81","2057525","20.31","2684609","26269000","259.3","0.18","1-00865-0042","28 EAST 36 STREET","MURRAY HILL","D6  -ELEVATOR","119","1949","128072","5741468","44.83","2291208","17.89","3450260","24802000","193.66","0.18","1-00920-0045","232 EAST 40 STREET","MURRAY HILL","D1  -ELEVATOR","19","1910","20784","960636","46.22","374112","18","586524","3423000","164.69","0.22","2019"
"1-00631-7501","0018-R1","712 GREENWICH STREET","GREENWICH VILLAGE-WEST","R9  -CONDOPS","20","1910","53943","2132906","39.54","666196","12.35","1466710","11912000","220.83","1-00631-0030","697 GREENWICH STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","53","1979","51200","2086912","40.76","833024","16.27","1253888","14188000","277.11","0.06","1-00634-0047","337 WEST 11 STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","62","1965","53500","2115390","39.54","660725","12.35","1454665","16016000","299.36","0.15","1-00635-0042","123 BANK STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","49","1930","37064","1461804","39.44","504070","13.6","957734","14265000","384.87","0.19","2019"
"1-00868-7501","0019-R1","35 EAST 38 STREET","MURRAY HILL","R4  -ELEVATOR","113","1961","88230","4288860","48.61","1055231","11.96","3233629","26261996","297.65","1-00915-0056","210 EAST 35 STREET","MURRAY HILL","D1  -ELEVATOR","11","1920","9342","452807","48.47","100800","10.79","352007","2657000","284.41","0.37","1-00914-0011","221 EAST 33 STREET","MURRAY HILL","D1  -ELEVATOR","45","1900","35508","1804872","50.83","417219","11.75","1387653","10386000","292.5","0.4","1-00892-0049","156 EAST 37 STREET","MURRAY HILL","D6  -ELEVATOR","39","1924","41603","2022322","48.61","497572","11.96","1524750","7628000","183.35","0.22","2019"
"1-00571-7501","0027-R1","7 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","R9  -CONDOPS","39","1928","42384","1666115","39.31","536158","12.65","1129957","9177000","216.52","1-00553-0038","117 WAVERLY PLACE","GREENWICH VILLAGE-CENTRAL","C4  -WALK-UP","12","1900","12205","473066","38.76","131204","10.75","341862","3948000","323.47","0.36","1-00556-0075","113 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","20","1900","12300","483513","39.31","155595","12.65","327918","5487000","446.1","0.3","1-00573-0009","66 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","C4  -WALK-UP","20","1910","9135","379651","41.56","122318","13.39","257333","2485000","272.03","0.25","2019"
"1-01505-7501","0028-R1","55 EAST 93 STREET","UPPER EAST SIDE (79-96)","R4  -ELEVATOR","29","1980","23232","1049622","45.18","288541","12.42","761081","6180998","266.06","1-01521-0059","130 EAST 93 STREET","UPPER EAST SIDE (79-96)","D1  -ELEVATOR","27","1925","20375","920543","45.18","253058","12.42","667485","4837000","237.4","0.11","1-01535-0031","240 EAST 90 STREET","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","25","1960","21000","940380","44.78","304920","14.52","635460","6713000","319.67","0.37","1-01554-0043","312 EAST 92 STREET","UPPER EAST SIDE (79-96)","D3  -ELEVATOR","28","1995","20000","910600","45.53","276000","13.8","634600","5277000","263.85","0.46","2019"
"1-01245-7501","0029-R1","309 WEST 83 STREET","UPPER WEST SIDE (79-96)","R9  -CONDOPS","17","1920","25216","1130938","44.85","304357","12.07","826581","6713000","266.22","1-01233-0024","211 WEST 85 STREET","UPPER WEST SIDE (79-96)","C1  -WALK-UP","13","1910","13015","583723","44.85","157091","12.07","426632","3140000","241.26","0.21","1-01245-0045","105 RIVERSIDE DRIVE","UPPER WEST SIDE (79-96)","C5  -WALK-UP","11","1900","8172","370845","45.38","126911","15.53","243934","1256000","153.7","0.05","1-01235-0038","204 WEST 88 STREET","UPPER WEST SIDE (79-96)","C1  -WALK-UP","15","1905","11610","508170","43.77","155806","13.42","352364","2438000","209.99","0.28","2019"
"1-01310-7501","0030-R1","141 EAST 55 STREET","MIDTOWN CBD","R4  -ELEVATOR","87","1956","70773","3281036","46.36","738162","10.43","2542874","20652005","291.81","1-01369-0037","422 EAST 58 STREET","MIDTOWN EAST","D3  -ELEVATOR","24","1939","18654","864799","46.36","194561","10.43","670238","4043000","216.74","0.41","1-01416-0012","223 EAST 61 STREET","UPPER EAST SIDE (59-79)","D1  -ELEVATOR","48","1942","39510","1822201","46.12","378901","9.59","1443300","9322000","235.94","0.33","1-01439-0042","320 EAST 65 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","71","1930","58325","2719695","46.63","458435","7.86","2261260","19379000","332.26","0.52","2019"
"1-01141-7501","0031-R1","104 WEST 70 STREET","UPPER WEST SIDE (59-79)","R4  -ELEVATOR","84","1903","95930","5217633","54.39","1524328","15.89","3693305","29995008","312.68","1-01143-0027","115 WEST 71 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","38","1913","36364","1981111","54.48","560733","15.42","1420378","8121000","223.33","0.1","1-01126-0038","10 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","86","1941","71890","3910097","54.39","1142332","15.89","2767765","26865000","373.7","0.24","1-01184-0025","312 WEST 73 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","16","1920","14025","738416","52.65","189057","13.48","549359","3433000","244.78","0.36","2019"
"1-01577-7501","0033-R1","520 EAST 81 STREET","UPPER EAST SIDE (79-96)","R4  -ELEVATOR","164","1964","103108","4942998","47.94","1768302","17.15","3174696","25782999","250.06","1-01579-0002","1556 YORK AVENUE","UPPER EAST SIDE (79-96)","D1  -ELEVATOR","30","1920","18852","911871","48.37","346123","18.36","565748","5545000","294.13","0.1","1-01560-0010","425 EAST 80 STREET","UPPER EAST SIDE (79-96)","D1  -ELEVATOR","41","1925","23568","1120894","47.56","422810","17.94","698084","6438000","273.17","0.14","1-01578-0014","525 EAST 81 STREET","UPPER EAST SIDE (79-96)","D3  -ELEVATOR","44","1957","24960","1196582","47.94","428064","17.15","768518","7311000","292.91","0.05","2019"
"1-01212-7501","0036-R1","101 WEST 81 STREET","UPPER WEST SIDE (79-96)","R9  -CONDOPS","134","1900","148751","6507856","43.75","1996238","13.42","4511618","36641000","246.32","1-01211-0052","158 WEST 81 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","37","1930","37251","1629731","43.75","499908","13.42","1129823","6351000","170.49","0.05","1-01216-0051","144 WEST 86 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","67","1929","96546","4267333","44.2","1391228","14.41","2876105","15905000","164.74","0.2","1-01229-0006","265 WEST 81 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","36","1900","41137","1791928","43.56","562343","13.67","1229585","8783000","213.51","0.22","2019"
