"license_nbr","license_type","lic_expir_dd","license_status","license_creation_date","industry","business_name","business_name_2","address_building","address_street_name","address_street_name_2","address_city","address_state","address_zip","contact_phone","address_borough","detail","community_board","council_district","bin","bbl","nta","census_tract","detail_2","longitude","latitude","location"
"0967332-DCA","Business","2017-02-28T00:00:00.000","Inactive","2010-02-04T00:00:00.000","Home Improvement Contractor","BARBARINO, JOHN JR.","JOHN BARBARINO JR_HOME IMPROVEMENT","239","MEDFORD CT",,"MANALAPAN","NJ","07726","0985214786","Outside NYC",,,,,,,,,,,
"2103411-DCA","Individual","2024-03-31T00:00:00.000","Active","2022-01-11T00:00:00.000","Sightseeing Guide","Nieciak, Joseph",,,,,"BROOKLYN","NY","11214",,,,,,,,,,,,,
"2060087-DCA","Individual","2024-03-31T00:00:00.000","Active","2017-10-31T00:00:00.000","Sightseeing Guide","Arcaro, Tyler",,,,,"NEW YORK","NY","10028",,,,,,,,,,,,,
"2078026-DCA","Individual","2024-03-31T00:00:00.000","Active","2018-09-11T00:00:00.000","Sightseeing Guide","HESSE, DAPHNEE",,,,,"Vancouver","British Columbia","V6Z1C",,,,,,,,,,,,,
"2057801-DCA","Individual","2019-02-28T00:00:00.000","Inactive","2017-09-01T00:00:00.000","Home Improvement Salesperson","ESCOBAR, KEVIN",,,,,"CHESTER","PA","19013",,,,,,,,,,,,,
"1415974-DCA","Individual","2012-10-31T00:00:00.000","Inactive","2011-12-21T00:00:00.000","Tow Truck Driver","MIRABELLA, DONNA",,,,,"STATEN ISLAND","NY","10302",,,,,,,,,,,,,
"2021326-DCA","Individual","2017-02-28T00:00:00.000","Inactive","2015-04-20T00:00:00.000","Home Improvement Salesperson","BEHAR, LARRY",,,,,"WANTAGH","NY","11793",,,,,,,,,,,,,
"0867157-DCA","Individual","2024-03-31T00:00:00.000","Active","2000-05-23T00:00:00.000","Sightseeing Guide","RACOND, BRUCE I",,,,,"NEW YORK","NY","10023",,,,,,,,,,,,,
"2029953-DCA","Individual","2016-10-31T00:00:00.000","Inactive","2015-10-29T00:00:00.000","Tow Truck Driver","Rodriguez, Juan",,,,,"BRONX","NY","10460",,,,,,,,,,,,,
"2107503-DCA","Individual","2023-07-31T00:00:00.000","Active","2022-07-15T00:00:00.000","Ticket Seller","ABUBAKAR, ALI",,,,,"BRONX","NY","10454",,,,,,,,,,,,,
"2006098-DCA","Individual","2016-06-15T00:00:00.000","Inactive","2014-04-10T00:00:00.000","Auctioneer","WU, JIAN",,,,,"FLUSHING","NY","11354",,,,,,,,,,,,,
"1383858-DCA","Individual","2012-10-31T00:00:00.000","Inactive","2011-03-02T00:00:00.000","Tow Truck Driver","LAMARCHE, CHRISTOPHER JOHN",,,,,"BRONX","NY","10452",,,,,,,,,,,,,
"1419491-DCA","Individual","2014-09-30T00:00:00.000","Inactive","2012-02-13T00:00:00.000","General Vendor","DOUGLAS, BRUCE",,,,,"ROSEDALE","NY","11422",,,,,,,,,,"General Vendor Type: General Vendor (White)",,,
