"latitude","applicant_house_number","applicant_street_name","applicant_address_2","applicant_city","applicant_state","applicant_postcode","applicant_phone","project_name","project_borough","new_construction","doce_amount","credit_year","doce_date","total_units","total_tax_credit_units","application_year","applicant_borough","latitude_1","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Mastermind Development LLC","668","Crescent Avenue",,"Bronx","NY","10458","(718)933-1353","Westchester Point Apartments","Bronx","New Construction","$   1,455,196","2013","2013-01-22T00:00:00.000","141","140","2013","BRONX","40.854213","-73.885725","6","15","391","2012487","2030880022","Belmont"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Utica Place Residential","Brooklyn","New Construction","$   972,365","2013","2013-01-09T00:00:00.000","87","86","2013",,,,,,,,,
"Hudson Companies","826","Broadway","11th Floor","New York","NY","10003","(212)710-6023","Gateway Elton Phase II","Brooklyn","New Construction","$   2,173,435","2013","2013-01-30T00:00:00.000","175","174","2013","MANHATTAN","40.733326","-73.991077","2","2","61","1009208","1005640034","West Village"
"The Dermot Company","729","Seventh Avenue",,"New York","NY","10019","(212)262-1220","101 Avenue D aka Lower East Side Girls Club","Manhattan","New Construction","$   202,106","2013","2013-01-11T00:00:00.000","17","16","2013","MANHATTAN","40.760103","-73.983973","5","4","125","1022699","1010017501","Midtown-Midtown South"
"Alembic Community Development","11","Hanover Square","Suite 701","New York","NY","10005","(212)566-8805","Barrier Free Living","Bronx","New Construction","$   1,552,938","2013","2013-02-20T00:00:00.000","120","119","2013","MANHATTAN","40.705371","-74.008516","1","1","7","1000833","1000280012","Battery Park City-Lower Manhattan"
"Phipps Houses","902","Broadway","13th Floor","New York","NY","10010","(212)243-9090","Hunters Point South - Borden Avenue","Queens","New Construction","$   863,885","2013","2013-02-11T00:00:00.000","306","62","2013","MANHATTAN","40.739279","-73.989726","5","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Phipps Houses","902","Broadway","13th Floor","New York","NY","10010","(212)243-9090","Hunters Point South - 50th Avenue","Queens","New Construction","$   1,689,687","2013","2013-02-08T00:00:00.000","124","124","2013","MANHATTAN","40.739279","-73.989726","5","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Workforce Housing Advisors","271","Madison Avenue","Suite 1007","New York","NY","10016","(212)682-2025","WHFA Creston","Bronx","Rehabilitation","$   871,612","2013","2013-05-20T00:00:00.000","122","112","2013","MANHATTAN","40.75124","-73.980416","6","4","82","1017589","1008690020","Murray Hill-Kips Bay"
"Joy Construction Corp","40","Fulton Street","21st Floor","New York","NY","10038","(212)766-9651","1016 Washington","Bronx","New Construction","$   809,416","2013","2013-06-12T00:00:00.000","65","64","2013","MANHATTAN","40.707904","-74.004411","1","1","1502","1075618","1000750021","Battery Park City-Lower Manhattan"
"The Related Companies, Inc.","60","Columbus Circle","19th Floor","New York","NY","10023","(212) 801 -3511","456 Washington","Manhattan","New Construction","$   452,606","2013","2013-06-20T00:00:00.000","22","22","2013","MANHATTAN","40.768378","-73.982148","4","3","145","1026318","1010497501","Lincoln Square"
"The Arker Companies","1044","Northern Boulevard","2nd Floor","Roslyn","NY","11576","(516)277-9300","The Rubin Wolf Residences","Bronx","New Construction","$   808,098","2013",,"69","68","2013",,,,,,,,,
"MacQuesten Development","438","Fifth Avenue",,"Pelham","NY","10803","(914)667-7227","Mother Arnetta Crawford","Bronx","New Construction","$   970,336","2013","2013-06-24T00:00:00.000","84","83","2013",,,,,,,,,
"Fordham Bedford Housing Corporation","2751","Grand Concourse",,"Bronx","NY","10468","(917)645-9522","Creston Heights","Bronx","Rehabilitation","$   654,212","2013","2013-06-27T00:00:00.000","125","104","2013","BRONX","40.868185","-73.89278","7","14","40303","2017431","2033150001","Van Cortlandt Village"
"Omni New York LLC","885","Second Avenue","31st Floor","New York","NY","10017","(646)502-7197","Longwood Residence","Bronx","Rehabilitation","$   2,452,294","2013","2013-06-16T00:00:00.000","361","349","2013","MANHATTAN","40.753194","-73.969757","6","4","90","1037988","1013210022","Turtle Bay-East Midtown"
"New York Institute for Human Development","1011","1st Avenue",,"New York","NY","10022","(646)794-3166","Carmel Apartments","Staten Island","Rehabilitation","$   628,953","2013","2013-06-12T00:00:00.000","100","99","2013","MANHATTAN","40.757271","-73.963692","6","5","108","1039972","1013480023","Turtle Bay-East Midtown"
"Centrerlight Health System","612","Allerton Avenue",,"Bronx","NY","10467","(718)519-5937","Scheuer Garden","Bronx","Rehabilitation","$   717,717","2013","2013-06-17T00:00:00.000","116","114","2013","BRONX","40.865365","-73.87","11","15","33202","2051277","2044270029","Bronxdale"
"CenterLight Health System, Inc","612","Allerton Avenue",,"Bronx","NY","10467","(718)519-5937","TBM Housing - Scheuer Plaza","Bronx","Rehabilitation","$   656,421","2013","2013-06-17T00:00:00.000","100","99","2013","BRONX","40.865365","-73.87","11","15","33202","2051277","2044270029","Bronxdale"
"Procida Development Group LLC","456","East 173rd Street",,"Bronx","NY","10457","(718)299-7000","2026 Westchester Avenue","Bronx","New Construction","$   1,321,141","2013","2013-06-25T00:00:00.000","134","133","2013","BRONX","40.841806","-73.901775","3","16","167","2009492","2029050024","Claremont-Bathgate"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Soundview Family","Bronx","New Construction","$   1,747,660","2013","2013-06-28T00:00:00.000","120","119","2013",,,,,,,,,
"Property Resources Corporation","10","Bank Street",,"White Plains","NY","10606","(212)734-9191","PRC Shakespeare","Bronx","Rehabilitation","$   2,255,499","2013","2013-06-25T00:00:00.000","414","401","2013",,,,,,,,,
"Dunn Development Corporation","316","Douglass Street",,"Brooklyn","NY","11217","(718)388-9407","Dunn Beulah XV","Bronx","Rehabilitation","$   1,357,083","2013","2013-06-25T00:00:00.000","293","268","2013","BROOKLYN","40.679753","-73.982903","6","33","119","3006801","3004200023","Park Slope-Gowanus"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Soundview Senior","Bronx","New Construction","$   1,271,725","2013","2013-12-10T00:00:00.000","86","85","2013",,,,,,,,,
"BRP Companies","767","Third Avenue","33rd Floor","New York","NY","10017","(212)488-1739","ENY BRP Development","Brooklyn","Rehabilitation","$   2,926,584","2013","2013-12-17T00:00:00.000","467","442","2013","MANHATTAN","40.754276","-73.971879","6","4","90","1037996","1013210047","Turtle Bay-East Midtown"
"Center for Urban Community Services, Inc.","198","East 121st Street","6th Floor","New York","NY","10035","(212)801-3368","Arthur Avenue Residences","Bronx","New Construction","$   1,384,588","2013","2013-12-09T00:00:00.000","108","107","2013","MANHATTAN","40.801192","-73.937831","11","8","196","1087272","1017697501","East Harlem North"
"Center Development Corporation","1","Gateway Plaza","2nd Floor","Port Chester","NY","10573","(914)833-2600","Daly IV","Bronx","Rehabilitation","$   1,008,941","2013","2013-12-13T00:00:00.000","273","271","2013",,,,,,,,,
"Prince Hall Grand Lodge of Free & Accepted Masons","454","West 155th Street",,"New York","NY","10032","(212)281-2211","Prince Hall Plaza","Manhattan","Rehabilitation","$   617,984","2013","2013-12-16T00:00:00.000","98","97","2013","MANHATTAN","40.831134","-73.941966","9","7","23501","1088133","1020680071","Hamilton Heights"
"Gotham Development","1010","Avenue of Americas",,"New York","NY","10018","(212)599-0520","250 Ashland","Brooklyn","New Construction","$   2,146,900","2013","2013-12-16T00:00:00.000","117","117","2013","MANHATTAN","40.752072","-73.985628","5","4","84","1085979","1008397502","Midtown-Midtown South"
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","(718)875-8160","Compass Residence 1B","Bronx","New Construction","$   1,635,132","2013","2013-12-23T00:00:00.000","127","127","2013","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Joy Construction Corp","40","Fulton Street","21st Floor","New York","NY","10038","(212)766-9651","Webster Building E","Bronx","New Construction","$   833,487","2013","2013-12-19T00:00:00.000","80","79","2013","MANHATTAN","40.707904","-74.004411","1","1","1502","1075618","1000750021","Battery Park City-Lower Manhattan"
"Trinity Financial Inc.","1350","Broadway","Suite 2203","New York","NY","10018","(212)267-8400","Randolph Houses Phase 1 - South Side","Manhattan","Rehabilitation","$   2,646,587","2013","2013-12-23T00:00:00.000","168","152","2013","MANHATTAN","40.751306","-73.987656","5","4","109","1080606","1008110031","Midtown-Midtown South"
"Preservation Development Partners LLC","641","Lexington Avenue","15th Floor","New York","NY","10022","(212)634-6362","Albert Goodman Apartments","Bronx","Rehabilitation","$   1,286,489","2013","2013-12-17T00:00:00.000","252","250","2013","MANHATTAN","40.75903","-73.970321","6","4","100","1036482","1013090023","Turtle Bay-East Midtown"
"Douglaston Development","42-09","235th Street",,"Douglaston","NY","11363","(212)400-9292","Crossroads II","Bronx","New Construction","$   2,004,912","2014","2014-01-28T00:00:00.000","136","135","2014","QUEENS","40.768182","-73.74851","11","19","1479","4440077","4081000033","Douglas Manor-Douglaston-Little Neck"
"Dunn Development Corporation","316","Douglass Street",,"Brooklyn","NY","11217","(718)388-9407","Livonia Commons","Brooklyn","New Construction","$   3,432,250","2014","2014-01-15T00:00:00.000","278","274","2014","BROOKLYN","40.679753","-73.982903","6","33","119","3006801","3004200023","Park Slope-Gowanus"
"The Related Companies, Inc.","60","Columbus Circle","19th Floor","New York","NY","10023","(212) 801 -3511","Carnegie Park Apartments","Manhattan","Rehabilitation","$   970,024","2014","2014-04-24T00:00:00.000","92","82","2014","MANHATTAN","40.768378","-73.982148","4","3","145","1026318","1010497501","Lincoln Square"
"Rockower Corporation","225","Willow Avenue",,"Bronx","NY","10454","(718)292-6400","810 River","Bronx","New Construction","$   1,157,669","2014","2014-06-20T00:00:00.000","134","80","2014","BRONX","40.803755","-73.911699","1","17","19","2003803","2025660068","Mott Haven-Port Morris"
"The NHP Foundation","122","East 42nd Street","Suite 3500","New York","NY","10168","(646)336-4900","Plaza Borinquen","Bronx","Rehabilitation","$   733,182","2014","2014-06-04T00:00:00.000","88","77","2014","MANHATTAN","40.751601","-73.97645","5","4","80","1036152","1012960014","Murray Hill-Kips Bay"
"Lemle & Wolff Development Company LLC","5925","Broadway",,"Bronx","NY","10463","(718)884-7676","Plover Apartments LLC","Bronx","Rehabilitation","$   772,308","2014","2014-06-13T00:00:00.000","138","99","2014","BRONX","40.888213","-73.8989","8","11","285","2084013","2057760539","Spuyten Duyvil-Kingsbridge"
"The Related Companies, Inc.","60","Columbus Circle","19th Floor","New York","NY","10023","(212) 801 -3511","261 Hudson Street","Manhattan","New Construction","$   752,284","2014","2014-06-25T00:00:00.000","41","41","2014","MANHATTAN","40.768378","-73.982148","4","3","145","1026318","1010497501","Lincoln Square"
"Fordham Bedford Housing Corporation","2751","Grand Concourse",,"Bronx","NY","10468","(917)645-9522","Mt. Sharon","Bronx","Rehabilitation","$   733,195","2014","2014-06-25T00:00:00.000","106","95","2014","BRONX","40.868185","-73.89278","7","14","40303","2017431","2033150001","Van Cortlandt Village"
"Omni New York LLC","885","Second Avenue","31st Floor","New York","NY","10017","(646)502-7197","Morris Avenue Apartments","Bronx","New Construction","$   1,926,169","2014","2014-06-25T00:00:00.000","176","158","2014","MANHATTAN","40.753194","-73.969757","6","4","90","1037988","1013210022","Turtle Bay-East Midtown"
"Blue Sea Development Company LLC","164","Main Street",,"Huntington","NY","11743","(631)923-0000","Prospect Plaza North","Brooklyn","New Construction","$   1,780,502","2014","2014-06-25T00:00:00.000","110","109","2014",,,,,,,,,
"Yuco Real Estate Company, Inc.","200","Park Avenue","11th Floor","New York","NY","10166","(212)994-2200","Williamsburg Apartments","Brooklyn","New Construction","$   915,359","2014","2014-06-26T00:00:00.000","53","52","2014","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown"
