"object_id","orgname","appronstre","boroughname","apprfromst","apprtostre","apprdayswe","reviewstat","apprmonope","apprmonclo","apprtueope","apprtueclo","apprwedope","apprwedclo","apprthuope","apprthuclo","apprfriope","apprfriclo","apprsatope","apprsatclo","apprsunope","apprsunclo","sunday_end","apprenddat","shape_stle","the_geom","segmentidt","segmentidf","lionversion"
"1","31R005","DEISIUS STREET","Staten Island","KINGDOM AVENUE","STECHER STREET","mon,tue,wed,thu,fri","approvedFullSchools","07:30","15:00","07:30","15:00","07:30","15:00","07:30","15:00","07:30","15:00",,,,"2023-09-06T00:00:00.000",,"2024-06-27T00:00:00.000","264.932398036","MULTILINESTRING ((932160.000821799 132526.58768714964, 931925.9199251384 132402.50985130668))","0002920","0002920",
"2","Council of Jewish Organizations of Staten Island, a project of the Igud Harabonim of America Inc","SUFFOLK AVENUE","Staten Island","QUEEN STREET","HAROLD STREET","fri,sat,sun","approvedFull",,,,,,,,,"14:00","21:00","09:00","21:00","09:00","2023-05-24T00:00:00.000","21:00","2023-12-31T00:00:00.000","313.087821487","MULTILINESTRING ((948752.0076639652 158947.0850428939, 948784.849133715 158635.7244451493))","0008171","0008171",
"3","Council of Jewish Organizations of Staten Island, a project of the Igud Harabonim of America Inc","SUFFOLK AVENUE","Staten Island","QUEEN STREET","HAROLD STREET","fri,sat,sun","approvedFull",,,,,,,,,"14:00","21:00","09:00","21:00","09:00","2023-05-24T00:00:00.000","21:00","2023-12-31T00:00:00.000","142.063500219","MULTILINESTRING ((948784.849133715 158635.7244451493, 948801.1512664706 158494.59939931333))","0008177","0008177",
"4","Council of Jewish Organizations of Staten Island, a project of the Igud Harabonim of America Inc","VERMONT COURT","Staten Island","GANSEVOORT BOULEVARD","SUFFOLK AVENUE","fri,sat,sun","approvedFull",,,,,,,,,"14:00","21:00","09:00","21:00","09:00","2023-05-24T00:00:00.000","21:00","2023-12-31T00:00:00.000","421.392020366","MULTILINESTRING ((949205.6619403809 158657.811015144, 948784.849133715 158635.7244451493))","0008218","0008218",
"5","New Dorp Lane Management Association","9 STREET","Staten Island","NEW DORP LANE","ROSE AVENUE","fri,sat,sun","approvedFull",,,,,,,,,"19:00","23:00","18:00","23:00","18:00","2023-01-31T00:00:00.000","23:00","2023-12-31T00:00:00.000","448.103939286","MULTILINESTRING ((952355.5207981318 148114.65657655895, 952090.2526278943 147753.50572405756))","0010673","0010673",
"6","Digital Media Center","FRONT STREET","Staten Island","BAY STREET","PROSPECT STREET","fri,sat","approvedFull",,,,,,,,,"11:00","19:30","11:00","19:30",,"2023-06-17T00:00:00.000",,"2023-09-01T00:00:00.000","260.154527258","MULTILINESTRING ((963673.2671914697 167651.88685896993, 963715.310742557 167395.15213622153))","0015715","0015715",
"7","Digital Media Center","FRONT STREET","Staten Island","BAY STREET","PROSPECT STREET","fri,sat","approvedFull",,,,,,,,,"11:00","19:30","11:00","19:30",,"2023-06-17T00:00:00.000",,"2023-09-01T00:00:00.000","178.158044224","MULTILINESTRING ((963648.3928973824 167828.2998919785, 963673.2671914697 167651.88685896993))","0015717","0015717",
"8","Digital Media Center","FRONT STREET","Staten Island","BAY STREET","PROSPECT STREET","fri,sat","approvedFull",,,,,,,,,"11:00","19:30","11:00","19:30",,"2023-06-17T00:00:00.000",,"2023-09-01T00:00:00.000","527.143316761","MULTILINESTRING ((963576.5925160497 168350.5304748118, 963648.3928973824 167828.2998919785))","0015733","0015733",
"9","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","329.974665053","MULTILINESTRING ((974757.8080144674 163632.56123623252, 974660.9807803035 163317.11272014678))","0016745","0016745",
"10","PS 185","RIDGE BOULEVARD","Brooklyn","86 STREET","87 STREET","mon,tue,wed,thu,fri","approvedFullSchools","10:00","14:00","10:00","14:00","10:00","14:00","10:00","14:00","10:00","14:00",,,,"2023-09-04T00:00:00.000",,"2024-06-30T00:00:00.000","280.799904451","MULTILINESTRING ((974883.3064511418 166654.2677912265, 974799.5927077979 166386.2368312329))","0016783","0016783",
"11","Merchants Of third Avenue Civic Improvement Association","3 AVENUE","Brooklyn","83 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"17:00","22:00",,,,"2023-07-28T00:00:00.000",,"2023-08-04T00:00:00.000","255.494816368","MULTILINESTRING ((975001.6953219771 164412.16958513856, 974924.7564994693 164168.5345737338))","0016903","0016903",
