"project_id","bbl","validated_borough","validated_block","validated_lot","validated","validated_date","unverified_borough","unverified_block","unverified_lot"
"2019M0430 - 1 - 01421 - 0021","1014210021","Manhattan","1421","21","true","2021-03-23T00:00:00.000","Manhattan","1421","21"
"2019M0430 - 1 - 01441 - 7501","1014417501","Manhattan","1441","7501","true","2021-03-23T00:00:00.000","Manhattan","1441","7501"
"2021R0384 - 5 - 06970 - 0087","5069700087","Staten Island","6970","87","true","2021-03-24T00:00:00.000","Staten Island","6970","87"
"2021R0384 - 5 - 06970 - 0084","5069700084","Staten Island","6970","84","true","2022-10-17T00:00:00.000","Staten Island","6970","84"
"2021R0384 - 5 - 06970 - 0085","5069700085","Staten Island","6970","85","true","2022-10-17T00:00:00.000","Staten Island","6970","85"
"2021R0384 - 5 - 06970 - 0086","5069700086","Staten Island","6970","86","true","2022-10-17T00:00:00.000","Staten Island","6970","86"
"2021R0384 - 5 - 06970 - 0087","5069700087","Staten Island","6970","87","true","2021-03-24T00:00:00.000","Staten Island","6970","87"
"2019K0330 - 3 - 02023 - 0010","3020230010","Brooklyn","2023","10","true","2021-03-24T00:00:00.000","Brooklyn","2023","10"
"2021R0381 - 5 - 07939 - 0058","5079390058","Staten Island","7939","58","true","2021-03-25T00:00:00.000","Staten Island","7939","58"
"2020Q0274 - 4 - 08165 - 0025","4081650025","Queens","8165","25","true","2021-03-25T00:00:00.000","Queens","8165","25"
"2020Q0274 - 4 - 08164 - 0043","4081640043","Queens","8164","43","true","2021-03-25T00:00:00.000","Queens","8164","43"
"2020Q0274 - 4 - 08164 - 0122","4081640122","Queens","8164","122","true","2021-03-25T00:00:00.000","Queens","8164","122"
"2020Q0274 - 4 - 08164 - 0015","4081640015","Queens","8164","15","true","2021-03-25T00:00:00.000","Queens","8164","15"
"2020Q0274 - 4 - 08164 - 0030","4081640030","Queens","8164","30","true","2021-03-25T00:00:00.000","Queens","8164","30"
"2020M0297 - 1 - 01280 - 0154","1012800154","Manhattan","1280","154","true","2021-04-05T00:00:00.000","Manhattan","1280","154"
"2019M0430 - 1 - 01441 - 0040","1014410040","Manhattan","1441","40","true","2021-03-23T00:00:00.000","Manhattan","1441","40"
"2021Q0385 - 4 - 13614 - 0014","4136140014","Queens","13614","14","true","2021-03-25T00:00:00.000","Queens","13614","14"
"2021Q0385 - 4 - 13614 - 0028","4136140028","Queens","13614","28","true","2021-03-25T00:00:00.000","Queens","13614","28"
"2019M0364 - 1 - 00073 - 0017","1000730017","Manhattan","73","17","true","2021-03-25T00:00:00.000","Manhattan","73","17"
"2020Q0274 - 4 - 08166 - 0025","4081660025","Queens","8166","25","true","2021-03-25T00:00:00.000","Queens","8166","25"
"2020Q0274 - 4 - 08166 - 0020","4081660020","Queens","8166","20","true","2021-03-25T00:00:00.000","Queens","8166","20"
"2020Q0274 - 4 - 08165 - 0023","4081650023","Queens","8165","23","true","2021-03-25T00:00:00.000","Queens","8165","23"
"2020Q0274 - 4 - 08164 - 0230","4081640230","Queens","8164","230","true","2021-03-25T00:00:00.000","Queens","8164","230"
"2019Q0174 - 4 - 09954 - 0066","4099540066","Queens","9954","66","true","2021-03-25T00:00:00.000","Queens","9954","66"
"2019Q0174 - 4 - 09954 - 0049","4099540049","Queens","9954","49","true","2021-03-25T00:00:00.000","Queens","9954","49"
"2019Q0174 - 4 - 09954 - 0070","4099540070","Queens","9954","70","true","2021-03-25T00:00:00.000","Queens","9954","70"
"2019Q0174 - 4 - 09954 - 0001","4099540001","Queens","9954","1","true","2021-03-25T00:00:00.000","Queens","9954","1"
"2021M0362 - 1 - 01050 - 0061","1010500061","Manhattan","1050","61","true","2021-03-26T00:00:00.000","Manhattan","1050","61"
"2021M0362 - 1 - 01050 - 0001","1010500001","Manhattan","1050","1","true","2021-03-26T00:00:00.000","Manhattan","1050","1"
"2018M0375 - 1 - 00207 - 0001","1002070001","Manhattan","207","1","true","2021-04-01T00:00:00.000","Manhattan","207","1"
"2018M0375 - 1 - 00207 - 0005","1002070005","Manhattan","207","5","true","2021-04-01T00:00:00.000","Manhattan","207","5"
"2018M0375 - 1 - 00207 - 0006","1002070006","Manhattan","207","6","true","2021-04-01T00:00:00.000","Manhattan","207","6"
"2018M0375 - 1 - 00207 - 0007","1002070007","Manhattan","207","7","true","2021-04-01T00:00:00.000","Manhattan","207","7"
"2018M0375 - 1 - 00207 - 0008","1002070008","Manhattan","207","8","true","2021-04-01T00:00:00.000","Manhattan","207","8"
"2018M0375 - 1 - 00207 - 0010","1002070010","Manhattan","207","10","true","2021-04-01T00:00:00.000","Manhattan","207","10"
"2018M0375 - 1 - 00207 - 0012","1002070012","Manhattan","207","12","true","2021-04-01T00:00:00.000","Manhattan","207","12"
"2018M0375 - 1 - 00207 - 0013","1002070013","Manhattan","207","13","true","2021-04-01T00:00:00.000","Manhattan","207","13"
"2018M0375 - 1 - 00207 - 0014","1002070014","Manhattan","207","14","true","2021-04-01T00:00:00.000","Manhattan","207","14"
"2018M0375 - 1 - 00207 - 0015","1002070015","Manhattan","207","15","true","2021-04-01T00:00:00.000","Manhattan","207","15"
"2018M0375 - 1 - 00207 - 0017","1002070017","Manhattan","207","17","true","2021-04-01T00:00:00.000","Manhattan","207","17"
"2018M0375 - 1 - 00207 - 0020","1002070020","Manhattan","207","20","true","2021-04-01T00:00:00.000","Manhattan","207","20"
"2018M0375 - 1 - 00208 - 0001","1002080001","Manhattan","208","1","true","2021-04-01T00:00:00.000","Manhattan","208","1"
"2018M0375 - 1 - 00208 - 0004","1002080004","Manhattan","208","4","true","2021-04-01T00:00:00.000","Manhattan","208","4"
"2018M0375 - 1 - 00208 - 0013","1002080013","Manhattan","208","13","true","2021-04-01T00:00:00.000","Manhattan","208","13"
"2018M0375 - 1 - 00208 - 0019","1002080019","Manhattan","208","19","true","2021-04-01T00:00:00.000","Manhattan","208","19"
"2018M0375 - 1 - 00208 - 0020","1002080020","Manhattan","208","20","true","2021-04-01T00:00:00.000","Manhattan","208","20"
"2018M0375 - 1 - 00208 - 0021","1002080021","Manhattan","208","21","true","2021-04-01T00:00:00.000","Manhattan","208","21"
"2018M0375 - 1 - 00208 - 7501","1002087501","Manhattan","208","7501","true","2021-04-01T00:00:00.000","Manhattan","208","7501"
"2018M0375 - 1 - 00209 - 0001","1002090001","Manhattan","209","1","true","2021-04-01T00:00:00.000","Manhattan","209","1"
"2018M0375 - 1 - 00209 - 0005","1002090005","Manhattan","209","5","true","2021-04-01T00:00:00.000","Manhattan","209","5"
"2018M0375 - 1 - 00209 - 0007","1002090007","Manhattan","209","7","true","2021-04-01T00:00:00.000","Manhattan","209","7"
"2018M0375 - 1 - 00209 - 0008","1002090008","Manhattan","209","8","true","2021-04-01T00:00:00.000","Manhattan","209","8"
"2018M0375 - 1 - 00209 - 0011","1002090011","Manhattan","209","11","true","2021-04-01T00:00:00.000","Manhattan","209","11"
"2018M0375 - 1 - 00209 - 0012","1002090012","Manhattan","209","12","true","2021-04-01T00:00:00.000","Manhattan","209","12"
"2018M0375 - 1 - 00209 - 0015","1002090015","Manhattan","209","15","true","2021-04-01T00:00:00.000","Manhattan","209","15"
"2018M0375 - 1 - 00209 - 0019","1002090019","Manhattan","209","19","true","2021-04-01T00:00:00.000","Manhattan","209","19"
