"kit_id_number","borough","zipcode","date_collected","received_date","first_draw_at_the_tap_lead","first_draw_at_the_tap_copper"
"22190558","BROOKLYN","11209","2022-09-28T06:25:00.000","2022-10-03T12:12:22.000","5","0.191"
"22190563","BROOKLYN","11236","2022-09-27T09:00:00.000","2022-09-29T12:14:42.000","3","0.165"
"22190542","STATEN ISLAND","10308","2022-09-27T06:12:00.000","2022-09-29T12:14:31.000","0","0.068"
"22191184","QUEENS","11361","2022-09-27T04:40:00.000","2022-09-29T12:14:50.000","6","0.087"
"22190289","BROOKLYN","11226","2022-09-19T06:30:00.000","2022-09-20T13:35:05.000","3","0.143"
"22190526","QUEENS","11358","2022-09-17T09:09:00.000","2022-09-20T13:37:43.000","11","0.07"
"22190215","STATEN ISLAND","10312","2022-09-14T07:30:00.000","2022-09-16T11:35:50.000","7","0.046"
"22190470","STATEN ISLAND","10312","2022-09-12T17:30:00.000","2022-09-15T11:25:56.000","0","0.093"
"22190292","QUEENS","11427","2022-09-10T08:00:00.000","2022-09-12T11:48:06.000","2","0.065"
"22190475","BRONX","10457","2022-09-09T10:00:00.000","2022-09-12T11:32:49.000","0","0.038"
"22190258","STATEN ISLAND","10308","2022-09-08T05:00:00.000","2022-09-09T11:41:35.000","0","0.101"
"22190298","BROOKLYN","11212","2022-09-07T11:56:00.000","2022-09-09T11:41:50.000","0","0.041"
"22190195","QUEENS","11354","2022-09-07T10:30:00.000","2022-09-16T11:13:37.000","14","0.051"
"22190355","BROOKLYN","11222","2022-09-05T19:30:00.000","2022-09-12T11:48:25.000","0","0.132"
"22190524","QUEENS","11377","2022-09-01T06:30:00.000","2022-09-12T11:48:16.000","4","0.138"
"22190486","BROOKLYN","11234","2022-08-30T16:55:00.000","2022-09-06T12:14:54.000","2","0.267"
"22190241","QUEENS","11378","2022-08-30T08:05:00.000","2022-09-02T11:14:15.000","2","0.389"
"22190170","STATEN ISLAND","10308","2022-08-30T04:30:00.000","2022-08-31T12:16:18.000","2","0.149"
"22190375","QUEENS","11413","2022-08-29T07:02:00.000","2022-08-31T12:15:56.000","0","0.106"
"22190403","QUEENS","11357","2022-08-28T15:55:00.000","2022-08-31T12:16:27.000","8","0.182"
"22190591","BROOKLYN","11218","2022-08-28T11:00:00.000","2022-09-02T11:25:46.000","13","0.061"
"22190311","BROOKLYN","11217","2022-08-28T06:30:00.000","2022-08-31T12:16:06.000","2","0.169"
"22190207","STATEN ISLAND","10301","2022-08-26T10:34:00.000","2022-09-06T12:15:47.000","0","0.187"
"22190528","QUEENS","11356","2022-08-20T08:30:00.000","2022-08-23T11:47:19.000","3","0.122"
"22190159","STATEN ISLAND","10314","2022-08-20T08:07:00.000","2022-08-23T11:32:24.000","3","0.131"
"22190463","STATEN ISLAND","10304","2022-08-17T09:00:00.000","2022-08-23T11:48:13.000","0","0.064"
"22190457","STATEN ISLAND","10304","2022-08-17T05:31:00.000","2022-08-19T11:36:44.000","8","0.105"
"22190177","BRONX","10461","2022-08-14T06:00:00.000","2022-08-19T11:36:56.000","19","0.078"
"22190490","BROOKLYN","11214","2022-08-12T06:30:00.000","2022-08-15T11:42:43.000","0","0.029"
"22190438","STATEN ISLAND","10309","2022-08-11T07:00:00.000","2022-08-15T11:42:17.000","32","0.359"
"22190400","QUEENS","11106","2022-08-10T06:20:00.000","2022-08-12T14:05:28.000","6","0.097"
"22190343","STATEN ISLAND","10308","2022-08-09T08:00:00.000","2022-08-11T11:26:47.000","0","0.074"
"22190287","QUEENS","11375","2022-08-09T06:30:00.000","2022-08-12T14:05:09.000","20","0.132"
"22190588","BROOKLYN","11228","2022-08-07T08:00:00.000","2022-08-11T11:26:57.000","3","0.115"
"22192061","BROOKLYN","11212","2022-08-04T20:18:00.000","2022-08-09T11:39:31.000","0","0.047"
"22190501","QUEENS","11434","2022-08-03T07:03:00.000","2022-08-05T11:33:34.000","5","0.176"
"22190395","BRONX","10471","2022-08-02T08:02:00.000","2022-08-09T11:39:13.000","25","0.155"
"22190397","BROOKLYN","11226","2022-08-02T06:36:00.000","2022-08-05T11:32:58.000","7","0.285"
"22190223","BRONX","10463","2022-08-02T06:07:00.000","2022-08-09T11:39:02.000","1","0.091"
"22190541","STATEN ISLAND","10306","2022-08-01T08:00:00.000","2022-08-03T11:17:03.000","0","0.144"
"22190261","STATEN ISLAND","10312","2022-08-01T07:30:00.000","2022-08-09T11:17:57.000","0","0.072"
"22190162","STATEN ISLAND","10303","2022-08-01T07:02:00.000","2022-08-03T11:37:05.000","0","0.144"
"22190303","STATEN ISLAND","10304","2022-08-01T07:00:00.000","2022-08-02T12:16:37.000","0","0.108"
"22190281","BROOKLYN","11234","2022-07-31T17:50:00.000","2022-08-11T11:27:08.000","32","0.37"
"22190371","QUEENS","11361","2022-07-30T20:00:00.000","2022-08-02T12:15:19.000","4","0.317"
"22190429","STATEN ISLAND","10309","2022-07-28T08:00:00.000","2022-07-29T11:39:48.000","0","0.06"
"22190269","BRONX","10462","2022-07-27T07:00:00.000","2022-07-29T11:39:28.000","3","0.096"
"22190234","BROOKLYN","11214","2022-07-27T05:30:00.000","2022-07-29T11:39:57.000","0","0.142"
"22190437","BRONX","10460","2022-07-26T14:00:00.000","2022-08-05T11:33:10.000","3","0.168"
"22190540","STATEN ISLAND","10306","2022-07-25T10:18:00.000","2022-07-26T11:50:07.000","1","0.22"
"22190184","BROOKLYN","11229","2022-07-23T18:30:00.000","2022-07-27T11:49:16.000","9","0.095"
"22190377","BROOKLYN","11217","2022-07-23T04:10:00.000","2022-07-29T11:39:39.000","4","0.136"
"22190351","STATEN ISLAND","10306","2022-07-22T06:16:00.000","2022-07-25T11:35:48.000","1","0.148"
"22190217","STATEN ISLAND","10309","2022-07-22T06:16:00.000","2022-07-25T11:36:33.000","0","0.1"
"22190529","QUEENS","11364","2022-07-22T05:30:00.000","2022-07-25T11:37:19.000","5","0.097"
"22190480","BROOKLYN","11207","2022-07-21T08:30:00.000","2022-07-26T11:50:26.000","5","0.159"
"22190189","QUEENS","11377","2022-07-20T06:30:00.000","2022-07-21T11:15:38.000","8","0.032"
"22190328","QUEENS","11354","2022-07-18T08:45:00.000","2022-07-20T11:11:58.000","7","0.155"
"22190310","BRONX","10463","2022-07-18T07:00:00.000","2022-07-27T11:13:33.000","1","0.086"
"22190469","STATEN ISLAND","10312","2022-07-18T06:00:00.000","2022-07-21T11:30:30.000","0","0.103"
"22190188","QUEENS","11377","2022-07-18T05:30:00.000","2022-07-25T11:36:51.000","6","0.177"
"22190462","STATEN ISLAND","10305","2022-07-15T08:30:00.000","2022-07-18T11:29:24.000","0","0.115"
"22190268","BRONX","10463","2022-07-14T07:00:00.000","2022-07-18T11:31:09.000","7","0.08"
"22190341","STATEN ISLAND","10314","2022-07-13T20:18:00.000","2022-07-18T11:30:30.000","1","0.123"
"22190567","QUEENS","11378","2022-07-13T08:00:00.000","2022-07-18T11:29:54.000","0","0.132"
"22190342","STATEN ISLAND","10304","2022-07-13T05:05:00.000","2022-07-15T11:29:06.000","2","0.116"
"22190282","BROOKLYN","11203","2022-07-12T18:16:00.000","2022-07-18T11:28:44.000","24","0.381"
"22190224","BROOKLYN","11217","2022-07-12T10:10:00.000","2022-07-14T10:35:36.000","0","0.1"
"22190392","STATEN ISLAND","10309","2022-07-12T07:30:00.000","2022-07-14T10:36:46.000","0","0.097"
"22190423","QUEENS","11104","2022-07-11T18:01:00.000","2022-07-14T10:34:24.000","4","0.12"
"22190481","BROOKLYN","11207","2022-07-11T08:00:00.000","2022-07-15T11:28:59.000","0","0.03"
"22190488","QUEENS","11372","2022-07-10T22:42:00.000","2022-07-13T11:46:19.000","11","0.069"
"22190293","QUEENS","11363","2022-07-10T21:40:00.000","2022-07-14T10:35:02.000","7","0.118"
"22190521","BROOKLYN","11234","2022-07-10T08:40:00.000","2022-07-15T11:28:53.000","2","0.158"
"22190179","BRONX","10471","2022-07-10T08:07:00.000","2022-07-13T11:47:13.000","0","0.039"
"22190315","BROOKLYN","11222","2022-07-10T06:10:00.000","2022-07-15T11:29:14.000","3","0.152"
"22190546","STATEN ISLAND","10309","2022-07-09T09:00:00.000","2022-07-12T11:29:43.000","0","0.025"
"22190324","BROOKLYN","11229","2022-07-09T07:30:00.000","2022-07-12T11:27:12.000","11","0.101"
"22190399","BROOKLYN","11230","2022-07-09T06:30:00.000","2022-07-13T11:47:57.000","2","0.157"
"22190412","QUEENS","11358","2022-07-09T05:55:00.000","2022-07-12T11:27:56.000","8","0.179"
"22190174","STATEN ISLAND","10309","2022-07-08T08:15:00.000","2022-07-12T11:30:23.000","0","0.135"
"22190543","STATEN ISLAND","10312","2022-07-08T06:40:00.000","2022-07-12T11:31:11.000","0","0.117"
"22190443","BROOKLYN","11216","2022-07-08T05:15:00.000","2022-07-12T11:26:33.000","4","0.186"
"22190533","BRONX","10465","2022-07-07T17:30:00.000","2022-07-14T10:33:50.000","5","0.194"
"22190297","QUEENS","11412","2022-07-07T06:30:00.000","2022-07-12T11:28:44.000","2","0.07"
"22190435","STATEN ISLAND","10309","2022-07-06T14:00:00.000","2022-07-11T11:40:22.000","1","0.228"
"22190587","STATEN ISLAND","10306","2022-07-06T07:28:00.000","2022-07-11T11:41:57.000","12","0.113"
"22190213","STATEN ISLAND","10312","2022-07-06T07:10:00.000","2022-07-13T11:48:34.000","0","0.032"
"22190508","STATEN ISLAND","10308","2022-07-05T07:15:00.000","2022-07-07T13:12:03.000","0","0.118"
"22190250","QUEENS","11412","2022-07-05T06:25:00.000","2022-07-11T11:27:28.000","3","0.326"
"22190164","STATEN ISLAND","10314","2022-07-04T09:19:00.000","2022-07-06T12:04:51.000","0","0.128"
"22190430","STATEN ISLAND","10309","2022-07-04T05:35:00.000","2022-07-07T13:14:12.000","0","0.099"
"22190220","STATEN ISLAND","10307","2022-07-03T11:00:00.000","2022-07-06T12:12:01.000","0","0.069"
"22190172","STATEN ISLAND","10312","2022-07-03T09:00:00.000","2022-07-07T13:13:24.000","1","0.111"
"22190210","STATEN ISLAND","10306","2022-07-02T07:00:00.000","2022-07-06T12:12:55.000","0","0.2"
"22190274","BROOKLYN","11206","2022-07-02T06:30:00.000","2022-07-07T13:12:34.000","14","0.194"
"22190522","BROOKLYN","11228","2022-07-02T06:22:00.000","2022-07-06T11:56:41.000","27","0.079"
"22190239","QUEENS","11105","2022-07-01T07:30:00.000","2022-07-06T12:13:49.000","12","0.177"
"22190182","BROOKLYN","11225","2022-06-30T21:05:00.000","2022-07-06T11:58:58.000","17","0.095"
"22190374","QUEENS","11412","2022-06-30T15:30:00.000","2022-07-06T12:09:02.000","2","0.261"
"22190226","BROOKLYN","11213","2022-06-30T10:00:00.000","2022-07-06T11:59:59.000","0","0.057"
"22190350","STATEN ISLAND","10309","2022-06-30T08:00:00.000","2022-07-11T11:34:42.000","0","0.052"
"22190477","BROOKLYN","11217","2022-06-30T07:18:00.000","2022-07-11T11:30:01.000","3","0.12"
"22190519","BROOKLYN","11204","2022-06-30T06:35:00.000","2022-07-11T11:22:25.000","10","0.07"
"22190518","BROOKLYN","11218","2022-06-30T06:26:00.000","2022-07-11T11:35:44.000","15","0.158"
"22190273","BROOKLYN","11213","2022-06-30T06:00:00.000","2022-07-06T11:57:58.000","0","0.051"
"22190243","QUEENS","11385","2022-06-29T18:00:00.000","2022-07-06T12:11:06.000","3","0.085"
"22190387","STATEN ISLAND","10308","2022-06-29T06:00:00.000","2022-07-11T11:25:34.000","3","0.155"
"22190332","QUEENS","11415","2022-06-29T01:57:00.000","2022-07-01T11:24:44.000","0","0.152"
"22190551","BRONX","10465","2022-06-29T00:00:00.000","2022-07-01T11:27:12.000","4","0.134"
"22190230","BROOKLYN","11205","2022-06-28T22:30:00.000","2022-07-01T11:20:42.000","4","0.194"
"22190199","QUEENS","11418","2022-06-28T22:30:00.000","2022-07-01T11:22:32.000","2","0.091"
"22190235","BROOKLYN","11230","2022-06-28T21:25:00.000","2022-07-11T11:32:26.000","5","0.05"
"22190321","BROOKLYN","11224","2022-06-28T10:00:00.000","2022-06-30T11:29:32.000","0","0.012"
"22190354","BROOKLYN","11215","2022-06-28T07:15:00.000","2022-06-30T11:32:13.000","8","0.145"
"22190167","STATEN ISLAND","10305","2022-06-27T23:00:00.000","2022-06-30T11:28:38.000","16","0.147"
"22190308","STATEN ISLAND","10312","2022-06-27T07:50:00.000","2022-06-28T11:58:55.000","0","0.073"
"22190299","BROOKLYN","11238","2022-06-27T06:50:00.000","2022-06-30T11:27:40.000","3","0.14"
"22190205","QUEENS","11420","2022-06-27T06:00:00.000","2022-06-28T11:51:32.000","1","0.12"
"22190363","BROOKLYN","11234","2022-06-26T20:38:00.000","2022-06-28T11:55:25.000","8","0.139"
"22190251","QUEENS","11414","2022-06-26T14:28:00.000","2022-06-28T11:56:32.000","2","0.25"
"22190238","QUEENS","11103","2022-06-26T06:26:00.000","2022-06-28T11:52:53.000","3","0.148"
"22190264","STATEN ISLAND","10309","2022-06-25T07:00:00.000","2022-06-30T11:31:15.000","0","0.028"
"22190420","STATEN ISLAND","10312","2022-06-25T03:00:00.000","2022-06-28T12:03:07.000","0","0.137"
"22190240","QUEENS","11375","2022-06-24T08:05:00.000","2022-06-28T11:53:37.000","10","0.136"
"22190460","BROOKLYN","11234","2022-06-24T06:55:00.000","2022-06-28T12:04:59.000","5","0.09"
"22190187","QUEENS","11102","2022-06-24T05:40:00.000","2022-06-28T11:49:50.000","7","0.108"
"22190471","STATEN ISLAND","10309","2022-06-23T09:00:00.000","2022-06-28T12:02:16.000","0","0.105"
"22190507","STATEN ISLAND","10306","2022-06-23T07:00:00.000","2022-06-28T12:26:41.000","2","0.154"
